district,representative_party
1,Republican
2,Democratic
3,Republican
4,Democratic
5,Republican
6,Democratic
7,Democratic
8,Democratic
9,Democratic
10,Democratic
11,Democratic
12,Democratic
13,Democratic
14,Democratic
15,Democratic
16,Democratic
17,Democratic
18,Democratic
19,Democratic
20,Republican
21,Democratic
22,Republican
23,Republican
24,Democratic
25,Democratic
26,Democratic
27,Democratic
28,Democratic
29,Democratic
30,Democratic
31,Democratic
32,Democratic
33,Democratic
34,Democratic
35,Democratic
36,Democratic
37,Democratic
38,Democratic
39,Democratic
40,Republican
41,Republican
42,Democratic
43,Democratic
44,Democratic
45,Democratic
46,Democratic
47,Democratic
48,Republican
49,Democratic
50,Democratic
51,Democratic
52,Democratic
