OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"121004","PROPOSITION 50","YES","1080","28.11%"
"121004","PROPOSITION 50","NO","321","28.11%"
"121009MB","PROPOSITION 50","YES","18","17.26%"
"121009MB","PROPOSITION 50","NO","11","17.26%"
"121010","PROPOSITION 50","YES","1409","31.31%"
"121010","PROPOSITION 50","NO","442","31.31%"
"121013","PROPOSITION 50","YES","1146","29.53%"
"121013","PROPOSITION 50","NO","375","29.53%"
"121015MB","PROPOSITION 50","YES","44","22.74%"
"121015MB","PROPOSITION 50","NO","19","22.74%"
"121016","PROPOSITION 50","YES","1100","30.23%"
"121016","PROPOSITION 50","NO","374","30.23%"
"121043MB","PROPOSITION 50","YES","0","0.00%"
"121043MB","PROPOSITION 50","NO","0","0.00%"
"181001MB","PROPOSITION 50","YES","0","0.00%"
"181001MB","PROPOSITION 50","NO","0","0.00%"
"181003MB","PROPOSITION 50","YES","0","0.00%"
"181003MB","PROPOSITION 50","NO","0","0.00%"
"181004MB","PROPOSITION 50","YES","0","0.00%"
"181004MB","PROPOSITION 50","NO","0","0.00%"
"181066MB","PROPOSITION 50","YES","0","0.00%"
"181066MB","PROPOSITION 50","NO","0","0.00%"
"221021MB","PROPOSITION 50","YES","16","19.39%"
"221021MB","PROPOSITION 50","NO","3","19.39%"
"245205","PROPOSITION 50","YES","1119","45.62%"
"245205","PROPOSITION 50","NO","883","45.62%"
"245212","PROPOSITION 50","YES","1054","39.06%"
"245212","PROPOSITION 50","NO","806","39.06%"
"245220","PROPOSITION 50","YES","758","37.12%"
"245220","PROPOSITION 50","NO","384","37.12%"
"245224","PROPOSITION 50","YES","582","42.92%"
"245224","PROPOSITION 50","NO","451","42.92%"
"245230MB","PROPOSITION 50","YES","0","0.00%"
"245230MB","PROPOSITION 50","NO","0","0.00%"
"281001MB","PROPOSITION 50","NO","3","23.08%"
"281001MB","PROPOSITION 50","YES","0","23.08%"
"281002MB","PROPOSITION 50","YES","0","0.00%"
"281002MB","PROPOSITION 50","NO","0","0.00%"
"281003MB","PROPOSITION 50","YES","0","0.00%"
"281003MB","PROPOSITION 50","NO","0","0.00%"
"281006MB","PROPOSITION 50","YES","2","10.53%"
"281006MB","PROPOSITION 50","NO","0","10.53%"
"281011MB","PROPOSITION 50","YES","5","85.71%"
"281011MB","PROPOSITION 50","NO","1","85.71%"
"281012MB","PROPOSITION 50","YES","0","0.00%"
"281012MB","PROPOSITION 50","NO","0","0.00%"
"281045MB","PROPOSITION 50","YES","6","50.00%"
"281045MB","PROPOSITION 50","NO","2","50.00%"
"285001MB","PROPOSITION 50","NO","80","54.31%"
"285001MB","PROPOSITION 50","YES","27","54.31%"
"285002MB","PROPOSITION 50","YES","0","0.00%"
"285002MB","PROPOSITION 50","NO","0","0.00%"
"285004MB","PROPOSITION 50","NO","5","26.32%"
"285004MB","PROPOSITION 50","YES","0","26.32%"
"285007MB","PROPOSITION 50","YES","0","0.00%"
"285007MB","PROPOSITION 50","NO","0","0.00%"
"285042MB","PROPOSITION 50","YES","0","0.00%"
"285042MB","PROPOSITION 50","NO","0","0.00%"
"285247MB","PROPOSITION 50","YES","4","30.00%"
"285247MB","PROPOSITION 50","NO","2","30.00%"
"286210MB","PROPOSITION 50","YES","0","0.00%"
"286210MB","PROPOSITION 50","NO","0","0.00%"
"286212MB","PROPOSITION 50","YES","3","75.00%"
"286212MB","PROPOSITION 50","NO","0","75.00%"
"286213","PROPOSITION 50","YES","784","31.89%"
"286213","PROPOSITION 50","NO","339","31.89%"
"286234MB","PROPOSITION 50","YES","0","0.00%"
"286234MB","PROPOSITION 50","NO","0","0.00%"
"286238MB","PROPOSITION 50","YES","9","48.00%"
"286238MB","PROPOSITION 50","NO","3","48.00%"
"286244MB","PROPOSITION 50","YES","64","30.82%"
"286244MB","PROPOSITION 50","NO","21","30.82%"
"286245MB","PROPOSITION 50","YES","0","0.00%"
"286245MB","PROPOSITION 50","NO","0","0.00%"
"286247MB","PROPOSITION 50","YES","0","0.00%"
"286247MB","PROPOSITION 50","NO","0","0.00%"
"286248MB","PROPOSITION 50","YES","0","0.00%"
"286248MB","PROPOSITION 50","NO","0","0.00%"
"287205MB","PROPOSITION 50","YES","0","0.00%"
"287205MB","PROPOSITION 50","NO","0","0.00%"
"287206MB","PROPOSITION 50","NO","11","73.33%"
"287206MB","PROPOSITION 50","YES","0","73.33%"
"287207MB","PROPOSITION 50","YES","0","0.00%"
"287207MB","PROPOSITION 50","NO","0","0.00%"
"287208MB","PROPOSITION 50","NO","24","64.58%"
"287208MB","PROPOSITION 50","YES","7","64.58%"
"287209MB","PROPOSITION 50","YES","4","30.43%"
"287209MB","PROPOSITION 50","NO","3","30.43%"
