ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
2025Nov   	12001  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12002  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12003  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12004  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12005  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12006  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12007  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12008  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12009  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12010  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12011  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12012  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12013  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12014  		1104    1104 - Lemoore 1	0	8001104	1
2025Nov   	12015  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12016  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12017  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12018  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12019  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12020  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12021  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12022  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12023  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12024  		1106    1106 - Lemoore 1	0	8001106	1
2025Nov   	12025  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12026  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12027  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12028  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12029  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12030  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12031  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12032  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12033  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12034  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12035  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12036  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12037  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12038  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12039  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12040  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12041  		1105    1105 - Lemoore 1	0	8001105	1
2025Nov   	12042  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	12043  		1103    1103 - Lemoore 1	0	8001103	1
2025Nov   	19001  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19002  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19003  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19004  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19005  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19006  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19007  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19008  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19009  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19010  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19011  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19012  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19014  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19015  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19016  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19017  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19018  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19019  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19020  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19021  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19022  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19023  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19024  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19025  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19026  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19027  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19028  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19029  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19030  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19031  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19032  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19033  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19034  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19035  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19036  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19037  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19038  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19039  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19040  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19041  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19042  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19043  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19044  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19045  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19046  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19047  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19048  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19049  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19050  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19051  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19052  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19053  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19054  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19055  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19056  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19057  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19058  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19059  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19060  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19061  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19062  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19063  		1101    1101 - NAS Lemoore 1	0	8001101	1
2025Nov   	19064  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19065  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19066  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19067  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19068  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19069  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	19070  		1102    1102 - Stratford 1	0	8001102	1
2025Nov   	21002  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21004  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21007  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21009  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21010  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21011  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21012  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21014  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21015  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21016  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21017  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21018  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21019  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	21021  		1204    1204 - Hanford 1	0	8001204	1
2025Nov   	23001  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23002  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23003  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23004  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23005  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23006  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23007  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23008  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23009  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23010  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23011  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23012  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23013  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23014  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23015  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23016  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23017  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23018  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23019  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23020  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23021  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23022  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23023  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23024  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23025  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23026  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23027  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23028  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23029  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23030  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23031  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23032  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23033  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23034  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23035  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23036  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23037  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23038  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23039  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23040  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23041  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23042  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23043  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23044  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23045  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23046  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23047  		1203    1203 - Corcoran 1	0	8001203	1
2025Nov   	23048  		1203    1203 - Corcoran 1	0	8001203	1
