ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
251104Spec	1051001	A	101     CON 101L 1	0	8000101	1
251104Spec	1051001	B	101     CON 101L 1	0	8000101	1
251104Spec	1051002	A	102     CON 102L 1	0	8000102	1
251104Spec	1051002	B	102     CON 102L 1	0	8000102	1
251104Spec	1051003		102     CON 102L 1	0	8000102	1
251104Spec	1051004	A	102     CON 102L 1	0	8000102	1
251104Spec	1051004	B	102     CON 102L 1	0	8000102	1
251104Spec	1051005		101     CON 101L 1	0	8000101	1
251104Spec	1051006	A	102     CON 102L 1	0	8000102	1
251104Spec	1051006	B	102     CON 102L 1	0	8000102	1
251104Spec	1051006	C	102     CON 102L 1	0	8000102	1
251104Spec	1052001		101     CON 101L 1	0	8000101	1
251104Spec	1052002		101     CON 101L 1	0	8000101	1
251104Spec	1052003		103     CON 103L 1	0	8000103	1
251104Spec	1052004	A	103     CON 103L 1	0	8000103	1
251104Spec	1052004	B	103     CON 103L 1	0	8000103	1
251104Spec	1052005	A	103     CON 103L 1	0	8000103	1
251104Spec	1052005	B	MB01    MB 01 1 MB	YES	MB01A  	1
251104Spec	1052005	C	103     CON 103L 1	0	8000103	1
251104Spec	1052006		104     CON 104L 1	0	8000104	1
251104Spec	1052007		104     CON 104L 1	0	8000104	1
251104Spec	1053001		103     CON 103L 1	0	8000103	1
251104Spec	1053002	A	101     CON 101L 1	0	8000101	1
251104Spec	1053002	B	101     CON 101L 1	0	8000101	1
251104Spec	1053003		102     CON 102L 1	0	8000102	1
251104Spec	1053004	A	105     CON 105L 1	0	8000105	1
251104Spec	1053004	B	105     CON 105L 1	0	8000105	1
251104Spec	1053005		101     CON 101L 1	0	8000101	1
251104Spec	1053006	A	105     CON 105L 1	0	8000105	1
251104Spec	1053006	B	105     CON 105L 1	0	8000105	1
251104Spec	1053007		104     CON 104L 1	0	8000104	1
251104Spec	1053008	A	104     CON 104L 1	0	8000104	1
251104Spec	1053008	B	MB01    MB 01 1 MB	YES	MB01A  	1
251104Spec	1053008	C	104     CON 104L 1	0	8000104	1
251104Spec	1053009		MB01    MB 01 1 MB	YES	MB01A  	1
251104Spec	1053010		MB01    MB 01 1 MB	YES	MB01A  	1
251104Spec	1054001		103     CON 103L 1	0	8000103	1
251104Spec	1054002		103     CON 103L 1	0	8000103	1
251104Spec	1054003		106     CON 106L 1	0	8000106	1
251104Spec	1054004		106     CON 106L 1	0	8000106	1
251104Spec	1054005		104     CON 104L 1	0	8000104	1
251104Spec	1054006		106     CON 106L 1	0	8000106	1
251104Spec	1054007		106     CON 106L 1	0	8000106	1
251104Spec	1054008		104     CON 104L 1	0	8000104	1
251104Spec	1054009		106     CON 106L 1	0	8000106	1
251104Spec	1090001	A	107     CON 107L 1	0	8000107	1
251104Spec	1090001	B	107     CON 107L 1	0	8000107	1
251104Spec	1090001	C	107     CON 107L 1	0	8000107	1
251104Spec	1090001	D	107     CON 107L 1	0	8000107	1
251104Spec	1090002	A	108     CON 108L 1	0	8000108	1
251104Spec	1090002	B	108     CON 108L 1	0	8000108	1
251104Spec	1090003	A	108     CON 108L 1	0	8000108	1
251104Spec	1090003	B	108     CON 108L 1	0	8000108	1
251104Spec	1090004	A	108     CON 108L 1	0	8000108	1
251104Spec	1090004	B	108     CON 108L 1	0	8000108	1
251104Spec	1090004	C	108     CON 108L 1	0	8000108	1
251104Spec	1090004	D	MB02    MB 02 1 MB	YES	MB02A  	1
251104Spec	1090004	E	108     CON 108L 1	0	8000108	1
251104Spec	1090004	F	MB02    MB 02 1 MB	YES	MB02A  	1
251104Spec	1090004	G	108     CON 108L 1	0	8000108	1
251104Spec	1090004	H	108     CON 108L 1	0	8000108	1
251104Spec	1090005	A	107     CON 107L 1	0	8000107	1
251104Spec	1090005	B	107     CON 107L 1	0	8000107	1
251104Spec	1090005	C	107     CON 107L 1	0	8000107	1
251104Spec	1090005	D	107     CON 107L 1	0	8000107	1
251104Spec	1090006	A	107     CON 107L 1	0	8000107	1
251104Spec	1090006	B	107     CON 107L 1	0	8000107	1
251104Spec	1090007	A	107     CON 107L 1	0	8000107	1
251104Spec	1090007	B	107     CON 107L 1	0	8000107	1
251104Spec	1090007	C	107     CON 107L 1	0	8000107	1
251104Spec	1090008	A	108     CON 108L 1	0	8000108	1
251104Spec	1090008	B	108     CON 108L 1	0	8000108	1
251104Spec	1090008	C	108     CON 108L 1	0	8000108	1
251104Spec	1090008	D	108     CON 108L 1	0	8000108	1
