Official Results
San Mateo
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"10001","Proposition 50 (Majority Approval Required)","YES","787","56.87%"
"10001","Proposition 50 (Majority Approval Required)","NO","231","56.87%"
"10003","Proposition 50 (Majority Approval Required)","YES","808","53.64%"
"10003","Proposition 50 (Majority Approval Required)","NO","208","53.64%"
"10005","Proposition 50 (Majority Approval Required)","YES","946","58.02%"
"10005","Proposition 50 (Majority Approval Required)","NO","309","58.02%"
"10008","Proposition 50 (Majority Approval Required)","YES","619","56.16%"
"10008","Proposition 50 (Majority Approval Required)","NO","196","56.16%"
"10010","Proposition 50 (Majority Approval Required)","YES","988","56.55%"
"10010","Proposition 50 (Majority Approval Required)","NO","279","56.55%"
"10012","Proposition 50 (Majority Approval Required)","YES","843","55.64%"
"10012","Proposition 50 (Majority Approval Required)","NO","242","55.64%"
"10015","Proposition 50 (Majority Approval Required)","YES","1103","60.87%"
"10015","Proposition 50 (Majority Approval Required)","NO","336","60.87%"
"10017","Proposition 50 (Majority Approval Required)","YES","884","64.55%"
"10017","Proposition 50 (Majority Approval Required)","NO","294","64.55%"
"10019","Proposition 50 (Majority Approval Required)","YES","1000","53.71%"
"10019","Proposition 50 (Majority Approval Required)","NO","418","53.71%"
"10022","Proposition 50 (Majority Approval Required)","YES","514","55.51%"
"10022","Proposition 50 (Majority Approval Required)","NO","227","55.51%"
"12001","Proposition 50 (Majority Approval Required)","YES","912","43.10%"
"12001","Proposition 50 (Majority Approval Required)","NO","212","43.10%"
"12003","Proposition 50 (Majority Approval Required)","YES","673","51.49%"
"12003","Proposition 50 (Majority Approval Required)","NO","291","51.49%"
"12004","Proposition 50 (Majority Approval Required)","YES","741","42.25%"
"12004","Proposition 50 (Majority Approval Required)","NO","251","42.25%"
"12006","Proposition 50 (Majority Approval Required)","YES","958","53.22%"
"12006","Proposition 50 (Majority Approval Required)","NO","406","53.22%"
"12008","Proposition 50 (Majority Approval Required)","YES","853","55.83%"
"12008","Proposition 50 (Majority Approval Required)","NO","295","55.83%"
"12013","Proposition 50 (Majority Approval Required)","YES","671","50.43%"
"12013","Proposition 50 (Majority Approval Required)","NO","208","50.43%"
"14001","Proposition 50 (Majority Approval Required)","YES","720","55.48%"
"14001","Proposition 50 (Majority Approval Required)","NO","545","55.48%"
"14004","Proposition 50 (Majority Approval Required)","YES","1093","54.55%"
"14004","Proposition 50 (Majority Approval Required)","NO","624","54.55%"
"14006","Proposition 50 (Majority Approval Required)","YES","1018","55.92%"
"14006","Proposition 50 (Majority Approval Required)","NO","643","55.92%"
"15001","Proposition 50 (Majority Approval Required)","YES","919","51.28%"
"15001","Proposition 50 (Majority Approval Required)","NO","421","51.28%"
"15003","Proposition 50 (Majority Approval Required)","YES","928","50.67%"
"15003","Proposition 50 (Majority Approval Required)","NO","518","50.67%"
"15006","Proposition 50 (Majority Approval Required)","YES","1145","54.70%"
"15006","Proposition 50 (Majority Approval Required)","NO","642","54.70%"
"15008","Proposition 50 (Majority Approval Required)","YES","1036","51.79%"
"15008","Proposition 50 (Majority Approval Required)","NO","422","51.79%"
"15012","Proposition 50 (Majority Approval Required)","YES","1232","58.63%"
"15012","Proposition 50 (Majority Approval Required)","NO","586","58.63%"
"17001","Proposition 50 (Majority Approval Required)","YES","969","65.48%"
"17001","Proposition 50 (Majority Approval Required)","NO","304","65.48%"
"17004","Proposition 50 (Majority Approval Required)","YES","592","67.39%"
"17004","Proposition 50 (Majority Approval Required)","NO","154","67.39%"
"17101","Proposition 50 (Majority Approval Required)","YES","364","60.52%"
"17101","Proposition 50 (Majority Approval Required)","NO","197","60.52%"
"17202","Proposition 50 (Majority Approval Required)","YES","0","0.00%"
"17202","Proposition 50 (Majority Approval Required)","NO","0","0.00%"
"17203","Proposition 50 (Majority Approval Required)","YES","0","0.00%"
"17203","Proposition 50 (Majority Approval Required)","NO","0","0.00%"
"17802","Proposition 50 (Majority Approval Required)","YES","0","0.00%"
"17802","Proposition 50 (Majority Approval Required)","NO","0","0.00%"
"17803","Proposition 50 (Majority Approval Required)","YES","49","56.12%"
"17803","Proposition 50 (Majority Approval Required)","NO","29","56.12%"
"17804","Proposition 50 (Majority Approval Required)","YES","0","0.00%"
"17804","Proposition 50 (Majority Approval Required)","NO","0","0.00%"
"18001","Proposition 50 (Majority Approval Required)","YES","966","51.82%"
"18001","Proposition 50 (Majority Approval Required)","NO","347","51.82%"
"18002","Proposition 50 (Majority Approval Required)","YES","967","49.96%"
"18002","Proposition 50 (Majority Approval Required)","NO","299","49.96%"
"18006","Proposition 50 (Majority Approval Required)","YES","665","51.55%"
"18006","Proposition 50 (Majority Approval Required)","NO","216","51.55%"
"18008","Proposition 50 (Majority Approval Required)","YES","759","46.90%"
"18008","Proposition 50 (Majority Approval Required)","NO","246","46.90%"
"18010","Proposition 50 (Majority Approval Required)","YES","580","41.63%"
"18010","Proposition 50 (Majority Approval Required)","NO","130","41.63%"
"18012","Proposition 50 (Majority Approval Required)","YES","1233","47.38%"
"18012","Proposition 50 (Majority Approval Required)","NO","331","47.38%"
"18014","Proposition 50 (Majority Approval Required)","YES","772","43.93%"
"18014","Proposition 50 (Majority Approval Required)","NO","169","43.93%"
"18015","Proposition 50 (Majority Approval Required)","YES","861","43.91%"
"18015","Proposition 50 (Majority Approval Required)","NO","272","43.91%"
"18019","Proposition 50 (Majority Approval Required)","YES","1367","56.08%"
"18019","Proposition 50 (Majority Approval Required)","NO","515","56.08%"
"18020","Proposition 50 (Majority Approval Required)","YES","1130","51.71%"
"18020","Proposition 50 (Majority Approval Required)","NO","319","51.71%"
"18033","Proposition 50 (Majority Approval Required)","YES","744","55.81%"
"18033","Proposition 50 (Majority Approval Required)","NO","347","55.81%"
"18034","Proposition 50 (Majority Approval Required)","YES","892","53.59%"
"18034","Proposition 50 (Majority Approval Required)","NO","308","53.59%"
"18072","Proposition 50 (Majority Approval Required)","YES","14","60.98%"
"18072","Proposition 50 (Majority Approval Required)","NO","11","60.98%"
"21001","Proposition 50 (Majority Approval Required)","YES","750","52.56%"
"21001","Proposition 50 (Majority Approval Required)","NO","183","52.56%"
"21004","Proposition 50 (Majority Approval Required)","YES","438","56.16%"
"21004","Proposition 50 (Majority Approval Required)","NO","136","56.16%"
"21007","Proposition 50 (Majority Approval Required)","YES","1530","66.95%"
"21007","Proposition 50 (Majority Approval Required)","NO","481","66.95%"
"21008","Proposition 50 (Majority Approval Required)","YES","1100","67.07%"
"21008","Proposition 50 (Majority Approval Required)","NO","281","67.07%"
"21013","Proposition 50 (Majority Approval Required)","YES","1007","64.84%"
"21013","Proposition 50 (Majority Approval Required)","NO","314","64.84%"
"21023","Proposition 50 (Majority Approval Required)","YES","317","52.54%"
