Official Election Results
Solano
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"17005 - BT-1","STATE PROPOSITION 50","YES","692","42.30%"
"17005 - BT-1","STATE PROPOSITION 50","NO","211","42.30%"
"17040 - BT-1","STATE PROPOSITION 50","YES","860","42.28%"
"17040 - BT-1","STATE PROPOSITION 50","NO","311","42.28%"
"17050 - BT-1","STATE PROPOSITION 50","YES","1115","40.04%"
"17050 - BT-1","STATE PROPOSITION 50","NO","222","40.04%"
"17070 - BT-1","STATE PROPOSITION 50","YES","1223","45.16%"
"17070 - BT-1","STATE PROPOSITION 50","NO","265","45.16%"
"17100 - BT-1","STATE PROPOSITION 50","YES","1183","41.73%"
"17100 - BT-1","STATE PROPOSITION 50","NO","263","41.73%"
"17110 - BT-1","STATE PROPOSITION 50","YES","731","49.56%"
"17110 - BT-1","STATE PROPOSITION 50","NO","215","49.56%"
"17115 - BT-1","STATE PROPOSITION 50","YES","636","46.86%"
"17115 - BT-1","STATE PROPOSITION 50","NO","206","46.86%"
"17140 - BT-1","STATE PROPOSITION 50","YES","1281","49.36%"
"17140 - BT-1","STATE PROPOSITION 50","NO","266","49.36%"
"17180 - BT-1","STATE PROPOSITION 50","YES","291","41.92%"
"17180 - BT-1","STATE PROPOSITION 50","NO","73","41.92%"
"17185 - BT-1","STATE PROPOSITION 50","YES","1031","45.80%"
"17185 - BT-1","STATE PROPOSITION 50","NO","236","45.80%"
"17220 - BT-1","STATE PROPOSITION 50","YES","1588","56.43%"
"17220 - BT-1","STATE PROPOSITION 50","NO","505","56.43%"
"17270 - BT-1","STATE PROPOSITION 50","YES","586","44.17%"
"17270 - BT-1","STATE PROPOSITION 50","NO","199","44.17%"
"17280 - BT-1","STATE PROPOSITION 50","YES","704","52.08%"
"17280 - BT-1","STATE PROPOSITION 50","NO","284","52.08%"
"17288 - BT-1","STATE PROPOSITION 50","YES","1366","50.51%"
"17288 - BT-1","STATE PROPOSITION 50","NO","496","50.51%"
"17300 - BT-1","STATE PROPOSITION 50","YES","1298","48.94%"
"17300 - BT-1","STATE PROPOSITION 50","NO","415","48.94%"
"17310 - BT-1","STATE PROPOSITION 50","YES","715","43.46%"
"17310 - BT-1","STATE PROPOSITION 50","NO","135","43.46%"
"17330 - BT-1","STATE PROPOSITION 50","YES","376","49.26%"
"17330 - BT-1","STATE PROPOSITION 50","NO","155","49.26%"
"17340 - BT-1","STATE PROPOSITION 50","YES","668","43.99%"
"17340 - BT-1","STATE PROPOSITION 50","NO","230","43.99%"
"17350 - BT-1","STATE PROPOSITION 50","YES","1323","50.95%"
"17350 - BT-1","STATE PROPOSITION 50","NO","445","50.95%"
"17380 - BT-1","STATE PROPOSITION 50","YES","948","59.73%"
"17380 - BT-1","STATE PROPOSITION 50","NO","419","59.73%"
"19400 - BT-1","STATE PROPOSITION 50","YES","10","29.82%"
"19400 - BT-1","STATE PROPOSITION 50","NO","7","29.82%"
"19805 - BT-1","STATE PROPOSITION 50","YES","1","25.00%"
"19805 - BT-1","STATE PROPOSITION 50","NO","0","25.00%"
"21010 - BT-1","STATE PROPOSITION 50","YES","1162","62.97%"
"21010 - BT-1","STATE PROPOSITION 50","NO","500","62.97%"
"21020 - BT-1","STATE PROPOSITION 50","YES","841","62.42%"
"21020 - BT-1","STATE PROPOSITION 50","NO","392","62.42%"
"21045 - BT-1","STATE PROPOSITION 50","YES","1694","66.19%"
"21045 - BT-1","STATE PROPOSITION 50","NO","669","66.19%"
"21060 - BT-1","STATE PROPOSITION 50","YES","856","68.15%"
"21060 - BT-1","STATE PROPOSITION 50","NO","354","68.15%"
"21090 - BT-1","STATE PROPOSITION 50","YES","1180","59.18%"
"21090 - BT-1","STATE PROPOSITION 50","NO","459","59.18%"
"21095 - BT-1","STATE PROPOSITION 50","YES","925","66.00%"
"21095 - BT-1","STATE PROPOSITION 50","NO","415","66.00%"
"21130 - BT-1","STATE PROPOSITION 50","YES","1795","65.58%"
"21130 - BT-1","STATE PROPOSITION 50","NO","925","65.58%"
"21135 - BT-1","STATE PROPOSITION 50","YES","774","68.73%"
"21135 - BT-1","STATE PROPOSITION 50","NO","402","68.73%"
"23005 - BT-1","STATE PROPOSITION 50","YES","921","56.52%"
"23005 - BT-1","STATE PROPOSITION 50","NO","539","56.52%"
"23017 - BT-1","STATE PROPOSITION 50","YES","950","52.54%"
"23017 - BT-1","STATE PROPOSITION 50","NO","591","52.54%"
"23020 - BT-1","STATE PROPOSITION 50","YES","734","50.63%"
"23020 - BT-1","STATE PROPOSITION 50","NO","346","50.63%"
"23047 - BT-1","STATE PROPOSITION 50","YES","932","48.67%"
"23047 - BT-1","STATE PROPOSITION 50","NO","406","48.67%"
"23050 - BT-1","STATE PROPOSITION 50","YES","378","47.00%"
"23050 - BT-1","STATE PROPOSITION 50","NO","106","47.00%"
"23090 - BT-1","STATE PROPOSITION 50","YES","727","45.17%"
"23090 - BT-1","STATE PROPOSITION 50","NO","359","45.17%"
"27020 - BT-1","STATE PROPOSITION 50","YES","423","47.42%"
"27020 - BT-1","STATE PROPOSITION 50","NO","99","47.42%"
"27050 - BT-1","STATE PROPOSITION 50","YES","1168","42.47%"
"27050 - BT-1","STATE PROPOSITION 50","NO","289","42.47%"
"27070 - BT-1","STATE PROPOSITION 50","YES","281","43.86%"
"27070 - BT-1","STATE PROPOSITION 50","NO","58","43.86%"
"27075 - BT-1","STATE PROPOSITION 50","YES","238","43.10%"
"27075 - BT-1","STATE PROPOSITION 50","NO","68","43.10%"
"27080 - BT-1","STATE PROPOSITION 50","YES","739","39.97%"
"27080 - BT-1","STATE PROPOSITION 50","NO","140","39.97%"
"27100 - BT-1","STATE PROPOSITION 50","YES","413","55.79%"
"27100 - BT-1","STATE PROPOSITION 50","NO","115","55.79%"
"27110 - BT-1","STATE PROPOSITION 50","YES","1058","59.53%"
"27110 - BT-1","STATE PROPOSITION 50","NO","310","59.53%"
"27115 - BT-1","STATE PROPOSITION 50","YES","1013","56.04%"
"27115 - BT-1","STATE PROPOSITION 50","NO","356","56.04%"
"27130 - BT-1","STATE PROPOSITION 50","YES","1321","55.26%"
"27130 - BT-1","STATE PROPOSITION 50","NO","541","55.26%"
"27175 - BT-1","STATE PROPOSITION 50","YES","570","50.88%"
"27175 - BT-1","STATE PROPOSITION 50","NO","178","50.88%"
"27185 - BT-1","STATE PROPOSITION 50","YES","364","42.41%"
"27185 - BT-1","STATE PROPOSITION 50","NO","186","42.41%"
"27190 - BT-1","STATE PROPOSITION 50","YES","451","53.38%"
"27190 - BT-1","STATE PROPOSITION 50","NO","157","53.38%"
"29005 - BT-1","STATE PROPOSITION 50","NO","2","36.36%"
"29005 - BT-1","STATE PROPOSITION 50","YES","2","36.36%"
"29080 - BT-1","STATE PROPOSITION 50","NO","3","75.00%"
"29080 - BT-1","STATE PROPOSITION 50","YES","0","75.00%"
"29100 - BT-1","STATE PROPOSITION 50","NO","12","72.73%"
"29100 - BT-1","STATE PROPOSITION 50","YES","4","72.73%"
"29160 - BT-1","STATE PROPOSITION 50","NO","8","72.22%"
"29160 - BT-1","STATE PROPOSITION 50","YES","5","72.22%"
"29187 - BT-1","STATE PROPOSITION 50","YES","189","51.49%"
"29187 - BT-1","STATE PROPOSITION 50","NO","71","51.49%"
"29410 - BT-1","STATE PROPOSITION 50","NO","324","68.58%"
"29410 - BT-1","STATE PROPOSITION 50","YES","236","68.58%"
"29412 - BT-1","STATE PROPOSITION 50","NO","258","71.09%"
"29412 - BT-1","STATE PROPOSITION 50","YES","249","71.09%"
"29510 - BT-1","STATE PROPOSITION 50","YES","41","55.64%"
"29510 - BT-1","STATE PROPOSITION 50","NO","33","55.64%"
"29515 - BT-1","STATE PROPOSITION 50","NO","12","60.71%"
"29515 - BT-1","STATE PROPOSITION 50","YES","5","60.71%"
"29810 - BT-1","STATE PROPOSITION 50","NO","1","100.00%"
"29810 - BT-1","STATE PROPOSITION 50","YES","0","100.00%"
"29820 - BT-1","STATE PROPOSITION 50","YES","191","45.93%"
"29820 - BT-1","STATE PROPOSITION 50","NO","80","45.93%"
"29830 - BT-1","STATE PROPOSITION 50","YES","42","52.58%"
"29830 - BT-1","STATE PROPOSITION 50","NO","8","52.58%"
"29840 - BT-1","STATE PROPOSITION 50","YES","118","31.24%"
"29840 - BT-1","STATE PROPOSITION 50","NO","31","31.24%"
"33005 - BT-1","STATE PROPOSITION 50","YES","824","54.87%"
"33005 - BT-1","STATE PROPOSITION 50","NO","531","54.87%"
"33030 - BT-1","STATE PROPOSITION 50","YES","1056","59.68%"
"33030 - BT-1","STATE PROPOSITION 50","NO","693","59.68%"
"33042 - BT-1","STATE PROPOSITION 50","YES","647","56.00%"
"33042 - BT-1","STATE PROPOSITION 50","NO","369","56.00%"
"33043 - BT-1","STATE PROPOSITION 50","YES","1053","65.90%"
"33043 - BT-1","STATE PROPOSITION 50","NO","796","65.90%"
"33060 - BT-1","STATE PROPOSITION 50","YES","737","59.33%"
"33060 - BT-1","STATE PROPOSITION 50","NO","400","59.33%"
"33070 - BT-1","STATE PROPOSITION 50","YES","832","37.76%"
"33070 - BT-1","STATE PROPOSITION 50","NO","358","37.76%"
"33075 - BT-1","STATE PROPOSITION 50","YES","1084","40.42%"
"33075 - BT-1","STATE PROPOSITION 50","NO","386","40.42%"
"33115 - BT-1","STATE PROPOSITION 50","YES","272","50.24%"
"33115 - BT-1","STATE PROPOSITION 50","NO","142","50.24%"
"33135 - BT-1","STATE PROPOSITION 50","YES","946","54.86%"
"33135 - BT-1","STATE PROPOSITION 50","NO","494","54.86%"
"33190 - BT-1","STATE PROPOSITION 50","YES","443","38.22%"
"33190 - BT-1","STATE PROPOSITION 50","NO","182","38.22%"
"33195 - BT-1","STATE PROPOSITION 50","YES","713","39.83%"
"33195 - BT-1","STATE PROPOSITION 50","NO","282","39.83%"
"33210 - BT-1","STATE PROPOSITION 50","YES","428","35.71%"
"33210 - BT-1","STATE PROPOSITION 50","NO","132","35.71%"
"33220 - BT-1","STATE PROPOSITION 50","YES","657","43.39%"
"33220 - BT-1","STATE PROPOSITION 50","NO","289","43.39%"
"33235 - BT-1","STATE PROPOSITION 50","YES","467","45.58%"
