VPCT	Consolidated Precincts	Ballot
0100002	0100002	1
0100003	0100003	1
0100006	0100006	1
0100007	0100007	1
0100018	0100018	1
0100019	0100019	1
0100021	0100021	1
0100022	0100022	1
0100030	0100030	1
0100031	0100031	1
0100032	0100032	1
0100067	0100067	1
0100068	0100068	1
0100073	0100073	1
0100121	0100121	1
0100134	0100134	2
0100164	0100164	1
0100172	0100172	1
0100173	0100173	1
0100175	0100175	1
0100177	0100177	1
0100206	0100206	1
0100215	0100215	1
0100217	0100217	1
0100225	0100225	1
0100232	0100232	1
0100236	0100236	1
0100237	0100237	1
0100250	0100250	2
0100262	0100262	1
0100267	0100267	2
0110001	0110001	1
0110005	0110005	1
0110086	0110086	1
0180017	0180017	1
0200029	0200029	2
0200048	0200048	2
0200055	0200055	1
0200108	0200108	1
0200109	0200109	1
0200117	0200117	2
0200121	0200121	2
0200122	0200122	2
0200130	0200130	2
0200136	0200136	2
0200142	0200142	2
0200147	0200147	2
0250047	0250047	2
0250052	0250052	2
0300003	0300003	1
0300007	0300007	1
0300019	0300019	1
0300020	0300020	1
0300025	0300025	1
0310051	0310051	1
0360010	0360010	1
0400001	0400001	1
0400005	0400005	1
0400008	0400008	1
0400010	0400010	1
0400013	0400013	1
0400059	0400059	1
0400060	0400060	1
0400061	0400061	1
0400067	0400067	1
0400125	0400125	1
0400146	0400146	1
0400159	0400159	1
0400170	0400170	1
0410008	0410008	1
0410035	0410035	1
0410041	0410041	1
0410046	0410046	1
0490040	0490040	1
0500009	0500009	1
0500010	0500010	1
0500025	0500025	1
0500026	0500026	1
0500027	0500027	1
0500028	0500028	1
0500079	0500079	1
0500126	0500126	1
0500142	0500142	1
0500154	0500154	1
0500188	0500188	1
0500202	0500202	1
0500203	0500203	1
0500208	0500208	1
0500215	0500215	1
0500218	0500218	1
0500221	0500221	1
0500231	0500231	1
0500252	0500252	1
0500273	0500273	1
0500274	0500274	3
0500278	0500278	1
0500286	0500286	1
0500292	0500292	1
0500293	0500293	1
0500297	0500297	1
0500304	0500304	1
0500306	0500306	1
0500307	0500307	1
0510027	0510027	1
0510028	0510028	1
0710001	0100001, 0100005, 0100156, 0100157, 0100204, 0100205	1
0710002	0100008, 0100009, 0100014, 0100094, 0100105, 0100106	1
0710003	0100016, 0100017, 0100053, 0100092, 0100178, 0100251	1
0710004	0100023, 0100024, 0100025, 0100026, 0100027, 0100028	1
0710005	0100029, 0100203	1
0710006	0100043, 0100046, 0100047, 0100049, 0100163	1
0710007	0100107, 0100158, 0100186	1
0710008	0100111, 0100117, 0100214, 0100216	1
0710009	0100004, 0100120	1
0710010	0100020, 0100269, 0100270, 0100271	1
0710011	0100044, 0100050	1
0710012	0100159, 0100162	1
0710013	0100011, 0100013, 0100171	1
0710014	0100036, 0100037, 0100051, 0100070, 0100075, 0100199	1
0710015	0100040, 0100234, 0100254	1
0710016	0100045, 0100048, 0100066, 0100174, 0100218, 0100239	1
0710017	0100226, 0100230, 0100255	1
0710018	0100056, 0100057, 0100080, 0100083, 0100243, 0100273	1
0710019	0100093, 0100109, 0100245, 0100263, 0100265, 0100266	1
0710020	0100095, 0100097, 0100100, 0100101, 0100248, 0100275	1
0710021	0100108, 0100112, 0100187, 0100208, 0100227, 0100228	1
0710022	0100110, 0100181, 0100198, 0100244, 0100246, 0100247	1
0710023	0100113, 0100114, 0100115, 0100116, 0100118, 0100249	1
0710024	0100128, 0100130, 0100143, 0100231, 0100233, 0100235	1
0710025	0100142, 0100149, 0100150, 0100152, 0100153, 0100183	1
0710026	0100144, 0100154, 0100160, 0100161, 0100184, 0100209	1
0710027	0100145, 0100229	1
0710028	0100146, 0100147, 0100148	1
0710029	0100151, 0100155, 0100197, 0100200, 0100201, 0100202	1
0710030	0100010, 0100012, 0100041, 0100071, 0100081, 0100082	1
0710031	0100033, 0100034, 0100038, 0100039, 0100042, 0100207	1
0710032	0100052, 0100069, 0100176, 0100180, 0100278, 0100279	1
0710033	0100054, 0100055, 0100058, 0100059, 0100060, 0100063	1
0710034	0100061, 0100062, 0100219, 0100220, 0100221, 0100222	1
0710035	0100064, 0100065, 0100072, 0100074, 0100076, 0100079	1
0710036	0100084, 0100085, 0100087, 0100088, 0100089, 0100090	1
0710037	0100086, 0100210, 0100211, 0100212	1
0710038	0100091, 0100096, 0100098, 0100099, 0100102, 0100103	1
0710039	0100104, 0100122, 0100124, 0100125, 0100126, 0100127	1
0710040	0100123, 0100129, 0100131, 0100139, 0100264, 0100276	1
0710041	0100136, 0100137, 0100140, 0100141	1
0710042	0100165, 0100169, 0100179	1
0710043	0100166, 0100188, 0100190, 0100191, 0100195, 0100196	1
0710044	0100167, 0100189, 0100194, 0100213, 0100224, 0100274	1
0710045	0100192, 0100193	1
0710046	0100223, 0100277	1
0710047	0100238, 0100257	1
0710048	0100256, 0100259	1
0710049	0100035, 0100240, 0100241, 0100242, 0100260, 0100261	2
0710050	0100077, 0100078, 0100258	2
0710051	0100132, 0100133, 0100135, 0100138, 0100182, 0100268	2
0710052	0100168, 0100185	2
0710053	0100252, 0100253	2
0711001	0110000, 0110026, 0110060, 0110061, 0110068, 0110079	1
0711002	0110007, 0110008, 0110010, 0110013, 0110016, 0110018	1
0711003	0110006, 0110044, 0110062, 0110077, 0110078	1
0711004	0110009, 0110073	1
0711005	0110022, 0110023, 0110033	1
0711006	0110004, 0110017, 0110030, 0110031	1
0711007	0110028, 0110029	1
0711008	0110019, 0110020, 0110025, 0110069, 0110082, 0110085	1
0711009	0110043, 0110066, 0110072	1
0711010	0110046, 0110047, 0110053, 0110063, 0110081, 0110083	1
0711011	0110021, 0110049, 0110056, 0110057, 0110084	1
0711012	0110002, 0110051	1
0711013	0110003, 0110040, 0110050, 0110052	1
0711014	0110039, 0110058, 0110059, 0110065, 0110067, 0110080	1
0711015	0110027, 0110032	1
0711016	0110011, 0110012, 0110014, 0110015, 0110045, 0110064	1
0711017	0110024, 0110038, 0110054, 0110055, 0110076	1
0711018	0110034, 0110035, 0110037, 0110048	1
0711019	0110036, 0110041, 0110042, 0110075	1
0711020	0110070, 0110071	1
0718001	0180002, 0180006, 0180010	1
0718002	0180001, 0180003, 0180004, 0180005, 0180011	1
0718003	0180013, 0180014	1
0718004	0180018, 0180019, 0180022, 0180023, 0180024	1
0718005	0180009, 0180015, 0180016, 0180021	1
0718006	0180007, 0180008, 0180012, 0180020	1
0720001	0200020, 0200021, 0200022, 0200098, 0200127, 0200128	1
0720002	0200042, 0200061, 0200063, 0200066, 0200087, 0200097	1
0720003	0200064, 0200067, 0200070, 0200081	1
0720004	0200096, 0200129, 0200134, 0200135	1
0720005	0200034, 0200035, 0200036	1
0720006	0200068, 0200123, 0200124, 0200125, 0200126, 0200141	1
0720007	0200088, 0200089, 0200090, 0200099, 0200105, 0200107	1
0720008	0200102, 0200103, 0200104, 0200146	1
0720009	0200091, 0200094	1
0720010	0200095, 0200106	1
0720011	0200001, 0200002, 0200003, 0200004, 0200005, 0200092	2
0720012	0200006, 0200013, 0200015, 0200016, 0200017, 0200112	2
0720013	0200014, 0200018, 0200019, 0200071, 0200110, 0200143	2
0720014	0200007, 0200008, 0200009, 0200011, 0200093, 0200144	2
0720015	0200010, 0200012, 0200023, 0200030, 0200031, 0200145	2
0720016	0200024, 0200025, 0200026, 0200072, 0200139, 0200140	2
0720017	0200027, 0200028, 0200057, 0200082, 0200083, 0200085	2
0720018	0200032, 0200033, 0200113, 0200114, 0200150	2
0720019	0200043, 0200079, 0200131, 0200132, 0200148	2
0720020	0200051, 0200052, 0200053, 0200115, 0200116, 0200133	2
0720021	0200056, 0200058, 0200111	2
0720022	0200060, 0200062, 0200065, 0200080, 0200084, 0200086	2
0720023	0200037, 0200038, 0200039, 0200040, 0200075, 0200077	2
0720024	0200041, 0200074	2
0720025	0200044, 0200046, 0200049, 0200050, 0200078, 0200149	2
0720026	0200045, 0200047, 0200137, 0200138	2
0720027	0200054, 0200073, 0200076	2
0720028	0200059, 0200069	2
0720029	0200100, 0200101	2
0720030	0200118, 0200119, 0200120	2
0723001	0230001, 0230010, 0230011, 0230012, 0230013, 0230014	1
0723002	0230002, 0230003, 0230008, 0230009	1
0723003	0230004, 0230005, 0230006, 0230007	1
0725001	0250001, 0250004, 0250005, 0250021, 0250025, 0250035	2
0725002	0250012, 0250013, 0250014, 0250027, 0250029, 0250068	2
0725003	0250015, 0250054, 0250055, 0250057, 0250066	2
0725004	0250028, 0250030, 0250032, 0250039, 0250045, 0250067	2
0725005	0250031, 0250033, 0250043, 0250044	2
0725006	0250053, 0250056	2
0725007	0250036, 0250038, 0250040	2
0725008	0250034, 0250037, 0250046, 0250058, 0250064	2
0725009	0250041, 0250042, 0250065	2
0725010	0250049, 0250051, 0250059	2
0725011	0250007, 0250011, 0250016, 0250017, 0250018	2
0725012	0250019, 0250020	2
0725013	0250002, 0250003, 0250006, 0250008	2
0725014	0250009, 0250010, 0250062, 0250063	2
0725015	0250022, 0250023, 0250024, 0250026, 0250060, 0250061	2
0725016	0250048, 0250050	2
0726001	0260006, 0260007, 0260016, 0260017, 0260018, 0260019	1
0726002	0260002, 0260004, 0260005, 0260009, 0260013, 0260022	1
0726003	0260010, 0260011, 0260012, 0260014	1
0726004	0260001, 0260003, 0260008, 0260015, 0260020, 0260021	1
0730001	0300001, 0300002, 0300004, 0300005, 0300006	1
0730002	0300008, 0300009	1
0730003	0300010, 0300011, 0300012, 0300015, 0300022, 0300024	1
0730004	0300013, 0300014, 0300016, 0300017, 0300018	1
0730005	0300021, 0300023	1
0731001	0310002, 0310003, 0310007, 0310008, 0310022	1
0731002	0310005, 0310006, 0310011, 0310014, 0310015, 0310019	1
0731003	0310009, 0310010, 0310016, 0310017, 0310021	1
0731004	0310032, 0310039, 0310045, 0310053, 0310054	1
0731005	0310040, 0310041, 0310042, 0310043	1
0731006	0310029, 0310030, 0310046, 0310047	1
0731007	0310048, 0310049, 0310052, 0310055	1
0731008	0310026, 0310027, 0310028, 0310031, 0310044, 0310050	1
0731009	0310033, 0310034, 0310035, 0310036, 0310037, 0310038	1
0731010	0310001, 0310004, 0310012, 0310013	1
0731011	0310018, 0310020, 0310023, 0310024, 0310025	1
0736001	0360002, 0360005, 0360035, 0360038	1
0736002	0360007, 0360014, 0360024, 0360036	1
0736003	0360004, 0360009, 0360012, 0360017, 0360019	1
0736004	0360022, 0360023, 0360026, 0360029, 0360034, 0360039	1
0736005	0360006, 0360020, 0360030, 0360031	1
0736006	0360008, 0360011, 0360015, 0360016, 0360032, 0360033	1
0736007	0360001, 0360021, 0360027, 0360028	1
0736008	0360003, 0360013, 0360018, 0360025, 0360037	1
0740001	0400014, 0400015, 0400055, 0400074, 0400075, 0400079	1
0740002	0400016, 0400017, 0400018, 0400019, 0400020, 0400023	1
0740003	0400021, 0400022, 0400028, 0400031, 0400128, 0400145	1
0740004	0400024, 0400025, 0400027, 0400029, 0400030, 0400032	1
0740005	0400026, 0400143, 0400144, 0400147, 0400148, 0400149	1
0740006	0400033, 0400034, 0400035, 0400036, 0400049, 0400050	1
0740007	0400037, 0400038, 0400039, 0400040, 0400041, 0400042	1
0740008	0400043, 0400044, 0400045, 0400046, 0400047, 0400048	1
0740009	0400051, 0400052, 0400053, 0400054, 0400056, 0400057	1
0740010	0400058, 0400076, 0400077, 0400078, 0400081, 0400082	1
0740011	0400062, 0400063, 0400064, 0400065, 0400066, 0400119	1
