"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"50","101001","22","13","4","1","1897","0","0","0","0","0","0","0","0","0","720","0","0","0","0","0","0","0","0","0","0","0","302","416"
"50","101002","22","5","4","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"50","101003","22","13","4","1","1065","0","0","0","0","0","0","0","0","0","409","0","0","0","0","0","0","0","0","0","0","0","170","239"
"50","102001","22","13","4","1","3090","0","0","0","0","0","0","0","0","0","945","0","0","0","0","0","0","0","0","0","0","0","237","707"
"50","102002","22","13","4","1","1132","0","0","0","0","0","0","0","0","0","453","0","0","0","0","0","0","0","0","0","0","0","270","183"
"50","102003","22","13","4","1","2515","0","0","0","0","0","0","0","0","0","665","0","0","0","0","0","0","0","0","0","0","0","161","504"
"50","102007","22","13","4","1","2939","0","0","0","0","0","0","0","0","0","957","0","0","0","0","0","0","0","0","0","0","0","339","614"
"50","102012","22","13","4","1","871","0","0","0","0","0","0","0","0","0","453","0","0","0","0","0","0","0","0","0","0","0","360","92"
"50","103001","22","13","4","1","2362","0","0","0","0","0","0","0","0","0","932","0","0","0","0","0","0","0","0","0","0","0","348","582"
"50","103002","22","13","4","1","3850","0","0","0","0","0","0","0","0","0","1476","0","0","0","0","0","0","0","0","0","0","0","630","844"
"50","103004","22","13","4","1","4111","0","0","0","0","0","0","0","0","0","1462","0","0","0","0","0","0","0","0","0","0","0","464","995"
"50","103005","22","13","4","1","4691","0","0","0","0","0","0","0","0","0","1776","0","0","0","0","0","0","0","0","0","0","0","604","1172"
"50","103008","22","13","4","1","4176","0","0","0","0","0","0","0","0","0","1608","0","0","0","0","0","0","0","0","0","0","0","551","1055"
"50","103009","22","13","4","1","2065","0","0","0","0","0","0","0","0","0","954","0","0","0","0","0","0","0","0","0","0","0","410","544"
"50","103010","22","13","4","1","3392","0","0","0","0","0","0","0","0","0","1590","0","0","0","0","0","0","0","0","0","0","0","869","721"
"50","104001","22","13","4","1","1280","0","0","0","0","0","0","0","0","0","632","0","0","0","0","0","0","0","0","0","0","0","452","180"
"50","104002","22","13","4","1","685","0","0","0","0","0","0","0","0","0","231","0","0","0","0","0","0","0","0","0","0","0","110","121"
"50","105002","9","7","4","1","5360","0","0","0","0","0","0","0","0","0","3011","0","0","0","0","0","0","0","0","0","0","0","2225","785"
"50","105003","9","5","4","1","1242","0","0","0","0","0","0","0","0","0","662","0","0","0","0","0","0","0","0","0","0","0","433","227"
"50","106001","22","5","4","1","619","0","0","0","0","0","0","0","0","0","342","0","0","0","0","0","0","0","0","0","0","0","247","94"
"50","106009","22","13","4","1","3546","0","0","0","0","0","0","0","0","0","1290","0","0","0","0","0","0","0","0","0","0","0","566","723"
"50","107001","22","5","4","1","537","0","0","0","0","0","0","0","0","0","295","0","0","0","0","0","0","0","0","0","0","0","134","160"
"50","107005","9","5","4","1","2970","0","0","0","0","0","0","0","0","0","1469","0","0","0","0","0","0","0","0","0","0","0","787","682"
"50","107010","9","5","4","1","1875","0","0","0","0","0","0","0","0","0","1141","0","0","0","0","0","0","0","0","0","0","0","793","346"
"50","108001","22","13","4","1","1367","0","0","0","0","0","0","0","0","0","711","0","0","0","0","0","0","0","0","0","0","0","514","197"
"50","108002","22","13","4","1","1947","0","0","0","0","0","0","0","0","0","874","0","0","0","0","0","0","0","0","0","0","0","395","479"
"50","108004","22","13","4","1","1717","0","0","0","0","0","0","0","0","0","858","0","0","0","0","0","0","0","0","0","0","0","581","274"
"50","109004","9","13","4","1","1455","0","0","0","0","0","0","0","0","0","892","0","0","0","0","0","0","0","0","0","0","0","730","162"
"50","110001","22","5","4","1","2786","0","0","0","0","0","0","0","0","0","1504","0","0","0","0","0","0","0","0","0","0","0","1092","412"
"50","110008","22","5","4","1","2188","0","0","0","0","0","0","0","0","0","1191","0","0","0","0","0","0","0","0","0","0","0","839","350"
"50","111009","22","13","4","1","44","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","10","4"
"50","112003","22","5","4","1","543","0","0","0","0","0","0","0","0","0","257","0","0","0","0","0","0","0","0","0","0","0","112","145"
"50","112005","9","5","4","1","5554","0","0","0","0","0","0","0","0","0","2334","0","0","0","0","0","0","0","0","0","0","0","1075","1255"
"50","113002","9","5","4","1","1327","0","0","0","0","0","0","0","0","0","702","0","0","0","0","0","0","0","0","0","0","0","545","157"
"50","114001","9","5","4","1","4728","0","0","0","0","0","0","0","0","0","2301","0","0","0","0","0","0","0","0","0","0","0","1415","884"
"50","114007","22","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","115001","9","5","4","1","4328","0","0","0","0","0","0","0","0","0","2883","0","0","0","0","0","0","0","0","0","0","0","2204","679"
"50","117001","22","13","4","1","3317","0","0","0","0","0","0","0","0","0","1202","0","0","0","0","0","0","0","0","0","0","0","479","722"
"50","117002","22","5","4","1","4195","0","0","0","0","0","0","0","0","0","2318","0","0","0","0","0","0","0","0","0","0","0","1170","1145"
"50","117003","22","13","4","1","3348","0","0","0","0","0","0","0","0","0","1084","0","0","0","0","0","0","0","0","0","0","0","230","854"
"50","117004","22","13","4","1","3741","0","0","0","0","0","0","0","0","0","1158","0","0","0","0","0","0","0","0","0","0","0","215","940"
"50","117005","22","13","4","1","2507","0","0","0","0","0","0","0","0","0","710","0","0","0","0","0","0","0","0","0","0","0","171","538"
"50","117006","22","13","4","1","3359","0","0","0","0","0","0","0","0","0","1201","0","0","0","0","0","0","0","0","0","0","0","321","878"
"50","117007","22","5","4","1","2462","0","0","0","0","0","0","0","0","0","1251","0","0","0","0","0","0","0","0","0","0","0","604","647"
"50","117009","22","5","4","1","4299","0","0","0","0","0","0","0","0","0","2086","0","0","0","0","0","0","0","0","0","0","0","797","1287"
"50","117010","22","5","4","1","4535","0","0","0","0","0","0","0","0","0","2484","0","0","0","0","0","0","0","0","0","0","0","1084","1398"
"50","117011","22","5","4","1","4682","0","0","0","0","0","0","0","0","0","2173","0","0","0","0","0","0","0","0","0","0","0","1015","1157"
"50","117014","22","5","4","1","5944","0","0","0","0","0","0","0","0","0","2571","0","0","0","0","0","0","0","0","0","0","0","1165","1399"
"50","117021","22","5","4","1","5033","0","0","0","0","0","0","0","0","0","2467","0","0","0","0","0","0","0","0","0","0","0","1163","1302"
"50","117029","22","5","4","1","3439","0","0","0","0","0","0","0","0","0","1565","0","0","0","0","0","0","0","0","0","0","0","705","860"
"50","117038","22","5","4","1","4378","0","0","0","0","0","0","0","0","0","2298","0","0","0","0","0","0","0","0","0","0","0","1157","1137"
"50","117047","22","5","4","1","3148","0","0","0","0","0","0","0","0","0","1805","0","0","0","0","0","0","0","0","0","0","0","932","872"
"50","117058","22","5","4","1","5746","0","0","0","0","0","0","0","0","0","2507","0","0","0","0","0","0","0","0","0","0","0","1221","1282"
"50","117059","22","5","4","1","4927","0","0","0","0","0","0","0","0","0","2502","0","0","0","0","0","0","0","0","0","0","0","1313","1187"
"50","117062","22","5","4","1","2802","0","0","0","0","0","0","0","0","0","1177","0","0","0","0","0","0","0","0","0","0","0","490","687"
"50","117064","22","5","4","1","7534","0","0","0","0","0","0","0","0","0","3298","0","0","0","0","0","0","0","0","0","0","0","1485","1808"
"50","117072","22","5","4","1","4791","0","0","0","0","0","0","0","0","0","2164","0","0","0","0","0","0","0","0","0","0","0","1048","1114"
"50","117074","22","5","4","1","4701","0","0","0","0","0","0","0","0","0","2418","0","0","0","0","0","0","0","0","0","0","0","1242","1175"
"50","117080","22","5","4","1","3915","0","0","0","0","0","0","0","0","0","1758","0","0","0","0","0","0","0","0","0","0","0","893","865"
"50","117088","22","5","4","1","6541","0","0","0","0","0","0","0","0","0","3252","0","0","0","0","0","0","0","0","0","0","0","1644","1606"
"50","117090","22","5","4","1","5709","0","0","0","0","0","0","0","0","0","2944","0","0","0","0","0","0","0","0","0","0","0","1479","1463"
"50","117091","22","5","4","1","3950","0","0","0","0","0","0","0","0","0","2048","0","0","0","0","0","0","0","0","0","0","0","1081","967"
"50","117104","22","13","4","1","4681","0","0","0","0","0","0","0","0","0","1785","0","0","0","0","0","0","0","0","0","0","0","733","1050"
"50","117112","22","5","4","1","6370","0","0","0","0","0","0","0","0","0","3133","0","0","0","0","0","0","0","0","0","0","0","1597","1534"
"50","117196","22","13","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","119001","22","13","4","1","5985","0","0","0","0","0","0","0","0","0","2513","0","0","0","0","0","0","0","0","0","0","0","1125","1388"
"50","121001","9","5","4","1","5014","0","0","0","0","0","0","0","0","0","2442","0","0","0","0","0","0","0","0","0","0","0","1557","884"
"50","121003","9","5","4","1","5300","0","0","0","0","0","0","0","0","0","2869","0","0","0","0","0","0","0","0","0","0","0","1896","970"
"50","121009","9","5","4","1","3960","0","0","0","0","0","0","0","0","0","2163","0","0","0","0","0","0","0","0","0","0","0","1507","655"
"50","123001","22","13","4","1","854","0","0","0","0","0","0","0","0","0","471","0","0","0","0","0","0","0","0","0","0","0","308","163"
"50","124001","22","13","4","1","3519","0","0","0","0","0","0","0","0","0","1573","0","0","0","0","0","0","0","0","0","0","0","522","1049"
"50","124003","22","13","4","1","4835","0","0","0","0","0","0","0","0","0","2014","0","0","0","0","0","0","0","0","0","0","0","738","1275"
"50","124005","22","13","4","1","4955","0","0","0","0","0","0","0","0","0","2016","0","0","0","0","0","0","0","0","0","0","0","547","1466"
"50","126001","9","5","4","1","5222","0","0","0","0","0","0","0","0","0","2438","0","0","0","0","0","0","0","0","0","0","0","1226","1209"
"50","126002","9","5","4","1","3979","0","0","0","0","0","0","0","0","0","1677","0","0","0","0","0","0","0","0","0","0","0","756","921"
"50","126008","9","5","4","1","5019","0","0","0","0","0","0","0","0","0","2396","0","0","0","0","0","0","0","0","0","0","0","1214","1182"
"50","128001","22","13","4","1","5587","0","0","0","0","0","0","0","0","0","1843","0","0","0","0","0","0","0","0","0","0","0","689","1152"
"50","128002","22","13","4","1","4055","0","0","0","0","0","0","0","0","0","1861","0","0","0","0","0","0","0","0","0","0","0","836","1022"
"50","128005","22","5","4","1","4956","0","0","0","0","0","0","0","0","0","2756","0","0","0","0","0","0","0","0","0","0","0","1603","1148"
"50","128007","22","13","4","1","2841","0","0","0","0","0","0","0","0","0","1006","0","0","0","0","0","0","0","0","0","0","0","443","559"
"50","128008","22","5","4","1","4610","0","0","0","0","0","0","0","0","0","2888","0","0","0","0","0","0","0","0","0","0","0","1874","1014"
"50","128013","22","5","4","1","5854","0","0","0","0","0","0","0","0","0","2680","0","0","0","0","0","0","0","0","0","0","0","1379","1301"
"50","128015","22","5","4","1","4373","0","0","0","0","0","0","0","0","0","2099","0","0","0","0","0","0","0","0","0","0","0","1136","960"
"50","128022","22","5","4","1","3624","0","0","0","0","0","0","0","0","0","1686","0","0","0","0","0","0","0","0","0","0","0","835","849"
"50","128028","22","5","4","1","4428","0","0","0","0","0","0","0","0","0","2258","0","0","0","0","0","0","0","0","0","0","0","1287","970"
"50","129001","9","5","4","1","4843","0","0","0","0","0","0","0","0","0","2235","0","0","0","0","0","0","0","0","0","0","0","1404","829"
"50","132002","22","5","4","1","1788","0","0","0","0","0","0","0","0","0","970","0","0","0","0","0","0","0","0","0","0","0","717","252"
"50","CNTYTOT","1706","733","348","87","299910","0","0","0","0","0","0","0","0","0","138208","0","0","0","0","0","0","0","0","0","0","0","70008","68076"
