"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","200100","2450","1977","62","22","5","7","6","0","14","0","357","1144","1306","70","3","9","2","233","5","20","3","14","1","7","0","24","1","5","0","64","4","37","0","31","1","12","0","3","0","2","1","11","0","1","0","6","51","58","111","129","147","363","5","62","66","149","161","191","478","0","2","1","2","5","6","21","0","0","1","3","0","4","17","5","13","10","35","46","31","76","2","11","9","14","29","27","49","0","1","5","2","5","7","6","1","1","1","4","6","4","11","1008","329","227","67","59","13","22","26","226","29","10","8","1","0","1","1","0","12","191","49","33","24","7","8","5","5","35","36","4","4","3","0","2","0","0","5"
"s25","voters","200200","1695","1342","47","19","7","5","4","0","13","0","258","768","927","86","2","19","8","141","5","12","2","19","0","2","0","14","0","4","0","55","2","22","3","18","0","8","0","4","1","3","0","7","1","0","2","9","57","46","78","68","95","221","26","97","47","87","114","96","301","0","0","1","2","3","3","18","0","1","0","0","2","5","12","6","21","10","14","30","19","41","8","27","15","14","13","17","23","0","7","0","4","2","3","10","2","5","1","3","2","4","5","780","179","135","40","25","13","19","11","140","24","8","4","1","1","0","1","0","8","155","25","33","11","10","0","7","2","15","33","8","1","0","0","1","0","0","5"
"s25","voters","201400","2398","1957","58","13","8","5","5","1","21","1","329","1105","1293","92","3","17","3","219","0","23","4","12","1","2","0","23","0","3","0","80","6","22","1","24","1","8","4","8","2","5","1","12","2","2","0","5","74","103","115","101","131","320","4","100","138","123","131","165","447","0","3","4","7","3","6","17","0","1","1","2","1","1","12","1","23","31","30","29","27","41","2","20","21","25","24","22","33","0","5","5","3","4","10","7","0","2","3","3","2","1","9","1074","293","215","67","44","16","17","20","211","36","7","1","5","0","0","0","0","9","200","37","29","16","9","5","7","3","23","40","6","3","1","2","0","0","0","2"
"s25","voters","202200","314","232","9","4","0","7","0","0","4","0","58","139","175","28","0","6","1","18","0","1","0","8","0","2","0","1","0","0","0","14","0","6","0","7","1","2","0","1","0","0","0","2","0","0","1","0","19","25","7","10","8","24","1","43","25","9","9","10","42","0","0","2","0","0","2","3","0","0","0","0","0","1","1","0","9","6","3","3","4","9","0","10","2","5","1","1","5","0","0","0","1","0","2","2","0","1","0","1","0","3","5","163","33","13","4","3","0","4","1","11","7","0","0","0","1","0","0","0","1","41","2","3","4","3","2","0","0","3","9","4","0","0","0","0","0","1","1"
"s25","voters","202500","422","310","15","14","2","2","0","0","0","0","79","175","247","80","3","15","5","12","2","4","0","6","0","3","0","1","0","0","0","22","2","8","1","5","0","3","1","7","0","1","0","5","0","2","0","3","86","5","3","5","6","11","3","160","9","5","2","4","8","0","5","0","0","1","3","1","1","4","0","0","0","0","0","2","32","4","2","0","0","1","1","34","2","0","1","0","0","0","5","0","0","0","0","0","1","10","1","1","0","0","0","286","8","0","2","1","2","1","0","10","12","1","1","1","0","0","0","0","0","76","2","1","0","0","0","0","0","0","17","1","0","0","0","0","0","0","0"
"s25","voters","202620","844","594","18","28","4","2","2","0","7","0","189","223","621","235","4","61","17","6","0","5","0","6","0","8","0","0","0","2","1","51","2","29","6","25","1","9","4","25","0","3","0","9","2","1","1","51","71","3","3","2","4","3","164","277","7","1","2","1","5","1","9","0","0","0","1","0","3","2","0","2","0","0","0","28","27","1","2","0","0","1","57","71","0","2","0","0","0","9","5","0","0","0","0","2","14","11","0","0","1","0","1","583","5","3","0","2","0","0","0","1","16","0","0","0","1","0","0","1","0","182","4","2","0","1","0","0","0","0","40","1","0","0","0","0","0","0","2"
"s25","voters","203100","1938","1630","52","22","2","4","2","0","12","0","214","870","1068","67","3","11","2","214","6","17","2","13","1","2","1","12","0","1","2","55","2","9","1","22","1","1","0","5","0","1","1","6","3","1","0","2","25","56","94","93","111","311","4","51","95","118","126","154","390","0","0","0","2","2","7","14","0","2","1","0","1","3","20","1","6","11","20","30","28","38","1","7","11","10","15","12","24","0","1","2","2","6","4","4","1","3","2","4","5","4","4","825","293","171","61","36","14","18","13","199","27","8","2","0","1","0","0","1","13","107","22","23","15","5","4","2","3","33","30","9","2","0","0","0","0","0","1"
"s25","voters","203500","1355","1074","35","20","7","5","2","0","11","0","201","597","758","73","1","20","5","132","3","24","1","6","0","2","0","7","0","2","1","35","1","12","0","14","1","4","0","1","0","3","1","8","0","0","0","18","48","42","47","55","52","177","32","92","69","63","55","86","238","1","2","0","4","0","3","8","0","3","1","1","2","3","7","8","20","15","13","12","21","29","5","18","9","10","10","6","25","1","6","5","1","1","3","5","2","7","5","0","1","4","4","674","144","86","31","23","6","13","15","82","20","5","1","1","1","0","0","2","5","126","23","20","8","5","2","0","3","14","35","5","3","1","0","0","1","0","0"
"s25","voters","203800","1573","1293","20","17","8","10","2","0","22","0","201","683","890","63","0","11","3","135","1","14","6","6","0","0","0","18","1","2","1","25","0","9","2","12","0","6","0","10","0","2","0","6","0","2","0","2","41","90","84","70","90","157","2","61","127","108","102","122","237","0","1","2","2","0","1","7","0","1","0","1","0","1","4","2","12","18","26","20","16","12","0","13","18","22","13","14","15","0","4","1","3","5","5","12","0","2","4","5","4","6","8","720","189","158","38","25","13","12","17","121","10","3","3","0","0","0","0","0","4","126","26","14","5","3","1","3","4","19","40","4","4","3","2","2","0","0","4"
"s25","voters","203880","24","21","1","0","0","0","0","0","0","0","2","9","15","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","2","0","1","4","1","5","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","2","1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
