"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"3","CP01","1","5","4","1","1350","0","0","0","0","0","0","0","0","0","925","0","0","0","0","0","0","0","0","0","0","0","543","382"
"3","CP02","1","5","4","1","1068","0","0","0","0","0","0","0","0","0","683","0","0","0","0","0","0","0","0","0","0","0","428","255"
"3","CP03","1","5","4","1","786","0","0","0","0","0","0","0","0","0","535","0","0","0","0","0","0","0","0","0","0","0","294","239"
"3","CP04","1","5","4","1","893","0","0","0","0","0","0","0","0","0","674","0","0","0","0","0","0","0","0","0","0","0","486","187"
"3","CP05","1","5","4","1","538","0","0","0","0","0","0","0","0","0","378","0","0","0","0","0","0","0","0","0","0","0","254","124"
"3","CP06","9","5","4","1","2401","0","0","0","0","0","0","0","0","0","1529","0","0","0","0","0","0","0","0","0","0","0","1081","447"
"3","CP07","9","5","4","1","1506","0","0","0","0","0","0","0","0","0","890","0","0","0","0","0","0","0","0","0","0","0","656","234"
"3","CP08","9","5","4","1","616","0","0","0","0","0","0","0","0","0","448","0","0","0","0","0","0","0","0","0","0","0","354","93"
"3","CP09","9","5","4","1","133","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","74","15"
"3","CP10","9","5","4","1","310","0","0","0","0","0","0","0","0","0","179","0","0","0","0","0","0","0","0","0","0","0","123","56"
"3","CP11","1","5","4","1","151","0","0","0","0","0","0","0","0","0","117","0","0","0","0","0","0","0","0","0","0","0","43","74"
"3","CP12","1","5","4","1","1131","0","0","0","0","0","0","0","0","0","776","0","0","0","0","0","0","0","0","0","0","0","510","265"
"3","CP13","1","5","4","1","692","0","0","0","0","0","0","0","0","0","484","0","0","0","0","0","0","0","0","0","0","0","327","156"
"3","CP14","1","5","4","1","994","0","0","0","0","0","0","0","0","0","698","0","0","0","0","0","0","0","0","0","0","0","456","242"
"3","CP15","1","5","4","1","1343","0","0","0","0","0","0","0","0","0","939","0","0","0","0","0","0","0","0","0","0","0","601","337"
"3","CP16","1","5","4","1","847","0","0","0","0","0","0","0","0","0","546","0","0","0","0","0","0","0","0","0","0","0","358","187"
"3","CP17","1","5","4","1","848","0","0","0","0","0","0","0","0","0","562","0","0","0","0","0","0","0","0","0","0","0","325","237"
"3","CP18","1","5","4","1","1048","0","0","0","0","0","0","0","0","0","720","0","0","0","0","0","0","0","0","0","0","0","396","323"
"3","CP19","1","5","4","1","515","0","0","0","0","0","0","0","0","0","379","0","0","0","0","0","0","0","0","0","0","0","247","132"
"3","CP20","1","5","4","1","799","0","0","0","0","0","0","0","0","0","547","0","0","0","0","0","0","0","0","0","0","0","365","182"
"3","CP21","1","5","4","1","659","0","0","0","0","0","0","0","0","0","494","0","0","0","0","0","0","0","0","0","0","0","321","173"
"3","CP22","1","5","4","1","808","0","0","0","0","0","0","0","0","0","561","0","0","0","0","0","0","0","0","0","0","0","373","187"
"3","CP23","1","5","4","1","823","0","0","0","0","0","0","0","0","0","613","0","0","0","0","0","0","0","0","0","0","0","384","229"
