"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1101","890","256","424","48","2","4","11","0","7","0","138","397","493","35","27","12","7","13","22","8","6","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","3","0","0","0","4","2","0","1","0","8","12","11","8","10","46","1","10","14","25","20","23","68","1","7","17","21","34","52","64","1","6","20","28","37","50","86","0","8","11","12","12","10","17","1","4","8","19","13","11","12","0","5","4","6","8","6","7","0","2","5","10","8","3","8","125","50","29","11","1","2","4","1","33","230","67","60","10","8","1","3","3","42","88","16","16","4","1","1","3","1","8","42","16","4","4","1","0","0","1","4"
"s25","voters","1102","1175","289","673","47","2","8","17","0","5","0","134","534","641","32","35","14","7","7","17","1","3","0","0","0","0","0","0","0","0","7","8","1","0","0","1","2","0","0","0","1","0","4","5","0","1","0","4","7","13","11","12","58","1","11","21","14","18","26","93","1","18","26","43","46","70","124","1","18","16","50","42","71","147","1","1","5","17","14","7","21","0","4","7","8","13","9","27","0","3","2","9","5","5","11","0","3","6","10","5","7","13","171","49","24","9","4","2","2","1","27","338","111","94","25","18","3","9","4","71","71","19","13","13","4","1","7","0","6","47","17","11","2","0","1","0","0","1"
"s25","voters","1103","588","246","191","39","3","6","9","0","1","0","93","252","336","61","13","16","12","2","4","3","6","0","0","0","0","0","0","1","0","3","1","0","1","0","1","1","1","0","0","0","0","7","1","0","0","0","7","14","6","14","12","33","1","11","26","14","18","26","64","0","3","1","16","9","23","31","1","2","9","15","6","30","45","1","4","6","12","6","8","14","1","4","4","7","8","10","8","0","3","3","8","8","4","6","0","6","5","1","0","5","9","145","33","31","8","4","8","1","4","12","121","26","20","5","4","0","0","0","15","54","15","9","6","2","0","3","0","4","41","9","7","0","1","0","0","0","0"
"s25","voters","1104","650","222","266","35","7","4","10","0","4","0","102","280","370","26","18","10","6","5","8","3","1","1","0","0","0","0","0","0","0","0","1","0","0","2","0","2","0","1","1","0","0","3","3","1","1","0","5","12","16","7","15","29","0","9","18","22","19","18","52","0","5","16","19","16","22","42","0","7","10","11","21","38","59","0","4","3","11","10","5","17","0","3","5","10","7","10","17","1","3","5","1","5","5","6","1","5","4","4","5","3","12","138","40","16","6","8","1","1","2","10","149","41","34","10","7","2","1","2","20","57","18","8","10","2","1","0","0","6","41","12","5","0","2","0","0","0","0"
"s25","voters","1105","511","155","248","14","0","5","5","0","1","0","83","219","292","21","17","9","1","4","3","2","0","1","0","0","0","0","0","0","0","3","3","4","0","2","1","1","1","0","0","0","0","0","2","0","0","0","6","4","10","4","6","23","1","14","8","10","12","12","45","0","2","18","13","25","20","38","0","4","13","17","26","25","47","1","6","7","6","8","4","6","0","1","7","11","6","5","15","0","0","3","1","4","4","0","0","3","2","1","0","3","4","95","25","17","5","1","2","2","0","8","152","45","24","11","4","3","1","0","8","46","14","5","11","4","0","1","1","1","18","5","1","1","0","0","0","0","0"
"s25","voters","1801","392","87","213","28","1","3","2","0","3","0","55","215","177","4","5","7","1","4","23","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2","2","8","34","0","1","3","4","5","10","17","0","1","5","7","11","30","57","0","2","3","10","9","24","54","0","1","2","4","5","5","16","1","3","3","2","5","7","1","0","0","2","4","1","5","12","0","0","0","2","0","5","6","44","16","15","2","2","0","2","0","6","130","35","16","4","8","2","5","2","11","27","6","9","4","5","0","0","0","4","25","3","5","0","2","0","1","0","1"
"s25","voters","1802","208","45","113","11","0","1","5","0","1","0","32","103","105","4","4","2","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","4","10","0","2","4","1","0","1","19","0","1","2","5","5","17","29","0","0","3","4","6","16","25","0","1","2","3","2","2","7","0","1","1","3","3","2","5","0","1","1","2","2","1","2","0","1","1","2","1","3","1","24","4","8","0","2","0","0","1","6","47","16","22","4","12","4","1","0","7","18","6","3","0","2","0","1","0","2","12","4","2","0","0","0","0","0","0"
"s25","voters","1803","1453","370","802","86","2","4","11","0","1","0","177","704","749","42","52","11","4","10","29","5","1","0","0","0","0","0","2","0","0","0","3","1","0","2","2","0","0","0","0","0","0","2","0","5","0","0","5","8","10","15","21","106","0","4","14","21","14","43","109","1","15","25","34","49","80","192","0","13","22","36","44","79","212","3","6","13","15","6","15","36","2","3","9","9","15","16","29","0","3","4","5","4","13","20","1","2","2","6","7","11","26","214","64","40","16","12","2","1","0","21","432","124","90","39","14","5","9","7","82","99","25","21","15","4","0","1","2","10","65","24","9","3","1","1","0","1","0"
"s25","voters","1804","371","66","226","21","0","4","7","0","2","0","45","164","207","2","7","5","3","0","7","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","1","0","2","1","3","16","0","1","2","2","1","8","29","0","7","4","14","9","14","53","0","5","7","22","7","29","55","0","1","1","3","2","2","10","1","1","2","4","4","8","6","0","3","2","0","6","3","7","0","0","3","1","3","3","3","31","10","8","1","0","1","1","0","14","121","35","31","2","8","2","0","0","27","18","4","7","3","2","0","0","0","11","26","5","2","0","1","0","0","0","0"
"s25","voters","1805","868","152","538","34","3","5","10","0","3","0","123","419","449","19","28","11","3","1","16","4","2","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","2","2","1","1","0","0","3","4","8","7","8","35","0","7","8","9","10","16","37","3","16","21","53","42","48","86","3","15","19","45","43","48","96","0","6","5","9","13","6","18","1","6","8","14","9","11","17","0","2","3","2","6","3","12","0","5","2","7","5","6","2","75","22","24","9","5","0","0","0","17","301","76","61","14","11","3","4","6","62","71","12","14","5","5","1","2","0","13","30","11","7","5","0","1","0","0","1"
"s25","voters","1806","1343","266","822","93","0","11","13","0","1","1","136","632","711","22","34","9","12","7","14","1","9","1","0","0","0","3","2","0","1","0","5","2","2","0","0","1","0","0","2","0","0","2","3","0","0","0","3","4","6","13","11","58","1","3","3","14","16","17","117","2","11","33","52","45","82","187","1","11","28","44","58","82","186","0","2","2","6","13","11","35","0","5","2","10","10","12","28","0","3","6","7","7","9","24","0","2","6","5","2","17","31","151","40","25","8","8","1","3","4","26","411","146","107","30","34","2","15","6","71","68","18","15","11","3","4","6","0","11","84","15","9","4","2","0","1","0","4"
"s25","voters","1807","777","192","428","49","4","5","5","0","1","0","93","356","421","23","26","14","6","6","10","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","1","4","7","8","15","37","1","2","6","9","11","25","66","1","6","15","27","22","46","86","2","10","14","30","31","33","105","1","5","4","7","9","6","20","1","4","6","4","5","4","17","0","1","3","5","3","4","13","0","3","4","8","6","6","8","102","34","22","3","2","1","1","0","27","240","62","44","17","16","4","4","2","39","50","11","14","7","1","0","0","0","10","43","10","6","2","0","0","1","1","1"
"s25","voters","1808","667","164","356","48","4","2","7","0","2","0","84","316","351","32","34","10","4","6","13","0","1","0","0","0","0","0","0","0","1","4","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","3","3","5","8","12","11","24","1","11","5","13","11","16","41","3","6","17","34","27","30","60","0","13","12","24","24","32","74","1","3","6","9","4","3","18","1","2","5","10","6","8","8","0","2","3","6","3","8","7","0","3","6","2","6","4","13","89","30","16","10","2","1","2","0","14","189","52","58","7","11","4","6","4","25","45","10","10","5","2","1","1","0","10","46","11","1","1","2","0","0","0","2"
"s25","voters","1809","742","144","440","39","2","5","11","0","1","0","100","354","388","30","41","17","6","0","15","2","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","1","2","0","0","0","0","1","6","7","10","36","1","7","5","9","8","12","42","1","7","20","26","34","45","89","1","10","19","19","32","50","87","1","5","4","5","4","9","19","1","6","7","1","11","7","20","0","0","3","3","1","5","13","0","8","3","1","3","9","9","77","26","12","4","3","0","0","1","21","250","65","46","16","18","3","7","2","33","49","13","12","10","2","0","2","0","12","40","5","3","3","1","3","0","0","3"
"s25","voters","1810","705","150","410","34","0","5","10","0","2","0","94","361","344","27","22","17","6","0","9","1","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","4","3","2","18","37","0","8","4","10","8","13","41","1","19","19","28","31","47","78","0","8","15","14","32","47","71","0","7","4","4","9","12","12","2","1","6","7","10","10","10","0","6","2","1","4","4","7","0","1","4","0","5","10","7","83","23","15","5","5","2","1","1","15","215","49","66","18","12","2","3","2","43","51","5","15","7","6","4","4","0","2","28","12","3","1","2","0","0","1","4"
"s25","voters","1811","462","112","267","19","1","3","7","0","2","0","51","233","229","13","16","9","5","5","16","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","1","12","32","1","1","2","5","5","16","35","0","7","7","16","11","30","73","0","3","7","11","13","26","63","0","1","3","5","5","8","7","0","4","0","2","5","1","10","0","2","0","0","2","4","5","0","0","2","1","2","6","8","65","13","13","1","3","0","0","1","16","146","33","37","11","9","1","3","4","23","23","9","7","4","2","2","0","1","3","22","4","3","1","0","0","1","0","1"
"s25","voters","1812","406","91","230","22","0","4","6","0","1","1","51","192","214","6","8","5","1","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","2","0","0","2","0","0","5","4","10","19","1","3","3","6","5","11","22","0","4","7","8","16","19","54","2","2","8","15","10","29","56","0","1","2","5","2","4","13","1","1","4","4","0","6","8","0","1","3","3","1","2","7","0","0","6","0","2","5","4","44","16","13","3","0","1","1","2","11","125","20","38","9","9","0","3","4","22","25","5","11","3","1","0","1","1","4","20","5","2","4","2","0","0","0","1"
