"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"5","110","8","5","4","1","1162","0","0","0","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","458","213"
"5","140","8","5","4","1","1364","0","0","0","0","0","0","0","0","0","790","0","0","0","0","0","0","0","0","0","0","0","572","217"
"5","150","8","5","4","1","1109","0","0","0","0","0","0","0","0","0","707","0","0","0","0","0","0","0","0","0","0","0","479","228"
"5","160","9","5","4","1","751","0","0","0","0","0","0","0","0","0","466","0","0","0","0","0","0","0","0","0","0","0","362","104"
"5","170","9","5","4","1","1900","0","0","0","0","0","0","0","0","0","1219","0","0","0","0","0","0","0","0","0","0","0","934","285"
"5","210","8","5","4","1","1739","0","0","0","0","0","0","0","0","0","1098","0","0","0","0","0","0","0","0","0","0","0","718","377"
"5","220","8","5","4","1","1548","0","0","0","0","0","0","0","0","0","973","0","0","0","0","0","0","0","0","0","0","0","584","389"
"5","240","8","5","4","1","1628","0","0","0","0","0","0","0","0","0","1042","0","0","0","0","0","0","0","0","0","0","0","684","357"
"5","260","8","5","4","1","1709","0","0","0","0","0","0","0","0","0","1095","0","0","0","0","0","0","0","0","0","0","0","725","369"
"5","310","8","5","4","1","1633","0","0","0","0","0","0","0","0","0","1079","0","0","0","0","0","0","0","0","0","0","0","561","518"
"5","320","8","5","4","1","1082","0","0","0","0","0","0","0","0","0","762","0","0","0","0","0","0","0","0","0","0","0","369","393"
"5","350","8","5","4","1","1299","0","0","0","0","0","0","0","0","0","912","0","0","0","0","0","0","0","0","0","0","0","451","461"
"5","360","8","5","4","1","1705","0","0","0","0","0","0","0","0","0","1098","0","0","0","0","0","0","0","0","0","0","0","533","565"
"5","370","8","5","4","1","1041","0","0","0","0","0","0","0","0","0","698","0","0","0","0","0","0","0","0","0","0","0","378","319"
"5","410","8","5","4","1","1023","0","0","0","0","0","0","0","0","0","645","0","0","0","0","0","0","0","0","0","0","0","474","171"
"5","420","8","5","4","1","1146","0","0","0","0","0","0","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","409","211"
"5","430","8","5","4","1","1453","0","0","0","0","0","0","0","0","0","979","0","0","0","0","0","0","0","0","0","0","0","594","384"
"5","440","8","5","4","1","761","0","0","0","0","0","0","0","0","0","499","0","0","0","0","0","0","0","0","0","0","0","366","133"
"5","450","9","5","4","1","2809","0","0","0","0","0","0","0","0","0","1788","0","0","0","0","0","0","0","0","0","0","0","1221","567"
"5","510","8","5","4","1","274","0","0","0","0","0","0","0","0","0","161","0","0","0","0","0","0","0","0","0","0","0","130","31"
"5","515","8","5","4","1","413","0","0","0","0","0","0","0","0","0","243","0","0","0","0","0","0","0","0","0","0","0","179","63"
"5","520","8","5","4","1","342","0","0","0","0","0","0","0","0","0","232","0","0","0","0","0","0","0","0","0","0","0","182","50"
"5","530","9","5","4","1","891","0","0","0","0","0","0","0","0","0","558","0","0","0","0","0","0","0","0","0","0","0","470","88"
"5","550","9","5","4","1","2041","0","0","0","0","0","0","0","0","0","1229","0","0","0","0","0","0","0","0","0","0","0","910","319"
"5","560","9","5","4","1","2624","0","0","0","0","0","0","0","0","0","1553","0","0","0","0","0","0","0","0","0","0","0","1142","411"
"5","CNTYTOT","206","125","100","25","33447","0","0","0","0","0","0","0","0","0","21118","0","0","0","0","0","0","0","0","0","0","0","13885","7223"
