"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","110","651","157","353","38","4","8","12","0","3","0","76","304","347","18","33","9","4","4","15","2","3","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","1","0","3","2","7","12","10","25","1","6","4","3","7","16","61","1","11","17","24","22","36","70","4","6","21","18","27","32","64","0","4","4","6","9","6","14","0","2","2","2","8","6","13","1","3","2","5","3","2","5","0","1","1","8","4","13","17","86","25","16","5","2","1","1","0","21","190","51","47","18","7","5","3","2","30","39","13","10","3","1","0","0","1","9","39","11","7","3","3","1","1","0","0"
"s25","voters","140","792","175","440","49","1","8","19","0","2","0","98","376","416","39","40","8","12","6","12","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","5","3","1","0","4","5","7","7","11","30","0","9","8","8","9","16","61","1","15","16","36","43","52","64","2","9","12","31","41","47","71","1","2","6","8","12","9","10","1","6","5","10","8","12","8","0","5","3","4","6","9","10","0","5","5","7","5","12","8","94","32","20","11","2","1","2","1","12","278","68","40","8","17","1","4","4","20","50","21","8","4","5","1","1","4","4","56","13","4","1","1","1","0","2","1"
"s25","voters","150","704","170","385","42","0","8","12","0","0","0","87","329","375","17","51","9","6","5","16","5","1","0","0","0","0","0","0","0","1","0","2","1","0","1","2","0","0","0","0","0","0","2","5","1","0","0","2","4","3","2","13","41","0","3","3","8","5","23","63","0","6","18","19","29","48","71","0","8","10","26","34","42","74","1","2","3","10","4","9","16","0","5","9","6","4","6","12","0","0","0","3","3","9","13","0","0","2","3","3","10","16","92","33","27","7","3","0","0","1","7","225","73","39","14","8","1","6","1","18","54","10","8","10","2","0","0","0","3","29","15","8","3","1","4","0","0","2"
"s25","voters","160","465","77","292","28","0","4","6","0","2","0","56","236","229","12","11","6","5","3","15","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","1","1","1","5","26","0","1","3","2","5","8","24","3","7","11","11","23","34","62","1","3","11","12","25","31","58","0","1","5","3","4","6","9","1","0","4","2","4","5","12","0","0","2","6","2","5","8","0","1","3","2","2","5","4","41","12","7","3","1","2","0","0","11","152","43","46","17","15","4","1","1","13","39","4","5","4","2","0","0","0","2","25","9","2","1","0","1","0","0","2"
"s25","voters","170","1217","230","772","66","1","9","13","0","1","0","125","593","624","50","68","17","10","5","20","3","5","0","0","0","0","0","0","0","0","2","1","0","1","1","2","0","2","0","0","1","0","1","5","0","0","1","1","4","4","7","20","61","0","4","8","7","13","24","76","1","20","30","52","60","103","129","3","19","28","34","50","102","141","0","4","3","11","9","12","14","1","6","4","12","14","14","21","0","0","2","6","8","12","19","0","4","8","3","6","10","12","122","35","22","10","6","5","2","0","28","417","118","99","29","22","7","13","5","62","64","18","10","8","10","3","4","0","8","52","18","9","2","0","1","2","1","5"
"s25","voters","210","1103","299","573","55","2","11","18","0","5","0","140","519","584","16","27","6","5","12","11","0","6","0","0","0","0","2","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","3","0","2","0","0","2","9","8","11","18","75","0","3","6","8","14","28","117","0","11","21","20","24","54","149","1","6","19","22","38","63","145","0","3","4","7","7","13","33","1","5","7","10","8","15","27","0","4","3","6","10","11","16","0","2","1","6","2","13","17","152","56","23","10","7","4","4","1","42","298","93","68","16","23","7","4","7","57","74","22","11","7","8","0","0","3","15","48","18","12","2","3","1","1","1","5"
"s25","voters","220","971","288","435","71","1","12","11","0","5","0","148","485","486","19","24","8","9","10","10","4","3","0","1","0","0","3","1","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","6","0","0","2","6","4","13","12","15","68","1","6","8","11","19","30","93","1","7","9","29","24","48","117","0","5","8","17","24","52","94","1","8","5","11","10","15","31","0","4","2","14","11","14","22","0","3","3","6","4","13","20","0","2","2","9","7","7","24","135","47","42","13","11","2","2","1","35","250","62","44","11","15","1","8","6","38","83","26","14","13","0","1","3","0","8","63","14","13","4","3","1","1","0","1"
"s25","voters","240","1038","275","505","73","3","15","20","0","8","0","139","510","528","22","35","12","12","21","9","8","2","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","1","0","0","0","1","0","4","3","1","0","2","6","11","9","16","80","0","3","6","11","13","27","91","1","8","10","16","27","63","129","0","7","16","21","28","59","120","0","1","9","8","7","15","39","0","4","4","5","12","9","26","0","0","5","2","8","16","22","0","2","5","12","12","18","17","132","49","34","13","12","4","2","3","26","253","86","65","21","22","3","3","4","48","57","22","21","8","4","2","4","5","16","63","23","15","1","5","1","3","3","5"
"s25","voters","260","1093","305","574","49","0","15","18","0","7","0","125","517","576","26","28","8","1","16","29","5","2","0","1","0","0","1","1","0","0","1","0","0","0","0","1","0","0","2","0","1","0","0","2","2","0","1","8","5","8","11","20","72","0","3","6","14","15","26","116","1","7","19","23","39","65","127","0","5","26","33","33","65","131","0","2","5","8","14","12","25","0","1","7","9","6","13","23","0","0","2","2","11","6","24","0","4","4","5","2","10","19","144","47","48","18","11","1","4","2","30","281","89","88","22","14","10","4","6","60","57","18","19","7","4","2","3","0","15","51","11","10","4","6","0","1","3","3"
"s25","voters","310","1076","412","443","67","3","10","11","0","2","0","128","531","545","12","20","6","9","14","25","6","3","0","0","0","0","1","0","1","0","2","2","1","0","0","0","0","1","2","0","0","0","2","0","0","0","0","1","6","14","13","28","103","0","6","13","19","20","44","145","0","6","7","26","22","54","120","0","5","10","19","20","55","99","0","0","6","9","7","11","47","0","3","5","4","3","10","23","0","1","1","4","12","11","22","0","2","3","6","3","12","16","220","73","61","12","12","6","5","1","22","241","60","46","20","18","2","2","4","50","68","18","13","9","2","3","1","2","12","56","18","11","3","2","0","0","1","2"
