"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","105","566","178","280","19","1","0","10","0","1","0","77","263","303","107","28","28","9","1","15","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","1","2","0","0","0","0","0","0","0","1","0","4","2","7","10","11","28","2","11","13","9","16","25","40","1","11","11","20","20","32","49","1","7","8","19","20","24","57","0","8","4","5","5","3","14","1","2","11","6","8","2","8","0","3","2","5","0","1","7","1","1","2","1","1","4","3","87","15","25","9","6","0","7","1","28","123","46","42","11","4","2","5","4","43","39","8","8","2","5","0","3","0","12","16","9","4","0","2","0","0","0","0"
"s25","voters","106","616","217","289","21","1","1","8","0","3","0","76","281","335","147","56","42","9","6","6","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","2","10","9","13","15","8","29","2","21","22","21","19","17","29","0","12","12","32","21","32","40","0","11","10","30","26","28","35","1","4","7","10","6","2","2","2","4","13","12","3","4","6","0","1","2","3","4","3","1","0","3","3","8","2","2","2","112","32","25","9","3","2","3","0","31","147","37","36","15","11","1","4","3","35","41","10","8","9","1","1","3","0","3","18","6","4","4","1","0","0","0","1"
"s25","voters","202","82","12","55","5","0","0","1","0","0","0","9","40","42","4","11","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","0","0","1","2","0","1","3","0","3","1","3","3","7","9","0","1","4","4","7","2","11","0","0","2","1","3","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","3","0","1","3","2","3","1","1","0","0","0","2","36","3","6","2","0","0","1","0","7","3","1","0","1","1","0","1","1","1","3","2","1","0","0","0","0","0","0"
"s25","voters","203","168","41","100","6","0","0","3","0","0","0","18","72","96","20","5","3","0","0","5","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","4","3","0","6","3","4","2","5","8","0","3","3","5","7","10","18","0","3","4","8","6","7","26","0","0","2","3","0","1","0","0","2","0","4","2","2","2","0","1","0","2","2","0","2","0","0","0","1","0","1","0","21","7","4","1","1","0","0","0","7","48","11","15","2","4","0","1","2","17","10","2","5","0","0","0","0","1","0","6","0","1","1","0","0","0","0","1"
"s25","voters","213","535","174","250","25","2","2","8","0","4","0","70","246","289","91","44","27","15","2","4","3","1","0","1","0","0","0","0","0","0","0","1","0","0","4","2","1","0","0","0","0","0","1","1","0","0","1","4","8","9","8","8","28","0","11","15","13","17","11","41","1","2","13","19","15","26","46","0","4","7","21","17","25","54","0","4","5","6","3","6","11","0","8","3","8","3","5","8","0","4","4","1","4","3","7","0","3","4","1","2","3","5","76","18","28","8","9","2","4","0","29","123","36","28","8","9","0","3","1","42","34","11","5","6","1","3","0","0","10","25","7","5","0","0","2","1","0","1"
"s25","voters","214","572","134","333","36","1","0","3","0","1","0","64","264","308","36","43","15","5","4","20","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","3","4","2","0","0","6","5","5","3","5","22","1","8","12","8","8","15","36","0","9","12","27","17","25","72","2","11","14","29","21","33","61","1","4","4","9","4","8","7","0","1","2","4","3","12","5","0","0","1","3","5","3","7","1","2","2","1","2","5","9","76","27","11","3","3","0","1","0","13","172","58","49","12","6","2","4","3","27","33","10","5","6","2","1","0","1","6","32","6","1","0","1","1","0","0","0"
"s25","voters","301","197","33","139","7","0","0","0","0","0","0","18","96","101","6","7","2","1","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","1","2","0","2","5","1","5","2","2","3","2","8","1","5","8","9","13","13","24","0","4","3","6","16","14","23","0","1","2","3","0","1","2","0","2","0","0","1","3","3","0","0","1","0","1","0","2","0","1","0","0","0","2","0","19","2","8","0","0","0","0","0","4","65","19","15","7","1","1","2","1","28","6","4","2","3","0","0","0","0","3","4","2","0","0","0","0","0","0","1"
"s25","voters","323","260","112","92","5","1","0","4","0","0","0","46","107","153","63","11","23","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","7","7","4","9","15","0","12","15","10","4","14","14","0","0","3","6","5","10","18","0","3","6","7","2","7","25","1","0","2","2","2","5","7","2","5","4","3","4","4","5","0","0","1","1","0","1","0","0","1","0","4","1","0","1","57","19","14","6","4","2","1","0","9","35","18","14","2","2","0","1","0","20","19","4","11","5","2","0","1","0","4","4","1","3","1","1","0","0","0","0"
"s25","voters","324","419","187","124","17","1","1","3","0","2","0","84","174","245","90","40","41","8","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","3","6","0","1","0","0","0","2","1","1","0","0","6","9","10","2","10","21","1","21","25","15","22","14","31","1","9","11","9","11","11","14","1","1","8","8","12","14","14","2","5","5","9","4","6","8","1","9","13","7","4","4","7","1","1","3","2","2","1","1","0","2","3","2","3","1","2","105","30","26","5","4","1","3","0","13","79","10","17","4","3","1","1","2","7","43","14","12","3","6","2","0","0","4","15","6","3","0","0","0","0","0","0"
"s25","voters","401","475","81","317","15","2","0","1","0","0","0","59","229","246","32","24","19","3","2","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","6","1","0","0","0","0","0","1","6","1","1","0","2","4","2","4","9","16","0","5","4","5","4","8","18","2","4","18","24","20","30","62","1","11","20","18","24","25","58","0","4","5","1","10","2","4","0","6","7","3","9","2","6","0","0","3","0","2","0","1","0","1","3","0","2","0","6","39","10","9","1","2","1","0","0","19","142","43","54","15","6","6","8","7","36","33","8","6","5","2","1","2","0","2","13","1","1","0","2","0","1","0","0"
"s25","voters","405","89","13","67","2","0","0","0","0","0","0","7","36","53","1","1","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","1","1","5","0","0","1","2","1","6","16","0","1","0","1","2","11","26","0","0","0","0","1","1","1","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0","4","1","1","0","1","0","0","0","6","31","8","14","4","3","0","1","0","6","5","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"s25","voters","406","120","23","64","9","0","0","1","0","2","0","21","66","54","1","3","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","4","3","0","0","0","0","0","3","9","0","1","1","3","1","11","20","1","0","1","2","3","8","12","0","0","0","0","2","3","6","0","0","1","0","1","2","6","0","0","0","0","1","4","2","0","0","0","1","0","2","2","12","5","3","1","0","1","0","0","1","32","11","11","3","1","0","0","2","4","11","1","4","0","2","1","0","0","2","5","4","2","0","1","0","0","0","0"
"s25","voters","407","52","9","31","3","0","0","0","0","0","0","9","34","18","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","1","4","0","2","2","3","0","3","11","0","0","1","0","2","3","4","0","2","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","6","0","2","0","0","0","0","0","1","21","3","2","0","1","0","0","0","4","4","1","2","0","0","1","0","0","1","2","1","0","0","0","0","0","0","0"
"s25","voters","408","105","25","68","1","0","0","2","0","0","0","9","49","56","5","3","5","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","7","1","0","0","0","3","2","8","0","2","2","7","3","4","17","0","2","4","2","2","8","15","0","0","1","0","0","0","0","0","0","1","1","2","3","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","11","3","4","1","1","0","0","0","5","34","5","11","3","3","0","2","0","10","5","0","0","1","2","0","0","1","0","2","0","0","0","0","1","0","0","0"
"s25","voters","427","214","126","38","3","0","0","1","0","1","0","45","95","119","92","16","33","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","10","7","4","13","15","1","12","13","10","9","13","16","1","3","2","4","3","4","6","0","1","1","2","3","2","6","0","1","5","4","1","0","7","0","3","9","6","1","4","4","0","0","2","0","0","0","0","1","1","0","0","0","1","0","63","18","14","4","6","0","2","0","19","18","7","3","0","2","2","1","0","5","22","1","4","4","7","0","3","0","4","3","1","0","0","0","0","0","0","1"
"s25","voters","500","467","100","291","25","0","1","2","0","1","0","47","221","246","28","37","12","4","3","11","2","2","0","0","0","0","1","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","1","0","0","0","1","2","2","6","7","24","0","4","3","5","6","7","33","0","7","16","17","13","32","57","0","14","6","22","19","34","54","0","3","0","6","4","3","8","0","2","6","3","4","6","2","0","2","0","0","2","2","7","0","1","3","3","1","2","6","54","12","9","2","8","1","0","1","13","154","40","43","12","8","2","3","4","25","20","8","7","8","0","1","1","0","2","18","5","3","0","0","0","0","0","3"
"s25","voters","505","122","21","88","5","0","0","0","0","0","0","8","61","61","6","4","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","5","0","1","0","2","0","4","6","0","2","3","6","4","12","20","0","2","2","7","4","8","18","0","0","1","0","1","2","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","3","1","10","1","1","1","1","2","0","0","5","37","10","13","4","1","2","1","1","19","3","1","1","0","1","1","0","1","0","4","0","1","0","0","0","0","0","0"
"s25","voters","512","345","126","135","16","1","0","1","0","1","0","65","151","194","53","25","20","6","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","5","6","3","5","5","19","1","10","12","6","8","15","31","1","1","7","6","7","19","29","0","4","5","11","7","13","25","2","2","5","3","3","4","10","0","5","8","3","7","5","8","0","1","1","1","2","1","3","0","2","1","1","2","0","4","73","14","13","3","6","1","1","0","15","69","28","15","5","2","1","1","0","14","40","6","7","1","1","1","2","1","6","12","4","0","1","0","0","0","0","2"
"s25","voters","513","344","73","214","13","0","2","8","0","1","0","33","164","180","15","24","6","4","4","12","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","2","3","5","14","0","4","2","6","7","7","20","0","5","5","9","17","23","46","2","3","6","9","15","23","51","1","4","3","4","0","1","7","0","0","1","2","2","1","7","0","3","2","3","1","2","1","0","0","0","7","2","0","3","30","11","13","2","1","2","0","1","13","115","32","20","6","1","2","1","1","36","10","9","5","4","0","0","0","0","5","14","4","3","3","0","0","0","0","0"
