"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","ALHA101","45","25","10","0","0","0","0","0","1","0","9","19","26","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","2","1","4","0","1","0","1","2","3","9","0","0","0","0","1","0","3","0","1","0","0","1","3","1","0","1","0","2","0","1","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","14","4","1","2","1","0","0","0","3","4","2","3","1","0","0","0","0","0","3","0","2","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","ALHA102","12","7","4","0","0","0","0","0","0","0","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","2","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","ALHA103","8","4","2","0","0","0","0","0","0","0","2","4","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","ALHA104","51","28","10","3","0","1","0","0","0","0","9","27","24","2","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","3","5","0","0","0","3","2","4","7","0","0","1","1","2","0","1","0","0","1","1","1","1","1","0","0","1","0","1","2","2","0","0","1","0","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","12","3","5","3","0","0","0","1","4","5","2","3","0","0","0","0","0","0","4","1","4","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0"
"s25","voters","ALHA105","109","61","29","1","0","0","2","0","2","0","14","46","63","0","2","2","0","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","2","13","1","0","5","3","4","3","23","1","1","1","2","1","2","5","0","0","0","3","0","3","10","0","1","2","2","0","3","1","0","0","2","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","3","30","9","8","2","3","0","0","0","9","14","1","6","0","0","1","0","0","7","6","4","2","1","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"s25","voters","ALHA106","203","93","73","7","0","0","1","0","2","0","27","102","101","9","7","2","0","2","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","3","4","4","12","18","0","1","4","6","8","11","19","1","4","2","4","5","3","17","2","1","3","0","4","9","18","0","2","3","0","2","5","5","0","2","2","1","0","2","3","0","0","0","1","0","3","1","0","0","0","3","0","1","1","48","9","14","3","3","1","3","0","12","42","12","6","1","1","0","0","1","10","13","4","4","4","0","0","0","0","2","5","3","0","0","1","0","0","0","1"
"s25","voters","ALHA107","28","18","6","2","0","0","0","0","0","0","2","13","15","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","1","1","0","0","1","1","3","5","1","0","0","0","1","0","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","7","6","3","0","0","0","1","0","1","4","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"s25","voters","ALHA108","42","17","17","2","0","0","1","0","0","0","5","21","21","2","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","2","1","2","1","7","0","1","2","1","1","2","5","0","0","0","1","0","1","3","0","0","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","11","1","2","1","0","0","0","0","2","11","2","2","0","1","0","0","0","1","2","2","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"s25","voters","ALHA109","30","16","8","2","0","0","0","0","0","0","4","16","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","0","1","0","2","1","4","2","0","0","0","0","0","3","3","0","0","0","1","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","8","2","2","1","0","0","0","0","3","5","2","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0"
"s25","voters","ALHA110","26","6","12","2","0","0","0","0","0","0","6","13","13","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","2","0","3","0","0","1","3","0","0","1","0","0","1","3","0","0","1","0","0","0","2","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","1","0","0","0","0","0","1","0","7","1","0","1","1","0","0","0","2","0","1","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
