"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","01","420","167","171","17","1","0","2","0","2","0","60","187","233","16","12","4","0","9","7","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","0","3","8","11","6","11","21","1","6","10","10","14","22","44","0","2","7","18","13","19","28","0","3","6","12","15","22","26","1","1","3","8","3","8","9","1","3","1","4","4","8","6","0","2","0","2","1","0","2","0","1","1","2","1","5","5","94","24","25","5","6","1","1","1","10","89","28","23","6","5","3","3","1","13","31","9","9","2","3","1","0","0","5","9","5","5","0","1","0","1","1","0"
"s25","voters","02","353","117","147","19","2","1","5","0","3","0","59","156","197","10","6","9","1","4","5","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","2","5","2","20","1","5","10","12","9","11","30","1","4","2","10","10","14","27","0","2","7","10","12","13","35","0","4","3","10","5","5","9","0","3","1","7","3","6","3","1","0","0","1","2","3","6","0","3","0","3","0","5","6","63","25","9","3","4","4","1","0","8","89","18","15","4","8","1","3","2","7","38","9","3","3","0","0","2","1","3","20","6","1","0","0","1","0","0","2"
"s25","voters","03","331","112","138","20","2","0","4","0","1","0","54","132","199","17","6","8","0","5","9","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","3","9","2","2","10","12","0","5","10","5","12","13","29","0","1","2","4","6","15","31","0","0","7","4","9","20","39","1","2","3","1","2","7","8","1","3","8","3","2","4","9","0","1","1","1","1","2","5","0","1","1","2","1","5","6","61","12","21","8","4","0","1","0","5","82","18","17","4","9","2","3","1","2","36","6","7","2","2","1","0","0","0","15","4","4","1","2","1","0","0","0"
"s25","voters","04","235","96","90","13","2","3","0","0","0","0","31","105","130","9","5","3","1","2","6","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","3","2","4","4","6","20","0","3","8","5","5","14","22","0","1","7","5","8","5","11","1","3","3","9","7","11","19","1","0","4","2","6","3","3","0","0","1","2","2","2","5","1","0","0","1","4","1","3","0","1","1","1","3","0","2","56","18","10","6","1","1","1","0","3","53","12","16","1","1","1","1","1","4","18","4","3","0","3","1","0","0","2","9","5","3","0","0","0","1","0","0"
"s25","voters","05","257","117","84","10","2","0","3","0","5","0","36","120","137","17","5","3","0","3","4","1","0","0","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","4","1","2","3","5","25","0","1","9","10","9","11","37","0","0","1","5","5","12","21","0","1","2","5","2","13","17","1","0","3","3","5","4","6","0","1","1","4","2","3","3","0","1","2","1","1","2","7","0","0","1","0","0","2","3","64","16","14","6","9","1","0","1","6","41","14","12","8","3","0","2","1","3","18","7","3","4","1","0","0","0","3","12","3","3","0","0","0","1","0","1"
"s25","voters","06","271","105","100","16","1","1","4","0","1","0","43","122","149","16","3","4","2","4","2","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","4","7","4","8","18","0","2","6","7","6","8","35","0","0","1","7","6","8","25","1","1","2","4","6","13","26","0","0","2","4","1","1","13","0","1","3","4","3","3","8","0","0","3","4","1","3","2","0","0","2","2","2","2","2","51","22","9","3","7","0","2","1","10","47","13","17","6","2","1","1","1","12","26","7","1","1","0","2","2","1","3","16","3","1","0","1","0","0","0","2"
"s25","voters","07","510","174","233","23","1","2","2","0","0","1","74","231","279","15","20","6","1","2","7","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","2","1","0","1","4","3","7","4","11","36","0","3","12","9","10","17","57","1","8","8","15","14","21","40","0","4","8","15","15","34","50","0","1","5","9","5","4","18","0","4","3","5","3","5","12","0","5","2","2","0","3","4","0","1","1","1","2","2","6","101","32","17","5","0","1","2","2","14","108","37","33","6","10","3","4","2","30","43","16","8","1","1","2","1","0","2","18","6","3","0","0","0","0","0","2"
"s25","voters","08","312","117","129","21","1","1","4","0","1","0","38","151","161","5","12","3","1","2","1","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","1","0","0","1","0","0","2","0","0","0","1","2","3","7","11","28","0","2","1","3","1","15","43","0","3","2","1","5","15","36","0","1","1","3","4","18","40","0","2","0","2","1","7","13","0","0","1","0","2","1","9","0","0","2","2","1","4","3","0","1","0","1","3","2","9","57","20","17","3","4","3","0","2","11","60","18","23","7","4","1","0","2","14","18","6","3","2","3","0","1","0","5","16","6","6","0","0","0","0","0","0"
"s25","voters","09","309","76","176","11","2","0","6","0","3","0","35","145","164","10","14","5","6","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","2","4","16","0","2","4","6","6","4","27","2","4","7","14","12","20","29","0","2","5","13","12","19","37","0","1","1","3","3","3","7","0","1","0","4","4","3","5","0","2","2","1","1","2","4","0","0","0","2","1","2","5","40","12","8","2","3","0","1","0","10","94","20","21","7","12","1","1","2","18","18","6","6","0","2","0","0","0","3","11","5","1","1","2","1","0","0","1"
"s25","voters","10","538","201","240","30","1","0","4","0","1","0","61","273","265","20","13","4","2","11","13","5","0","0","0","0","0","0","0","1","0","3","1","0","0","0","0","0","0","0","2","0","0","1","7","1","0","2","1","2","5","6","13","58","0","2","3","15","9","14","71","3","5","5","8","18","31","56","1","3","5","7","18","23","57","0","2","5","1","5","10","16","0","2","1","4","6","3","6","0","1","0","3","3","3","11","1","1","1","1","1","2","8","105","33","16","11","6","1","3","1","25","135","37","25","9","7","1","3","1","22","31","12","5","4","1","0","1","1","6","20","8","3","2","0","1","1","0","1"
