"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"9","101-01","5","5","4","1","28","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","18","2"
"9","102-01","5","5","4","1","885","0","0","0","0","0","0","0","0","0","573","0","0","0","0","0","0","0","0","0","0","0","352","221"
"9","103-02","5","5","4","1","1606","0","0","0","0","0","0","0","0","0","1105","0","0","0","0","0","0","0","0","0","0","0","623","479"
"9","104-02","5","5","4","1","1668","0","0","0","0","0","0","0","0","0","1102","0","0","0","0","0","0","0","0","0","0","0","642","458"
"9","105-02","5","5","4","1","1011","0","0","0","0","0","0","0","0","0","719","0","0","0","0","0","0","0","0","0","0","0","398","320"
"9","106-02","5","5","4","1","1326","0","0","0","0","0","0","0","0","0","882","0","0","0","0","0","0","0","0","0","0","0","506","372"
"9","107-02","5","5","4","1","1607","0","0","0","0","0","0","0","0","0","1005","0","0","0","0","0","0","0","0","0","0","0","536","463"
"9","108-02","5","5","4","1","1421","0","0","0","0","0","0","0","0","0","1049","0","0","0","0","0","0","0","0","0","0","0","601","447"
"9","109-02","5","5","4","1","1441","0","0","0","0","0","0","0","0","0","999","0","0","0","0","0","0","0","0","0","0","0","569","428"
"9","110-02","5","5","4","1","1366","0","0","0","0","0","0","0","0","0","955","0","0","0","0","0","0","0","0","0","0","0","557","398"
"9","111-02","5","5","4","1","1327","0","0","0","0","0","0","0","0","0","854","0","0","0","0","0","0","0","0","0","0","0","452","400"
"9","112-02","5","5","4","1","2059","0","0","0","0","0","0","0","0","0","1431","0","0","0","0","0","0","0","0","0","0","0","890","541"
"9","113-02","5","5","4","1","2128","0","0","0","0","0","0","0","0","0","1379","0","0","0","0","0","0","0","0","0","0","0","764","612"
"9","114-02","5","5","4","1","1744","0","0","0","0","0","0","0","0","0","1107","0","0","0","0","0","0","0","0","0","0","0","591","515"
"9","115-02","5","5","4","1","1123","0","0","0","0","0","0","0","0","0","782","0","0","0","0","0","0","0","0","0","0","0","491","290"
"9","116-02","5","5","4","1","1771","0","0","0","0","0","0","0","0","0","1103","0","0","0","0","0","0","0","0","0","0","0","570","528"
"9","117-02","5","5","4","1","1947","0","0","0","0","0","0","0","0","0","1312","0","0","0","0","0","0","0","0","0","0","0","790","519"
"9","118-02","5","5","4","1","1564","0","0","0","0","0","0","0","0","0","1038","0","0","0","0","0","0","0","0","0","0","0","602","432"
"9","119-02","5","5","4","1","1632","0","0","0","0","0","0","0","0","0","1012","0","0","0","0","0","0","0","0","0","0","0","552","459"
"9","120-02","5","5","4","1","1066","0","0","0","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","339","329"
"9","121-02","5","5","4","1","1191","0","0","0","0","0","0","0","0","0","811","0","0","0","0","0","0","0","0","0","0","0","427","382"
"9","201-01","5","5","4","1","1779","0","0","0","0","0","0","0","0","0","1077","0","0","0","0","0","0","0","0","0","0","0","642","434"
"9","202-01","5","5","4","1","1669","0","0","0","0","0","0","0","0","0","1149","0","0","0","0","0","0","0","0","0","0","0","624","522"
"9","203-01","5","5","4","1","1039","0","0","0","0","0","0","0","0","0","744","0","0","0","0","0","0","0","0","0","0","0","447","297"
"9","204-01","5","5","4","1","1361","0","0","0","0","0","0","0","0","0","970","0","0","0","0","0","0","0","0","0","0","0","586","382"
"9","205-01","5","5","4","1","1546","0","0","0","0","0","0","0","0","0","1116","0","0","0","0","0","0","0","0","0","0","0","650","466"
"9","206-01","5","5","4","1","1452","0","0","0","0","0","0","0","0","0","983","0","0","0","0","0","0","0","0","0","0","0","585","397"
"9","207-01","5","5","4","1","1554","0","0","0","0","0","0","0","0","0","1002","0","0","0","0","0","0","0","0","0","0","0","612","389"
"9","208-01","5","5","4","1","1504","0","0","0","0","0","0","0","0","0","1036","0","0","0","0","0","0","0","0","0","0","0","623","413"
"9","209-01","5","5","4","1","1598","0","0","0","0","0","0","0","0","0","1119","0","0","0","0","0","0","0","0","0","0","0","651","468"
"9","210-01","5","5","4","1","1048","0","0","0","0","0","0","0","0","0","770","0","0","0","0","0","0","0","0","0","0","0","547","223"
"9","211-01","5","5","4","1","291","0","0","0","0","0","0","0","0","0","172","0","0","0","0","0","0","0","0","0","0","0","111","61"
"9","212-01","5","5","4","1","1113","0","0","0","0","0","0","0","0","0","827","0","0","0","0","0","0","0","0","0","0","0","562","264"
"9","213-01","5","5","4","1","1137","0","0","0","0","0","0","0","0","0","841","0","0","0","0","0","0","0","0","0","0","0","599","242"
"9","214-01","5","5","4","1","708","0","0","0","0","0","0","0","0","0","454","0","0","0","0","0","0","0","0","0","0","0","292","162"
"9","215-01","1","5","4","1","1937","0","0","0","0","0","0","0","0","0","1350","0","0","0","0","0","0","0","0","0","0","0","838","512"
"9","216-01","1","3","4","1","1652","0","0","0","0","0","0","0","0","0","1122","0","0","0","0","0","0","0","0","0","0","0","766","355"
"9","217-02","5","5","4","1","1776","0","0","0","0","0","0","0","0","0","1540","0","0","0","0","0","0","0","0","0","0","0","764","767"
"9","218-02","5","5","4","1","670","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0","0","0","0","0","0","0","307","275"
"9","219-02","5","5","4","1","1464","0","0","0","0","0","0","0","0","0","894","0","0","0","0","0","0","0","0","0","0","0","482","411"
"9","220-02","5","5","4","1","1220","0","0","0","0","0","0","0","0","0","656","0","0","0","0","0","0","0","0","0","0","0","356","298"
"9","221-02","5","5","4","1","1448","0","0","0","0","0","0","0","0","0","912","0","0","0","0","0","0","0","0","0","0","0","477","435"
"9","222-03","5","5","4","1","493","0","0","0","0","0","0","0","0","0","353","0","0","0","0","0","0","0","0","0","0","0","245","107"
"9","301-01","5","5","4","1","1425","0","0","0","0","0","0","0","0","0","981","0","0","0","0","0","0","0","0","0","0","0","711","270"
"9","302-01","5","5","4","1","1146","0","0","0","0","0","0","0","0","0","706","0","0","0","0","0","0","0","0","0","0","0","480","224"
"9","303-01","5","5","4","1","1272","0","0","0","0","0","0","0","0","0","879","0","0","0","0","0","0","0","0","0","0","0","566","313"
"9","304-01","5","5","4","1","1116","0","0","0","0","0","0","0","0","0","670","0","0","0","0","0","0","0","0","0","0","0","432","237"
"9","305-01","5","5","4","1","1143","0","0","0","0","0","0","0","0","0","764","0","0","0","0","0","0","0","0","0","0","0","520","243"
"9","306-01","5","5","4","1","994","0","0","0","0","0","0","0","0","0","609","0","0","0","0","0","0","0","0","0","0","0","421","188"
"9","307-01","5","5","4","1","1657","0","0","0","0","0","0","0","0","0","1129","0","0","0","0","0","0","0","0","0","0","0","774","355"
"9","308-01","5","5","4","1","1392","0","0","0","0","0","0","0","0","0","989","0","0","0","0","0","0","0","0","0","0","0","612","377"
"9","309-01","5","5","4","1","1536","0","0","0","0","0","0","0","0","0","938","0","0","0","0","0","0","0","0","0","0","0","491","446"
"9","310-01","5","5","4","1","1842","0","0","0","0","0","0","0","0","0","1154","0","0","0","0","0","0","0","0","0","0","0","546","608"
"9","311-01","5","5","4","1","1180","0","0","0","0","0","0","0","0","0","760","0","0","0","0","0","0","0","0","0","0","0","395","364"
"9","312-01","5","5","4","1","1127","0","0","0","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","329","371"
"9","313-01","5","5","4","1","922","0","0","0","0","0","0","0","0","0","623","0","0","0","0","0","0","0","0","0","0","0","336","287"
"9","314-01","5","5","4","1","1468","0","0","0","0","0","0","0","0","0","1037","0","0","0","0","0","0","0","0","0","0","0","626","411"
"9","316-01","5","3","4","1","201","0","0","0","0","0","0","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","85","59"
"9","317-01","1","5","4","1","41","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","18","12"
"9","318-01","1","5","4","1","1118","0","0","0","0","0","0","0","0","0","742","0","0","0","0","0","0","0","0","0","0","0","531","211"
"9","319-01","1","3","4","1","2054","0","0","0","0","0","0","0","0","0","1427","0","0","0","0","0","0","0","0","0","0","0","968","459"
"9","320-01","1","3","4","1","1117","0","0","0","0","0","0","0","0","0","769","0","0","0","0","0","0","0","0","0","0","0","516","251"
"9","321-01","1","3","4","1","2171","0","0","0","0","0","0","0","0","0","1488","0","0","0","0","0","0","0","0","0","0","0","923","563"
"9","322-01","1","3","4","1","534","0","0","0","0","0","0","0","0","0","328","0","0","0","0","0","0","0","0","0","0","0","201","127"
"9","401-01","5","5","4","1","1698","0","0","0","0","0","0","0","0","0","1135","0","0","0","0","0","0","0","0","0","0","0","778","356"
"9","402-01","5","5","4","1","1684","0","0","0","0","0","0","0","0","0","1178","0","0","0","0","0","0","0","0","0","0","0","810","368"
"9","403-01","5","5","4","1","1489","0","0","0","0","0","0","0","0","0","1066","0","0","0","0","0","0","0","0","0","0","0","723","343"
"9","404-01","5","5","4","1","599","0","0","0","0","0","0","0","0","0","425","0","0","0","0","0","0","0","0","0","0","0","302","121"
"9","405-01","5","5","4","1","2164","0","0","0","0","0","0","0","0","0","1572","0","0","0","0","0","0","0","0","0","0","0","1065","505"
"9","406-01","5","5","4","1","1784","0","0","0","0","0","0","0","0","0","1282","0","0","0","0","0","0","0","0","0","0","0","890","391"
"9","407-01","5","5","4","1","1471","0","0","0","0","0","0","0","0","0","1038","0","0","0","0","0","0","0","0","0","0","0","761","277"
"9","408-01","5","5","4","1","837","0","0","0","0","0","0","0","0","0","594","0","0","0","0","0","0","0","0","0","0","0","374","219"
"9","409-01","5","5","4","1","1594","0","0","0","0","0","0","0","0","0","1093","0","0","0","0","0","0","0","0","0","0","0","743","350"
"9","410-01","5","5","4","1","1532","0","0","0","0","0","0","0","0","0","1091","0","0","0","0","0","0","0","0","0","0","0","733","356"
"9","411-01","5","5","4","1","1256","0","0","0","0","0","0","0","0","0","869","0","0","0","0","0","0","0","0","0","0","0","567","301"
"9","412-01","5","5","4","1","2030","0","0","0","0","0","0","0","0","0","1489","0","0","0","0","0","0","0","0","0","0","0","873","616"
"9","413-01","5","3","4","1","1183","0","0","0","0","0","0","0","0","0","800","0","0","0","0","0","0","0","0","0","0","0","488","312"
"9","414-01","5","3","4","1","1691","0","0","0","0","0","0","0","0","0","1144","0","0","0","0","0","0","0","0","0","0","0","784","359"
"9","415-01","5","3","4","1","1455","0","0","0","0","0","0","0","0","0","1016","0","0","0","0","0","0","0","0","0","0","0","671","345"
"9","416-01","5","3","4","1","1641","0","0","0","0","0","0","0","0","0","1171","0","0","0","0","0","0","0","0","0","0","0","712","458"
"9","417-01","5","3","4","1","1880","0","0","0","0","0","0","0","0","0","1257","0","0","0","0","0","0","0","0","0","0","0","862","394"
"9","418-01","1","3","4","1","1399","0","0","0","0","0","0","0","0","0","890","0","0","0","0","0","0","0","0","0","0","0","606","284"
"9","419-01","1","3","4","1","984","0","0","0","0","0","0","0","0","0","662","0","0","0","0","0","0","0","0","0","0","0","423","239"
"9","420-02","5","5","4","1","215","0","0","0","0","0","0","0","0","0","149","0","0","0","0","0","0","0","0","0","0","0","92","57"
"9","421-04","5","3","4","1","179","0","0","0","0","0","0","0","0","0","125","0","0","0","0","0","0","0","0","0","0","0","94","31"
"9","422-05","5","5","4","1","163","0","0","0","0","0","0","0","0","0","126","0","0","0","0","0","0","0","0","0","0","0","84","41"
"9","501-01","1","3","4","1","1169","0","0","0","0","0","0","0","0","0","744","0","0","0","0","0","0","0","0","0","0","0","462","282"
"9","502-01","1","3","4","1","1732","0","0","0","0","0","0","0","0","0","1022","0","0","0","0","0","0","0","0","0","0","0","651","371"
"9","503-01","1","3","4","1","1520","0","0","0","0","0","0","0","0","0","999","0","0","0","0","0","0","0","0","0","0","0","604","394"
"9","504-01","1","3","4","1","1459","0","0","0","0","0","0","0","0","0","907","0","0","0","0","0","0","0","0","0","0","0","601","306"
"9","505-01","1","3","4","1","300","0","0","0","0","0","0","0","0","0","198","0","0","0","0","0","0","0","0","0","0","0","126","70"
"9","506-01","1","3","4","1","136","0","0","0","0","0","0","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","51","47"
"9","507-01","1","3","4","1","1115","0","0","0","0","0","0","0","0","0","688","0","0","0","0","0","0","0","0","0","0","0","242","446"
