"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101-01","19","2","13","2","1","0","0","0","0","0","1","9","10","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","5","2","0","0","1","0","1","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"s25","voters","102-01","568","153","261","23","0","4","10","0","1","0","116","297","271","8","28","10","3","5","7","5","0","1","0","1","1","0","4","0","0","2","1","4","1","11","2","7","0","1","5","1","0","0","5","5","1","1","9","2","14","12","8","18","1","6","5","15","29","16","17","1","17","7","17","28","31","41","0","9","3","16","29","31","31","2","7","4","8","20","19","10","0","2","3","7","12","15","7","0","2","1","2","3","10","3","0","0","1","3","4","5","4","78","30","17","9","8","0","3","0","8","129","47","35","10","9","4","2","6","19","53","20","12","11","6","2","1","3","8","22","9","3","1","2","0","0","0","1"
"s25","voters","103-02","1102","351","483","55","1","6","18","0","3","0","185","555","547","25","16","10","5","20","16","12","7","0","4","1","0","0","0","0","2","3","3","2","0","8","3","6","2","1","6","1","0","2","5","1","0","0","10","11","17","24","34","54","2","13","17","25","27","56","61","1","10","10","25","35","64","104","2","9","6","23","45","56","93","2","15","6","10","15","34","30","1","4","7","7","17","23","14","0","5","2","6","8","8","15","0","8","4","4","2","13","8","166","77","50","12","7","1","3","3","32","264","68","58","14","14","2","8","6","49","99","25","25","10","5","3","5","1","12","51","16","8","2","3","2","0","0","1"
"s25","voters","104-02","1093","365","505","58","2","7","11","0","3","0","142","514","579","26","26","11","4","26","21","9","5","1","0","1","0","3","3","0","0","11","13","3","0","1","1","6","0","6","0","0","0","2","0","0","0","1","11","6","22","21","26","47","2","10","9","32","40","51","87","2","21","5","35","39","55","103","3","10","14","40","46","57","75","2","7","3","13","19","15","22","2","6","4","7","14","10","18","0","3","2","4","5","8","17","0","1","5","8","6","11","11","224","46","37","16","14","4","2","1","21","260","80","61","17","15","5","4","7","56","79","18","8","11","5","1","4","3","13","59","12","4","1","0","0","1","0","4"
"s25","voters","105-02","716","232","298","43","1","7","12","0","3","0","120","355","361","9","18","8","5","16","10","5","1","0","0","0","0","3","0","0","0","4","8","3","1","1","1","6","0","0","0","0","0","3","1","0","0","0","7","10","6","20","20","30","3","13","7","17","21","35","43","1","14","8","7","18","41","57","1","5","6","19","22","42","57","1","4","0","13","14","22","23","1","5","2","6","11","9","9","0","5","3","4","7","7","13","0","2","0","5","2","7","11","138","35","28","5","6","2","0","1","17","152","42","38","14","6","4","2","3","37","61","21","14","8","6","0","1","1","8","38","14","6","5","1","1","1","0","0"
"s25","voters","106-02","878","260","406","46","1","6","13","0","0","0","146","426","452","24","10","12","2","12","19","6","6","0","1","1","0","3","1","3","0","4","5","4","1","5","3","1","0","4","4","2","2","4","3","1","2","1","6","7","17","13","24","38","3","10","14","19","23","30","55","1","15","9","30","39","48","62","0","11","8","36","35","49","63","2","9","4","10","20","16","15","1","11","8","18","13","8","11","1","5","1","4","8","6","15","0","2","1","3","5","7","8","145","43","29","8","8","2","4","0","21","213","75","46","8","10","3","4","6","41","85","28","11","7","3","1","2","2","7","40","15","1","4","1","1","0","0","4"
"s25","voters","107-02","1005","346","389","51","1","7","10","0","0","0","201","485","520","38","27","9","5","8","11","12","3","4","10","1","0","2","2","1","0","11","5","20","0","25","5","17","1","3","5","4","0","9","5","6","1","1","10","5","12","38","23","46","2","23","12","19","61","45","49","2","17","9","28","46","49","42","4","18","5","28","49","46","46","4","6","8","15","42","29","18","3","10","3","13","29","13","8","0","4","3","1","16","4","7","2","4","0","1","11","8","8","195","66","37","18","10","1","4","3","12","227","46","48","17","9","4","6","7","25","112","29","22","14","7","4","5","2","6","45","11","8","0","2","1","2","0","0"
"s25","voters","108-02","1043","326","470","68","0","4","14","0","5","0","156","501","542","24","17","9","5","12","34","5","8","2","2","2","0","1","4","1","1","5","0","4","1","4","2","2","2","2","0","1","0","2","3","0","0","1","11","11","22","21","32","39","0","13","16","32","34","37","57","1","14","23","36","39","61","58","0","15","17","41","35","63","67","0","7","8","22","22","16","14","1","4","5","18","13","16","10","1","1","6","9","6","7","13","0","8","5","7","12","7","9","166","61","40","15","6","1","5","2","30","259","62","62","13","11","2","3","4","54","76","26","18","11","5","1","2","1","16","63","14","7","1","4","1","0","0","1"
"s25","voters","109-02","999","312","452","67","1","5","12","0","1","0","149","501","498","10","17","6","2","12","25","4","10","2","1","1","0","1","4","1","0","7","9","2","3","12","3","6","2","4","3","1","1","4","5","3","1","1","10","8","8","21","31","45","3","13","15","22","33","49","53","2","21","12","27","32","55","94","4","12","6","26","34","57","70","0","9","7","13","10","28","20","2","5","1","11","11","12","20","1","5","1","4","3","17","16","0","7","1","3","6","11","11","179","55","27","14","7","4","4","3","19","249","81","41","17","9","3","8","2","42","77","19","20","13","8","3","2","1","6","55","16","8","5","0","1","0","0","1"
"s25","voters","110-02","946","282","451","40","1","8","11","0","3","0","150","451","495","14","25","7","4","14","15","6","2","6","1","2","1","5","5","1","0","8","8","5","2","9","3","4","1","5","1","2","0","3","4","1","0","1","5","5","14","21","14","45","1","15","7","26","35","41","52","1","14","9","27","35","65","83","1","10","11","27","44","48","76","0","5","1","15","15","16","32","0","9","4","13","12","11","17","0","2","5","6","2","7","6","0","1","3","4","8","6","13","177","45","32","14","2","0","3","0","9","263","91","52","16","6","2","2","4","15","84","32","23","5","1","1","1","1","2","48","12","0","2","0","0","1","0","0"
