"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"10","0000001","27","13","14","1","732","0","0","0","0","0","0","0","0","0","270","0","0","0","0","0","0","0","0","0","0","0","133","137"
"10","0000002","27","13","14","1","1940","0","0","0","0","0","0","0","0","0","870","0","0","0","0","0","0","0","0","0","0","0","523","347"
"10","0000003","27","13","14","1","2322","0","0","0","0","0","0","0","0","0","1119","0","0","0","0","0","0","0","0","0","0","0","725","394"
"10","0000004","27","13","14","1","3547","0","0","0","0","0","0","0","0","0","1130","0","0","0","0","0","0","0","0","0","0","0","327","803"
"10","0000005","27","13","14","1","3385","0","0","0","0","0","0","0","0","0","909","0","0","0","0","0","0","0","0","0","0","0","182","727"
"10","0000006","27","13","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0000007","27","13","14","1","2185","0","0","0","0","0","0","0","0","0","849","0","0","0","0","0","0","0","0","0","0","0","366","480"
"10","0000008","27","13","14","1","2057","0","0","0","0","0","0","0","0","0","736","0","0","0","0","0","0","0","0","0","0","0","256","480"
"10","0000009","27","13","14","1","2111","0","0","0","0","0","0","0","0","0","866","0","0","0","0","0","0","0","0","0","0","0","415","450"
"10","0000010","27","13","14","1","1594","0","0","0","0","0","0","0","0","0","569","0","0","0","0","0","0","0","0","0","0","0","166","402"
"10","0000011","27","13","14","1","1100","0","0","0","0","0","0","0","0","0","383","0","0","0","0","0","0","0","0","0","0","0","36","347"
"10","0000012","27","13","14","1","430","0","0","0","0","0","0","0","0","0","192","0","0","0","0","0","0","0","0","0","0","0","131","61"
"10","0000013","27","13","14","1","1400","0","0","0","0","0","0","0","0","0","385","0","0","0","0","0","0","0","0","0","0","0","65","319"
"10","0000014","27","13","14","1","1428","0","0","0","0","0","0","0","0","0","459","0","0","0","0","0","0","0","0","0","0","0","221","238"
"10","0000015","27","13","14","1","1199","0","0","0","0","0","0","0","0","0","446","0","0","0","0","0","0","0","0","0","0","0","269","176"
"10","0000016","27","13","14","1","1444","0","0","0","0","0","0","0","0","0","642","0","0","0","0","0","0","0","0","0","0","0","380","262"
