"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0000001","262","106","109","6","0","4","1","0","0","0","36","128","134","87","35","28","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","3","0","0","0","0","6","8","3","3","9","12","1","8","10","7","6","12","21","1","8","5","8","10","9","24","0","2","2","5","7","6","22","1","3","4","2","1","1","7","0","5","3","1","3","5","0","0","0","1","1","1","0","0","0","1","2","2","0","1","2","60","13","11","6","5","0","1","2","8","63","14","11","6","1","0","2","1","11","20","6","4","3","1","1","0","0","1","6","1","0","0","2","0","0","0","2"
"s25","voters","0000002","865","287","418","27","3","9","6","0","2","0","113","393","472","207","75","61","11","3","24","4","4","0","0","0","0","0","2","0","0","0","1","4","0","5","12","2","1","0","0","0","0","7","2","2","1","0","16","11","5","6","22","54","4","41","25","15","21","20","47","1","13","15","18","26","46","90","0","10","14","21","26","35","103","1","5","10","6","6","3","9","0","15","24","12","6","5","11","0","1","5","3","3","5","13","0","6","4","1","0","5","1","146","43","36","7","11","2","8","2","32","207","62","32","15","16","7","3","4","72","60","23","9","3","6","2","1","1","8","27","7","6","4","0","2","1","0","0"
"s25","voters","0000003","1121","327","609","37","2","5","5","0","3","0","133","533","588","218","86","74","23","2","34","0","3","0","0","0","0","1","1","0","0","0","5","1","0","2","8","3","1","0","0","0","0","6","4","0","0","2","12","10","18","12","27","51","4","27","29","15","18","25","77","4","18","20","40","40","54","131","0","13","23","35","37","62","132","1","14","12","9","13","5","11","2","12","16","11","7","8","12","0","5","3","3","4","5","9","1","3","1","5","3","4","6","162","56","35","13","7","6","5","3","40","292","84","80","20","16","5","2","4","106","68","21","16","10","3","1","0","1","13","28","9","6","5","2","0","1","0","1"
"s25","voters","0000004","1121","630","232","36","7","13","6","0","6","0","191","472","649","515","124","162","52","1","5","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","7","1","2","2","3","28","34","29","23","50","84","6","78","65","37","41","62","90","0","12","14","14","14","20","32","1","3","17","21","27","28","29","2","16","16","15","8","13","13","7","16","27","18","11","15","14","0","5","6","5","4","7","5","0","8","9","5","7","5","2","327","104","80","23","24","6","9","9","48","126","40","30","9","3","0","3","1","20","104","21","17","21","12","0","6","4","6","41","15","8","1","1","0","2","0","0"
"s25","voters","0000005","909","575","140","24","5","14","14","0","3","0","134","398","511","491","118","118","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","2","1","2","3","29","25","20","17","46","88","8","60","65","39","29","39","107","2","5","13","10","10","12","22","0","7","13","8","11","7","20","2","19","13","9","4","9","15","1","18","8","8","9","10","9","0","4","5","5","4","2","5","4","15","4","3","1","3","5","259","100","64","30","15","5","9","15","78","72","22","20","5","6","2","0","0","13","77","15","15","13","5","1","5","1","2","44","8","2","0","1","0","0","2","3"
"s25","voters","0000007","845","374","275","42","4","16","7","0","3","0","124","368","477","260","107","73","39","0","4","0","1","0","0","0","0","0","0","0","0","1","5","1","0","32","3","16","2","0","0","0","0","9","4","2","0","2","18","18","16","20","19","45","6","39","42","35","35","25","54","2","8","10","27","30","24","33","0","5","15","28","22","26","45","0","15","9","10","11","7","5","3","18","9","16","9","5","7","0","8","5","4","11","4","7","1","5","7","5","6","2","7","185","72","34","17","19","2","7","7","31","139","46","33","7","11","6","2","2","29","76","19","10","9","1","3","1","0","5","38","15","7","2","2","2","3","0","3"
"s25","voters","0000008","734","386","182","23","2","9","6","0","1","0","125","318","416","287","85","80","26","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","26","15","17","5","0","0","0","0","0","0","1","0","2","18","16","23","16","24","50","8","38","45","22","27","38","59","0","4","15","16","15","17","23","0","5","14","15","13","15","30","2","9","14","10","6","5","9","0","11","14","10","13","11","11","0","2","2","4","7","6","3","1","4","6","2","0","3","1","194","66","64","20","9","5","7","5","16","100","27","33","7","3","0","3","0","9","64","19","17","7","4","2","2","0","10","19","10","8","1","1","0","2","0","0"
"s25","voters","0000009","863","341","313","41","2","11","7","0","3","0","145","382","481","232","133","71","32","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","21","4","14","7","0","0","0","0","1","4","1","0","2","21","13","15","16","19","40","2","36","37","27","41","32","40","2","16","11","22","36","33","36","1","8","13","20","34","27","54","3","13","9","12","8","8","13","2","18","16","15","13","7","8","1","7","7","4","5","5","5","1","5","2","5","2","6","9","179","65","39","12","8","1","10","2","25","140","58","45","15","11","4","5","2","33","82","23","20","11","2","2","1","1","3","34","16","7","2","1","1","0","0","3"
"s25","voters","0000010","567","332","114","14","3","6","2","0","1","0","95","230","337","262","69","75","20","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","18","4","9","0","0","0","0","0","2","0","0","0","4","16","18","19","12","27","34","7","34","33","22","29","25","52","0","3","8","10","11","9","11","1","7","8","10","13","8","15","3","13","2","5","6","6","1","1","13","11","10","5","8","11","0","1","1","2","4","0","4","1","4","1","0","2","3","3","166","52","48","20","12","3","5","5","21","68","14","18","2","1","0","3","0","8","51","14","13","7","5","1","4","0","0","15","6","3","1","0","0","1","0","0"
"s25","voters","0000011","383","254","31","5","6","7","0","0","2","0","78","149","234","213","21","68","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","13","17","10","6","18","28","6","38","30","24","19","22","22","0","4","4","1","3","5","2","0","0","2","3","1","4","2","2","6","5","8","4","2","5","4","12","7","8","3","7","5","0","0","0","2","0","1","2","0","7","2","3","2","0","1","123","45","35","6","10","8","6","3","18","17","5","5","1","0","0","0","1","2","37","12","12","7","6","0","0","1","3","17","3","0","0","0","0","0","0","0"
