"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"11","10040","3","1","1","1","354","0","0","0","0","0","0","0","0","0","221","0","0","0","0","0","0","0","0","0","0","0","154","67"
"11","10051","3","1","1","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","10061","3","1","1","1","70","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","19","12"
"11","10080","3","1","1","1","145","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","40","23"
"11","10081","3","1","1","1","14","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","10100","3","1","1","1","106","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","26","19"
"11","10121","3","1","1","1","682","0","0","0","0","0","0","0","0","0","421","0","0","0","0","0","0","0","0","0","0","0","285","136"
"11","10122","3","1","1","1","24","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","5","7"
"11","12060","3","1","1","1","137","0","0","0","0","0","0","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","45","36"
"11","12061","3","1","1","1","28","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","8","6"
"11","12070","3","1","1","1","250","0","0","0","0","0","0","0","0","0","143","0","0","0","0","0","0","0","0","0","0","0","80","63"
"11","12073","3","1","1","1","28","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","5","9"
"11","12074","3","1","1","1","322","0","0","0","0","0","0","0","0","0","198","0","0","0","0","0","0","0","0","0","0","0","125","73"
"11","12150","3","1","1","1","569","0","0","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","101","149"
"11","20030","3","1","1","1","362","0","0","0","0","0","0","0","0","0","227","0","0","0","0","0","0","0","0","0","0","0","161","66"
"11","20031","3","1","1","1","139","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","22","30"
"11","20032","3","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","20070","3","1","1","1","155","0","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","64","18"
"11","20091","3","1","1","1","15","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","8","3"
"11","20092","3","1","1","1","420","0","0","0","0","0","0","0","0","0","281","0","0","0","0","0","0","0","0","0","0","0","211","70"
"11","22030","3","1","1","1","340","0","0","0","0","0","0","0","0","0","167","0","0","0","0","0","0","0","0","0","0","0","88","78"
"11","22040","3","1","1","1","247","0","0","0","0","0","0","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0","91","46"
"11","22050","3","1","1","1","63","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","20","13"
"11","22090","3","1","1","1","158","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","71","34"
"11","22100","3","1","1","1","51","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","17","13"
"11","22110","3","1","1","1","301","0","0","0","0","0","0","0","0","0","192","0","0","0","0","0","0","0","0","0","0","0","121","71"
"11","22120","3","1","1","1","456","0","0","0","0","0","0","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","131","105"
"11","22130","3","1","1","1","124","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","36","24"
"11","22140","3","1","1","1","47","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","28","3"
"11","23050","3","1","1","1","16","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","7","4"
"11","30008","3","1","1","1","12","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30009","3","1","1","1","80","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","37","2"
"11","30010","3","1","1","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30011","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30012","3","1","1","1","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30013","3","1","1","1","34","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","24","5"
"11","30014","3","1","1","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30015","3","1","1","1","92","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","58","4"
"11","30016","3","1","1","1","20","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","14","0"
"11","30017","3","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30018","3","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30019","3","1","1","1","6","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30020","3","1","1","1","321","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","156","44"
"11","30021","3","1","1","1","174","0","0","0","0","0","0","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","119","10"
"11","30030","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30031","3","1","1","1","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30032","3","1","1","1","19","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","11","0"
"11","30033","3","1","1","1","9","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30034","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30035","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30036","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30037","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30042","3","1","1","1","285","0","0","0","0","0","0","0","0","0","197","0","0","0","0","0","0","0","0","0","0","0","162","35"
"11","30043","3","1","1","1","49","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","34","2"
"11","30050","3","1","1","1","305","0","0","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","183","37"
"11","30060","3","1","1","1","139","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","55","20"
"11","30062","3","1","1","1","103","0","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","65","8"
"11","30063","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30070","3","1","1","1","62","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","35","8"
"11","30071","3","1","1","1","181","0","0","0","0","0","0","0","0","0","114","0","0","0","0","0","0","0","0","0","0","0","101","13"
"11","30073","3","1","1","1","11","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30074","3","1","1","1","33","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","15","5"
"11","30075","3","1","1","1","16","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","12","2"
"11","30083","3","1","1","1","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30084","3","1","1","1","45","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","26","2"
"11","30085","3","1","1","1","15","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0"
"11","30086","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30087","3","1","1","1","71","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","40","5"
"11","30088","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","30089","3","1","1","1","11","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","30100","3","1","1","1","397","0","0","0","0","0","0","0","0","0","223","0","0","0","0","0","0","0","0","0","0","0","162","61"
"11","30110","3","1","1","1","193","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","84","18"
"11","30111","3","1","1","1","71","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","44","3"
"11","30120","3","1","1","1","72","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","55","5"
"11","30132","3","1","1","1","32","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","13","11"
"11","31070","3","1","1","1","272","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0","0","0","0","0","0","0","90","50"
"11","31080","3","1","1","1","13","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","31090","3","1","1","1","20","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","15","1"
"11","41040","3","1","1","1","81","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","0","0","0","36","12"
"11","41050","3","1","1","1","55","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","24","10"
"11","41060","3","1","1","1","111","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","45","18"
"11","41070","3","1","1","1","336","0","0","0","0","0","0","0","0","0","208","0","0","0","0","0","0","0","0","0","0","0","139","69"
"11","41080","3","1","1","1","187","0","0","0","0","0","0","0","0","0","126","0","0","0","0","0","0","0","0","0","0","0","79","47"
"11","41090","3","1","1","1","368","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","122","77"
"11","41100","3","1","1","1","882","0","0","0","0","0","0","0","0","0","475","0","0","0","0","0","0","0","0","0","0","0","319","155"
"11","41110","3","1","1","1","87","0","0","0","0","0","0","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","38","20"
"11","41120","3","1","1","1","283","0","0","0","0","0","0","0","0","0","176","0","0","0","0","0","0","0","0","0","0","0","142","34"
"11","41130","3","1","1","1","146","0","0","0","0","0","0","0","0","0","108","0","0","0","0","0","0","0","0","0","0","0","76","32"
"11","41140","3","1","1","1","61","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","17","12"
"11","41150","3","1","1","1","39","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","8","7"
"11","50011","3","1","1","1","155","0","0","0","0","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","76","12"
"11","50012","3","1","1","1","29","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","16","9"
"11","50013","3","1","1","1","54","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","19","8"
"11","50014","3","1","1","1","42","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","15","9"
"11","50015","3","1","1","1","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","50022","3","1","1","1","157","0","0","0","0","0","0","0","0","0","119","0","0","0","0","0","0","0","0","0","0","0","106","13"
"11","50030","3","1","1","1","21","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","7","8"
"11","50031","3","1","1","1","886","0","0","0","0","0","0","0","0","0","351","0","0","0","0","0","0","0","0","0","0","0","101","250"
"11","50042","3","1","1","1","65","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","34","15"
"11","50052","3","1","1","1","133","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","91","9"
"11","50063","3","1","1","1","353","0","0","0","0","0","0","0","0","0","234","0","0","0","0","0","0","0","0","0","0","0","185","48"
"11","50071","3","1","1","1","152","0","0","0","0","0","0","0","0","0","109","0","0","0","0","0","0","0","0","0","0","0","96","13"
"11","50081","3","1","1","1","43","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","20","8"
"11","50083","3","1","1","1","51","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","31","1"
"11","50084","3","1","1","1","190","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","82","23"
"11","50085","3","1","1","1","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","50086","3","1","1","1","43","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","29","5"
"11","50087","3","1","1","1","30","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","18","1"
"11","50088","3","1","1","1","262","0","0","0","0","0","0","0","0","0","180","0","0","0","0","0","0","0","0","0","0","0","151","29"
"11","50089","3","1","1","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","***","***"
"11","CNTYTOT","330","110","110","110","14126","0","0","0","0","0","0","0","0","0","8271","0","0","0","0","0","0","0","0","0","0","0","5769","2494"
