"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","10040","221","58","123","10","1","2","3","0","0","0","24","112","109","17","18","13","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","3","7","8","0","1","4","4","4","8","11","0","3","6","7","14","15","19","0","2","10","7","7","12","21","0","3","2","4","0","0","3","0","2","1","4","2","1","2","0","1","2","3","1","0","3","0","0","0","1","0","4","1","28","10","7","3","1","0","2","0","7","72","17","14","3","3","0","0","0","14","13","5","3","0","1","0","1","0","1","11","2","2","0","0","0","0","0","1"
"s25","voters","10051","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","10061","33","9","17","1","0","0","2","0","0","0","4","16","17","6","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","2","0","3","0","2","0","2","1","1","2","0","0","1","2","2","2","2","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","5","3","0","0","1","0","0","0","0","9","4","0","1","0","0","0","0","3","3","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0"
"s25","voters","10080","62","16","31","2","0","1","0","0","0","0","12","26","36","9","2","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","2","1","2","3","4","0","1","0","0","3","4","6","0","0","1","2","4","4","6","0","1","2","1","0","3","1","0","0","1","0","0","1","2","0","0","1","0","0","0","0","0","1","0","0","1","0","0","10","4","1","0","0","1","0","0","0","22","3","0","3","0","0","1","1","1","6","1","3","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"s25","voters","10081","8","0","4","1","0","0","1","0","0","0","2","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"s25","voters","10100","46","19","19","0","0","0","1","0","1","0","6","21","25","15","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","4","2","2","3","2","2","0","2","0","1","1","1","2","2","4","0","0","1","0","1","2","4","1","0","0","1","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","9","2","4","1","1","0","0","0","2","13","1","2","1","2","0","0","0","0","4","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"s25","voters","10121","418","113","218","25","0","3","6","0","1","0","52","199","219","35","7","10","3","0","8","1","1","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","1","1","0","1","0","5","4","2","4","10","19","2","9","10","4","5","16","23","0","5","9","23","21","25","30","1","5","6","22","16","18","37","0","3","0","4","5","7","5","0","3","4","5","4","2","10","0","1","2","2","2","1","10","0","1","1","2","4","3","6","58","17","17","6","0","0","0","0","15","106","45","35","4","4","3","0","2","19","25","8","10","2","1","1","2","0","3","23","6","2","0","1","0","0","0","3"
"s25","voters","10122","12","6","4","1","0","0","0","0","0","0","1","4","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","2","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","1","0","0","0","0","0","0","1","2","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"s25","voters","12060","78","29","28","3","1","0","3","0","0","0","14","30","48","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","0","3","0","1","3","6","7","0","1","1","2","1","2","4","0","0","0","1","3","5","8","0","0","0","2","2","0","1","0","1","3","4","0","1","0","0","0","0","1","1","2","1","0","0","0","1","0","1","0","12","6","4","2","1","0","0","0","4","15","7","2","2","0","0","0","0","2","6","2","2","1","1","1","0","0","1","6","0","0","0","0","0","0","0","1"
"s25","voters","12061","14","5","6","0","0","1","0","0","0","0","2","8","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","1","0","0","0","0","1","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
