"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"12","1CS-1","2","2","2","2","3710","0","0","0","0","0","0","0","0","0","2112","0","0","0","0","0","0","0","0","0","0","0","930","1180"
"12","1E-26","2","2","2","2","506","0","0","0","0","0","0","0","0","0","235","0","0","0","0","0","0","0","0","0","0","0","89","145"
"12","1E-30","2","2","2","2","1648","0","0","0","0","0","0","0","0","0","1047","0","0","0","0","0","0","0","0","0","0","0","359","688"
"12","1E-35","2","2","2","2","392","0","0","0","0","0","0","0","0","0","215","0","0","0","0","0","0","0","0","0","0","0","70","145"
"12","1E-47","2","2","2","2","982","0","0","0","0","0","0","0","0","0","634","0","0","0","0","0","0","0","0","0","0","0","188","446"
"12","1ES-1","2","2","2","2","1389","0","0","0","0","0","0","0","0","0","703","0","0","0","0","0","0","0","0","0","0","0","260","443"
"12","1F--1","2","2","2","2","1061","0","0","0","0","0","0","0","0","0","682","0","0","0","0","0","0","0","0","0","0","0","328","354"
"12","1F--7","2","2","2","2","33","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","13","4"
"12","1FB-1","2","2","2","2","285","0","0","0","0","0","0","0","0","0","171","0","0","0","0","0","0","0","0","0","0","0","76","95"
"12","1FS","2","2","2","2","954","0","0","0","0","0","0","0","0","0","595","0","0","0","0","0","0","0","0","0","0","0","433","162"
"12","1FS-1","2","2","2","2","516","0","0","0","0","0","0","0","0","0","290","0","0","0","0","0","0","0","0","0","0","0","188","102"
"12","1FS-10","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","1LU","2","2","2","2","883","0","0","0","0","0","0","0","0","0","476","0","0","0","0","0","0","0","0","0","0","0","231","245"
"12","1MU","2","2","2","2","344","0","0","0","0","0","0","0","0","0","214","0","0","0","0","0","0","0","0","0","0","0","67","147"
"12","1RD","2","2","2","2","70","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","19","21"
"12","1RV-3","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","1SB-1","2","2","2","2","12","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","***","***"
"12","1SB-10","2","2","2","2","2411","0","0","0","0","0","0","0","0","0","1297","0","0","0","0","0","0","0","0","0","0","0","559","736"
"12","1SB-11","2","2","2","2","36","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","19","5"
"12","1SB-13","2","2","2","2","92","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","0","0","0","27","21"
"12","1SB-2","2","2","2","2","1585","0","0","0","0","0","0","0","0","0","855","0","0","0","0","0","0","0","0","0","0","0","390","465"
"12","1SB-5","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","1SB-7","2","2","2","2","306","0","0","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","82","100"
"12","1SB18","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","1SCD","2","2","2","2","549","0","0","0","0","0","0","0","0","0","281","0","0","0","0","0","0","0","0","0","0","0","152","128"
"12","2BV-1","2","2","2","2","347","0","0","0","0","0","0","0","0","0","165","0","0","0","0","0","0","0","0","0","0","0","85","80"
"12","2CU","2","2","2","2","563","0","0","0","0","0","0","0","0","0","323","0","0","0","0","0","0","0","0","0","0","0","217","106"
"12","2F--2","2","2","2","2","3709","0","0","0","0","0","0","0","0","0","1931","0","0","0","0","0","0","0","0","0","0","0","1005","926"
"12","2F-R1","2","2","2","2","3743","0","0","0","0","0","0","0","0","0","2103","0","0","0","0","0","0","0","0","0","0","0","1235","865"
"12","2HV-1","2","2","2","2","1233","0","0","0","0","0","0","0","0","0","788","0","0","0","0","0","0","0","0","0","0","0","516","271"
"12","2MR","2","2","2","2","65","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","8","21"
"12","2R--1","2","2","2","2","1960","0","0","0","0","0","0","0","0","0","907","0","0","0","0","0","0","0","0","0","0","0","587","319"
"12","2SH-1","2","2","2","2","974","0","0","0","0","0","0","0","0","0","579","0","0","0","0","0","0","0","0","0","0","0","184","395"
"12","2SH-2","2","2","2","2","282","0","0","0","0","0","0","0","0","0","149","0","0","0","0","0","0","0","0","0","0","0","87","62"
"12","2SH-4","2","2","2","2","345","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","72","128"
"12","2SH-5","2","2","2","2","738","0","0","0","0","0","0","0","0","0","382","0","0","0","0","0","0","0","0","0","0","0","140","242"
"12","2SH-6N","2","2","2","2","469","0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","92","110"
"12","2SHF7","2","2","2","2","608","0","0","0","0","0","0","0","0","0","303","0","0","0","0","0","0","0","0","0","0","0","98","205"
"12","2SHF9","2","2","2","2","910","0","0","0","0","0","0","0","0","0","506","0","0","0","0","0","0","0","0","0","0","0","179","327"
"12","2SHGF4A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","2SHS4C","2","2","2","2","459","0","0","0","0","0","0","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","56","150"
"12","3A--1","2","2","2","2","2789","0","0","0","0","0","0","0","0","0","1605","0","0","0","0","0","0","0","0","0","0","0","179","1426"
"12","3A-10","2","2","2","2","2622","0","0","0","0","0","0","0","0","0","1412","0","0","0","0","0","0","0","0","0","0","0","197","1215"
"12","3A-12","2","2","2","2","2804","0","0","0","0","0","0","0","0","0","1514","0","0","0","0","0","0","0","0","0","0","0","194","1320"
"12","3A-J1","2","2","2","2","736","0","0","0","0","0","0","0","0","0","528","0","0","0","0","0","0","0","0","0","0","0","60","468"
"12","3A-P2","2","2","2","2","2116","0","0","0","0","0","0","0","0","0","1076","0","0","0","0","0","0","0","0","0","0","0","236","839"
"12","3A-P5","2","2","2","2","359","0","0","0","0","0","0","0","0","0","185","0","0","0","0","0","0","0","0","0","0","0","55","130"
"12","3AS-1","2","2","2","2","177","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","26","76"
"12","3AS-7","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3AS-9","2","2","2","2","96","0","0","0","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","0","0","0","21","37"
"12","3AS12","2","2","2","2","33","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","7","15"
"12","3B--1","2","2","2","2","867","0","0","0","0","0","0","0","0","0","515","0","0","0","0","0","0","0","0","0","0","0","131","384"
"12","3BLF","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3E-4J","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3ES-6","2","2","2","2","36","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","12","13"
"12","3ES-7","2","2","2","2","224","0","0","0","0","0","0","0","0","0","144","0","0","0","0","0","0","0","0","0","0","0","59","85"
"12","3ES11","2","2","2","2","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","***","***"
"12","3ES12","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3ESS6","2","2","2","2","335","0","0","0","0","0","0","0","0","0","225","0","0","0","0","0","0","0","0","0","0","0","98","127"
"12","3FW","2","2","2","2","510","0","0","0","0","0","0","0","0","0","326","0","0","0","0","0","0","0","0","0","0","0","118","208"
"12","3FWF","2","2","2","2","786","0","0","0","0","0","0","0","0","0","445","0","0","0","0","0","0","0","0","0","0","0","133","312"
"12","3FWS","2","2","2","2","991","0","0","0","0","0","0","0","0","0","620","0","0","0","0","0","0","0","0","0","0","0","233","387"
"12","3GF","2","2","2","2","90","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","30","31"
"12","3JC","2","2","2","2","129","0","0","0","0","0","0","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","26","62"
"12","3JCF","2","2","2","2","1248","0","0","0","0","0","0","0","0","0","829","0","0","0","0","0","0","0","0","0","0","0","207","622"
"12","3MA-2","2","2","2","2","523","0","0","0","0","0","0","0","0","0","230","0","0","0","0","0","0","0","0","0","0","0","50","179"
"12","3PA-1","2","2","2","2","525","0","0","0","0","0","0","0","0","0","322","0","0","0","0","0","0","0","0","0","0","0","105","217"
"12","3PA-4","2","2","2","2","315","0","0","0","0","0","0","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","68","139"
"12","3PA-5","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3PAE","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","3PESF","2","2","2","2","19","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","5","6"
"12","4E-11","2","2","2","2","2619","0","0","0","0","0","0","0","0","0","1153","0","0","0","0","0","0","0","0","0","0","0","296","855"
"12","4E-20","2","2","2","2","2605","0","0","0","0","0","0","0","0","0","1183","0","0","0","0","0","0","0","0","0","0","0","405","777"
"12","4E-31","2","2","2","2","1120","0","0","0","0","0","0","0","0","0","659","0","0","0","0","0","0","0","0","0","0","0","179","479"
"12","4E-33","2","2","2","2","447","0","0","0","0","0","0","0","0","0","307","0","0","0","0","0","0","0","0","0","0","0","88","218"
"12","4E-40","2","2","2","2","1494","0","0","0","0","0","0","0","0","0","812","0","0","0","0","0","0","0","0","0","0","0","240","571"
"12","4E-44","2","2","2","2","1097","0","0","0","0","0","0","0","0","0","660","0","0","0","0","0","0","0","0","0","0","0","205","454"
"12","4E-49","2","2","2","2","242","0","0","0","0","0","0","0","0","0","132","0","0","0","0","0","0","0","0","0","0","0","28","104"
"12","4E-4FW","2","2","2","2","6","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","***","***"
"12","4E-51","2","2","2","2","2467","0","0","0","0","0","0","0","0","0","1211","0","0","0","0","0","0","0","0","0","0","0","279","931"
"12","4E-52","2","2","2","2","527","0","0","0","0","0","0","0","0","0","226","0","0","0","0","0","0","0","0","0","0","0","63","163"
"12","4E-57","2","2","2","2","83","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","10","31"
"12","4ES-3","2","2","2","2","2899","0","0","0","0","0","0","0","0","0","1631","0","0","0","0","0","0","0","0","0","0","0","622","1008"
"12","4FW","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","4PE","2","2","2","2","236","0","0","0","0","0","0","0","0","0","113","0","0","0","0","0","0","0","0","0","0","0","32","81"
"12","4PEF","2","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","5AS-5","2","2","2","2","162","0","0","0","0","0","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","33","64"
"12","5AS-9","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","5BL","2","2","2","2","35","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","5","15"
"12","5BLF","2","2","2","2","597","0","0","0","0","0","0","0","0","0","354","0","0","0","0","0","0","0","0","0","0","0","156","198"
"12","5BLS","2","2","2","2","143","0","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","36","67"
"12","5BM","2","2","2","2","31","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","8","8"
"12","5BU","2","2","2","2","531","0","0","0","0","0","0","0","0","0","308","0","0","0","0","0","0","0","0","0","0","0","112","196"
"12","5FB","2","2","2","2","666","0","0","0","0","0","0","0","0","0","443","0","0","0","0","0","0","0","0","0","0","0","153","289"
"12","5KT-1","2","2","2","2","1134","0","0","0","0","0","0","0","0","0","477","0","0","0","0","0","0","0","0","0","0","0","137","339"
"12","5KT-4","2","2","2","2","382","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","24","78"
