"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1CS-1","2094","975","711","75","7","11","22","0","18","0","275","968","1126","55","14","11","9","28","14","7","5","3","0","0","0","1","0","0","0","4","1","2","0","3","3","1","0","0","0","1","0","6","0","0","0","4","14","41","55","52","62","152","5","36","64","93","76","85","236","2","16","19","39","44","76","168","0","16","17","23","43","63","185","0","14","16","42","23","14","39","0","7","14","29","20","22","35","1","5","7","15","16","10","22","0","1","7","13","4","13","19","534","141","94","35","42","11","15","2","101","346","98","80","16","21","2","8","6","134","133","44","37","21","10","4","2","4","20","82","25","13","4","2","1","0","0","6"
"s25","voters","1E-26","233","129","56","9","1","3","4","0","1","0","30","101","132","15","6","7","2","2","2","2","1","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","4","5","8","9","5","19","1","6","7","7","9","14","35","0","0","2","3","4","5","14","0","1","4","0","7","6","10","0","3","1","0","1","4","4","1","1","3","4","3","1","4","0","0","1","1","4","3","1","0","0","1","2","1","2","2","68","27","15","2","3","0","2","1","11","26","9","7","6","1","1","1","0","5","18","4","3","1","0","0","1","0","3","15","1","1","0","0","0","0","0","1"
"s25","voters","1E-30","1047","559","288","30","3","5","11","0","13","0","138","492","555","44","8","10","1","25","3","9","1","0","1","0","0","1","0","0","0","2","2","1","0","0","0","2","0","2","0","0","0","2","2","1","0","1","15","26","33","43","27","73","1","15","33","44","55","53","140","0","4","6","16","18","41","71","0","4","3","10","16","32","67","1","10","8","19","12","17","21","0","5","4","13","10","6","12","0","1","1","3","8","5","12","0","3","3","5","4","6","11","311","90","51","21","14","4","2","1","65","141","34","34","16","3","2","5","2","51","66","20","16","8","3","5","2","1","17","39","10","5","4","1","1","0","0","2"
"s25","voters","1E-35","215","117","45","7","0","0","1","0","3","0","42","94","121","7","0","2","2","4","4","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","6","8","9","7","16","0","4","4","15","10","7","30","0","0","2","4","2","4","9","0","0","3","3","3","3","12","1","0","3","8","2","3","3","1","2","3","2","5","4","5","0","0","1","0","0","1","4","0","3","0","0","0","1","1","69","16","7","5","4","0","1","2","13","28","5","5","2","0","1","0","0","4","21","3","3","6","2","0","0","1","6","9","1","0","0","0","0","0","0","1"
"s25","voters","1E-47","630","349","150","25","2","3","1","0","8","2","90","275","355","17","4","8","2","9","12","3","2","0","0","0","0","1","0","1","0","3","1","0","0","2","1","0","0","0","0","0","0","3","0","0","0","1","7","14","22","13","15","56","0","11","19","39","30","34","88","1","1","4","7","7","19","37","0","2","2","3","9","12","46","1","3","4","9","12","8","13","0","4","1","7","7","8","13","0","1","3","2","4","2","9","0","1","2","3","2","2","10","193","52","33","20","6","6","7","3","29","84","18","16","2","0","4","1","1","24","47","11","12","7","1","0","0","1","11","26","5","3","2","0","0","0","0","5"
"s25","voters","1ES-1","700","353","176","30","2","7","9","0","9","0","114","309","391","28","7","8","5","12","4","3","8","0","0","0","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","1","1","1","0","1","10","11","22","19","26","47","0","14","23","21","29","43","87","0","4","9","9","10","25","30","0","1","8","10","12","19","39","2","2","5","13","12","9","16","1","6","6","11","14","6","11","0","1","6","3","7","3","7","1","2","3","6","7","4","7","192","56","34","12","14","4","4","2","35","99","28","18","2","6","1","1","1","20","63","16","8","4","6","1","4","1","11","33","13","7","0","3","0","0","0","1"
"s25","voters","1F--1","678","283","256","28","0","7","5","0","3","0","96","313","365","11","4","5","4","13","8","6","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","2","0","1","0","3","8","7","10","19","65","1","5","10","8","14","39","94","0","7","13","13","16","19","63","2","6","9","17","16","19","56","0","0","2","12","10","10","18","0","3","4","7","6","8","16","0","2","1","2","1","2","10","0","1","2","3","2","3","14","128","50","26","17","8","4","2","5","43","121","44","32","15","8","2","2","2","30","44","8","13","8","8","2","3","1","9","26","5","7","1","1","1","0","0","2"
"s25","voters","1F--7","16","3","11","0","1","0","0","0","0","0","1","7","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","1","0","3","0","1","0","1","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","5","0","1","0","1","1","0","1","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","1FB-1","168","74","64","8","1","1","3","0","2","0","15","74","94","2","1","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","2","3","4","3","14","0","2","1","8","7","7","22","0","1","1","4","8","6","16","0","3","1","5","4","4","11","0","0","1","1","1","1","0","0","1","1","4","1","1","3","0","0","1","5","0","1","0","0","0","1","2","1","2","2","40","12","9","3","4","0","0","0","6","27","10","10","5","1","1","1","2","7","10","2","2","0","0","0","1","0","0","9","2","3","0","0","0","0","0","1"
"s25","voters","1FS","598","158","342","22","0","4","13","0","1","0","58","293","305","11","18","3","1","2","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","2","5","8","7","8","25","0","6","10","4","8","18","57","2","12","18","25","26","27","75","1","7","16","18","19","35","61","1","4","3","3","3","3","13","2","4","2","4","5","3","8","0","3","3","2","2","3","10","0","2","4","3","1","4","3","79","22","17","8","4","2","1","0","25","181","40","47","10","12","6","2","3","41","33","7","4","5","1","1","1","0","6","23","11","2","0","1","0","1","0","2"
