"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","121004","1365","858","166","22","9","14","8","0","3","0","285","545","820","731","132","248","51","1","1","3","0","1","0","1","0","0","0","0","0","7","3","1","0","1","0","0","0","1","0","0","0","14","1","2","1","1","26","29","28","31","63","153","5","53","56","48","57","97","211","0","4","14","13","11","13","19","2","8","10","11","11","20","30","2","12","18","16","14","16","41","1","27","25","27","15","26","45","1","1","5","4","1","3","6","0","1","12","5","3","8","6","437","109","92","24","38","10","16","4","128","100","29","15","1","7","1","1","0","12","150","35","35","14","16","6","10","6","13","25","11","7","3","3","0","1","1","5"
"s25","voters","121009","27","20","4","0","0","0","0","0","0","0","3","15","12","12","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","1","2","2","0","1","0","3","1","1","5","0","0","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","3","3","0","4","0","0","0","1","1","2","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","121010","1790","1134","244","28","4","27","5","0","4","0","344","749","1041","956","191","273","57","1","0","1","1","0","1","1","0","2","1","0","0","12","6","3","1","0","0","0","0","0","0","0","0","4","3","7","0","0","30","47","37","45","94","201","2","76","75","56","77","133","261","2","17","15","9","24","21","36","1","8","17","11","15","25","43","0","16","23","16","17","27","37","2","34","23","22","29","39","59","1","6","5","4","5","3","11","0","1","6","1","1","10","14","570","192","116","38","42","22","22","6","126","151","36","31","6","2","2","1","2","13","192","39","45","20","17","6","12","1","12","32","10","13","5","2","2","2","0","2"
"s25","voters","121013","1477","876","216","23","7","22","4","0","5","0","324","617","860","749","173","269","50","3","1","4","0","0","0","0","0","0","0","0","0","2","4","6","1","0","0","0","0","3","0","0","0","8","0","2","0","3","33","29","28","26","74","134","6","53","61","48","85","110","186","2","11","19","20","18","27","21","0","6","10","12","18","18","34","4","17","20","17","21","33","32","2","21","26","17","23","28","63","0","4","1","7","6","2","8","2","10","3","4","2","4","8","471","123","100","30","33","11","12","10","86","133","32","25","3","4","2","1","1","15","177","37","37","25","16","8","5","1","18","44","7","7","0","0","3","0","0","0"
"s25","voters","121015","58","39","3","0","1","1","0","0","0","0","14","21","37","32","3","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","0","2","7","0","5","0","1","3","4","10","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","2","1","1","2","0","5","0","0","0","0","0","0","1","0","0","1","0","0","0","0","15","4","7","4","0","3","1","0","5","1","2","0","0","0","0","0","0","0","3","0","3","2","4","1","0","0","1","1","0","0","1","0","0","0","0","0"
"s25","voters","121016","1434","870","195","23","2","12","10","0","3","0","319","599","835","719","143","269","44","2","1","1","1","0","0","0","1","0","0","0","0","8","3","5","0","1","0","0","0","0","0","0","0","12","1","0","0","3","28","37","35","57","70","106","10","78","77","55","99","96","119","1","9","17","22","26","19","14","2","7","10","19","26","13","10","0","22","21","21","24","23","26","2","24","25","27","43","24","37","1","2","2","1","7","1","4","1","9","3","4","5","3","7","428","154","109","18","51","8","23","15","64","133","25","12","4","10","0","1","2","8","164","43","43","17","20","7","4","6","15","30","7","7","1","1","0","2","1","1"
"s25","voters","221021","17","9","3","1","0","0","0","0","0","0","4","7","10","8","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","2","2","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","2","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"s25","voters","245205","1919","906","620","67","7","15","15","0","5","1","283","861","1058","649","251","196","69","2","10","3","0","0","2","0","0","1","0","0","0","2","5","0","0","7","7","0","2","0","1","0","0","17","7","1","1","0","24","41","48","35","81","147","8","42","60","56","57","116","191","1","13","26","43","40","70","123","1","13","21","38","42","62","127","0","18","15","14","19","23","31","1","16","27","33","26","30","30","1","5","3","6","9","7","18","1","8","12","6","6","9","19","431","150","127","31","31","11","13","10","102","299","100","81","20","14","8","13","7","78","147","47","31","18","12","4","6","1","17","52","25","12","8","4","3","0","0","6"
"s25","voters","245212","1762","786","574","57","4","10","11","0","2","0","318","768","994","573","237","210","43","6","10","2","0","0","0","1","0","4","2","1","1","2","2","2","0","5","9","1","0","0","4","0","0","14","12","7","1","3","18","25","37","28","62","133","5","48","56","49","64","86","172","7","12","26","43","38","67","84","3","18","24","49","46","65","92","2","14","27","25","27","24","30","1","18","16","29","33","27","45","0","5","4","4","6","7","10","0","5","10","2","6","12","13","390","121","114","28","28","12","10","6","77","283","90","89","21","12","7","8","6","58","173","37","46","18","11","7","6","1","19","47","14","7","9","4","0","0","0","3"
"s25","voters","245220","1097","604","258","30","3","5","6","0","1","0","190","485","612","463","128","142","30","6","6","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","4","2","0","1","4","15","25","25","26","40","109","1","23","37","45","42","69","143","1","14","16","17","15","24","45","5","3","8","12","17","24","57","1","10","12","18","7","8","31","2","9","17","19","19","13","24","0","4","3","0","2","4","9","1","4","2","4","4","6","2","280","101","108","20","20","3","11","2","59","147","34","29","9","3","1","0","4","31","93","21","28","12","7","8","6","2","13","25","8","5","1","2","2","1","0","1"
