"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101","833","268","383","47","1","3","14","0","2","0","115","393","440","20","26","11","3","20","12","6","3","4","0","0","0","6","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","11","12","14","17","47","0","8","16","23","11","30","77","0","5","6","24","32","38","89","0","6","17","19","22","37","88","0","3","8","12","10","8","29","1","4","4","8","3","15","10","0","1","1","3","4","7","10","0","4","1","3","8","8","17","134","48","42","6","6","5","3","2","22","196","52","38","9","14","4","5","6","59","71","17","10","4","2","1","2","3","5","39","16","6","1","1","1","0","1","2"
"s25","voters","102","759","274","345","36","0","6","8","0","2","0","88","340","419","28","16","9","4","7","10","2","2","1","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","5","10","11","18","58","0","9","17","16","21","15","90","0","2","4","12","16","35","91","1","2","3","14","16","40","109","0","5","7","8","4","9","17","0","4","4","7","1","7","15","0","1","0","4","2","0","17","0","1","3","3","1","5","15","159","48","25","7","4","2","1","1","27","198","48","42","8","9","0","2","2","36","51","19","9","3","4","1","0","0","1","29","12","6","1","0","1","0","1","2"
"s25","voters","103","8","0","8","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","104","1237","556","391","61","8","14","13","0","7","0","187","576","661","74","27","21","9","25","12","10","5","2","0","1","0","2","0","0","0","5","3","1","1","6","6","0","1","1","0","0","1","2","1","0","2","1","8","24","40","36","39","68","0","11","57","65","42","49","116","0","7","13","27","21","40","83","0","5","10","19","29","52","85","2","2","13","31","21","21","23","4","2","13","19","14","10","12","0","3","4","10","11","9","19","0","1","10","5","7","8","16","317","110","53","17","10","5","9","2","33","206","72","35","16","3","6","7","2","44","121","23","14","8","4","3","3","0","11","73","11","7","3","1","1","2","2","3"
"s25","voters","105","551","251","160","38","1","6","10","0","2","0","83","251","300","44","17","18","13","4","8","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","4","8","14","14","15","38","0","10","19","20","27","21","61","0","3","4","10","10","17","33","1","4","8","10","11","15","34","1","5","12","6","10","6","9","0","2","4","7","12","5","4","0","1","4","7","7","4","9","0","4","5","2","7","5","2","133","37","28","6","6","3","2","2","34","78","32","18","4","5","1","2","1","19","52","9","9","6","1","2","0","0","4","36","12","5","1","0","0","0","1","2"
"s25","voters","106","879","259","446","41","3","6","13","0","0","0","111","422","457","17","21","3","1","20","6","3","3","0","0","0","0","1","2","0","0","2","0","0","0","0","0","0","0","1","0","1","0","2","0","1","0","0","1","8","14","16","15","52","0","6","10","28","15","24","70","1","10","9","22","30","39","111","1","6","13","27","26","45","106","0","2","5","8","8","9","29","2","5","4","8","11","7","13","0","1","1","5","3","7","16","0","2","2","4","2","1","19","134","50","21","11","3","3","5","4","28","216","66","47","14","4","1","10","8","80","53","18","11","10","7","1","2","1","8","37","15","5","1","0","2","1","1","1"
"s25","voters","107","741","256","354","30","1","4","8","0","2","0","86","370","371","16","18","3","2","17","13","1","1","0","0","0","0","2","1","0","1","1","0","1","0","2","0","0","0","0","0","0","0","3","0","0","0","0","1","15","15","5","20","53","0","6","20","22","9","19","71","0","7","13","21","28","36","75","1","3","13","19","19","30","89","0","2","8","10","8","9","17","1","0","4","5","6","4","12","0","2","3","0","3","7","12","0","1","4","1","1","6","5","140","45","23","8","6","1","5","1","27","170","56","41","17","11","5","6","1","47","41","16","9","2","4","2","0","2","10","30","8","4","0","2","0","0","0","1"
"s25","voters","108","759","266","326","35","7","5","8","0","1","0","111","349","410","21","25","13","8","8","3","2","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","19","11","17","50","0","5","10","26","17","25","76","0","11","11","32","18","35","62","1","6","13","15","24","41","57","0","2","6","9","10","8","15","2","2","10","11","16","10","10","0","1","2","1","4","6","9","1","3","5","5","2","5","12","133","51","24","11","8","5","1","2","31","175","56","30","9","9","4","6","1","36","55","18","16","6","4","3","1","1","7","32","16","3","1","1","0","2","1","0"
"s25","voters","109","286","91","134","14","1","2","2","0","0","0","42","132","154","5","7","6","4","5","15","1","0","0","0","0","0","1","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","1","4","0","5","18","0","0","4","7","6","12","32","0","1","7","4","12","14","36","0","2","8","7","1","18","24","1","0","1","1","3","3","10","0","0","1","3","4","4","11","0","0","0","2","0","2","5","0","0","3","0","1","1","5","42","13","15","0","3","1","1","0","16","59","16","25","5","6","1","3","2","17","17","7","5","5","0","1","0","1","6","8","4","3","0","1","2","0","0","1"
"s25","voters","110","586","219","218","36","0","8","13","0","0","0","92","294","292","41","21","18","4","8","3","6","4","1","0","0","0","0","0","0","0","2","1","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","3","6","11","13","17","48","0","1","5","12","13","19","71","2","6","2","11","16","11","59","0","4","6","17","13","18","53","0","3","5","10","9","11","21","0","4","3","4","8","4","10","1","1","2","2","4","6","14","1","0","1","7","2","7","9","97","44","27","4","5","0","4","5","33","113","32","27","9","5","1","3","1","27","37","23","12","7","4","1","3","0","5","29","12","6","1","2","1","2","0","4"
