"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"15","0010226","32","20","12","1","1487","0","0","0","0","0","0","0","0","0","915","0","0","0","0","0","0","0","0","0","0","0","629","285"
"15","0011151","35","22","16","1","1451","0","0","0","0","0","0","0","0","0","408","0","0","0","0","0","0","0","0","0","0","0","136","272"
"15","0011152","35","22","16","1","553","0","0","0","0","0","0","0","0","0","163","0","0","0","0","0","0","0","0","0","0","0","80","83"
"15","0011155","32","20","12","1","1305","0","0","0","0","0","0","0","0","0","672","0","0","0","0","0","0","0","0","0","0","0","481","189"
"15","0011190","32","20","12","1","1324","0","0","0","0","0","0","0","0","0","651","0","0","0","0","0","0","0","0","0","0","0","459","192"
"15","0011530","35","22","16","1","1342","0","0","0","0","0","0","0","0","0","416","0","0","0","0","0","0","0","0","0","0","0","129","284"
"15","0011540","35","22","16","1","1024","0","0","0","0","0","0","0","0","0","312","0","0","0","0","0","0","0","0","0","0","0","80","232"
"15","0011542","35","22","16","1","1072","0","0","0","0","0","0","0","0","0","309","0","0","0","0","0","0","0","0","0","0","0","95","214"
"15","0011544","35","22","16","1","1377","0","0","0","0","0","0","0","0","0","364","0","0","0","0","0","0","0","0","0","0","0","102","262"
"15","0011546","35","22","16","1","1023","0","0","0","0","0","0","0","0","0","281","0","0","0","0","0","0","0","0","0","0","0","76","205"
"15","0011548","35","22","16","1","1389","0","0","0","0","0","0","0","0","0","555","0","0","0","0","0","0","0","0","0","0","0","206","349"
"15","0011550","35","22","16","1","1474","0","0","0","0","0","0","0","0","0","511","0","0","0","0","0","0","0","0","0","0","0","182","326"
"15","0011552","35","22","16","1","1081","0","0","0","0","0","0","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","76","218"
"15","0011557","35","22","16","1","1043","0","0","0","0","0","0","0","0","0","275","0","0","0","0","0","0","0","0","0","0","0","71","204"
"15","0011570","35","22","16","1","1214","0","0","0","0","0","0","0","0","0","355","0","0","0","0","0","0","0","0","0","0","0","107","247"
"15","0011580","35","22","16","1","1205","0","0","0","0","0","0","0","0","0","393","0","0","0","0","0","0","0","0","0","0","0","116","277"
"15","0011590","35","22","16","1","1268","0","0","0","0","0","0","0","0","0","362","0","0","0","0","0","0","0","0","0","0","0","87","275"
"15","0011620","35","22","16","1","895","0","0","0","0","0","0","0","0","0","304","0","0","0","0","0","0","0","0","0","0","0","119","185"
"15","0011621","35","22","16","1","1266","0","0","0","0","0","0","0","0","0","345","0","0","0","0","0","0","0","0","0","0","0","86","256"
"15","0011626","35","22","16","1","924","0","0","0","0","0","0","0","0","0","292","0","0","0","0","0","0","0","0","0","0","0","106","184"
"15","0011628","35","22","16","1","1053","0","0","0","0","0","0","0","0","0","292","0","0","0","0","0","0","0","0","0","0","0","87","204"
"15","0011719","32","20","12","1","1243","0","0","0","0","0","0","0","0","0","678","0","0","0","0","0","0","0","0","0","0","0","444","234"
"15","0011991","32","20","12","1","1031","0","0","0","0","0","0","0","0","0","638","0","0","0","0","0","0","0","0","0","0","0","462","176"
"15","0012050","35","22","16","1","1087","0","0","0","0","0","0","0","0","0","314","0","0","0","0","0","0","0","0","0","0","0","107","207"
"15","0012052","35","22","16","1","1247","0","0","0","0","0","0","0","0","0","380","0","0","0","0","0","0","0","0","0","0","0","132","248"
"15","0012171","32","20","12","1","1227","0","0","0","0","0","0","0","0","0","556","0","0","0","0","0","0","0","0","0","0","0","392","164"
"15","0012402","35","22","16","1","1236","0","0","0","0","0","0","0","0","0","372","0","0","0","0","0","0","0","0","0","0","0","87","285"
"15","0012505","32","20","12","1","1149","0","0","0","0","0","0","0","0","0","629","0","0","0","0","0","0","0","0","0","0","0","468","160"
"15","0012596","35","22","16","1","1211","0","0","0","0","0","0","0","0","0","357","0","0","0","0","0","0","0","0","0","0","0","111","246"
"15","0012620","32","20","12","1","1080","0","0","0","0","0","0","0","0","0","346","0","0","0","0","0","0","0","0","0","0","0","206","140"
"15","0012623","32","20","12","1","1192","0","0","0","0","0","0","0","0","0","496","0","0","0","0","0","0","0","0","0","0","0","352","144"
"15","0012626","32","20","12","1","1135","0","0","0","0","0","0","0","0","0","389","0","0","0","0","0","0","0","0","0","0","0","272","116"
"15","0012627","32","20","12","1","1339","0","0","0","0","0","0","0","0","0","522","0","0","0","0","0","0","0","0","0","0","0","352","170"
"15","0012650","32","20","12","1","1382","0","0","0","0","0","0","0","0","0","722","0","0","0","0","0","0","0","0","0","0","0","585","137"
"15","0012656","32","20","12","1","1049","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0","0","0","0","0","0","0","485","98"
"15","0012664","32","20","12","1","1474","0","0","0","0","0","0","0","0","0","871","0","0","0","0","0","0","0","0","0","0","0","671","198"
"15","0012680","32","22","12","1","930","0","0","0","0","0","0","0","0","0","356","0","0","0","0","0","0","0","0","0","0","0","264","92"
"15","0012700","32","20","12","1","1136","0","0","0","0","0","0","0","0","0","531","0","0","0","0","0","0","0","0","0","0","0","413","118"
"15","0012709","32","20","12","1","1056","0","0","0","0","0","0","0","0","0","422","0","0","0","0","0","0","0","0","0","0","0","305","116"
"15","0012847","32","20","12","1","1329","0","0","0","0","0","0","0","0","0","638","0","0","0","0","0","0","0","0","0","0","0","445","193"
"15","0012920","32","20","12","1","1308","0","0","0","0","0","0","0","0","0","633","0","0","0","0","0","0","0","0","0","0","0","371","262"
"15","0012921","32","20","12","1","1184","0","0","0","0","0","0","0","0","0","433","0","0","0","0","0","0","0","0","0","0","0","226","207"
"15","0012922","32","20","12","1","1323","0","0","0","0","0","0","0","0","0","654","0","0","0","0","0","0","0","0","0","0","0","391","261"
"15","0012923","32","20","12","1","1317","0","0","0","0","0","0","0","0","0","549","0","0","0","0","0","0","0","0","0","0","0","298","251"
