"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0010226","911","222","562","44","1","2","9","0","3","0","68","445","466","57","57","8","9","7","14","4","2","1","0","1","1","0","3","1","0","1","0","0","0","2","3","1","0","0","0","0","0","1","1","0","0","1","6","3","7","9","15","60","0","4","4","12","12","20","69","2","17","7","24","28","42","150","1","11","8","27","28","42","175","0","1","1","5","4","4","26","0","3","2","4","6","4","8","0","0","0","5","3","8","17","0","0","0","2","3","7","14","118","49","24","6","4","0","4","4","13","309","78","67","24","10","2","3","7","62","35","16","3","7","0","1","0","1","5","38","9","6","3","0","0","0","0","3"
"s25","voters","0011151","405","234","100","10","0","1","4","0","1","0","55","166","239","211","59","47","12","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","0","2","18","13","11","14","14","11","4","34","26","29","23","17","18","1","5","5","11","7","8","8","0","4","7","12","9","7","16","0","6","4","9","4","3","2","0","8","6","7","2","2","2","0","0","3","4","1","1","1","0","2","2","1","0","1","0","126","40","26","5","4","0","5","4","24","59","18","13","1","1","0","0","2","6","32","7","4","4","5","1","1","1","0","11","3","1","0","0","0","0","0","1"
"s25","voters","0011152","150","56","66","6","3","3","0","0","0","0","16","56","94","52","25","11","7","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","1","7","6","0","8","6","4","4","4","10","0","1","2","4","4","7","9","0","3","4","5","6","7","14","0","1","1","2","1","1","0","0","4","3","0","0","0","3","0","2","0","0","0","1","0","0","1","3","2","0","1","2","25","12","7","1","1","0","0","1","9","30","15","6","3","1","1","0","2","8","7","4","1","1","0","0","2","0","1","8","3","0","0","0","0","0","0","1"
"s25","voters","0011155","658","146","392","37","3","7","2","0","1","0","70","316","342","24","24","4","4","1","13","4","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","4","3","4","6","35","0","3","6","4","6","24","48","2","3","9","13","15","46","115","0","4","6","17","20","48","94","0","2","5","3","4","3","17","0","0","5","3","2","11","15","0","0","1","2","2","5","14","0","1","0","2","3","8","12","82","19","21","8","1","0","0","0","15","205","61","50","20","10","3","7","4","32","34","7","12","7","2","1","1","0","6","24","11","8","1","0","0","2","2","2"
"s25","voters","0011190","644","142","359","45","5","11","3","0","3","0","76","319","325","18","22","8","7","5","10","2","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","4","1","0","0","3","6","7","0","13","34","0","1","7","9","5","17","40","1","8","11","15","23","35","80","1","4","13","22","22","33","91","0","4","4","2","4","15","19","0","1","0","5","2","8","12","1","1","0","3","5","9","16","0","1","2","4","4","4","17","86","21","19","4","1","0","1","0","10","209","57","46","9","8","1","2","1","26","43","7","12","6","1","1","0","2","4","37","8","14","2","2","0","3","0","1"
"s25","voters","0011530","413","250","85","13","1","4","2","0","0","0","58","164","249","212","52","47","17","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","12","10","5","0","0","7","10","9","13","21","25","3","23","29","16","20","30","44","0","1","6","10","4","6","12","0","6","9","5","6","7","13","1","6","4","5","4","6","1","1","3","10","5","2","4","6","0","1","4","4","3","0","1","0","2","2","2","0","0","1","129","36","38","5","4","2","3","3","30","52","10","11","1","1","0","1","0","9","35","11","3","5","2","0","0","1","1","14","4","2","0","0","0","0","0","0"
"s25","voters","0011540","316","192","54","12","1","7","1","0","1","0","48","124","192","147","35","33","10","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","7","6","4","1","11","4","6","5","13","32","3","12","17","13","15","21","39","0","3","3","3","2","4","7","0","3","2","7","2","5","13","0","4","6","2","1","1","5","2","5","5","3","2","6","6","0","0","1","7","0","0","3","0","0","5","1","1","1","3","109","30","23","1","4","3","1","6","15","32","9","6","1","0","0","1","0","5","32","3","3","4","2","1","1","0","2","11","5","5","1","0","0","0","0","0"
"s25","voters","0011542","279","144","73","14","0","4","2","0","0","0","42","119","160","118","59","35","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","11","3","3","0","3","16","15","2","6","6","0","13","29","27","10","7","10","1","5","3","13","6","1","6","0","6","5","10","6","5","6","1","6","6","5","2","2","3","1","3","2","6","1","1","3","0","0","3","2","2","2","2","0","1","3","2","3","0","0","98","21","14","2","4","1","2","1","1","49","10","7","3","0","2","0","1","1","35","3","3","0","0","1","0","0","0","14","4","1","0","0","0","0","0","1"
"s25","voters","0011544","362","217","59","9","1","4","0","0","0","0","72","157","205","194","52","70","9","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","1","1","17","17","3","15","13","19","2","25","34","18","28","13","12","0","9","5","7","5","4","3","0","1","5","7","6","3","4","0","9","7","5","4","4","3","1","12","12","4","6","5","0","0","1","1","1","2","0","2","0","0","3","1","1","2","0","96","37","35","5","10","4","9","3","18","36","5","13","1","1","0","0","0","3","38","8","4","12","5","1","1","1","2","8","1","4","0","1","0","0","0","0"
"s25","voters","0011546","280","187","43","4","2","3","1","0","2","0","38","121","159","156","27","25","10","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","14","8","3","2","1","3","21","14","6","13","21","2","26","23","6","6","17","28","0","3","3","4","2","5","4","0","2","3","9","0","5","3","0","3","2","3","4","2","1","0","4","8","5","1","2","3","0","1","4","0","1","0","0","0","2","2","0","0","1","1","102","37","18","5","3","4","2","1","15","33","6","4","0","0","0","0","0","0","27","6","4","1","0","0","0","0","0","8","3","1","0","0","0","0","0","0"
"s25","voters","0011548","553","301","145","17","1","7","3","0","4","0","75","252","301","227","75","54","24","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","31","15","5","4","0","13","21","16","12","22","41","2","20","30","17","31","37","39","0","6","5","9","9","18","27","0","4","8","8","7","19","25","0","5","12","5","3","6","8","0","6","12","5","3","4","6","0","2","4","2","4","0","2","1","2","3","3","0","4","5","133","49","50","12","10","1","9","4","33","78","22","16","6","4","1","2","2","14","41","10","5","5","7","1","2","1","3","19","6","5","0","0","0","0","0","2"
"s25","voters","0011550","511","275","121","15","3","4","1","0","1","0","91","215","296","201","61","63","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","32","19","10","3","1","12","18","11","6","23","39","1","25","26","17","11","28","57","0","4","5","3","8","14","20","0","5","4","6","5","15","32","2","6","4","9","5","7","8","2","11","8","5","6","8","10","0","1","2","1","2","2","2","0","3","1","3","2","2","3","138","59","25","7","5","5","9","0","27","65","18","12","3","1","1","1","0","20","52","16","10","6","2","2","1","0","2","15","5","3","1","0","0","0","0","0"
"s25","voters","0011552","286","173","41","3","2","6","2","0","2","0","57","113","173","135","18","47","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","10","7","4","0","9","4","7","10","13","19","0","20","19","10","14","12","36","0","1","1","3","7","2","5","0","5","2","3","5","4","3","0","8","3","1","3","4","4","2","4","3","7","7","6","5","0","2","1","1","0","0","5","1","2","0","0","0","1","2","85","25","16","5","7","4","7","1","23","21","6","7","2","1","0","2","0","2","35","6","8","2","2","0","0","1","3","11","1","2","1","0","0","0","0","0"
"s25","voters","0011557","278","186","41","7","0","1","2","0","0","0","41","116","162","161","32","32","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","6","0","0","2","10","11","13","6","12","25","5","17","13","13","12","16","31","1","3","4","2","3","4","3","0","2","3","4","2","3","7","1","4","1","1","2","2","4","1","9","6","2","3","3","2","0","1","0","0","0","0","1","0","2","2","1","0","2","1","96","31","24","4","11","2","3","1","14","26","5","5","3","0","0","0","0","2","26","6","3","2","2","1","1","0","0","6","2","1","0","1","0","0","0","0"
