"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1101","526","152","284","27","1","1","4","0","1","0","56","230","296","63","43","13","10","3","7","2","0","0","1","0","0","0","0","1","0","0","4","0","0","0","10","1","0","0","1","0","0","4","4","2","1","1","4","9","3","10","8","18","4","12","22","15","11","5","30","3","9","17","22","22","20","42","1","10","20","20","26","22","50","0","5","5","6","3","0","4","0","6","9","5","6","1","6","0","2","4","3","4","1","5","0","1","0","3","2","3","6","107","14","6","0","5","4","2","1","13","152","44","28","11","6","4","7","3","29","40","8","2","2","1","1","0","0","2","27","1","2","2","1","0","0","0","1"
"s25","voters","1102","345","154","134","9","5","3","3","0","0","0","37","147","198","90","29","23","10","1","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","14","5","1","0","0","2","17","5","5","14","19","1","17","19","10","12","17","16","0","5","7","9","11","13","17","0","6","6","16","9","16","19","0","1","4","3","0","1","4","2","3","5","8","3","1","2","0","3","1","2","1","1","2","1","3","2","1","0","1","2","81","33","19","5","2","1","5","0","8","69","19","20","3","0","2","4","1","16","21","4","6","0","4","0","0","1","1","15","4","1","0","0","0","0","0","0"
"s25","voters","1103","1343","412","653","71","5","10","12","0","3","0","177","601","742","201","118","81","31","7","12","0","0","0","0","0","0","3","2","1","0","0","0","2","0","2","6","1","0","0","0","0","0","9","22","2","3","1","16","21","18","19","21","52","4","40","37","40","33","37","73","1","11","22","48","59","67","112","1","20","31","44","58","76","103","0","23","13","13","18","14","11","3","15","19","16","14","10","8","0","2","8","5","8","7","11","1","8","11","13","6","12","9","245","59","56","9","7","5","3","3","25","340","114","74","25","12","13","8","4","63","117","24","9","7","4","1","1","2","12","70","13","12","2","1","1","1","0","1"
"s25","voters","1104","513","150","255","28","0","3","3","0","1","0","73","242","271","67","51","25","12","0","3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","7","13","5","0","0","9","6","7","11","13","14","0","11","9","14","18","15","23","1","11","8","11","20","43","34","1","2","9","20","18","38","39","0","4","3","8","3","5","11","0","5","7","6","8","10","3","1","2","3","1","2","4","7","0","3","3","1","0","3","5","90","20","26","4","3","1","1","0","5","125","44","28","14","6","1","7","5","25","40","8","13","3","4","1","2","0","2","24","3","5","1","1","0","0","0","1"
"s25","voters","1105","1206","368","592","45","4","9","13","0","4","0","171","555","651","151","119","59","20","6","22","2","2","0","0","0","0","2","0","0","0","1","1","0","0","3","2","1","0","0","1","0","0","5","25","5","2","3","21","16","21","18","23","49","4","24","38","34","21","33","63","2","15","22","52","49","55","93","0","10","28","47","46","68","105","0","12","16","17","12","12","13","2","12","12","12","16","10","25","0","2","4","4","6","9","9","2","6","5","9","4","8","7","208","55","41","11","12","3","7","3","28","301","91","77","25","12","10","11","3","62","96","21","20","10","8","2","1","2","11","47","12","5","2","3","2","1","0","3"
"s25","voters","1106","916","365","328","52","4","4","7","0","6","0","150","414","502","198","82","51","28","1","1","5","4","0","0","0","0","1","4","0","1","3","2","1","1","4","3","1","0","0","0","0","0","5","13","8","1","5","14","19","24","21","29","40","1","36","33","31","24","27","61","0","10","20","24","30","35","37","1","5","20","29","32","31","54","2","11","9","14","11","9","10","2","15","19","17","7","7","17","0","5","7","5","10","4","9","1","5","7","3","4","6","7","218","59","37","4","16","4","7","0","20","201","56","26","9","10","6","4","1","15","87","25","16","8","5","4","2","0","3","51","10","7","2","2","0","0","0","1"
"s25","voters","1201","774","263","393","20","0","6","5","0","2","0","85","350","424","147","107","45","15","3","4","1","0","0","0","0","0","1","1","0","0","1","0","1","0","2","2","0","0","0","0","0","0","5","7","3","2","2","10","10","10","8","18","44","2","23","15","16","19","32","54","2","11","16","22","40","40","61","1","14","20","22","37","44","63","0","7","7","5","9","6","10","1","9","3","5","6","7","10","0","3","3","2","0","1","3","0","1","2","2","5","6","5","147","37","19","8","3","5","8","1","35","229","41","44","14","7","1","5","5","47","46","9","10","6","4","2","2","0","6","22","5","4","1","1","0","0","0","0"
"s25","voters","1202","640","331","161","16","4","5","3","0","0","0","120","287","353","259","91","81","21","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","0","0","0","0","2","1","0","0","4","14","22","14","10","22","49","1","34","43","24","17","22","55","2","9","14","13","12","18","15","1","10","11","10","14","17","15","3","9","15","8","6","5","7","2","14","22","11","7","5","6","0","5","5","0","3","0","3","0","3","2","3","3","0","1","178","54","36","14","10","6","6","2","25","114","17","11","3","2","1","2","0","11","85","14","7","4","3","1","1","1","4","19","8","1","0","0","0","0","0","0"
"s25","voters","1203","1847","920","589","65","8","20","15","0","4","0","226","802","1045","674","228","154","56","3","8","2","1","1","0","0","0","0","1","0","0","0","9","0","0","5","11","0","0","0","0","0","1","8","3","5","3","1","40","33","32","37","62","145","15","62","93","60","56","95","189","1","28","33","43","37","56","84","1","16","31","37","55","66","101","2","14","15","16","16","16","28","6","23","21","25","9","12","23","0","5","13","9","11","11","14","0","7","8","16","5","8","5","516","139","109","27","13","11","22","6","77","316","82","80","22","12","6","14","8","49","141","23","27","11","5","3","4","4","8","65","24","11","8","1","0","0","0","3"
"s25","voters","1204","12","2","8","0","0","0","1","0","0","0","1","4","8","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","6","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"s25","voters","1205","217","101","54","4","1","0","3","0","2","0","52","91","126","80","29","39","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","3","6","5","7","14","0","12","13","5","10","6","17","1","3","3","6","5","3","8","0","1","4","5","4","3","8","0","6","4","4","1","0","3","3","11","4","4","6","2","4","0","1","2","2","1","0","0","0","1","2","1","0","0","0","44","17","19","2","5","0","5","1","8","35","3","5","2","0","0","3","1","5","37","5","3","2","2","0","0","0","3","7","2","1","0","0","0","0","0","0"
"s25","voters","1301","1661","245","1172","63","4","13","15","0","5","0","144","819","842","94","128","46","21","1","19","1","2","0","0","0","0","4","5","0","0","0","0","0","0","3","36","6","1","0","0","0","0","6","16","3","1","3","6","6","12","15","10","40","4","18","17","25","9","20","60","6","58","50","79","80","131","203","4","33","39","69","95","129","196","0","13","13","13","15","10","12","1","12","13","14","9","6","13","2","6","5","4","6","9","12","2","11","6","6","7","12","12","142","41","27","1","3","1","1","2","27","615","152","137","53","22","16","23","13","141","76","19","15","7","7","4","2","1","13","68","13","5","3","3","2","1","2","3"
"s25","voters","1302","57","9","36","3","0","0","1","0","0","0","8","28","29","4","5","5","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","4","0","0","0","2","4","1","10","0","1","0","3","3","3","9","0","2","0","1","0","1","0","0","0","0","2","0","0","2","0","1","0","0","0","0","2","0","0","0","0","0","1","0","8","0","1","0","0","0","0","0","0","15","7","6","1","0","0","0","1","6","6","1","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0"
"s25","voters","1303","3005","840","1549","139","6","21","22","0","9","0","419","1377","1628","347","356","138","57","14","38","11","7","3","2","0","0","7","2","2","1","3","8","4","0","8","6","7","0","0","2","1","1","25","42","13","8","6","31","43","46","53","46","84","10","54","90","87","89","88","113","6","49","79","136","172","168","162","6","56","80","164","175","132","164","4","22","42","35","46","38","19","2","25","38","46","34","40","28","1","11","12","15","14","21","16","1","20","18","18","15","18","17","501","117","111","28","13","6","8","6","50","890","248","197","52","26","13","14","17","92","261","59","49","17","9","5","5","3","11","140","26","18","7","1","1","2","0","2"
"s25","voters","1304","203","57","117","3","0","0","3","0","1","0","22","94","109","16","22","9","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","1","0","0","1","4","5","6","3","4","0","6","1","9","5","4","9","1","0","3","16","11","11","13","0","2","4","16","11","15","14","0","1","1","3","6","1","0","0","1","3","2","1","2","1","0","0","1","1","1","1","0","0","1","1","1","0","0","0","37","7","5","5","1","1","1","0","0","63","16","13","5","10","6","1","1","2","13","3","2","3","0","0","0","0","1","4","2","1","0","0","0","0","0","0"
"s25","voters","1305","619","192","301","34","2","4","8","0","3","0","75","269","350","81","51","31","18","7","0","4","1","0","0","1","0","0","2","0","0","0","2","0","0","2","1","1","0","0","2","0","0","6","5","0","1","0","5","6","8","15","14","26","2","9","18","16","21","18","34","1","7","10","19","21","32","49","0","7","13","20","24","39","59","0","4","7","8","6","2","6","3","6","6","9","6","6","6","0","3","6","0","4","3","7","0","5","5","5","3","4","6","100","36","20","4","7","1","3","1","20","175","40","38","10","8","0","2","2","26","41","9","10","4","4","0","0","2","5","26","12","10","1","1","0","0","0","1"
"s25","voters","1306","677","205","344","23","7","4","7","1","3","0","83","309","368","88","81","24","16","6","12","2","0","0","0","0","0","0","0","0","0","1","0","1","0","1","4","2","0","1","0","1","0","4","8","5","3","1","2","11","8","12","14","20","3","12","20","21","22","15","44","4","17","21","24","40","33","40","0","12","11","25","34","33","50","1","7","2","4","14","7","9","0","6","11","6","7","3","6","0","3","1","3","5","1","5","0","3","7","4","6","3","4","119","34","25","5","9","2","2","0","9","210","46","42","13","7","4","3","1","18","44","11","8","4","5","0","3","1","7","33","4","3","0","1","1","1","0","2"
"s25","voters","1307","74","23","30","3","2","1","0","0","0","0","15","29","45","12","11","7","3","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","2","3","0","1","0","2","6","2","2","2","2","0","1","1","2","5","2","3","1","0","4","1","4","3","3","0","1","2","1","0","1","0","0","1","6","1","0","1","1","0","0","2","0","0","0","1","0","0","0","1","0","1","1","12","6","1","2","1","0","0","0","1","15","3","6","3","0","0","0","0","3","10","3","1","0","0","0","1","0","0","3","2","0","1","0","0","0","0","0"
