"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"17","111","4","4","2","2","1213","0","0","0","0","0","0","0","0","0","681","0","0","0","0","0","0","0","0","0","0","0","356","325"
"17","113","4","4","2","2","2073","0","0","0","0","0","0","0","0","0","1156","0","0","0","0","0","0","0","0","0","0","0","577","579"
"17","116","4","4","2","2","1976","0","0","0","0","0","0","0","0","0","1101","0","0","0","0","0","0","0","0","0","0","0","557","544"
"17","121","4","4","2","2","254","0","0","0","0","0","0","0","0","0","135","0","0","0","0","0","0","0","0","0","0","0","66","69"
"17","122","4","4","2","2","69","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","21","25"
"17","123","4","4","2","2","182","0","0","0","0","0","0","0","0","0","91","0","0","0","0","0","0","0","0","0","0","0","65","26"
"17","126","4","4","2","2","1177","0","0","0","0","0","0","0","0","0","627","0","0","0","0","0","0","0","0","0","0","0","363","264"
"17","128","4","4","2","2","45","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","10","15"
"17","130","4","4","2","2","16","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","7","7"
"17","131","4","4","2","2","141","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","45","18"
"17","141","4","4","2","2","1104","0","0","0","0","0","0","0","0","0","491","0","0","0","0","0","0","0","0","0","0","0","237","254"
"17","211","4","4","2","2","2214","0","0","0","0","0","0","0","0","0","946","0","0","0","0","0","0","0","0","0","0","0","414","531"
"17","214","4","4","2","2","1962","0","0","0","0","0","0","0","0","0","794","0","0","0","0","0","0","0","0","0","0","0","372","420"
"17","216","4","4","2","2","1971","0","0","0","0","0","0","0","0","0","803","0","0","0","0","0","0","0","0","0","0","0","341","460"
"17","222","4","4","2","2","12","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","***","***"
"17","311","4","4","2","2","1621","0","0","0","0","0","0","0","0","0","857","0","0","0","0","0","0","0","0","0","0","0","511","346"
"17","341","4","4","2","2","1393","0","0","0","0","0","0","0","0","0","754","0","0","0","0","0","0","0","0","0","0","0","380","374"
"17","343","4","4","2","2","23","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","9","7"
"17","351","4","4","2","2","1693","0","0","0","0","0","0","0","0","0","926","0","0","0","0","0","0","0","0","0","0","0","437","488"
"17","354","4","4","2","2","166","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","33","47"
"17","361","4","4","2","2","57","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","22","9"
"17","381","4","4","2","2","2152","0","0","0","0","0","0","0","0","0","1195","0","0","0","0","0","0","0","0","0","0","0","609","585"
"17","390","4","4","2","2","187","0","0","0","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0","0","0","48","51"
"17","391","4","4","2","2","203","0","0","0","0","0","0","0","0","0","102","0","0","0","0","0","0","0","0","0","0","0","51","51"
"17","411","4","4","2","2","1472","0","0","0","0","0","0","0","0","0","905","0","0","0","0","0","0","0","0","0","0","0","443","461"
"17","413","4","4","2","2","1718","0","0","0","0","0","0","0","0","0","941","0","0","0","0","0","0","0","0","0","0","0","441","497"
"17","421","4","4","2","2","937","0","0","0","0","0","0","0","0","0","605","0","0","0","0","0","0","0","0","0","0","0","340","264"
"17","430","4","4","2","2","2022","0","0","0","0","0","0","0","0","0","1175","0","0","0","0","0","0","0","0","0","0","0","595","580"
"17","441","4","4","2","2","1354","0","0","0","0","0","0","0","0","0","738","0","0","0","0","0","0","0","0","0","0","0","441","297"
"17","452","4","4","2","2","97","0","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","38","26"
"17","455","4","4","2","2","261","0","0","0","0","0","0","0","0","0","139","0","0","0","0","0","0","0","0","0","0","0","60","79"
"17","461","4","4","2","2","95","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","31","31"
"17","511","4","4","2","2","99","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","29","21"
"17","519","4","4","2","2","1202","0","0","0","0","0","0","0","0","0","792","0","0","0","0","0","0","0","0","0","0","0","341","449"
"17","520","4","4","2","2","2450","0","0","0","0","0","0","0","0","0","1316","0","0","0","0","0","0","0","0","0","0","0","703","613"
"17","530","4","4","2","2","2690","0","0","0","0","0","0","0","0","0","1513","0","0","0","0","0","0","0","0","0","0","0","736","777"
"17","551","4","4","2","2","118","0","0","0","0","0","0","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","38","43"
"17","561","4","4","2","2","2241","0","0","0","0","0","0","0","0","0","1342","0","0","0","0","0","0","0","0","0","0","0","626","716"
"17","CNTYTOT","152","152","76","76","38660","0","0","0","0","0","0","0","0","0","20763","0","0","0","0","0","0","0","0","0","0","0","10399","10350"
