"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","111","666","256","253","36","2","7","7","0","3","0","102","309","357","47","13","11","6","8","5","5","4","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","1","2","2","0","0","5","6","8","11","22","55","0","8","8","14","22","35","62","0","5","11","18","20","23","48","0","4","9","22","14","23","56","1","2","4","8","9","10","20","2","3","5","5","8","12","13","1","1","0","4","5","4","8","1","5","3","2","3","8","10","130","39","37","11","13","1","5","0","20","145","35","29","9","5","1","1","3","25","52","12","17","7","2","0","0","2","10","36","6","7","0","4","0","0","0","2"
"s25","voters","113","1133","475","424","65","4","6","24","0","6","0","129","538","595","39","16","15","7","14","15","4","3","1","3","0","0","1","2","0","0","2","5","2","0","1","0","0","0","0","0","0","0","2","5","1","3","0","3","10","21","22","44","87","1","9","21","36","41","48","132","2","10","18","28","44","61","64","1","12","11","28","37","38","70","0","4","6","16","11","12","21","3","5","5","5","11","17","13","0","3","6","7","6","10","22","1","2","5","10","9","7","17","251","83","52","16","23","3","12","3","32","233","60","53","14","19","5","5","1","34","72","13","19","11","1","2","5","0","6","69","20","8","2","4","0","1","0","1"
"s25","voters","116","1071","422","392","78","2","7","18","0","4","0","148","517","554","63","17","20","12","17","14","8","0","0","0","0","0","2","1","1","0","6","1","1","0","0","0","0","0","0","0","0","0","3","3","2","0","0","7","9","22","14","30","87","0","3","22","17","34","56","121","0","1","17","35","39","49","74","0","3","11","26","27","45","65","2","2","4","14","7","14","30","2","7","7","12","11","17","19","0","4","6","12","6","12","20","0","5","8","6","2","11","17","238","83","50","8","15","3","4","2","19","231","60","53","16","9","3","3","4","13","72","25","13","10","5","1","5","1","16","67","23","14","0","1","0","0","1","3"
"s25","voters","121","134","56","53","8","0","1","2","0","1","0","13","60","74","7","1","0","3","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","14","0","0","1","5","2","8","19","0","1","1","4","5","7","7","0","3","1","1","7","7","9","0","1","0","0","4","1","3","0","0","0","0","2","0","2","0","0","2","1","1","0","1","0","0","0","2","1","1","3","40","4","6","1","1","0","1","0","3","30","7","5","3","1","0","0","0","7","6","2","3","0","0","0","0","0","2","8","3","1","0","0","0","0","0","0"
"s25","voters","122","46","21","13","3","0","0","0","0","0","0","9","23","23","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","2","0","6","0","0","2","4","1","0","4","0","0","0","0","0","1","5","0","0","0","0","1","0","6","0","0","1","1","0","3","1","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","8","5","1","1","1","2","0","0","3","10","1","0","0","1","0","0","0","1","6","1","1","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0"
"s25","voters","123","93","21","50","5","0","0","1","0","0","0","16","45","48","5","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","3","0","0","1","1","1","3","8","0","2","0","4","2","8","11","0","0","1","2","2","10","8","0","0","1","0","4","0","2","1","2","0","1","1","3","1","0","0","0","1","1","2","0","0","0","0","0","1","0","1","11","6","1","1","0","1","1","0","0","33","7","2","0","1","0","0","0","7","12","1","1","0","0","0","0","0","2","2","2","0","2","0","0","0","0","0"
"s25","voters","126","606","201","272","34","1","3","6","0","6","0","83","278","328","34","20","17","4","7","6","2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","3","2","1","0","0","1","6","9","5","16","43","0","7","7","10","11","26","60","0","4","11","15","13","29","64","1","8","11","18","12","27","59","0","2","5","8","4","8","11","0","3","6","6","6","8","16","0","1","1","2","8","4","8","0","5","3","1","4","4","9","93","46","22","9","5","3","5","0","18","165","27","31","14","10","2","1","2","20","54","13","10","4","0","0","0","0","2","26","8","10","2","2","0","1","0","1"
"s25","voters","128","25","11","8","3","0","1","0","0","0","0","2","11","14","1","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2","0","0","0","0","1","1","5","0","0","0","0","0","2","2","0","0","0","0","0","3","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2","4","2","2","0","0","1","0","0","2","6","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"s25","voters","130","14","4","6","1","0","1","0","0","0","0","2","9","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","0","0","1","2","0","0","0","1","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"s25","voters","131","63","14","33","6","1","0","0","0","4","0","5","28","35","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","1","0","1","3","4","0","1","1","2","1","6","6","0","2","2","2","1","3","6","0","0","0","0","1","1","0","0","1","0","0","2","0","0","0","0","0","1","1","1","1","0","1","0","1","2","2","1","7","4","2","0","1","0","0","0","0","14","6","7","1","1","0","0","0","4","3","1","0","0","0","0","1","0","0","7","2","0","0","0","1","0","0","1"
