"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","CP01","504","143","263","29","2","1","5","0","3","0","58","246","258","15","17","5","2","1","11","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","1","0","0","1","2","1","3","9","43","1","1","1","2","4","22","53","0","3","11","12","13","29","61","1","3","14","18","18","28","52","0","1","3","5","9","4","15","0","1","1","2","3","7","7","0","0","1","3","0","2","15","0","1","2","4","3","2","7","65","17","16","5","5","2","1","0","32","125","42","47","10","10","2","4","4","19","24","8","11","4","0","2","1","0","8","14","10","8","1","2","0","3","0","2"
"s25","voters","CP04","673","81","477","37","1","1","3","0","0","0","73","336","337","10","33","7","6","3","13","4","1","0","0","1","1","0","0","0","0","0","2","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","22","0","2","1","5","5","8","30","1","15","15","35","43","41","98","2","11","12","31","40","43","90","0","4","5","8","4","7","13","0","4","0","10","4","3","11","0","0","1","1","2","3","10","1","1","3","4","1","9","6","27","10","7","7","2","0","2","1","25","249","60","59","12","16","5","6","6","64","41","9","4","2","1","1","4","0","11","26","4","4","1","2","1","0","1","3"
"s25","voters","CP05","300","42","208","12","0","1","3","0","0","0","34","149","151","5","6","3","1","0","7","2","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","4","10","0","2","1","1","2","2","17","0","5","5","15","17","28","37","2","5","4","14","10","25","41","0","0","2","1","3","2","10","0","2","0","5","3","3","3","0","0","0","2","0","4","1","0","1","1","2","1","3","1","28","6","2","1","1","0","0","0","4","111","24","21","6","14","5","1","0","26","19","3","4","2","0","0","0","1","5","12","3","1","0","0","0","0","0","0"
"s25","voters","CP07","168","47","89","8","0","2","4","0","0","0","18","74","94","0","1","5","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","2","1","0","6","2","6","0","1","6","0","3","6","14","0","2","3","8","8","6","14","0","2","9","8","8","7","14","0","1","0","2","1","2","4","0","0","2","2","0","2","2","0","1","1","2","1","0","1","0","0","1","2","2","0","3","22","6","5","2","1","0","0","0","11","59","10","6","2","3","1","0","1","7","12","1","3","0","0","1","0","0","1","6","5","2","0","0","0","0","0","1"
"s25","voters","CP09","202","40","117","15","1","1","7","0","1","0","20","88","114","1","6","1","1","2","2","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","2","7","0","0","2","2","1","6","20","1","1","7","9","9","7","25","0","2","7","4","8","13","24","0","0","1","1","0","4","5","0","0","3","3","1","0","2","1","0","2","1","0","3","2","0","0","2","3","2","2","7","18","15","5","0","0","0","1","0","1","70","16","14","4","3","1","0","2","7","15","0","1","3","0","0","0","0","1","19","3","1","1","0","0","0","0","1"
"s25","voters","CP11","623","88","428","37","1","2","8","0","0","0","59","317","306","8","18","3","4","1","8","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","5","3","22","0","0","1","3","3","11","38","4","16","14","28","38","47","74","4","12","15","32","31","51","62","1","0","5","7","4","6","14","0","1","3","3","4","3","8","0","0","2","1","4","6","14","0","2","3","5","1","5","5","43","11","7","4","2","0","1","1","19","222","67","53","19","9","5","4","7","42","30","7","3","5","2","1","1","1","9","28","11","2","1","1","1","1","1","2"
"s25","voters","CP12","588","53","436","28","1","4","5","0","0","0","61","286","302","4","28","3","3","1","20","4","2","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","1","0","0","0","2","0","0","0","0","1","1","1","0","15","0","0","1","3","2","8","21","0","17","23","22","34","50","67","0","13","20","26","29","57","78","1","1","6","4","5","13","9","0","0","3","4","5","4","6","0","1","1","4","2","3","5","0","1","0","5","4","6","6","22","10","9","3","2","2","0","1","4","249","63","38","19","10","1","3","6","47","34","8","7","3","4","0","1","0","4","26","6","1","1","1","1","1","0","1"
"s25","voters","CP13","558","74","398","28","0","5","6","0","1","0","46","279","279","7","21","11","5","3","16","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","4","0","1","1","1","2","2","3","4","17","0","0","5","4","4","9","22","0","9","20","22","34","52","70","2","12","15","23","33","47","59","0","0","0","3","7","4","8","0","2","4","5","5","2","6","0","1","2","2","5","4","6","1","1","3","1","2","7","5","43","5","5","1","2","0","1","3","14","208","74","47","10","8","0","4","3","44","24","8","3","1","1","0","1","1","7","20","11","3","1","1","0","0","1","3"
"s25","voters","CP15","200","29","130","9","0","1","1","0","0","0","30","96","104","1","7","4","1","1","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","3","6","0","0","0","1","1","3","13","0","4","5","11","11","9","23","0","2","4","13","12","13","23","0","0","0","4","4","1","8","1","1","1","2","4","0","4","0","0","0","2","0","0","3","0","2","1","0","0","1","2","15","3","6","2","0","0","0","0","3","66","18","15","5","6","1","0","1","18","17","3","2","1","0","0","1","2","4","9","0","1","0","0","1","0","0","0"
"s25","voters","CP16","325","32","252","16","0","0","3","0","1","0","21","164","161","3","10","4","1","2","21","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","11","0","2","1","1","2","3","7","0","11","7","13","16","29","51","0","4","13","12","21","24","51","0","0","0","2","0","1","7","1","0","3","1","1","2","3","0","1","2","2","0","1","5","0","0","1","1","0","3","4","14","6","6","0","1","0","0","0","5","103","36","37","18","8","4","3","3","40","11","2","3","3","0","0","0","0","2","12","1","3","1","1","0","1","0","1"
