"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"19","0050001A","34","28","23","3","215","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","61","58"
"19","0050010A","41","28","25","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0050014A","34","30","23","3","3139","0","0","0","0","0","0","0","0","0","1836","0","0","0","0","0","0","0","0","0","0","0","1240","595"
"19","0050059A","34","27","23","3","2613","0","0","0","0","0","0","0","0","0","1477","0","0","0","0","0","0","0","0","0","0","0","1014","462"
"19","0070001A","42","32","24","3","1025","0","0","0","0","0","0","0","0","0","475","0","0","0","0","0","0","0","0","0","0","0","237","238"
"19","0070002A","42","26","24","3","99","0","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","31","26"
"19","0070005A","42","32","24","3","1470","0","0","0","0","0","0","0","0","0","810","0","0","0","0","0","0","0","0","0","0","0","353","457"
"19","0070007A","42","32","24","3","1921","0","0","0","0","0","0","0","0","0","1074","0","0","0","0","0","0","0","0","0","0","0","375","699"
"19","0070027A","42","26","24","3","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0080004A","42","26","24","3","4327","0","0","0","0","0","0","0","0","0","2776","0","0","0","0","0","0","0","0","0","0","0","1089","1685"
"19","0080007A","42","26","24","3","5024","0","0","0","0","0","0","0","0","0","3040","0","0","0","0","0","0","0","0","0","0","0","1037","2001"
"19","0080050A","42","26","24","3","5923","0","0","0","0","0","0","0","0","0","3481","0","0","0","0","0","0","0","0","0","0","0","1345","2133"
"19","0090002A","40","27","23","3","14","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0090004A","40","27","23","3","2724","0","0","0","0","0","0","0","0","0","1562","0","0","0","0","0","0","0","0","0","0","0","1024","538"
"19","0090006A","40","27","23","3","73","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","16","17"
"19","0150003A","49","28","25","3","6178","0","0","0","0","0","0","0","0","0","2817","0","0","0","0","0","0","0","0","0","0","0","720","2093"
"19","0150012A","49","28","25","3","5691","0","0","0","0","0","0","0","0","0","2627","0","0","0","0","0","0","0","0","0","0","0","578","2048"
"19","0150016D","49","28","25","3","4538","0","0","0","0","0","0","0","0","0","2084","0","0","0","0","0","0","0","0","0","0","0","552","1528"
"19","0150023A","49","28","25","3","4575","0","0","0","0","0","0","0","0","0","2311","0","0","0","0","0","0","0","0","0","0","0","462","1848"
"19","0150034A","49","28","25","3","3883","0","0","0","0","0","0","0","0","0","2018","0","0","0","0","0","0","0","0","0","0","0","468","1548"
"19","0150039A","49","28","25","3","4195","0","0","0","0","0","0","0","0","0","1678","0","0","0","0","0","0","0","0","0","0","0","378","1299"
"19","0150049A","49","28","25","3","4122","0","0","0","0","0","0","0","0","0","1682","0","0","0","0","0","0","0","0","0","0","0","512","1168"
"19","0150065A","49","28","25","3","3906","0","0","0","0","0","0","0","0","0","1780","0","0","0","0","0","0","0","0","0","0","0","490","1290"
"19","0150072A","49","28","25","3","4952","0","0","0","0","0","0","0","0","0","1897","0","0","0","0","0","0","0","0","0","0","0","503","1393"
"19","0150079A","49","28","25","3","5403","0","0","0","0","0","0","0","0","0","2105","0","0","0","0","0","0","0","0","0","0","0","603","1501"
"19","0180001A","61","43","35","3","1300","0","0","0","0","0","0","0","0","0","457","0","0","0","0","0","0","0","0","0","0","0","85","372"
"19","0200001A","41","28","25","3","4107","0","0","0","0","0","0","0","0","0","1972","0","0","0","0","0","0","0","0","0","0","0","292","1678"
"19","0200015A","41","28","25","3","3731","0","0","0","0","0","0","0","0","0","1889","0","0","0","0","0","0","0","0","0","0","0","221","1668"
"19","0200016A","41","28","25","3","4595","0","0","0","0","0","0","0","0","0","2523","0","0","0","0","0","0","0","0","0","0","0","604","1918"
"19","0200019A","41","28","25","3","3712","0","0","0","0","0","0","0","0","0","1713","0","0","0","0","0","0","0","0","0","0","0","236","1477"
"19","0200033A","41","28","25","3","11","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0200038A","41","28","25","3","5092","0","0","0","0","0","0","0","0","0","3070","0","0","0","0","0","0","0","0","0","0","0","865","2204"
"19","0200087A","41","28","25","3","3340","0","0","0","0","0","0","0","0","0","1445","0","0","0","0","0","0","0","0","0","0","0","226","1218"
"19","0300003A","39","27","23","3","61","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","10","9"
"19","0300013A","39","23","23","3","1001","0","0","0","0","0","0","0","0","0","372","0","0","0","0","0","0","0","0","0","0","0","240","131"
"19","0300020C","39","27","23","3","19","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0300027A","39","27","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0350003A","49","28","25","3","5012","0","0","0","0","0","0","0","0","0","1991","0","0","0","0","0","0","0","0","0","0","0","845","1142"
"19","0350007A","49","28","25","3","6365","0","0","0","0","0","0","0","0","0","3207","0","0","0","0","0","0","0","0","0","0","0","1400","1800"
"19","0350012A","49","28","25","3","5268","0","0","0","0","0","0","0","0","0","2583","0","0","0","0","0","0","0","0","0","0","0","1122","1458"
"19","0350020A","49","28","25","3","6398","0","0","0","0","0","0","0","0","0","2548","0","0","0","0","0","0","0","0","0","0","0","860","1685"
"19","0350038A","49","28","25","3","4939","0","0","0","0","0","0","0","0","0","2000","0","0","0","0","0","0","0","0","0","0","0","949","1051"
"19","0350053A","49","28","25","3","2782","0","0","0","0","0","0","0","0","0","1163","0","0","0","0","0","0","0","0","0","0","0","496","666"
"19","0350104A","49","28","25","3","2961","0","0","0","0","0","0","0","0","0","1314","0","0","0","0","0","0","0","0","0","0","0","493","820"
"19","0400001A","67","45","36","3","4592","0","0","0","0","0","0","0","0","0","1852","0","0","0","0","0","0","0","0","0","0","0","556","1294"
"19","0400004A","67","45","36","3","4555","0","0","0","0","0","0","0","0","0","1845","0","0","0","0","0","0","0","0","0","0","0","639","1204"
"19","0450008A","65","43","35","3","3245","0","0","0","0","0","0","0","0","0","1338","0","0","0","0","0","0","0","0","0","0","0","118","1216"
"19","0450010A","65","43","35","3","2849","0","0","0","0","0","0","0","0","0","1002","0","0","0","0","0","0","0","0","0","0","0","79","922"
"19","0500002A","69","42","33","3","1774","0","0","0","0","0","0","0","0","0","835","0","0","0","0","0","0","0","0","0","0","0","338","495"
"19","0520004A","56","31","30","3","3507","0","0","0","0","0","0","0","0","0","1695","0","0","0","0","0","0","0","0","0","0","0","412","1282"
"19","0520017A","56","31","30","3","2940","0","0","0","0","0","0","0","0","0","1153","0","0","0","0","0","0","0","0","0","0","0","267","885"
"19","0520024A","56","31","30","3","2483","0","0","0","0","0","0","0","0","0","932","0","0","0","0","0","0","0","0","0","0","0","218","712"
"19","0550012A","48","31","22","3","3522","0","0","0","0","0","0","0","0","0","1449","0","0","0","0","0","0","0","0","0","0","0","352","1093"
"19","0550016A","48","31","22","3","4342","0","0","0","0","0","0","0","0","0","1617","0","0","0","0","0","0","0","0","0","0","0","365","1249"
"19","0550021A","48","31","22","3","5978","0","0","0","0","0","0","0","0","0","2764","0","0","0","0","0","0","0","0","0","0","0","930","1833"
"19","0550025A","48","31","22","3","4205","0","0","0","0","0","0","0","0","0","1591","0","0","0","0","0","0","0","0","0","0","0","413","1178"
"19","0550084A","48","31","22","3","4575","0","0","0","0","0","0","0","0","0","2025","0","0","0","0","0","0","0","0","0","0","0","590","1434"
"19","0550086A","48","31","22","3","3041","0","0","0","0","0","0","0","0","0","1517","0","0","0","0","0","0","0","0","0","0","0","562","954"
"19","0600008B","48","31","22","3","3251","0","0","0","0","0","0","0","0","0","1306","0","0","0","0","0","0","0","0","0","0","0","241","1065"
"19","0600014A","48","31","22","3","3374","0","0","0","0","0","0","0","0","0","1259","0","0","0","0","0","0","0","0","0","0","0","293","964"
"19","0600019A","48","31","22","3","3924","0","0","0","0","0","0","0","0","0","1545","0","0","0","0","0","0","0","0","0","0","0","344","1200"
"19","0600029C","48","31","22","3","2486","0","0","0","0","0","0","0","0","0","871","0","0","0","0","0","0","0","0","0","0","0","154","717"
"19","0600034A","48","31","22","3","3664","0","0","0","0","0","0","0","0","0","1331","0","0","0","0","0","0","0","0","0","0","0","243","1086"
"19","0600035A","48","31","22","3","3529","0","0","0","0","0","0","0","0","0","1249","0","0","0","0","0","0","0","0","0","0","0","225","1022"
"19","0600036A","48","31","22","3","3034","0","0","0","0","0","0","0","0","0","1177","0","0","0","0","0","0","0","0","0","0","0","225","952"
"19","0600037A","48","31","22","3","3465","0","0","0","0","0","0","0","0","0","1270","0","0","0","0","0","0","0","0","0","0","0","260","1009"
"19","0600038A","48","31","22","3","3235","0","0","0","0","0","0","0","0","0","1155","0","0","0","0","0","0","0","0","0","0","0","204","951"
"19","0600039A","48","31","22","3","3150","0","0","0","0","0","0","0","0","0","1141","0","0","0","0","0","0","0","0","0","0","0","231","908"
"19","0600054A","48","31","22","3","3677","0","0","0","0","0","0","0","0","0","1367","0","0","0","0","0","0","0","0","0","0","0","274","1091"
"19","0650001A","54","42","26","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0650002B","54","42","26","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0670002A","48","31","22","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"19","0670008A","48","31","30","3","3430","0","0","0","0","0","0","0","0","0","1281","0","0","0","0","0","0","0","0","0","0","0","250","1026"
"19","0670142A","48","31","30","3","2890","0","0","0","0","0","0","0","0","0","1167","0","0","0","0","0","0","0","0","0","0","0","194","972"
"19","0670144A","48","31","30","3","1495","0","0","0","0","0","0","0","0","0","601","0","0","0","0","0","0","0","0","0","0","0","142","458"
"19","0700001A","64","42","33","3","3626","0","0","0","0","0","0","0","0","0","1399","0","0","0","0","0","0","0","0","0","0","0","188","1207"
"19","0700005B","64","42","33","3","78","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","8","12"
"19","0700007B","64","42","33","3","4018","0","0","0","0","0","0","0","0","0","1506","0","0","0","0","0","0","0","0","0","0","0","218","1285"
"19","0700010A","64","42","33","3","4190","0","0","0","0","0","0","0","0","0","1522","0","0","0","0","0","0","0","0","0","0","0","201","1319"
"19","0700012B","64","42","33","3","3511","0","0","0","0","0","0","0","0","0","1274","0","0","0","0","0","0","0","0","0","0","0","158","1115"
"19","0750007A","62","44","30","3","3012","0","0","0","0","0","0","0","0","0","1044","0","0","0","0","0","0","0","0","0","0","0","213","828"
"19","0750009A","62","42","30","3","4585","0","0","0","0","0","0","0","0","0","2016","0","0","0","0","0","0","0","0","0","0","0","621","1392"
"19","0750014A","62","42","30","3","4639","0","0","0","0","0","0","0","0","0","1871","0","0","0","0","0","0","0","0","0","0","0","559","1310"
"19","0750019A","62","42","30","3","4783","0","0","0","0","0","0","0","0","0","1939","0","0","0","0","0","0","0","0","0","0","0","485","1452"
"19","0750033A","62","42","30","3","5074","0","0","0","0","0","0","0","0","0","2106","0","0","0","0","0","0","0","0","0","0","0","658","1447"
"19","0750038A","62","42","30","3","4200","0","0","0","0","0","0","0","0","0","1807","0","0","0","0","0","0","0","0","0","0","0","556","1251"
"19","0750043A","62","42","30","3","4125","0","0","0","0","0","0","0","0","0","1932","0","0","0","0","0","0","0","0","0","0","0","650","1279"
"19","0750055A","62","42","30","3","4597","0","0","0","0","0","0","0","0","0","1674","0","0","0","0","0","0","0","0","0","0","0","345","1328"
