"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"20","1000","8","5","4","1","4819","0","0","0","0","0","0","0","0","0","2448","0","0","0","0","0","0","0","0","0","0","0","1439","1008"
"20","1020","8","13","4","1","7494","0","0","0","0","0","0","0","0","0","4507","0","0","0","0","0","0","0","0","0","0","0","3230","1274"
"20","1080","8","13","14","1","677","0","0","0","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","104","146"
"20","1140","27","13","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1160","27","13","14","1","659","0","0","0","0","0","0","0","0","0","231","0","0","0","0","0","0","0","0","0","0","0","77","154"
"20","1180","27","13","14","1","1417","0","0","0","0","0","0","0","0","0","498","0","0","0","0","0","0","0","0","0","0","0","125","372"
"20","1190","27","13","14","1","718","0","0","0","0","0","0","0","0","0","242","0","0","0","0","0","0","0","0","0","0","0","37","205"
"20","1220","27","13","14","1","3188","0","0","0","0","0","0","0","0","0","1276","0","0","0","0","0","0","0","0","0","0","0","533","742"
"20","1240","27","13","14","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"20","2010","8","13","4","1","469","0","0","0","0","0","0","0","0","0","231","0","0","0","0","0","0","0","0","0","0","0","142","89"
"20","2020","27","13","4","1","129","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","35","22"
"20","2050","27","13","14","1","6488","0","0","0","0","0","0","0","0","0","3024","0","0","0","0","0","0","0","0","0","0","0","1781","1240"
"20","2055","27","13","14","1","248","0","0","0","0","0","0","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","33","61"
"20","2116","27","13","14","1","1664","0","0","0","0","0","0","0","0","0","787","0","0","0","0","0","0","0","0","0","0","0","463","323"
"20","2125","27","13","14","1","1479","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0","0","0","0","0","0","0","311","272"
"20","2129","27","13","14","1","1401","0","0","0","0","0","0","0","0","0","516","0","0","0","0","0","0","0","0","0","0","0","273","242"
"20","2160","8","5","14","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","2180","27","13","14","1","2133","0","0","0","0","0","0","0","0","0","1140","0","0","0","0","0","0","0","0","0","0","0","756","384"
"20","2265","27","13","14","1","512","0","0","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","102","146"
"20","2300","8","13","14","1","273","0","0","0","0","0","0","0","0","0","128","0","0","0","0","0","0","0","0","0","0","0","84","37"
"20","2900","27","13","14","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","3000","27","13","14","1","5819","0","0","0","0","0","0","0","0","0","2472","0","0","0","0","0","0","0","0","0","0","0","1077","1390"
"20","3005","27","13","14","1","965","0","0","0","0","0","0","0","0","0","305","0","0","0","0","0","0","0","0","0","0","0","102","203"
"20","3012","27","13","14","1","6516","0","0","0","0","0","0","0","0","0","3184","0","0","0","0","0","0","0","0","0","0","0","1589","1592"
"20","3015","27","13","14","1","1271","0","0","0","0","0","0","0","0","0","636","0","0","0","0","0","0","0","0","0","0","0","340","296"
"20","3020","27","13","14","1","1319","0","0","0","0","0","0","0","0","0","585","0","0","0","0","0","0","0","0","0","0","0","246","338"
"20","3040","27","13","14","1","118","0","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","56","9"
"20","4000","27","13","14","1","1157","0","0","0","0","0","0","0","0","0","361","0","0","0","0","0","0","0","0","0","0","0","115","246"
"20","4020","27","13","14","1","2473","0","0","0","0","0","0","0","0","0","803","0","0","0","0","0","0","0","0","0","0","0","186","617"
"20","4025","27","13","14","1","849","0","0","0","0","0","0","0","0","0","269","0","0","0","0","0","0","0","0","0","0","0","64","205"
"20","4030","27","13","14","1","2131","0","0","0","0","0","0","0","0","0","711","0","0","0","0","0","0","0","0","0","0","0","164","546"
"20","4040","27","13","14","1","2398","0","0","0","0","0","0","0","0","0","800","0","0","0","0","0","0","0","0","0","0","0","217","583"
"20","4050","8","13","14","1","309","0","0","0","0","0","0","0","0","0","135","0","0","0","0","0","0","0","0","0","0","0","80","55"
"20","5000","8","5","4","1","11008","0","0","0","0","0","0","0","0","0","6723","0","0","0","0","0","0","0","0","0","0","0","4389","2331"
"20","5050","8","5","4","1","10787","0","0","0","0","0","0","0","0","0","6697","0","0","0","0","0","0","0","0","0","0","0","4388","2305"
"20","5100","8","13","4","1","906","0","0","0","0","0","0","0","0","0","411","0","0","0","0","0","0","0","0","0","0","0","239","172"
"20","5200","8","13","14","1","358","0","0","0","0","0","0","0","0","0","152","0","0","0","0","0","0","0","0","0","0","0","93","54"
"20","5225","8","5","14","1","136","0","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","36","28"
"20","CNTYTOT","798","454","452","38","82302","0","0","0","0","0","0","0","0","0","40656","0","0","0","0","0","0","0","0","0","0","0","22906","17687"
