"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1000","2431","748","1221","112","4","22","18","0","3","0","303","1152","1279","277","196","80","37","15","44","12","8","3","0","0","1","3","9","1","1","7","9","9","0","17","16","9","4","1","0","1","0","8","23","5","4","2","22","66","61","40","42","75","3","24","85","105","55","54","114","3","29","113","113","99","85","158","4","28","105","106","85","122","171","2","9","42","44","29","20","22","1","14","31","27","18","20","24","0","6","19","12","13","9","17","1","7","16","19","6","15","19","583","101","36","12","1","0","2","0","13","842","185","95","34","6","3","2","5","49","212","49","25","14","2","1","0","0","0","119","23","14","2","1","0","0","0","0"
"s25","voters","1020","4484","1028","2691","201","6","45","39","0","15","0","459","2135","2349","520","363","134","72","16","76","16","10","0","0","2","1","3","10","3","0","4","5","1","0","6","7","4","1","0","0","1","0","6","25","5","3","4","26","46","42","50","64","189","11","42","50","80","70","120","234","14","71","121","192","216","293","418","8","79","84","214","237","291","453","2","28","25","38","48","34","59","8","25","28","47","34","35","48","0","21","15","26","29","30","34","2","18","17","20","14","34","46","559","186","108","37","26","6","12","4","90","1398","413","352","80","70","21","47","24","286","230","64","55","35","17","9","11","5","33","180","61","32","7","11","3","3","1","8"
"s25","voters","1080","248","106","83","10","3","3","1","0","1","0","41","106","142","76","36","35","7","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","3","3","4","4","9","15","2","15","5","5","8","15","18","0","7","5","4","6","7","16","1","4","4","4","4","6","15","1","2","2","4","4","0","3","1","6","6","4","3","2","3","0","3","1","0","0","1","2","0","1","1","3","0","3","3","54","16","18","3","3","0","1","1","10","42","13","10","3","3","0","1","1","10","17","7","7","3","2","0","1","3","1","10","5","3","0","0","0","0","0","0"
"s25","voters","1160","231","109","51","11","0","4","2","0","1","0","53","107","124","87","30","41","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","2","0","1","5","7","6","9","7","6","1","4","17","10","9","15","12","1","0","3","8","6","1","6","0","1","3","9","8","2","3","2","8","7","6","1","6","1","2","7","4","3","2","2","2","0","2","1","4","3","0","0","0","4","0","2","1","0","1","65","13","15","4","3","1","1","3","4","35","7","5","2","0","0","1","0","1","33","10","4","2","2","0","1","0","1","14","4","0","0","0","0","0","0","0"
"s25","voters","1180","493","278","95","12","4","8","3","0","0","0","93","195","298","222","61","83","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","2","2","16","8","6","3","18","34","3","43","24","20","17","22","62","0","8","9","7","6","7","19","0","5","3","5","6","8","12","1","9","10","7","3","4","2","1","16","12","10","1","9","8","0","3","4","3","1","3","2","0","4","0","3","0","2","2","158","44","28","10","10","2","1","4","21","52","20","6","3","6","1","0","0","7","51","9","12","8","6","2","0","0","5","18","5","2","2","0","0","0","0","0"
"s25","voters","1190","242","149","31","8","0","5","2","0","0","0","47","97","145","128","21","41","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","3","0","1","0","3","10","4","8","3","5","16","3","20","21","10","11","13","22","0","4","3","5","3","4","2","0","0","1","1","2","2","4","1","5","7","2","1","1","2","2","10","7","1","4","0","4","1","2","1","2","0","0","2","0","1","1","0","2","2","1","87","27","15","6","2","0","2","0","10","17","4","7","0","1","0","1","0","1","32","6","5","1","2","0","0","1","0","9","3","1","1","1","0","0","0","0"
"s25","voters","1220","1275","572","425","36","3","12","8","0","7","0","212","552","723","445","205","141","44","1","4","2","0","0","0","0","0","1","0","0","0","3","1","1","0","1","2","2","0","0","0","0","0","9","4","1","0","2","24","25","23","21","34","86","6","54","45","49","42","54","107","3","13","24","40","33","27","65","1","20","21","31","42","42","63","2","17","16","17","20","13","15","6","22","27","16","12","15","14","0","4","6","6","5","5","6","2","10","5","5","5","3","4","302","81","73","24","13","5","11","2","61","235","55","49","18","15","3","9","4","37","106","30","22","18","10","5","3","3","15","41","13","6","1","0","1","1","1","2"
"s25","voters","1240","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","2010","232","70","135","5","0","1","3","0","1","0","17","116","116","49","16","8","4","0","9","2","0","0","0","0","0","1","4","0","0","0","0","0","0","0","7","0","1","0","0","0","0","3","2","0","0","1","2","4","2","4","6","8","2","7","7","3","4","8","12","0","6","4","11","10","17","28","1","4","4","12","8","6","24","0","1","2","0","2","1","3","0","0","4","1","0","1","2","0","1","2","0","0","1","0","1","1","2","0","0","0","2","43","9","7","2","2","0","3","0","4","65","20","11","3","5","4","4","2","21","11","3","0","0","0","0","2","0","1","9","0","0","0","0","0","0","0","1"
"s25","voters","2020","63","19","38","1","0","0","1","0","0","0","4","22","41","15","11","4","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","3","2","0","2","2","1","1","3","4","0","1","1","4","2","1","7","0","1","2","3","2","2","12","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","10","3","3","1","1","0","0","0","1","19","6","3","2","0","0","1","0","7","3","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"s25","voters","2050","2965","957","1471","112","6","22","18","0","5","0","374","1392","1573","633","313","212","68","3","26","5","2","1","2","0","0","0","1","0","0","2","4","4","0","13","25","11","1","0","1","0","0","8","8","4","1","7","27","35","43","47","68","157","10","102","67","70","59","78","187","3","59","65","75","104","145","273","3","45","65","78","105","151","300","7","35","24","25","28","27","50","8","35","35","31","26","12","31","1","10","9","14","17","8","29","0","8","12","8","11","13","23","501","152","123","37","30","3","10","6","95","730","220","182","53","36","9","16","14","211","204","40","46","27","14","4","11","6","22","86","41","19","9","0","1","4","3","0"
"s25","voters","2055","94","46","25","3","0","0","0","0","0","0","20","34","60","28","8","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","0","0","0","3","2","2","1","1","4","2","2","6","2","5","4","12","0","1","1","2","1","3","4","0","1","1","3","0","2","6","0","1","1","2","0","3","1","0","1","3","4","2","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","27","11","3","0","0","0","4","0","1","19","0","2","0","0","1","0","1","2","15","1","0","3","0","0","0","0","1","2","0","1","0","0","0","0","0","0"
"s25","voters","2116","784","244","373","30","6","10","10","0","2","0","109","318","466","140","54","54","29","3","6","0","1","3","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0","0","0","0","0","5","3","1","0","2","6","13","9","11","16","29","3","16","31","19","19","23","47","1","21","14","23","28","37","43","3","9","17","28","34","37","78","0","3","9","7","8","8","7","1","9","8","14","12","8","15","0","2","5","7","0","5","4","1","6","6","6","4","4","8","143","31","27","8","9","2","3","0","21","186","56","67","14","12","3","4","3","28","68","9","15","6","4","2","0","0","5","36","9","6","3","1","0","1","0","2"
"s25","voters","2125","583","195","266","22","5","3","4","0","2","0","86","249","334","123","47","42","20","1","2","1","1","0","0","0","0","0","1","0","0","1","0","0","0","2","0","4","0","0","0","0","0","1","1","0","0","0","13","12","5","9","14","16","2","23","15","19","12","24","31","0","14","14","20","20","27","33","3","7","9","19","27","23","50","0","4","4","11","4","4","9","1","11","7","12","12","3","4","0","2","7","1","4","0","2","0","3","4","4","4","2","3","119","37","18","7","1","1","1","0","11","143","35","36","13","7","1","3","3","25","54","13","7","4","5","0","1","1","1","26","5","4","0","0","0","0","0","1"
"s25","voters","2129","517","184","227","15","4","4","7","0","4","0","72","230","287","101","43","36","18","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","1","0","1","3","9","6","13","15","28","2","17","21","9","17","19","24","0","2","14","15","15","33","36","2","4","11","8","17","32","38","0","3","7","0","4","3","7","1","9","15","8","4","5","6","0","3","4","2","2","1","4","2","1","4","3","2","4","2","111","27","21","3","7","1","7","1","6","138","40","23","6","3","1","0","1","15","44","5","7","5","4","3","1","0","3","23","4","3","2","0","1","0","0","1"
"s25","voters","2160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","2180","1138","300","632","64","1","8","4","0","0","0","129","538","600","104","107","37","19","5","20","3","3","0","2","0","0","1","0","0","0","0","0","0","0","6","11","14","1","1","1","0","1","7","7","4","2","0","5","10","7","18","25","59","1","11","15","16","26","38","69","1","17","24","32","52","60","123","1","10","22","33","53","69","135","1","9","7","9","14","19","12","1","2","10","9","17","9","10","0","0","6","3","7","11","7","0","4","2","6","8","11","12","170","46","44","7","4","3","5","5","16","354","112","78","25","13","4","8","5","33","81","12","15","5","3","5","2","3","3","48","15","8","1","1","2","1","0","1"
"s25","voters","2265","246","122","77","6","1","2","3","0","0","0","35","107","139","83","26","19","6","1","2","1","0","0","0","0","0","0","0","0","0","3","0","1","0","2","2","1","1","0","0","0","0","0","1","1","0","0","3","8","7","8","5","15","0","7","10","13","10","8","28","1","3","4","6","5","6","15","0","1","1","3","5","5","22","0","2","2","1","4","3","4","0","6","2","5","1","2","3","0","1","0","2","0","1","1","0","1","1","1","2","1","1","59","26","18","4","4","0","1","0","10","38","12","12","2","3","0","0","1","9","20","6","5","1","0","0","0","1","2","8","1","2","1","0","0","0","0","0"
"s25","voters","2300","127","35","70","4","0","0","0","0","0","0","18","71","56","21","7","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","3","0","0","0","0","0","0","0","1","0","0","1","3","0","1","2","5","1","0","0","0","3","6","13","0","3","4","3","5","11","16","0","0","2","6","5","5","10","0","0","5","0","4","4","1","0","1","1","1","1","0","0","0","1","0","0","0","0","2","0","1","0","0","0","0","0","18","8","2","1","2","1","1","0","2","35","8","13","5","0","0","1","0","8","13","1","1","0","0","0","2","0","1","3","1","0","0","0","0","0","0","0"
"s25","voters","2900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","3000","2467","1067","917","107","12","20","16","0","3","0","325","1083","1384","744","356","225","79","8","25","4","2","1","0","0","0","1","1","1","0","0","1","0","0","5","9","8","2","0","2","0","0","14","11","1","1","5","43","48","63","54","74","121","8","92","110","97","83","81","188","7","40","40","72","85","86","126","1","25","34","63","86","84","168","3","29","30","24","23","18","19","9","43","34","30","29","19","15","1","7","5","17","16","10","17","2","13","11","9","13","20","17","607","184","125","38","27","2","10","6","68","515","126","106","39","18","3","10","9","91","181","46","46","26","10","1","4","0","11","112","23","16","1","0","2","1","1","2"
