"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","10901","3713","2578","388","107","3","21","18","1","20","1","576","1692","2021","133","19","27","13","197","25","38","7","11","1","1","1","21","2","4","1","41","12","18","3","27","1","15","4","10","0","4","1","17","6","4","0","8","65","66","142","200","211","370","14","86","73","205","289","282","567","0","5","6","20","23","39","115","0","3","7","8","15","38","109","5","18","18","51","79","75","87","6","12","20","34","61","53","57","0","8","6","6","12","20","37","1","3","5","12","13","23","25","1368","416","259","97","55","21","26","19","317","190","59","38","7","6","1","1","2","84","277","80","56","30","17","10","12","13","81","118","29","9","2","3","1","2","1","6"
"s25","voters","10902","3133","2110","396","79","4","20","19","0","17","2","486","1372","1761","129","21","45","4","200","9","34","10","8","3","2","0","17","0","1","0","42","7","13","1","12","2","4","0","6","4","2","0","15","6","6","2","0","33","49","116","119","142","360","6","68","89","137","194","233","564","1","4","11","20","17","45","123","0","2","4","11","14","48","96","3","11","12","36","42","49","102","1","17","17","33","40","41","82","0","6","4","9","18","16","24","0","4","3","4","9","18","26","1111","384","213","72","51","21","27","15","216","195","61","47","15","10","2","1","3","62","240","86","45","33","15","5","8","6","48","100","20","11","2","2","0","1","0","5"
"s25","voters","10903","3414","2309","380","113","10","32","12","0","20","0","538","1489","1925","97","23","20","7","232","21","35","11","8","1","1","0","13","3","6","1","36","9","21","1","21","2","6","1","4","1","0","3","16","4","4","3","4","34","54","113","134","140","407","9","75","103","164","166","227","679","0","10","7","6","26","47","108","0","1","4","7","10","34","120","0","14","33","48","56","49","109","2","5","16","32","42","44","88","0","5","4","9","12","19","41","0","3","5","11","15","21","42","1340","362","237","90","47","9","21","10","193","209","53","29","12","15","0","2","3","57","287","77","47","27","22","6","6","4","62","123","30","21","3","3","0","0","0","7"
"s25","voters","10904","3281","2141","454","100","3","19","20","0","13","0","531","1460","1821","133","28","47","5","174","24","31","12","9","2","4","0","14","2","1","0","21","5","14","1","16","1","3","0","11","1","3","3","17","2","7","0","3","36","57","112","132","174","338","5","59","107","159","193","239","527","0","13","7","11","27","58","116","0","3","7","17","23","43","129","4","12","27","39","60","62","89","3","19","28","27","44","41","76","0","2","9","12","17","15","28","0","4","2","4","11","19","32","1204","346","226","69","43","9","18","14","212","225","60","48","12","11","1","3","5","89","280","80","49","32","13","6","10","8","53","98","32","11","4","1","3","1","0","5"
"s25","voters","10905","2921","1874","435","103","0","23","17","0","10","0","459","1333","1588","73","18","20","6","178","37","31","14","9","0","0","0","13","0","1","0","25","4","13","2","11","8","4","1","6","2","4","0","12","1","0","0","5","36","45","70","116","158","339","6","44","54","100","187","222","492","0","7","14","13","14","55","127","1","4","4","9","16","44","127","3","8","13","36","44","52","110","1","14","13","28","26","40","71","0","3","4","5","10","10","36","0","7","6","7","13","15","37","991","317","224","74","35","19","18","14","182","227","54","40","16","11","3","2","6","76","246","58","57","23","13","9","5","3","45","99","15","19","9","3","2","2","0","4"
"s25","voters","10906","999","685","107","23","1","11","6","0","5","0","161","447","552","41","8","11","4","43","5","7","2","0","0","1","0","5","0","0","0","11","3","6","2","4","0","1","1","0","0","0","0","7","0","2","1","2","18","16","39","51","40","118","1","20","36","38","60","85","161","0","3","4","2","8","12","37","0","0","0","4","5","13","19","1","3","11","9","11","17","25","0","3","6","12","13","17","33","1","1","0","4","3","4","7","0","0","3","1","6","7","9","400","121","65","16","13","3","6","4","57","64","16","4","1","3","1","0","3","15","91","18","17","10","5","0","5","0","15","33","6","5","1","0","0","0","0","1"
"s25","voters","11207","2224","1546","251","60","1","15","10","0","5","2","334","1040","1184","46","10","8","1","135","27","28","5","5","0","0","0","24","1","2","0","36","4","8","2","15","3","1","1","4","0","2","0","3","0","1","0","4","39","35","70","131","128","243","10","56","36","115","160","154","365","1","7","8","10","9","29","69","1","4","6","8","7","21","71","4","11","17","25","40","44","66","1","6","5","12","27","34","42","0","5","4","6","9","10","16","0","3","3","1","9","8","19","792","252","167","55","40","10","17","9","204","138","27","21","7","9","1","3","2","43","177","38","31","15","7","5","8","6","47","52","15","8","4","2","0","3","1","8"
"s25","voters","11208","2355","1593","291","96","2","12","12","0","16","0","333","1044","1311","108","12","18","9","101","7","16","6","4","2","0","0","10","0","2","0","36","3","7","3","11","1","7","1","6","6","0","0","3","1","2","3","5","38","42","63","114","115","230","7","51","63","132","164","199","370","0","3","10","19","17","42","71","0","6","5","4","15","40","59","4","8","14","35","42","38","61","3","6","9","20","27","23","43","1","7","3","7","13","17","25","1","4","2","9","10","16","23","850","292","170","49","33","12","14","10","163","146","39","30","13","6","2","4","0","51","175","48","25","23","8","2","4","5","43","89","27","10","1","1","0","0","1","9"
"s25","voters","11209","1799","1185","242","52","3","11","7","0","10","1","288","833","966","84","8","17","4","95","20","18","5","2","0","1","0","11","1","1","0","21","4","9","0","14","1","7","2","4","4","1","0","4","3","5","0","5","26","35","45","75","101","208","2","35","36","92","103","133","289","0","6","7","7","12","33","72","0","2","4","6","10","26","57","0","12","10","19","27","33","55","2","11","13","14","24","29","39","0","3","7","3","6","8","18","1","1","1","2","3","10","21","611","206","140","39","28","10","10","14","127","110","31","30","11","3","2","5","2","48","139","41","38","14","11","6","4","1","34","58","12","4","2","1","1","1","0","5"
"s25","voters","20301","3434","2534","187","107","4","30","16","0","42","0","514","1557","1877","82","16","28","8","183","12","50","7","1","0","2","0","14","0","1","0","20","0","6","1","7","1","3","0","3","2","1","0","14","1","1","0","4","53","61","137","157","229","394","7","83","77","200","264","314","554","0","3","6","9","13","22","52","1","2","3","5","8","19","44","2","25","13","58","71","66","78","2","19","9","35","47","46","43","0","6","9","15","14","19","41","1","12","5","18","12","18","29","1378","396","275","74","62","11","26","17","295","106","18","18","2","6","1","2","0","34","275","70","44","32","17","3","9","1","63","138","35","7","4","3","2","0","2","8"
