"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1001","167","127","9","4","0","4","0","0","0","0","23","75","92","10","0","5","2","11","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","8","10","9","13","14","0","4","17","14","13","12","10","0","0","0","4","1","1","1","0","0","1","0","0","0","1","1","0","3","1","2","0","1","0","2","1","6","2","1","3","0","0","0","0","1","1","1","0","0","1","1","0","3","0","71","27","13","3","3","0","0","0","10","6","1","1","0","0","0","0","0","1","11","2","4","1","2","0","1","0","2","4","2","0","0","0","0","0","0","2"
"s25","voters","1002","132","58","55","5","0","0","3","0","0","0","11","66","66","1","3","3","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","3","7","12","1","2","0","3","3","8","14","0","3","0","3","3","5","15","0","1","1","1","3","4","16","0","0","0","1","3","0","2","1","0","1","1","1","1","0","0","0","1","0","0","2","1","0","0","0","0","0","1","3","26","11","10","2","1","0","0","1","7","31","9","5","5","0","0","0","0","5","5","1","1","0","0","0","0","0","4","6","0","0","0","0","0","0","1","1"
"s25","voters","1003","306","118","105","22","1","0","8","0","3","0","49","148","158","4","2","4","4","11","3","2","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","2","2","5","3","10","27","0","2","7","9","7","11","33","0","1","2","5","7","19","19","2","0","2","5","6","14","23","0","3","3","6","3","6","8","0","0","4","3","3","2","8","0","0","1","6","4","3","3","0","0","2","1","4","5","5","63","20","11","4","1","1","3","1","14","54","16","14","1","1","3","2","2","12","33","1","3","4","1","1","1","1","4","23","4","4","0","0","0","1","0","2"
"s25","voters","1004","31","11","9","0","0","0","0","0","0","0","11","20","11","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","3","0","0","0","1","1","2","1","0","0","1","1","1","1","1","0","0","0","0","1","2","1","0","0","0","1","0","2","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","0","1","2","1","1","0","1","0","0","0","4","4","1","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"s25","voters","1005","166","101","25","4","0","2","0","0","2","0","32","97","69","8","1","1","1","8","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","10","17","7","12","8","0","2","15","10","4","9","7","0","1","0","5","3","3","4","0","0","2","0","1","2","4","0","1","3","3","2","4","7","0","0","2","3","3","1","3","0","0","0","3","2","2","0","0","0","1","0","0","0","0","62","20","14","3","0","0","0","1","1","14","4","4","1","1","1","0","0","0","21","5","3","1","0","0","0","0","2","3","2","2","0","0","0","0","0","1"
"s25","voters","1006","275","78","155","12","0","1","3","0","1","0","25","142","133","6","16","2","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","5","2","18","0","3","1","1","8","6","25","1","3","2","10","11","16","37","1","1","6","4","7","16","40","0","0","0","1","5","3","6","0","0","0","2","2","2","4","0","2","1","2","0","1","7","0","1","0","1","0","1","1","47","10","5","3","3","0","2","1","7","81","24","25","4","0","1","2","0","18","11","7","2","2","0","1","0","0","2","11","3","1","0","1","0","0","0","1"
"s25","voters","1008","420","100","232","27","1","5","4","0","1","0","50","197","223","4","14","5","3","3","6","4","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","2","9","26","0","2","3","4","4","10","33","0","8","6","7","11","21","55","0","5","6","14","10","23","66","0","0","1","4","7","5","9","0","0","1","2","7","6","8","1","1","2","1","1","4","9","0","0","3","3","1","6","6","54","13","12","3","5","1","0","0","12","125","41","24","7","1","1","7","4","22","21","9","7","3","4","0","0","2","4","22","7","5","1","0","0","0","1","2"
"s25","voters","1009","105","44","40","3","0","1","1","0","1","0","15","50","55","3","4","1","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","2","3","4","0","1","3","3","4","5","9","0","0","0","2","2","1","16","0","1","2","2","2","3","9","0","0","0","1","2","2","4","1","0","2","2","1","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","1","24","9","7","1","2","0","0","1","0","20","8","5","0","1","0","0","0","6","8","3","2","0","0","0","0","0","2","3","2","1","0","0","0","0","0","0"
"s25","voters","2002","322","69","198","15","0","4","1","0","0","0","35","163","159","11","19","3","3","2","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1","1","3","1","8","19","0","1","0","4","3","15","13","0","2","4","11","11","24","48","0","1","5","8","16","22","46","1","1","3","4","4","3","5","0","2","2","1","1","3","5","0","0","2","0","1","1","5","0","0","2","1","3","2","3","39","12","7","2","3","1","1","0","4","111","26","25","8","9","1","4","2","12","19","5","4","2","1","1","0","1","2","10","9","1","0","0","0","0","0","0"
"s25","voters","2003","312","82","176","17","0","2","2","0","0","0","33","153","159","10","17","4","0","2","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","1","1","1","1","0","0","0","0","0","1","3","0","3","1","4","24","0","0","4","1","3","13","25","0","2","5","15","12","19","40","0","4","6","11","10","23","29","0","1","0","3","1","1","7","1","1","1","3","1","4","9","0","2","2","0","0","2","5","0","0","0","2","1","4","3","43","16","11","3","2","0","2","2","3","108","33","18","6","3","1","0","1","6","23","5","2","2","0","0","1","0","0","14","4","1","1","1","0","0","0","0"
