"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"23","100001","2","2","2","2","788","0","0","0","0","0","0","0","0","0","379","0","0","0","0","0","0","0","0","0","0","0","187","192"
"23","100002","2","2","2","2","281","0","0","0","0","0","0","0","0","0","195","0","0","0","0","0","0","0","0","0","0","0","100","95"
"23","100003","2","2","2","2","1207","0","0","0","0","0","0","0","0","0","700","0","0","0","0","0","0","0","0","0","0","0","430","270"
"23","100004","2","2","2","2","847","0","0","0","0","0","0","0","0","0","517","0","0","0","0","0","0","0","0","0","0","0","302","215"
"23","100005","2","2","2","2","362","0","0","0","0","0","0","0","0","0","240","0","0","0","0","0","0","0","0","0","0","0","104","135"
"23","100006","2","2","2","2","712","0","0","0","0","0","0","0","0","0","476","0","0","0","0","0","0","0","0","0","0","0","193","281"
"23","100007","2","2","2","2","382","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","86","114"
"23","100008","2","2","2","2","584","0","0","0","0","0","0","0","0","0","262","0","0","0","0","0","0","0","0","0","0","0","126","135"
"23","100009","2","2","2","2","682","0","0","0","0","0","0","0","0","0","429","0","0","0","0","0","0","0","0","0","0","0","275","154"
"23","100500","2","2","2","2","513","0","0","0","0","0","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","115","123"
"23","200001","2","2","2","2","684","0","0","0","0","0","0","0","0","0","344","0","0","0","0","0","0","0","0","0","0","0","160","184"
"23","200002","2","2","2","2","947","0","0","0","0","0","0","0","0","0","663","0","0","0","0","0","0","0","0","0","0","0","200","462"
"23","200003","2","2","2","2","627","0","0","0","0","0","0","0","0","0","279","0","0","0","0","0","0","0","0","0","0","0","95","184"
"23","200004","2","2","2","2","600","0","0","0","0","0","0","0","0","0","353","0","0","0","0","0","0","0","0","0","0","0","129","223"
"23","300001","2","2","2","2","906","0","0","0","0","0","0","0","0","0","520","0","0","0","0","0","0","0","0","0","0","0","218","302"
"23","300002","2","2","2","2","1028","0","0","0","0","0","0","0","0","0","534","0","0","0","0","0","0","0","0","0","0","0","230","303"
"23","300003","2","2","2","2","755","0","0","0","0","0","0","0","0","0","409","0","0","0","0","0","0","0","0","0","0","0","165","244"
"23","300004","2","2","2","2","711","0","0","0","0","0","0","0","0","0","429","0","0","0","0","0","0","0","0","0","0","0","219","210"
"23","300005","2","2","2","2","632","0","0","0","0","0","0","0","0","0","352","0","0","0","0","0","0","0","0","0","0","0","153","197"
"23","300006","2","2","2","2","1065","0","0","0","0","0","0","0","0","0","640","0","0","0","0","0","0","0","0","0","0","0","243","397"
"23","300007","2","2","2","2","881","0","0","0","0","0","0","0","0","0","433","0","0","0","0","0","0","0","0","0","0","0","160","271"
"23","300008","2","2","2","2","883","0","0","0","0","0","0","0","0","0","420","0","0","0","0","0","0","0","0","0","0","0","140","278"
"23","400001","2","2","2","2","823","0","0","0","0","0","0","0","0","0","531","0","0","0","0","0","0","0","0","0","0","0","166","365"
"23","400002","2","2","2","2","1024","0","0","0","0","0","0","0","0","0","605","0","0","0","0","0","0","0","0","0","0","0","220","384"
"23","400003","2","2","2","2","323","0","0","0","0","0","0","0","0","0","197","0","0","0","0","0","0","0","0","0","0","0","74","123"
"23","400004","2","2","2","2","1006","0","0","0","0","0","0","0","0","0","602","0","0","0","0","0","0","0","0","0","0","0","183","418"
"23","400005","2","2","2","2","1031","0","0","0","0","0","0","0","0","0","688","0","0","0","0","0","0","0","0","0","0","0","194","490"
"23","400006","2","2","2","2","429","0","0","0","0","0","0","0","0","0","311","0","0","0","0","0","0","0","0","0","0","0","56","255"
"23","400007","2","2","2","2","311","0","0","0","0","0","0","0","0","0","216","0","0","0","0","0","0","0","0","0","0","0","46","170"
"23","500001","2","2","2","2","278","0","0","0","0","0","0","0","0","0","201","0","0","0","0","0","0","0","0","0","0","0","51","150"
"23","500002","2","2","2","2","510","0","0","0","0","0","0","0","0","0","359","0","0","0","0","0","0","0","0","0","0","0","40","319"
"23","500003","2","2","2","2","321","0","0","0","0","0","0","0","0","0","219","0","0","0","0","0","0","0","0","0","0","0","71","148"
"23","500004","2","2","2","2","820","0","0","0","0","0","0","0","0","0","560","0","0","0","0","0","0","0","0","0","0","0","87","472"
"23","500005","2","2","2","2","1088","0","0","0","0","0","0","0","0","0","620","0","0","0","0","0","0","0","0","0","0","0","164","455"
"23","500006","2","2","2","2","386","0","0","0","0","0","0","0","0","0","231","0","0","0","0","0","0","0","0","0","0","0","63","168"
"23","500007","2","2","2","2","794","0","0","0","0","0","0","0","0","0","544","0","0","0","0","0","0","0","0","0","0","0","110","434"
"23","500008","2","2","2","2","499","0","0","0","0","0","0","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","71","223"
"23","500009","2","2","2","2","371","0","0","0","0","0","0","0","0","0","217","0","0","0","0","0","0","0","0","0","0","0","75","139"
"23","999102","2","2","2","2","468","0","0","0","0","0","0","0","0","0","298","0","0","0","0","0","0","0","0","0","0","0","136","162"
"23","999103","2","2","2","2","113","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","36","27"
"23","999104","2","2","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"23","999105","2","2","2","2","97","0","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","34","30"
"23","999106","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","999107","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","999108","2","2","2","2","724","0","0","0","0","0","0","0","0","0","378","0","0","0","0","0","0","0","0","0","0","0","185","193"
"23","999109","2","2","2","2","314","0","0","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","0","0","0","79","80"
"23","999110","2","2","2","2","186","0","0","0","0","0","0","0","0","0","108","0","0","0","0","0","0","0","0","0","0","0","50","58"
"23","999111","2","2","2","2","226","0","0","0","0","0","0","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","36","61"
