"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","100001","375","168","129","12","1","0","4","0","1","0","60","164","211","44","13","15","3","3","3","3","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","4","4","11","16","24","1","10","11","12","6","16","51","0","2","9","6","6","25","18","0","1","6","4","9","24","19","1","0","5","4","0","8","9","0","3","6","4","4","8","8","0","0","2","1","3","2","2","0","1","1","1","2","0","3","99","27","14","3","4","0","1","1","19","71","16","19","4","1","3","0","1","14","29","8","12","5","0","0","0","2","4","9","4","5","0","0","0","0","0","0"
"s25","voters","100002","194","79","77","8","0","0","2","0","0","0","28","97","97","8","6","4","1","0","5","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","2","23","0","3","3","3","2","5","28","0","2","2","9","4","11","14","0","0","2","8","4","6","15","0","2","2","1","4","2","3","0","1","1","5","2","2","3","0","0","0","1","1","2","2","0","0","0","0","0","0","4","37","13","14","1","1","0","1","2","10","51","6","4","2","2","0","1","1","10","16","3","3","0","0","3","0","1","2","5","3","1","0","1","0","0","0","0"
"s25","voters","100003","697","210","342","26","2","5","6","0","11","0","95","330","367","15","10","6","1","3","10","7","3","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","2","3","1","0","0","5","5","8","3","8","48","2","8","6","11","18","18","70","0","9","13","13","31","31","70","0","7","8","15","29","33","83","0","4","7","9","11","12","12","0","2","6","9","6","9","8","0","0","3","6","2","5","15","0","1","1","1","4","6","6","114","27","23","13","9","0","1","0","23","199","51","30","4","9","2","3","2","42","52","10","14","4","1","0","2","1","11","21","12","2","1","4","0","2","2","6"
"s25","voters","100004","514","187","224","27","5","0","5","0","2","0","64","247","267","37","5","11","1","9","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","4","5","10","13","10","30","0","12","11","17","20","13","42","0","5","21","17","17","17","42","2","4","17","13","14","17","38","1","4","5","8","6","8","6","1","1","5","7","4","3","5","1","2","1","1","6","0","7","0","1","1","5","9","1","4","103","29","25","4","4","2","2","0","18","123","31","35","10","5","0","2","1","17","27","7","10","4","6","0","2","1","7","21","8","6","0","1","0","0","2","1"
"s25","voters","100005","237","119","72","12","0","0","1","0","1","0","32","121","116","19","6","4","1","12","0","2","0","2","0","0","0","0","1","2","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","1","2","0","1","2","9","7","7","28","0","5","3","10","6","11","30","0","3","2","5","2","11","15","1","1","2","3","1","11","15","0","0","1","2","4","4","9","0","1","1","2","0","2","6","0","2","1","1","1","0","4","0","0","0","1","2","0","2","50","25","14","5","2","0","1","2","20","45","6","9","3","0","0","0","1","8","16","7","2","2","0","0","0","0","5","9","3","1","0","1","0","0","0","0"
"s25","voters","100006","474","218","128","25","3","1","6","0","7","0","86","239","235","22","6","2","0","4","3","5","4","3","0","0","0","0","0","0","0","6","0","6","0","1","0","0","0","1","1","1","0","2","0","2","0","1","4","13","10","12","11","46","0","4","7","11","18","22","59","0","5","4","10","19","11","32","1","0","2","9","8","8","19","0","4","4","5","8","6","14","1","5","3","9","5","9","13","0","0","0","2","4","6","8","0","0","2","1","5","6","8","114","39","20","7","9","0","1","0","28","64","16","17","4","1","1","0","2","23","44","15","12","4","3","0","2","0","6","26","4","4","2","1","0","1","0","4"
"s25","voters","100007","201","104","61","11","1","0","1","0","1","0","22","95","106","22","3","1","1","3","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","6","4","8","5","20","0","5","6","9","6","10","25","0","0","3","8","6","7","9","0","0","5","4","3","5","11","0","1","0","2","0","7","5","0","0","1","0","1","1","4","0","0","2","2","0","0","0","1","0","0","2","3","2","2","52","21","12","2","4","0","0","0","13","37","4","8","6","1","0","0","1","4","11","2","2","1","0","0","0","0","6","12","2","0","0","0","0","0","0","0"
"s25","voters","100008","260","122","83","3","1","1","3","0","5","0","42","109","151","25","3","3","1","6","0","2","0","0","0","0","0","0","0","0","0","5","1","7","1","0","0","0","0","2","3","1","0","2","1","1","0","1","2","3","4","5","8","23","0","7","5","8","5","15","36","0","1","5","3","7","10","15","1","3","3","2","3","11","19","0","2","1","2","5","2","7","0","0","4","1","5","2","11","0","0","0","1","1","0","1","0","2","3","0","2","1","2","61","20","12","8","4","1","2","1","13","38","14","13","6","2","1","0","0","9","22","6","6","3","0","0","2","0","3","7","0","3","1","0","0","1","0","1"
"s25","voters","100009","427","121","203","23","2","2","6","0","7","0","63","209","218","7","3","2","0","1","5","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","2","3","1","6","9","32","0","1","6","9","8","12","32","0","4","6","14","16","22","38","0","6","13","14","17","20","33","1","3","4","8","5","1","15","2","1","5","6","2","1","9","0","1","4","4","2","6","2","0","2","4","2","3","5","5","42","19","24","3","2","2","2","4","23","112","30","23","3","5","2","3","2","23","33","7","6","6","1","2","0","0","8","23","8","4","1","0","0","0","0","4"
"s25","voters","100500","237","110","85","13","1","2","2","0","2","0","22","107","130","31","8","7","5","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","5","3","9","19","0","4","6","7","7","9","34","0","2","3","2","5","13","20","0","1","3","1","3","12","20","0","2","3","4","0","2","1","0","1","1","4","0","2","2","0","0","0","0","0","2","5","1","1","0","3","1","2","5","69","14","8","4","2","1","2","1","9","51","15","7","0","4","2","1","1","4","12","5","4","1","0","0","0","0","0","13","2","2","1","0","0","0","1","1"
