"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","13102","170","106","30","3","0","0","1","0","0","0","30","62","108","86","16","25","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","2","4","1","0","0","0","0","3","3","0","0","1","9","2","2","2","7","16","3","10","12","3","9","11","19","0","1","1","1","2","6","5","0","0","1","1","3","4","5","0","1","0","1","2","0","1","1","10","4","1","2","4","3","0","0","0","1","0","0","1","0","0","0","0","2","0","0","51","17","17","3","3","2","1","0","12","16","4","3","3","0","0","0","0","4","19","3","6","0","2","0","0","0","0","3","1","0","0","0","0","0","0","0"
"s25","voters","13103","223","132","28","8","0","2","0","0","2","0","51","104","119","77","16","12","7","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","30","4","26","2","0","0","0","0","0","0","3","0","0","2","10","11","11","11","14","0","10","17","15","17","8","6","0","1","2","4","4","4","2","0","1","2","2","2","4","0","0","6","2","3","5","4","3","0","7","6","3","7","3","2","0","2","1","0","2","0","0","1","3","3","0","0","0","0","60","28","25","4","5","3","1","3","3","19","3","5","0","0","0","0","0","1","28","8","8","4","0","2","1","0","0","6","6","0","0","0","0","0","0","0"
"s25","voters","13104","246","118","70","7","0","0","5","0","0","0","46","110","136","55","10","13","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","27","8","19","2","0","1","0","0","1","1","0","0","2","5","5","5","9","6","19","1","4","6","7","15","8","26","0","1","3","5","5","8","7","0","3","2","4","1","7","24","0","5","0","7","2","5","6","0","0","5","3","8","0","5","0","0","0","1","1","1","2","0","1","1","0","1","3","1","60","23","11","6","4","0","1","5","8","41","10","9","1","3","0","2","0","4","20","5","5","9","1","0","1","2","3","8","2","0","1","1","0","0","0","0"
"s25","voters","13105","306","195","43","6","0","2","0","0","1","0","59","147","159","95","21","23","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","15","26","2","0","0","0","0","3","0","0","0","4","7","13","12","18","18","21","0","16","18","17","8","18","25","1","2","1","3","6","0","7","0","1","4","5","5","4","4","0","5","5","6","5","3","6","1","4","3","6","7","1","7","0","0","2","0","2","0","0","0","0","1","0","2","1","1","88","35","21","12","10","2","5","2","20","21","6","7","1","1","1","0","0","6","29","6","5","10","2","1","0","2","4","5","3","0","0","1","0","0","0","0"
"s25","voters","13106","38","17","9","1","0","0","0","0","0","0","11","18","20","5","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","3","0","2","4","1","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","2","0","0","2","2","0","1","0","0","0","0","2","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","4","4","1","0","0","0","0","0","4","3","0","0","0","0","0","0","2","5","2","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"s25","voters","13107","380","240","53","11","2","4","4","0","1","0","65","161","219","169","26","45","16","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","3","12","4","0","0","0","0","4","3","0","0","1","6","16","7","11","22","35","3","18","19","20","14","22","46","1","1","5","5","3","7","6","0","1","1","4","2","4","13","0","8","9","4","4","3","2","0","10","6","6","4","2","7","0","2","1","0","0","1","1","0","8","0","4","0","2","3","107","43","24","9","12","1","5","4","35","26","9","6","1","2","0","0","0","9","36","11","7","5","0","0","2","1","3","16","2","2","0","2","0","0","0","0"
"s25","voters","13108","141","88","25","4","1","0","0","0","0","0","23","66","75","70","16","18","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","7","3","3","0","0","0","0","0","0","0","0","0","0","2","5","4","5","9","13","2","7","9","4","3","6","19","0","2","2","1","1","3","4","0","0","1","0","1","4","6","1","2","1","1","2","0","6","0","3","2","1","2","0","2","0","0","0","0","1","0","1","0","0","1","1","1","0","0","37","17","10","3","6","0","2","2","11","15","4","3","1","0","0","0","0","2","12","2","0","3","1","1","0","0","4","2","1","0","1","0","0","1","0","0"
"s25","voters","13109","230","133","37","8","0","0","2","0","3","0","47","93","137","106","23","33","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","9","0","0","0","0","0","4","0","1","0","1","4","6","8","6","7","12","0","14","12","12","14","11","26","1","0","4","3","2","3","2","0","1","4","3","5","2","7","1","5","4","3","8","3","6","0","6","3","2","2","2","2","0","1","1","2","0","0","0","0","5","0","1","0","1","2","67","24","13","5","2","1","0","0","21","20","8","3","1","3","0","0","1","1","27","8","4","4","1","0","1","0","2","5","6","0","1","0","0","0","0","1"
"s25","voters","13110","100","63","16","3","0","0","0","0","0","0","18","43","57","33","3","3","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","9","3","4","0","0","0","0","0","0","1","0","0","1","5","3","5","4","5","5","1","2","9","3","7","8","5","0","0","1","2","1","0","1","0","2","3","3","2","0","1","0","0","0","3","3","2","1","0","1","1","3","1","2","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","38","13","9","0","0","0","0","0","3","10","5","1","0","0","0","0","0","0","11","1","2","0","1","0","0","3","0","2","0","0","1","0","0","0","0","0"
"s25","voters","13111","287","185","45","5","1","1","1","0","1","0","48","130","157","117","20","28","5","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","43","7","15","1","0","0","0","0","3","0","0","0","1","11","11","5","10","20","19","1","13","28","14","16","18","18","0","2","2","7","7","3","4","0","2","3","5","3","5","2","0","5","2","5","5","4","2","0","3","3","4","5","7","3","0","3","0","0","0","1","1","0","0","0","3","0","0","1","88","34","20","10","5","6","0","1","21","29","10","2","1","0","0","1","0","2","32","6","5","1","2","1","0","0","1","6","3","0","0","0","0","0","0","0"
"s25","voters","13112","10","6","4","0","0","0","0","0","0","0","0","4","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","13113","10","4","3","0","0","1","0","0","0","0","2","5","5","4","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","13114","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","15101","104","74","8","3","1","1","1","0","0","0","16","48","56","56","7","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","4","6","11","2","6","2","3","2","6","19","0","0","1","0","1","2","0","0","0","0","1","0","1","2","0","0","1","2","2","1","2","0","1","0","1","1","2","3","0","0","0","0","0","0","2","0","3","0","0","0","0","1","35","10","12","1","7","1","1","0","7","5","0","1","0","0","0","0","0","2","10","1","3","0","0","0","0","0","2","3","2","0","0","1","0","0","0","0"
