"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"25","020","1","1","1","1","134","0","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","52","31"
"25","040","1","1","1","1","115","0","0","0","0","0","0","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","75","21"
"25","060","1","1","1","1","412","0","0","0","0","0","0","0","0","0","288","0","0","0","0","0","0","0","0","0","0","0","201","87"
"25","080","1","1","1","1","79","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","47","14"
"25","100","1","1","1","1","191","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","91","24"
"25","140","1","1","1","1","106","0","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","50","21"
"25","160","1","1","1","1","78","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","41","4"
"25","180","1","1","1","1","574","0","0","0","0","0","0","0","0","0","367","0","0","0","0","0","0","0","0","0","0","0","303","64"
"25","200","1","1","1","1","331","0","0","0","0","0","0","0","0","0","187","0","0","0","0","0","0","0","0","0","0","0","154","33"
"25","260","1","1","1","1","511","0","0","0","0","0","0","0","0","0","266","0","0","0","0","0","0","0","0","0","0","0","195","71"
"25","320","1","1","1","1","749","0","0","0","0","0","0","0","0","0","384","0","0","0","0","0","0","0","0","0","0","0","278","106"
"25","360","1","1","1","1","151","0","0","0","0","0","0","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","87","7"
"25","380","1","1","1","1","112","0","0","0","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","62","14"
"25","400","1","1","1","1","334","0","0","0","0","0","0","0","0","0","227","0","0","0","0","0","0","0","0","0","0","0","198","29"
"25","410","1","1","1","1","328","0","0","0","0","0","0","0","0","0","169","0","0","0","0","0","0","0","0","0","0","0","121","48"
"25","420","1","1","1","1","192","0","0","0","0","0","0","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","71","27"
"25","430","1","1","1","1","52","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","21","15"
"25","440","1","1","1","1","217","0","0","0","0","0","0","0","0","0","142","0","0","0","0","0","0","0","0","0","0","0","121","21"
"25","460","1","1","1","1","199","0","0","0","0","0","0","0","0","0","136","0","0","0","0","0","0","0","0","0","0","0","116","20"
"25","480","1","1","1","1","78","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","40","10"
"25","500","1","1","1","1","434","0","0","0","0","0","0","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","163","44"
"25","CNTYTOT","21","21","21","21","5377","0","0","0","0","0","0","0","0","0","3198","0","0","0","0","0","0","0","0","0","0","0","2487","711"
