"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","020","80","19","40","3","0","0","3","0","0","0","15","36","44","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","0","3","2","2","6","0","1","3","1","4","3","7","0","0","4","0","4","3","10","0","0","1","1","0","0","5","0","0","2","0","1","1","4","0","0","0","1","0","0","3","0","0","1","0","0","0","1","14","2","1","0","1","0","0","0","1","22","2","6","1","4","0","1","1","3","6","1","2","2","0","0","2","0","2","3","2","0","0","0","0","0","0","1"
"s25","voters","040","94","14","62","4","0","0","2","0","0","0","12","50","44","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","0","0","0","0","8","1","1","5","4","3","2","19","0","0","1","4","1","7","14","0","0","0","0","1","0","5","0","0","0","0","2","0","4","0","0","0","0","1","0","3","0","0","0","0","0","0","2","3","1","0","1","3","0","1","0","5","28","6","7","4","3","1","0","1","12","4","2","2","1","2","0","0","0","1","2","2","0","1","0","0","0","0","1"
"s25","voters","060","284","75","145","18","1","0","3","0","2","0","40","119","165","4","7","1","2","3","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","4","3","14","0","1","1","5","6","5","34","0","2","3","10","10","9","36","0","1","3","4","5","12","50","0","0","0","2","1","3","13","0","0","0","2","0","3","16","0","1","0","0","2","3","1","1","0","0","1","2","4","9","35","10","14","1","3","0","1","0","11","60","17","21","10","9","2","1","2","23","11","4","10","4","1","0","2","0","8","13","2","1","1","1","0","0","0","6"
"s25","voters","080","60","12","37","3","0","1","3","0","1","0","3","28","32","1","2","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","8","0","2","1","0","4","4","9","0","0","1","1","1","7","7","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","3","2","2","5","2","0","1","0","0","0","2","20","3","0","2","2","0","0","0","10","1","1","0","1","0","0","0","0","0","3","3","0","2","0","0","0","0","0"
"s25","voters","100","114","17","74","8","0","0","2","0","0","0","13","50","64","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","6","0","0","2","0","0","1","6","0","0","1","3","3","9","18","0","2","4","1","7","11","15","0","0","2","2","0","0","0","0","1","0","1","3","1","3","0","0","1","0","1","0","2","0","0","1","1","0","0","4","6","1","7","2","0","0","0","0","1","32","12","6","4","6","1","1","0","12","8","2","1","1","1","0","0","0","0","8","0","1","0","1","0","0","0","0"
"s25","voters","140","71","15","39","2","0","0","2","0","0","0","13","31","40","0","0","0","0","1","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","1","0","2","6","0","0","0","2","2","4","9","0","0","1","0","2","5","14","0","0","0","0","0","2","4","0","0","1","0","1","1","4","0","0","0","0","0","2","0","0","0","1","0","0","1","0","5","0","6","1","0","0","0","0","3","17","3","9","4","0","0","0","0","6","6","1","1","5","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"s25","voters","160","44","4","38","0","0","0","1","0","0","0","1","21","23","1","3","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","1","2","4","1","12","0","0","3","2","3","1","8","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","2","18","2","7","4","2","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"s25","voters","180","367","58","251","21","0","1","5","0","1","0","30","178","189","7","7","2","2","3","3","2","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","5","1","15","0","3","2","1","5","3","21","0","4","7","20","11","23","62","1","2","4","19","16","28","54","0","0","0","4","3","3","2","0","1","4","4","1","1","7","0","0","0","2","1","2","11","0","0","1","0","2","2","7","24","3","11","6","1","0","0","0","13","103","35","47","16","8","2","1","2","37","13","2","6","0","3","0","0","0","6","12","7","5","2","1","0","0","0","1"
"s25","voters","200","164","30","107","9","0","0","2","0","1","0","15","76","88","5","7","2","3","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","7","0","1","3","3","4","2","7","1","5","4","9","7","10","18","0","2","3","10","6","10","22","0","0","0","1","0","1","4","0","0","1","2","2","0","4","0","1","0","1","1","0","3","0","0","0","2","0","2","2","11","5","4","2","2","0","0","0","6","61","13","13","4","1","0","0","2","13","9","2","1","1","0","0","0","0","2","7","2","0","1","0","0","0","1","1"
"s25","voters","260","263","56","150","14","1","0","5","0","0","0","37","126","137","9","5","5","2","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","3","4","1","13","0","1","4","3","3","5","18","0","3","3","13","11","14","33","0","2","3","10","9","18","31","0","1","2","4","6","3","4","0","0","2","5","3","3","4","0","0","0","4","1","0","2","0","2","3","2","0","4","2","26","8","7","2","0","0","1","0","12","63","18","32","3","3","1","0","2","28","19","5","9","1","0","0","0","0","3","9","2","4","0","1","0","1","1","2"
