"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1001","523","361","40","8","2","4","2","0","1","0","105","213","310","320","30","99","14","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","2","2","0","3","25","28","16","7","23","36","10","69","41","23","23","22","35","0","4","4","4","7","3","5","1","3","2","1","1","1","4","1","14","6","3","4","6","8","3","17","18","5","6","7","7","0","3","0","1","1","0","1","0","6","3","0","0","2","0","194","49","57","11","12","0","7","9","22","22","6","2","0","4","1","0","0","5","57","17","15","4","5","1","2","0","4","10","5","2","0","0","0","0","0","0"
"s25","voters","1002","2318","1599","276","33","9","14","15","0","5","0","367","996","1322","1364","180","283","51","2","1","2","0","1","1","0","0","1","0","0","0","4","2","7","0","2","3","0","0","6","4","3","0","44","6","17","1","9","76","102","91","90","120","147","19","189","185","166","120","118","167","0","17","24","12","20","34","34","2","10","26","16","18","34","29","6","38","28","39","20","22","30","3","31","41","29","30","21","29","0","9","7","6","6","3","6","0","14","8","2","5","6","4","822","289","174","40","49","16","31","44","134","165","38","31","4","8","5","2","2","21","213","56","42","18","8","4","8","4","14","45","17","12","0","1","0","0","0","1"
"s25","voters","1006","888","642","77","12","3","5","4","0","1","0","144","375","513","571","65","136","21","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","15","1","1","0","6","44","46","12","25","47","83","5","84","73","40","45","51","81","1","9","8","5","10","4","8","1","2","5","8","2","8","6","4","10","11","6","9","7","10","3","36","21","10","6","4","7","0","3","2","1","0","2","2","1","7","2","1","2","1","1","327","97","76","22","19","3","8","16","74","49","7","9","3","4","1","1","0","3","93","14","13","10","4","2","3","1","4","18","4","1","2","0","0","0","0","0"
"s25","voters","1008","477","335","49","10","5","4","2","0","0","0","72","212","265","302","36","63","17","1","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","5","27","20","16","19","18","34","3","41","37","23","28","23","41","0","2","7","2","2","4","7","0","4","0","3","5","5","8","0","9","9","6","2","7","6","1","4","9","3","5","5","6","1","1","1","2","3","0","2","1","3","2","2","0","1","2","178","62","29","9","6","2","5","12","32","30","9","3","1","0","1","1","0","4","46","7","7","5","1","0","1","1","4","12","4","3","1","1","0","0","0","0"
"s25","voters","1009","974","684","101","14","1","1","7","0","4","0","162","399","575","551","65","119","19","2","2","0","0","0","0","0","1","0","0","0","0","3","0","0","0","2","1","4","0","5","0","1","0","18","7","10","2","2","33","57","43","42","39","45","13","73","66","85","72","55","59","0","5","8","10","8","8","8","0","3","7","11","15","9","9","2","12","15","16","11","14","4","1","24","15","21","10","6","11","1","5","3","5","1","1","1","0","4","0","1","2","0","3","358","119","95","25","24","6","8","13","36","59","19","11","4","1","0","2","2","3","99","25","17","6","7","1","5","0","2","19","4","1","2","0","0","0","0","1"
"s25","voters","1010","497","303","98","12","3","4","1","0","3","0","73","233","264","205","47","46","9","2","2","2","1","0","0","0","0","2","1","0","0","1","0","0","0","3","1","0","0","1","0","0","1","11","2","0","0","1","9","16","17","21","23","41","2","28","35","28","24","22","36","1","3","6","7","13","11","10","0","3","5","9","8","7","15","0","11","7","6","4","7","6","1","5","9","3","4","4","6","0","0","2","4","2","5","0","0","2","2","1","3","2","0","181","43","34","7","9","3","6","4","16","69","8","11","2","1","0","0","0","7","54","6","6","2","1","0","0","0","4","14","4","3","2","0","0","0","0","0"
"s25","voters","1011","675","355","181","17","2","2","7","0","2","0","109","285","390","254","57","82","13","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","2","0","0","2","8","1","1","3","13","21","23","20","19","30","2","27","42","38","22","30","65","0","5","12","12","15","17","32","1","1","5","17","9","16","39","1","9","5","11","5","6","9","2","8","13","21","6","3","10","0","3","2","3","1","0","8","0","3","2","2","1","1","4","197","52","46","9","12","2","10","2","25","102","33","20","2","4","1","1","0","18","64","15","10","5","6","1","1","0","7","15","3","7","0","0","0","0","1","4"
"s25","voters","1012","316","230","29","9","0","0","0","0","1","0","47","133","183","183","21","41","6","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","1","2","0","3","9","12","13","9","19","29","2","19","24","16","15","22","38","1","1","1","5","0","1","5","0","0","6","3","0","3","3","1","5","5","3","1","3","1","1","5","6","6","1","4","5","0","1","0","1","2","1","1","0","0","0","0","2","1","1","116","30","28","7","7","2","4","7","29","19","4","3","1","0","0","0","0","2","26","7","5","3","2","1","1","1","1","7","1","2","0","0","0","0","0","0"
"s25","voters","1013","432","275","69","14","0","6","1","0","2","0","65","165","267","226","26","49","18","0","3","0","1","0","0","0","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","11","1","2","1","0","7","8","9","9","11","42","5","26","30","18","23","28","59","0","5","5","8","5","5","11","0","3","2","2","3","3","17","2","4","6","4","2","4","8","1","6","7","7","3","6","5","0","1","2","0","2","2","3","0","3","2","2","0","4","2","145","54","25","7","6","3","3","7","25","34","9","7","5","1","0","1","1","11","38","8","9","1","3","2","4","0","0","19","2","1","0","1","0","0","0","0"
"s25","voters","1014","763","551","106","5","3","2","1","0","0","0","95","317","446","471","61","81","7","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","4","0","0","2","27","32","28","25","34","69","7","47","72","44","38","46","80","0","4","8","8","4","8","16","2","5","11","7","6","8","19","3","9","12","6","5","7","4","1","13","13","7","2","7","6","0","1","1","0","1","3","0","0","0","2","0","2","0","1","259","100","57","24","19","2","5","25","60","66","10","12","2","1","1","0","1","13","57","10","7","9","2","2","3","0","5","5","2","1","1","1","0","0","0","1"
