"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"28","1013440","4","4","3","2","87","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","22","27"
"28","1014110","4","4","3","2","237","0","0","0","0","0","0","0","0","0","165","0","0","0","0","0","0","0","0","0","0","0","81","84"
"28","1014111","4","4","3","2","55","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","19","11"
"28","1014112","4","4","3","2","8","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","***","***"
"28","1014113","4","4","3","2","146","0","0","0","0","0","0","0","0","0","99","0","0","0","0","0","0","0","0","0","0","0","37","62"
"28","1014140","4","4","3","2","138","0","0","0","0","0","0","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","36","60"
"28","1017110","4","4","3","2","42","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","8","24"
"28","1017111","4","4","3","2","29","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","8","11"
"28","1017112","4","4","3","2","15","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","4","9"
"28","1017113","4","4","3","2","41","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","7","21"
"28","1017114","4","4","3","2","52","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","7","18"
"28","1017770","4","4","3","2","73","0","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","22","25"
"28","1017771","4","4","3","2","56","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","8","36"
"28","1017772","4","4","3","2","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","***","***"
"28","1214110","4","4","3","2","579","0","0","0","0","0","0","0","0","0","368","0","0","0","0","0","0","0","0","0","0","0","110","258"
"28","1214111","4","4","3","2","430","0","0","0","0","0","0","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","67","170"
"28","1214112","4","4","3","2","357","0","0","0","0","0","0","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","42","126"
"28","1214113","4","4","3","2","445","0","0","0","0","0","0","0","0","0","309","0","0","0","0","0","0","0","0","0","0","0","97","212"
"28","1214114","4","4","3","2","522","0","0","0","0","0","0","0","0","0","292","0","0","0","0","0","0","0","0","0","0","0","66","226"
"28","1214115","4","4","3","2","180","0","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","10","72"
"28","1214116","4","4","3","2","288","0","0","0","0","0","0","0","0","0","123","0","0","0","0","0","0","0","0","0","0","0","33","90"
"28","1312440","4","4","3","2","64","0","0","0","0","0","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","6","45"
"28","1313440","4","4","3","2","2254","0","0","0","0","0","0","0","0","0","1219","0","0","0","0","0","0","0","0","0","0","0","343","874"
"28","1313441","4","4","3","2","190","0","0","0","0","0","0","0","0","0","121","0","0","0","0","0","0","0","0","0","0","0","27","94"
"28","1313442","4","4","3","2","622","0","0","0","0","0","0","0","0","0","387","0","0","0","0","0","0","0","0","0","0","0","91","295"
"28","1313443","4","4","3","2","506","0","0","0","0","0","0","0","0","0","227","0","0","0","0","0","0","0","0","0","0","0","51","176"
