"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1013440","50","22","15","5","0","1","1","0","0","0","6","25","25","4","1","1","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","3","0","0","2","4","2","2","3","0","0","1","2","0","2","3","0","0","1","1","0","1","4","0","1","0","2","1","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","2","1","0","12","6","1","0","0","1","0","0","2","10","0","4","0","0","0","0","1","0","2","0","0","1","0","1","1","0","1","5","2","0","0","0","0","0","0","0"
"s25","voters","1014110","162","65","61","7","0","3","5","0","0","0","21","78","84","3","0","1","2","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","4","0","0","0","0","1","3","5","5","15","0","0","5","4","5","7","15","0","3","1","2","3","8","12","0","1","2","3","5","8","13","0","0","4","0","1","3","5","0","0","2","1","0","2","3","0","0","0","2","0","1","4","0","1","0","1","0","1","5","38","10","5","2","1","0","0","0","9","32","9","7","1","2","0","1","0","9","13","1","0","4","0","1","1","0","1","9","3","2","0","0","0","0","0","1"
"s25","voters","1014111","30","7","15","1","0","0","2","0","0","0","5","17","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","1","0","0","1","0","0","0","0","1","2","4","0","0","0","1","0","2","5","0","0","0","0","0","2","2","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","6","1","0","0","0","0","0","0","0","9","3","1","0","0","0","0","0","2","3","1","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0"
"s25","voters","1014112","7","4","2","0","0","0","0","0","0","0","1","3","4","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","1014113","98","48","25","7","0","2","1","0","0","0","15","47","51","3","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","1","15","0","1","2","3","2","7","14","0","1","1","1","1","3","6","0","0","0","0","1","7","4","0","0","0","0","1","5","4","0","0","0","1","2","0","2","0","0","0","1","1","1","2","0","0","0","0","0","2","3","27","6","5","3","0","0","1","0","6","12","1","7","0","0","0","0","1","4","12","1","1","1","0","0","0","0","0","7","0","2","0","0","0","0","0","1"
"s25","voters","1014140","96","44","28","6","1","0","0","0","1","0","16","46","50","5","1","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","7","0","2","0","6","3","8","11","0","0","1","1","1","4","6","0","0","2","3","1","2","7","0","0","1","1","1","3","6","0","1","1","1","1","0","0","0","0","0","2","0","0","5","0","0","0","0","0","1","0","24","6","5","4","1","0","1","1","2","13","5","1","0","3","0","1","0","5","13","2","0","0","1","0","0","0","0","5","1","0","0","1","0","0","0","1"
"s25","voters","1017110","32","17","5","2","0","2","2","0","0","0","4","12","20","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","3","0","1","1","1","0","3","5","0","0","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","2","2","12","3","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","3","3","0","0","0","0","0","0","0"
"s25","voters","1017111","19","9","7","2","0","0","0","0","0","0","1","12","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","5","2","1","0","0","0","0","0","1","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1"
"s25","voters","1017112","13","4","1","1","0","0","0","0","0","0","7","6","7","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","1017113","28","17","4","1","0","0","2","0","0","0","4","16","12","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","5","0","0","0","0","3","0","5","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","7","3","2","0","1","0","1","0","3","2","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","1","1","0","0","0","0","0","0","1"
