"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"29","CP01","1","3","1","1","1198","0","0","0","0","0","0","0","0","0","844","0","0","0","0","0","0","0","0","0","0","0","478","365"
"29","CP02","1","3","1","1","2248","0","0","0","0","0","0","0","0","0","1587","0","0","0","0","0","0","0","0","0","0","0","947","639"
"29","CP03","1","3","1","1","1940","0","0","0","0","0","0","0","0","0","1283","0","0","0","0","0","0","0","0","0","0","0","844","439"
"29","CP04","1","3","1","1","1881","0","0","0","0","0","0","0","0","0","1243","0","0","0","0","0","0","0","0","0","0","0","825","418"
"29","CP05","1","3","1","1","1391","0","0","0","0","0","0","0","0","0","908","0","0","0","0","0","0","0","0","0","0","0","577","331"
"29","CP06","1","3","1","1","589","0","0","0","0","0","0","0","0","0","384","0","0","0","0","0","0","0","0","0","0","0","233","151"
"29","CP07","1","3","1","1","1226","0","0","0","0","0","0","0","0","0","865","0","0","0","0","0","0","0","0","0","0","0","460","405"
"29","CP08","1","3","1","1","1990","0","0","0","0","0","0","0","0","0","1417","0","0","0","0","0","0","0","0","0","0","0","799","618"
"29","CP09","1","3","1","1","1927","0","0","0","0","0","0","0","0","0","1314","0","0","0","0","0","0","0","0","0","0","0","737","575"
"29","CP10","1","3","1","1","1728","0","0","0","0","0","0","0","0","0","1184","0","0","0","0","0","0","0","0","0","0","0","625","559"
"29","CP100","1","3","4","1","1886","0","0","0","0","0","0","0","0","0","1168","0","0","0","0","0","0","0","0","0","0","0","305","858"
"29","CP101","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","CP102","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","CP11","1","3","1","1","597","0","0","0","0","0","0","0","0","0","394","0","0","0","0","0","0","0","0","0","0","0","222","172"
