"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","CP01","836","274","373","51","1","5","12","0","1","0","119","380","456","14","29","7","4","10","11","6","3","0","0","0","0","1","0","0","0","3","2","0","2","2","0","0","0","0","0","0","0","2","0","0","0","1","7","7","8","5","19","64","0","5","4","14","12","33","95","1","10","2","10","26","39","93","3","3","7","13","25","41","100","1","4","3","6","9","10","23","0","6","2","4","5","13","33","1","2","2","4","3","6","14","1","3","1","1","5","11","16","167","39","30","9","6","3","2","2","16","213","53","41","15","19","3","3","6","20","58","15","19","10","5","2","4","1","5","49","10","7","1","1","0","0","1","1"
"s25","voters","CP02","1572","477","745","95","3","7","14","0","4","0","227","744","828","23","43","17","2","28","31","9","3","0","0","1","0","5","3","1","1","2","7","1","1","0","2","1","0","1","0","0","0","6","7","0","0","2","9","9","14","15","36","117","0","8","9","16","25","59","158","0","11","15","28","36","80","184","2","7","9","27","32","104","210","1","12","8","17","15","23","55","0","5","8","9","14","23","37","0","1","0","6","13","15","22","0","3","2","7","6","19","29","273","95","50","22","9","1","5","3","19","409","111","95","32","19","6","5","8","60","121","36","30","15","9","0","3","4","9","74","30","14","0","2","1","0","0","2"
"s25","voters","CP03","1279","330","678","80","2","6","14","0","5","1","163","632","647","20","13","7","6","15","12","4","2","0","0","1","0","2","2","0","2","1","3","1","0","0","0","0","0","4","0","0","0","1","2","0","1","1","3","7","12","16","25","74","0","8","9","17","31","33","94","2","22","28","35","51","69","149","3","11","22","37","44","71","134","0","7","6","7","15","16","36","0","6","6","7","15","17","25","1","4","1","6","7","10","22","0","5","3","6","8","8","27","189","45","33","10","10","5","4","1","33","370","98","74","30","20","8","14","2","62","93","20","17","8","8","2","1","1","13","67","19","9","3","3","3","1","1","2"
"s25","voters","CP04","1240","319","667","58","5","4","16","0","4","0","167","591","649","17","19","4","6","13","30","7","8","2","0","0","0","0","1","0","0","1","0","3","2","0","0","0","0","0","0","0","0","1","3","0","0","1","3","5","4","13","19","74","0","2","14","18","17","38","111","1","24","26","33","34","70","144","3","17","15","41","43","83","133","1","6","12","14","18","15","31","1","5","4","11","13","16","20","0","0","2","1","8","10","22","0","2","5","3","6","6","22","169","54","35","11","6","1","4","2","37","343","106","76","20","16","7","7","5","87","75","25","19","12","8","1","2","7","18","46","17","11","0","3","1","1","2","6"
"s25","voters","CP05","906","264","436","63","0","2","13","0","4","0","124","434","472","9","10","2","2","9","15","9","3","0","0","0","0","1","0","1","0","1","2","1","0","2","5","1","0","1","0","0","0","1","0","1","0","0","1","5","13","17","12","53","1","7","11","16","19","30","79","2","10","15","22","34","51","88","0","10","10","33","22","44","95","0","4","5","10","11","7","29","2","2","6","11","10","14","13","0","3","7","5","7","6","17","0","2","1","9","2","6","17","135","53","30","9","14","2","2","0","19","236","64","39","13","15","3","8","5","53","55","19","13","15","6","1","0","3","12","48","19","6","1","3","0","1","2","2"
"s25","voters","CP06","382","121","184","21","1","1","5","0","1","0","48","184","198","6","7","4","2","13","7","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","6","4","9","25","0","1","1","5","9","16","38","0","3","5","13","9","22","36","0","7","7","10","12","23","37","0","3","3","3","3","8","9","0","1","3","2","4","2","7","0","1","2","0","5","2","6","0","0","1","0","0","7","5","62","19","7","8","3","4","2","3","13","97","28","20","9","7","2","5","2","14","20","8","7","1","4","3","1","0","4","16","8","2","1","1","1","0","0","0"
"s25","voters","CP07","856","313","345","57","1","2","16","0","5","0","117","397","459","16","16","4","5","21","11","4","1","0","1","0","0","0","0","2","0","1","0","1","1","1","0","0","0","0","0","0","0","0","2","0","2","0","2","9","12","12","20","77","0","2","10","21","20","24","104","0","5","11","21","27","29","75","2","2","13","30","21","29","80","0","5","4","13","13","8","25","0","1","7","7","5","12","17","0","2","2","6","6","4","9","1","1","7","8","8","6","21","188","47","23","9","14","1","3","5","23","169","54","39","7","16","3","8","3","46","65","22","12","5","8","0","2","1","2","52","16","6","2","2","1","1","0","1"
"s25","voters","CP08","1408","486","623","80","6","2","13","0","1","0","197","674","734","24","25","15","6","21","29","12","3","0","0","0","0","0","0","0","0","2","2","0","2","0","0","0","0","0","0","0","0","4","4","2","1","1","5","9","9","20","39","111","0","12","21","32","20","53","154","2","15","22","39","35","52","156","0","9","19","38","27","64","145","2","9","10","20","8","20","44","1","4","7","8","14","19","31","1","1","6","3","8","12","15","0","5","8","4","10","10","19","262","94","49","17","15","4","4","6","35","309","106","76","34","14","5","8","10","61","100","28","32","12","3","3","2","2","15","66","19","13","1","1","1","0","0","1"
"s25","voters","CP09","1303","441","574","76","3","6","17","0","5","1","180","601","702","17","20","8","5","11","18","2","5","0","0","0","0","3","2","0","0","0","2","1","0","4","0","0","0","0","0","1","0","2","1","0","0","0","6","5","16","23","22","90","0","7","11","35","35","43","148","1","5","11","37","30","67","130","1","3","12","40","30","64","143","2","3","12","19","18","16","40","0","4","5","13","8","18","22","0","1","2","6","7","9","23","0","4","4","5","5","11","31","247","83","47","13","12","4","7","0","28","297","100","68","16","18","2","9","4","60","93","24","22","17","8","4","0","0","12","64","19","11","4","3","1","2","1","3"
"s25","voters","CP10","1187","441","484","74","1","4","12","0","6","0","165","524","663","17","16","7","2","15","23","9","2","2","0","1","0","1","2","0","0","1","2","0","1","0","0","0","0","2","0","0","0","2","1","0","0","0","2","8","14","17","18","102","1","4","17","24","20","46","168","0","6","15","24","15","51","111","0","4","18","17","25","40","158","0","4","9","19","9","12","41","0","5","4","19","6","13","24","0","0","3","7","10","6","21","0","1","1","8","4","8","28","260","77","46","13","14","1","5","3","22","270","57","64","19","16","4","1","5","48","85","32","14","15","8","2","0","1","8","67","15","8","3","2","2","0","0","0"
"s25","voters","CP100","1145","668","200","45","0","7","9","0","9","0","207","531","614","29","13","16","8","46","9","8","2","0","0","1","0","4","1","0","1","7","1","1","0","4","0","1","1","1","0","0","0","4","2","1","1","3","5","19","50","45","50","99","2","19","60","70","60","66","120","0","0","5","16","14","26","39","1","2","6","11","12","31","37","0","5","19","20","24","26","27","0","6","9","16","22","17","16","0","2","3","11","7","2","14","0","2","3","7","6","6","7","425","105","59","29","12","2","4","2","30","112","42","21","4","2","1","5","2","11","109","35","20","11","5","3","7","1","16","53","9","5","1","0","0","0","0","2"
"s25","voters","CP11","392","133","176","27","1","2","3","0","3","0","47","171","221","11","5","3","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","8","3","6","22","0","2","11","4","10","21","40","1","4","3","12","16","11","35","1","3","3","12","13","20","42","0","0","4","5","5","7","6","0","3","2","6","4","1","4","0","0","2","3","2","4","6","0","1","1","1","5","5","6","70","30","8","7","4","0","3","1","10","93","22","19","12","2","4","1","1","22","16","16","6","3","3","0","0","0","3","24","9","1","0","0","1","0","0","1"
"s25","voters","CP12","234","74","102","15","2","1","7","0","0","0","33","114","120","9","9","4","2","2","4","1","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","6","15","0","1","5","7","4","7","21","0","3","2","6","9","11","25","0","2","1","6","11","8","18","1","2","0","2","1","2","11","0","2","2","0","2","2","6","0","0","0","2","3","2","3","1","0","0","2","0","4","8","40","8","12","6","0","0","0","0","8","58","16","13","3","1","0","0","0","11","19","2","3","3","0","2","0","2","2","16","5","2","1","0","1","0","0","0"
"s25","voters","CP13","233","66","112","13","1","0","4","0","0","0","37","104","129","2","3","0","1","6","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","3","4","16","0","0","2","4","6","8","20","1","1","2","0","11","10","31","0","5","6","6","6","14","19","0","1","2","1","4","4","5","0","1","2","1","3","5","8","0","1","0","0","0","2","2","0","1","2","0","2","4","4","37","9","11","2","2","0","0","2","3","55","21","11","4","4","3","0","2","12","12","8","5","1","1","3","2","1","4","11","3","0","0","1","1","0","1","1"
