"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","02001","284","170","39","6","1","0","3","0","1","0","64","119","165","105","22","40","8","0","1","1","0","4","0","1","0","0","0","0","0","5","0","1","0","1","0","1","0","5","4","0","0","6","0","4","0","2","11","16","9","3","9","11","2","24","32","19","7","14","11","1","3","1","7","3","3","3","0","0","5","2","1","5","5","1","5","11","7","2","3","2","1","9","8","4","4","4","3","0","3","2","1","0","0","0","0","3","2","0","0","0","0","123","11","21","4","2","1","0","2","6","33","1","2","0","0","1","0","0","2","51","4","4","3","1","0","0","0","1","8","3","0","0","0","0","0","0","0"
"s25","voters","02002","108","65","11","3","1","0","2","0","0","0","26","37","71","44","3","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","1","10","2","2","0","2","1","2","17","14","4","2","6","2","0","0","1","1","1","3","1","0","0","1","0","0","1","2","2","5","4","0","0","0","1","1","5","4","1","1","2","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","44","13","3","2","1","0","0","0","2","7","0","1","0","2","0","1","0","0","21","2","1","0","0","1","1","0","0","5","0","1","0","0","0","0","0","0"
"s25","voters","02008","1161","636","258","28","4","4","9","0","6","0","216","489","672","349","83","119","26","1","2","2","1","3","2","0","0","0","4","2","1","7","2","1","0","4","2","4","1","24","29","7","0","17","19","7","3","4","35","54","37","27","32","59","8","62","105","62","35","47","69","4","6","15","19","18","26","38","1","5","16","21","20","28","41","5","9","23","14","13","13","14","5","22","18","22","13","22","23","0","9","2","5","1","5","2","2","8","6","5","5","1","0","369","112","55","30","21","4","6","2","37","145","47","33","6","2","2","4","3","16","115","31","35","15","13","0","2","1","4","36","8","4","1","2","0","0","0","0"
"s25","voters","02009","958","548","188","39","3","1","4","0","5","0","170","399","559","260","44","64","20","4","3","2","0","29","18","12","0","1","2","1","0","5","7","4","0","10","1","4","1","17","18","16","3","23","4","7","5","1","19","36","26","22","42","56","3","64","65","34","33","57","90","0","7","8","9","10","18","39","1","2","3","9","13","19","50","0","14","19","7","4","10","20","2","15","18","18","11","11","21","0","6","9","3","3","6","5","0","3","4","2","2","5","4","345","80","58","15","20","5","6","6","13","114","30","24","3","7","3","2","0","5","110","22","24","4","5","2","1","0","2","37","3","10","1","1","0","0","0","0"
"s25","voters","02011","1605","509","780","68","0","1","12","1","2","0","232","749","856","119","99","36","9","19","21","6","1","8","0","2","0","14","8","3","0","11","14","11","0","19","2","9","0","24","26","7","2","7","5","5","0","0","15","23","35","35","28","73","4","28","27","47","47","51","96","6","20","29","46","51","87","137","3","16","19","57","73","87","149","1","11","7","33","24","22","20","1","7","10","25","31","21","19","0","8","3","4","11","8","12","1","3","7","8","6","8","5","280","72","62","19","12","3","6","3","52","398","102","95","24","13","5","5","12","126","112","33","37","22","7","3","1","2","15","54","11","8","3","1","0","1","2","4"
"s25","voters","02012","390","226","94","13","0","0","4","0","0","0","53","154","236","127","29","28","4","4","2","0","0","11","10","0","0","0","0","0","0","3","1","0","0","0","1","2","0","7","14","6","3","6","2","1","1","0","8","20","10","4","15","25","1","25","31","14","17","29","27","0","2","4","5","13","10","12","1","3","6","3","8","11","16","1","3","2","2","1","3","4","0","10","6","5","3","3","10","0","0","2","0","1","7","0","0","2","0","1","0","3","1","119","41","19","9","9","7","2","6","14","63","14","9","1","3","0","0","0","4","33","2","12","1","1","0","2","0","2","12","2","2","0","0","1","0","0","0"
"s25","voters","02015","250","115","74","8","0","2","6","0","1","0","44","115","135","60","13","9","8","3","1","0","0","1","0","1","0","0","0","0","0","1","2","4","0","0","0","1","0","11","7","7","2","8","0","3","2","0","5","9","7","6","9","6","2","7","14","13","8","10","19","0","0","4","5","8","8","19","0","2","2","3","5","8","10","0","1","3","5","4","3","6","0","3","3","3","1","8","4","0","0","4","0","1","2","0","0","2","0","4","1","1","2","66","19","11","3","5","0","1","1","9","36","10","8","2","2","0","1","2","13","25","9","4","1","1","1","0","0","3","10","4","2","1","0","0","0","0","0"
"s25","voters","02016","302","104","141","10","2","0","1","0","0","0","44","128","174","28","17","13","5","5","8","3","1","1","1","0","0","0","2","1","0","0","2","0","0","4","0","3","0","3","3","1","0","0","3","0","0","1","3","3","9","7","8","8","0","4","11","12","11","10","17","0","5","5","9","12","11","21","1","3","7","7","18","19","23","0","2","5","6","2","1","7","0","3","3","7","1","3","4","0","0","1","1","0","1","0","0","3","2","2","3","0","0","55","18","12","4","6","0","1","0","8","68","26","14","5","2","2","1","1","22","22","6","9","3","1","0","1","0","2","6","2","1","1","1","1","0","0","1"
"s25","voters","02020","1013","525","278","30","2","3","7","0","2","0","166","448","565","234","60","62","14","10","5","1","0","3","7","3","1","3","0","2","0","7","4","1","0","11","5","1","0","29","44","25","4","32","5","10","1","7","21","38","26","23","28","52","5","49","83","44","40","31","78","0","11","5","20","20","47","50","0","7","8","12","17","36","45","0","9","18","13","18","8","16","4","10","15","13","17","11","14","0","1","2","6","2","4","3","0","4","4","6","3","3","6","304","78","54","17","22","4","4","4","38","165","36","31","9","5","3","3","0","26","103","14","23","5","6","2","0","2","11","36","6","1","0","1","0","0","0","0"
"s25","voters","02023","616","322","181","13","1","1","1","0","1","0","96","284","332","152","40","27","2","4","4","0","1","0","0","0","0","2","2","0","0","0","3","2","1","2","2","3","0","53","42","27","1","5","3","4","0","2","15","18","8","14","43","23","0","36","41","13","28","38","43","1","5","4","10","10","24","50","0","6","7","5","13","22","24","1","7","9","3","9","6","11","0","8","9","5","7","8","13","0","2","1","2","0","2","4","0","0","1","2","0","0","3","183","44","38","4","14","6","3","1","29","106","24","21","7","3","1","4","2","13","50","16","13","5","3","2","1","2","4","11","2","2","0","1","1","0","0","0"
"s25","voters","02025","669","354","156","23","1","1","8","0","1","0","125","296","373","209","45","48","12","4","2","2","1","0","2","1","0","4","0","0","0","4","3","4","1","10","2","2","0","19","21","20","2","4","7","3","1","2","13","22","16","26","28","28","1","38","41","27","40","35","37","1","8","13","10","13","22","21","0","3","7","8","9","24","17","0","5","9","7","12","14","11","3","8","11","10","8","13","14","0","2","0","2","3","4","4","0","2","5","4","1","3","4","189","54","41","14","14","6","4","6","26","94","20","15","4","5","1","0","0","17","69","22","10","7","6","1","1","4","5","25","2","5","2","0","0","0","0","0"
"s25","voters","02030","554","221","204","22","3","0","3","0","0","0","101","260","294","52","27","13","3","2","5","2","0","4","1","4","0","5","3","2","0","6","2","4","2","11","0","7","1","46","37","25","7","11","12","6","0","2","9","16","8","8","23","23","2","19","14","17","20","19","41","1","4","4","7","13","15","53","1","5","11","10","16","20","44","4","4","10","8","10","7","15","0","5","6","7","6","7","12","1","2","2","2","0","3","6","0","2","2","0","0","3","5","124","37","25","10","3","1","2","0","19","113","30","20","11","4","1","3","0","22","52","11","12","11","3","1","3","0","8","17","3","3","2","1","0","1","0","1"
"s25","voters","02031","338","159","106","14","1","0","0","0","2","0","56","143","195","62","19","17","4","1","0","1","0","5","0","1","0","0","0","1","0","0","4","4","1","1","0","1","0","20","19","5","2","6","10","1","0","0","3","12","7","10","11","17","0","20","27","2","14","16","20","1","1","4","3","5","9","23","0","0","5","2","9","13","31","0","3","6","4","3","7","7","1","5","7","4","5","2","2","0","1","0","0","0","3","3","1","3","1","1","2","0","2","94","29","21","5","2","0","0","1","7","57","18","11","0","3","2","2","1","12","32","4","11","4","2","0","0","0","3","15","0","2","0","0","0","0","0","0"
"s25","voters","02033","635","302","192","18","0","0","1","0","2","0","120","301","334","134","38","40","9","5","9","3","1","1","3","0","1","1","1","0","0","4","3","0","0","2","0","2","0","20","18","18","3","14","10","12","0","2","14","25","15","12","20","33","2","22","58","14","26","26","33","0","6","13","8","10","25","37","2","2","4","6","17","19","43","0","8","10","11","9","11","18","1","11","12","9","4","2","14","0","0","4","0","2","4","4","0","2","0","0","2","1","2","189","40","35","11","3","4","2","5","13","112","23","21","6","4","0","2","3","21","78","12","10","6","3","3","3","0","5","15","2","4","0","0","0","0","0","0"
"s25","voters","02034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","02038","559","113","334","20","1","1","2","0","1","0","87","270","289","7","28","3","0","12","11","3","1","1","2","2","0","1","2","3","0","2","2","2","0","15","8","9","1","6","2","3","0","0","2","0","0","0","4","1","3","6","6","21","1","10","6","4","10","9","32","0","11","10","16","21","39","70","1","7","7","10","21","45","76","1","9","5","7","10","5","14","0","5","2","6","8","10","5","0","0","2","3","3","1","2","0","1","1","0","3","5","4","81","10","7","2","2","0","1","1","9","164","51","33","9","9","0","5","3","60","48","17","10","3","3","0","0","1","5","16","4","2","1","1","0","0","1","0"
"s25","voters","02042","526","205","183","20","3","2","13","0","5","0","95","231","295","85","36","25","9","6","5","4","2","0","0","1","0","3","3","0","0","1","1","1","0","2","2","0","0","0","5","0","0","3","4","0","1","0","4","13","11","10","10","24","3","17","25","17","17","17","37","0","5","10","13","15","23","24","0","3","13","14","14","22","27","0","4","10","11","5","9","5","1","5","11","7","8","4","15","0","6","2","5","5","4","3","1","4","3","6","3","1","0","132","33","24","4","3","2","1","1","5","98","26","29","8","6","1","0","1","14","48","13","17","6","7","0","0","1","3","31","5","6","0","0","0","0","0","1"
"s25","voters","02047","2517","918","1093","85","3","1","18","0","8","1","390","1162","1355","120","98","35","16","41","36","13","4","14","19","4","1","10","14","4","2","28","24","19","2","48","16","23","0","12","10","2","0","19","8","5","4","3","32","38","51","49","49","154","4","41","58","67","79","94","199","5","27","21","48","81","105","236","2","20","27","55","72","125","269","2","17","21","31","47","37","54","0","16","17","22","39","27","60","0","6","8","7","8","12","13","1","6","7","7","6","15","20","525","160","98","30","19","9","7","6","64","543","162","156","30","24","3","11","10","154","211","60","44","28","11","4","2","7","23","70","26","10","2","2","0","1","0","5"
"s25","voters","02048","1172","396","534","47","0","1","14","0","2","0","178","556","616","69","50","27","8","17","21","8","5","3","3","0","1","3","6","2","0","11","23","4","1","12","3","5","1","16","12","3","1","0","5","0","0","5","9","18","26","23","34","62","4","19","19","33","37","31","76","2","10","16","29","28","48","116","0","12","16","30","32","53","142","0","5","14","15","23","10","33","0","8","12","11","11","11","25","0","3","0","6","6","3","12","0","1","5","7","0","7","14","217","72","38","23","8","1","3","5","29","304","62","55","23","11","2","4","2","71","96","26","18","18","7","1","3","1","8","36","16","6","1","1","0","0","1","3"
