"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0131101","1557","641","590","80","1","9","12","0","6","0","218","738","819","77","50","23","11","25","33","12","4","1","0","0","0","5","2","0","0","6","11","4","1","14","6","10","4","1","6","4","1","15","9","5","1","1","5","18","23","18","65","141","1","14","22","24","47","84","178","1","11","18","15","33","96","127","0","4","25","17","43","83","117","1","4","12","11","17","34","38","0","5","10","13","13","28","32","0","4","6","3","2","13","21","1","3","5","2","4","17","27","549","56","14","4","5","2","0","3","8","473","64","21","8","6","2","3","2","11","189","17","6","1","2","1","0","0","2","96","6","5","0","0","0","0","0","1"
"s25","voters","0151105","2489","809","1121","99","3","17","28","0","5","0","407","1178","1311","91","82","28","13","30","43","16","3","8","1","3","0","4","4","3","1","9","16","15","0","58","27","35","4","7","11","10","1","17","9","8","4","2","6","25","40","55","54","146","5","34","52","61","77","82","170","6","26","42","65","83","114","219","3","29","38","56","89","135","216","1","19","24","35","46","33","64","3","17","14","27","45","29","50","0","5","3","11","7","22","25","1","6","9","8","15","18","22","449","140","92","43","24","1","10","12","38","638","172","107","43","45","11","13","10","82","237","56","50","32","6","4","6","4","12","97","25","11","6","4","2","2","2","3"
"s25","voters","0157201","1835","715","678","80","6","8","26","0","11","0","311","836","999","193","63","56","21","15","20","11","3","1","1","0","0","3","0","2","1","4","6","1","0","3","3","8","2","0","0","1","0","8","9","12","3","1","23","43","39","27","52","76","3","28","71","78","66","83","125","3","16","49","60","50","70","88","1","23","47","56","53","64","98","1","15","28","36","36","26","26","3","20","27","37","13","18","25","0","2","18","14","9","16","12","1","9","13","12","3","13","9","405","127","70","26","19","7","8","7","46","395","89","79","26","22","2","1","6","58","177","39","27","28","8","5","5","4","18","76","31","10","6","3","0","1","1","3"
"s25","voters","0157205","1381","474","597","76","3","7","16","0","1","0","207","638","743","69","35","24","12","12","12","4","2","5","0","1","0","4","1","0","0","4","1","3","1","0","3","0","0","0","2","0","0","16","9","7","1","1","13","18","27","41","35","53","5","19","21","49","47","56","89","2","21","17","40","54","79","85","1","7","22","48","49","69","103","1","10","15","26","15","15","22","2","12","13","17","22","21","16","2","2","9","11","11","5","8","0","4","3","14","20","4","10","254","73","66","23","8","0","9","5","36","315","90","75","18","16","2","14","3","64","99","29","34","15","6","3","4","2","15","59","19","12","5","6","0","0","0","2"
"s25","voters","0157213","2421","989","906","120","4","21","28","1","15","0","337","1063","1358","178","83","47","17","44","42","9","10","3","0","0","0","0","1","0","0","3","2","1","0","4","1","2","2","2","2","0","0","12","7","4","0","3","20","61","64","37","55","137","2","41","92","74","73","92","238","1","21","34","57","83","96","149","1","15","35","47","78","126","163","2","17","30","35","23","27","30","0","17","31","34","29","25","37","0","7","8","17","14","23","12","0","7","16","17","18","19","31","563","165","117","35","23","4","8","2","72","513","146","108","29","15","5","6","9","75","190","52","36","19","9","3","5","5","18","123","32","13","9","5","3","1","0","3"
"s25","voters","0157305","3435","1230","1456","150","11","20","45","0","9","0","514","1543","1892","167","123","53","22","58","57","21","11","3","2","0","0","4","4","2","1","7","12","7","2","17","13","7","4","4","5","4","2","29","16","18","3","3","31","51","67","52","67","185","10","49","83","88","99","138","307","1","35","47","82","99","165","276","1","35","37","81","106","174","317","6","26","36","45","37","47","77","4","23","28","38","46","39","62","1","7","10","21","22","24","23","1","20","14","17","21","16","38","673","214","142","51","29","9","11","7","94","811","214","154","38","23","9","18","8","181","293","67","53","35","11","11","8","5","31","161","41","16","8","4","3","1","0","1"
"s25","voters","0157311","1556","557","627","67","4","13","25","0","2","0","261","757","799","84","49","31","16","19","25","11","4","1","0","0","1","7","1","1","0","7","4","6","1","12","6","0","3","6","3","5","0","15","13","11","0","1","14","28","38","39","48","53","2","25","43","53","49","78","86","0","26","35","42","61","83","85","2","14","24","40","64","70","81","2","12","15","26","36","33","19","2","15","14","23","24","23","17","3","5","10","9","12","12","10","0","9","5","12","7","6","11","322","105","53","15","11","4","6","3","38","347","86","63","27","20","5","7","8","64","109","37","49","22","12","2","5","4","21","68","23","11","2","1","2","0","0","4"
"s25","voters","0157401","4178","1581","1829","194","6","21","33","0","7","0","507","1728","2450","122","92","36","25","84","79","27","4","6","7","2","1","11","14","3","1","14","13","8","2","11","3","5","1","1","1","1","0","17","11","4","4","4","18","34","43","38","61","342","1","24","53","72","59","130","702","1","39","31","49","81","163","436","1","23","32","56","78","186","653","2","17","22","33","24","46","136","2","15","15","22","14","45","114","1","8","8","9","8","11","63","0","9","7","8","13","27","89","913","292","139","53","34","14","14","10","112","1008","258","198","66","45","18","32","15","189","267","81","62","31","11","13","11","6","25","178","44","18","10","3","3","2","0","3"
"s25","voters","0157406","3708","1372","1547","152","6","21","43","0","14","0","553","1646","2062","136","82","54","28","61","64","23","12","7","5","4","0","6","12","7","3","20","4","14","2","30","23","14","2","4","6","2","1","20","8","10","3","1","34","45","48","65","80","209","2","64","82","92","110","150","390","1","38","53","70","105","194","293","5","25","51","68","113","164","367","4","24","38","34","49","57","98","3","22","38","26","38","53","69","0","11","9","20","13","21","32","1","11","12","21","14","23","48","809","247","125","40","31","8","14","10","88","821","255","140","55","46","8","24","10","188","308","80","59","27","19","7","15","7","31","163","51","12","5","1","1","3","0","0"
"s25","voters","0157408","3307","1332","1251","150","8","27","28","0","3","0","508","1407","1900","167","79","54","13","47","44","11","9","2","2","0","0","7","3","2","1","15","13","14","1","17","14","19","7","2","6","2","3","39","21","13","5","1","32","43","67","72","66","195","7","57","74","101","116","118","383","1","37","37","75","84","108","244","1","30","35","78","96","109","316","5","18","26","31","54","36","81","1","28","26","39","49","31","83","1","8","14","17","13","15","26","1","8","14","20","13","16","50","803","224","146","59","28","8","10","9","45","736","191","117","48","27","16","14","15","87","302","77","56","25","13","6","5","5","19","150","35","20","7","4","0","0","0","0"
