"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","01","350","55","218","21","0","6","4","0","1","0","45","167","183","1","10","2","3","3","7","3","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","0","5","15","0","0","0","7","4","0","21","0","2","10","13","14","21","39","0","0","10","19","12","24","54","0","3","2","5","4","1","10","0","1","0","5","2","5","7","0","1","1","7","2","3","6","0","0","3","2","2","1","4","24","7","8","2","2","0","1","1","10","111","35","25","8","4","4","5","2","24","19","11","5","1","2","0","0","2","5","15","9","5","2","0","0","0","0","1"
"s25","voters","02","273","62","155","10","0","1","5","0","1","0","39","132","141","3","9","3","1","4","6","2","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","5","21","0","2","2","3","2","6","18","0","4","5","9","10","12","39","0","3","2","10","5","15","41","0","2","1","2","2","4","7","0","0","1","5","2","4","9","0","0","0","1","0","2","3","0","0","0","0","1","6","4","34","14","4","4","2","1","0","0","3","85","18","17","4","5","2","2","3","19","21","3","5","0","3","0","1","0","6","12","3","2","0","0","0","0","0","0"
"s25","voters","03","149","38","73","8","0","1","0","0","1","0","28","80","69","4","1","1","0","4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","2","4","8","0","0","1","1","2","1","16","0","1","1","4","1","10","23","0","0","1","3","5","4","20","0","1","2","2","1","3","7","1","0","1","1","0","4","5","0","0","0","0","1","0","6","0","0","0","0","0","2","1","19","3","6","1","2","0","0","0","7","36","13","12","5","0","0","0","0","7","11","9","3","1","0","0","1","0","3","5","1","3","0","0","0","0","0","1"
"s25","voters","04","11","1","8","1","0","0","0","0","0","0","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","05","153","58","52","5","0","3","1","0","3","0","31","73","80","3","3","1","0","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","2","1","4","13","0","0","1","5","5","6","19","0","0","1","1","4","6","19","0","0","3","1","3","6","8","0","1","2","0","1","2","4","0","1","1","3","2","5","9","0","1","0","1","1","4","3","0","1","0","0","1","0","0","27","9","6","2","2","1","4","0","7","26","7","8","1","2","2","1","0","5","16","6","2","4","0","0","0","1","2","9","0","2","0","0","0","0","0","1"
"s25","voters","06","60","37","9","2","0","1","1","0","0","0","10","31","29","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","2","1","9","0","1","0","6","3","1","9","0","1","0","0","3","0","2","0","0","0","0","1","1","1","0","0","0","1","2","1","2","1","0","0","2","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","1","19","3","5","3","0","2","0","0","5","5","1","1","0","0","0","0","0","2","4","1","2","0","1","0","1","0","1","3","0","0","0","0","0","0","0","1"
"s25","voters","07","36","14","10","4","0","0","2","0","0","0","6","17","19","2","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","1","0","1","6","0","1","0","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","1","1","0","0","0","1","1","0","2","0","0","0","0","1","0","2","0","0","0","0","1","1","1","7","4","1","0","1","0","0","0","1","3","0","1","1","0","0","0","0","5","2","0","1","3","0","0","0","0","0","3","0","2","1","0","0","0","0","0"
"s25","voters","08","23","11","9","1","0","0","1","0","0","0","1","13","10","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","1","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","4","2","2","0","0","0","0","1","2","5","0","1","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"s25","voters","09","3","0","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","10","223","82","96","11","3","1","3","0","0","0","27","103","120","10","8","0","0","3","4","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","2","3","3","4","18","0","2","5","3","5","6","30","1","2","3","2","6","7","24","0","1","6","7","4","13","20","0","1","1","1","3","4","7","0","0","0","2","3","3","2","0","2","1","1","0","1","5","0","0","1","0","0","1","6","47","11","10","4","4","0","1","0","5","53","17","11","3","2","0","1","1","8","16","5","4","0","0","0","0","0","2","7","4","2","3","0","0","1","1","0"
