"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101103","804","396","217","27","6","14","4","0","3","0","137","347","457","228","77","68","25","3","1","0","1","0","1","1","0","0","0","1","0","2","2","2","0","5","8","4","0","6","5","6","1","10","8","3","2","3","18","25","27","23","25","36","3","30","47","35","28","47","49","2","10","16","16","13","22","30","0","0","12","23","19","24","30","0","5","13","11","8","10","14","4","12","11","14","14","11","10","1","1","2","7","5","1","3","0","7","7","4","6","5","5","242","62","39","13","10","2","5","2","21","134","23","30","6","7","0","3","0","14","83","17","14","8","1","3","3","0","8","31","6","8","3","3","0","0","0","3"
"s25","voters","103105","533","206","226","22","0","4","1","0","2","0","72","253","280","114","78","35","11","2","9","1","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","2","0","0","0","6","9","15","9","17","35","0","8","10","18","12","22","45","0","6","5","10","21","16","44","1","6","8","11","23","24","51","1","9","5","6","6","5","8","0","2","3","7","7","6","7","0","1","5","4","4","3","3","0","1","1","2","2","0","3","98","33","23","9","8","0","7","1","27","126","35","33","4","3","0","1","2","22","36","14","8","5","0","0","2","1","6","17","7","4","0","0","0","0","0","1"
"s25","voters","103108","939","355","402","45","5","6","10","0","5","0","111","448","491","235","142","60","27","2","6","1","2","0","0","0","0","0","1","1","0","1","0","0","0","0","2","0","0","2","1","1","0","5","8","1","1","1","9","25","18","13","33","57","2","26","22","23","30","33","63","0","15","19","30","31","52","55","3","10","11","27","32","40","77","4","10","7","7","8","6","11","3","8","9","8","6","13","11","0","5","7","3","7","4","11","0","5","6","4","5","9","5","170","55","55","9","20","3","6","1","36","229","58","52","11","14","1","4","2","31","60","17","7","7","8","0","4","0","8","48","12","6","2","1","0","0","1","1"
"s25","voters","104109","840","385","260","27","0","5","9","0","5","0","149","367","473","269","78","93","22","10","6","0","1","3","2","0","1","0","0","0","0","3","3","3","0","1","0","1","0","1","4","0","0","3","6","3","2","2","13","15","22","16","34","35","2","30","41","44","39","42","50","0","5","14","18","17","35","37","0","3","16","9","20","35","51","2","15","17","12","17","13","11","0","15","10","11","13","7","6","0","5","3","1","2","2","4","1","5","8","2","6","6","1","202","71","43","17","19","2","5","2","24","143","36","36","11","4","3","4","0","23","94","20","14","9","6","2","0","0","4","31","12","2","0","0","0","0","0","1"
"s25","voters","104115","274","145","68","9","2","3","1","0","3","0","43","112","162","94","32","20","10","3","3","0","2","0","0","1","0","0","0","0","0","1","3","7","0","2","0","2","0","1","2","0","0","3","3","3","0","1","7","7","11","8","5","13","1","14","22","10","11","16","19","1","3","2","8","9","5","8","0","0","9","9","4","2","8","0","3","1","7","3","2","1","1","3","5","3","4","4","6","0","1","2","2","2","0","0","0","4","2","3","1","1","0","92","21","14","5","5","0","2","0","6","54","10","2","0","0","0","1","0","1","37","5","0","1","0","0","0","0","0","15","1","1","1","0","0","0","0","0"
"s25","voters","104116","416","302","43","6","5","1","3","0","2","0","54","155","261","195","33","40","13","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","3","0","1","0","0","16","17","9","13","24","24","1","29","40","22","25","37","45","0","0","7","5","4","5","3","0","1","2","4","4","6","2","0","4","5","4","4","2","1","2","10","9","3","2","3","5","0","1","1","3","0","0","3","0","4","2","0","2","0","1","145","57","42","10","14","3","6","4","21","28","8","5","1","0","0","1","0","0","36","8","7","2","1","0","0","0","0","13","2","1","0","1","0","0","0","0"
"s25","voters","104121","1051","680","148","24","5","10","4","0","4","0","176","427","624","505","79","135","32","4","4","1","0","2","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","6","0","0","0","4","0","4","0","4","42","48","27","24","43","62","6","97","83","53","42","58","91","0","6","11","11","9","17","23","0","4","11","11","15","9","21","2","21","16","11","6","10","8","6","39","18","15","7","5","12","0","5","9","3","4","4","1","0","6","6","2","2","1","4","375","107","81","31","36","4","6","3","37","92","30","15","0","4","0","3","0","4","130","17","15","12","1","0","1","0","0","33","6","4","2","2","0","0","0","0"
"s25","voters","104124","107","60","19","5","1","0","2","0","0","0","20","44","63","47","8","13","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","3","5","3","1","4","6","0","8","11","1","4","5","9","0","2","2","0","3","1","3","0","0","0","0","2","2","4","0","2","2","2","1","0","0","0","4","2","1","3","1","2","0","0","1","0","1","0","2","0","0","1","0","0","2","1","29","12","14","0","2","0","0","0","3","11","2","3","0","0","0","0","0","3","12","2","5","1","0","0","0","0","0","2","3","1","1","0","0","0","0","1"
"s25","voters","104125","425","246","78","16","3","5","0","0","2","0","75","179","246","181","44","51","19","0","1","0","0","0","1","0","0","0","4","0","0","0","1","1","0","0","0","1","0","2","3","0","0","4","0","0","0","2","15","19","9","11","22","25","2","25","34","16","10","14","42","0","2","10","2","6","7","10","2","6","3","8","6","5","11","1","7","5","3","3","8","5","3","9","10","7","4","4","6","0","0","3","1","1","0","2","0","5","3","2","2","4","3","145","37","26","13","13","0","5","1","6","44","12","14","2","4","0","0","0","2","46","7","9","3","2","1","0","2","5","19","5","2","0","0","0","0","0","0"
"s25","voters","105105","627","260","225","32","1","4","5","0","3","0","97","294","333","131","46","37","10","9","7","1","3","1","0","0","0","0","1","1","0","1","2","0","0","3","0","0","0","1","1","0","1","8","4","2","0","3","12","8","19","16","16","35","5","17","18","23","21","21","46","0","8","9","19","18","26","36","0","1","7","18","19","25","39","1","4","6","14","9","5","10","1","7","8","12","7","5","8","0","2","2","3","4","4","5","0","4","1","2","3","9","6","150","52","29","5","3","0","2","0","19","141","27","28","7","4","1","2","1","14","64","7","15","4","3","0","0","1","3","26","9","5","0","2","0","0","1","2"
