"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0011267","281","107","113","13","1","2","3","0","1","0","41","159","122","6","11","6","1","6","3","3","0","0","1","0","0","0","0","0","0","0","0","0","0","6","14","0","0","5","1","0","0","0","1","0","0","0","4","2","8","3","9","25","1","1","4","5","3","10","32","0","1","5","7","9","18","30","0","0","1","2","5","17","18","0","1","3","3","3","5","11","0","0","0","5","1","2","7","0","2","0","1","1","3","5","0","0","0","1","1","4","2","62","17","10","1","1","2","0","0","14","54","13","18","3","0","2","1","1","21","24","3","5","1","1","2","1","0","4","13","4","0","0","0","0","1","0","2"
"s25","voters","0011397","7","2","4","0","0","0","1","0","0","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","0011902","963","583","158","29","2","5","3","0","3","0","180","427","536","100","15","16","6","10","3","1","1","3","2","2","1","1","0","1","0","8","7","12","2","60","30","30","3","4","0","9","0","32","4","6","2","4","16","43","60","34","35","41","5","28","75","83","52","39","68","1","2","13","25","16","9","15","0","5","15","15","12","11","19","0","10","17","27","16","13","13","3","7","22","17","14","9","12","0","1","2","1","1","4","8","0","2","7","5","4","1","6","507","76","0","0","0","0","0","0","0","141","17","0","0","0","0","0","0","0","148","32","0","0","0","0","0","0","0","36","6","0","0","0","0","0","0","0"
"s25","voters","0012578","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","0012600","1039","556","242","27","0","7","4","0","5","0","198","455","584","76","23","32","3","15","12","9","1","1","1","2","0","2","2","1","0","10","1","7","1","49","22","23","2","7","6","8","0","19","7","9","3","3","13","17","34","31","30","82","2","27","27","43","51","48","148","1","7","8","16","27","20","51","0","6","4","15","22","20","45","1","8","9","19","23","14","25","0","12","14","21","14","12","26","0","0","0","2","4","4","6","0","4","4","3","4","4","8","294","117","66","25","5","6","8","5","30","137","34","33","4","5","2","3","4","20","105","37","23","16","6","3","2","0","6","29","9","4","0","0","0","0","1","0"
"s25","voters","0012669","1237","737","285","73","1","6","7","0","1","0","127","498","739","68","16","9","4","36","15","5","3","2","0","0","0","6","5","0","1","7","1","5","2","8","0","1","1","0","0","1","0","11","3","2","1","0","2","1","1","5","38","207","0","2","4","2","10","49","416","0","0","0","0","4","19","122","0","1","1","0","1","14","123","0","1","1","0","3","12","42","0","0","0","1","3","7","57","0","0","0","2","0","6","32","0","0","0","0","1","9","38","441","118","69","28","17","7","9","6","42","165","40","21","16","4","1","4","8","26","78","13","19","6","4","0","0","0","7","57","14","7","2","3","0","1","0","4"
"s25","voters","0012702","732","428","119","27","0","7","7","0","0","0","144","324","408","57","34","24","12","10","4","4","0","2","0","0","0","2","0","1","0","11","0","5","1","19","7","10","0","8","2","0","0","30","11","6","1","3","13","34","36","48","23","15","2","23","51","54","66","34","26","0","4","2","9","14","15","10","0","2","7","16","19","12","9","1","8","8","28","19","11","6","2","9","12","15","18","2","5","0","1","4","1","5","4","2","0","6","1","4","4","5","4","244","81","61","17","8","2","3","2","10","64","28","17","3","2","0","2","0","3","83","32","17","4","5","0","0","1","2","26","7","5","2","0","1","0","0","0"
"s25","voters","0012728","999","627","134","37","6","4","7","0","2","0","182","433","566","100","16","21","11","14","4","5","0","2","2","0","0","4","1","2","0","13","9","7","2","37","6","19","2","9","0","2","0","33","4","10","4","2","24","33","51","51","41","40","2","38","36","108","92","47","62","0","7","5","10","21","13","16","0","2","3","15","14","18","10","1","11","12","18","25","13","10","4","16","10","17","29","3","13","0","3","6","2","9","5","4","0","3","5","6","7","4","2","344","137","73","18","7","1","3","6","38","81","23","10","5","3","0","2","1","9","104","24","15","18","6","0","3","3","9","42","11","2","0","0","0","0","0","1"
"s25","voters","0012733","962","526","187","46","0","9","10","0","5","0","179","422","540","114","15","31","10","6","5","4","0","2","0","0","0","2","0","0","0","26","9","10","2","32","14","21","7","7","2","4","0","21","6","7","1","4","24","21","35","50","34","32","7","44","40","54","75","56","50","0","17","5","12","26","17","11","0","8","5","13","37","17","19","3","12","6","18","33","15","12","1","11","13","17","16","15","7","1","6","4","3","7","10","4","0","7","3","9","7","3","6","291","99","66","21","6","3","5","9","26","110","27","22","5","4","1","0","1","17","96","28","25","9","4","1","4","1","11","43","20","6","0","0","0","1","0","0"
"s25","voters","0012765","752","431","139","38","1","4","8","0","6","0","125","332","420","77","29","21","7","8","7","6","3","5","1","2","0","7","0","1","0","24","4","6","2","22","2","5","1","8","3","6","0","12","3","6","1","2","17","20","31","46","31","25","8","21","28","51","64","42","45","0","7","1","11","18","23","14","0","2","7","9","19","18","10","1","5","6","16","13","17","1","3","4","8","17","15","11","8","0","4","3","2","4","8","6","2","5","2","3","6","9","3","226","95","62","6","9","3","7","3","20","79","20","19","4","4","1","0","1","11","74","16","10","10","4","0","3","2","6","30","16","5","1","1","0","3","0","1"
