"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","H10110","462","264","109","21","1","2","3","0","3","0","59","206","256","160","25","30","11","1","0","1","1","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","4","4","1","2","1","6","14","20","14","19","25","1","22","20","39","27","23","33","1","6","12","11","9","12","10","0","2","11","10","6","9","10","0","1","7","10","7","3","5","0","5","2","6","3","7","3","0","1","2","2","3","1","4","1","3","1","5","3","2","2","138","43","35","18","7","2","2","7","12","71","12","16","3","4","0","2","1","0","31","10","9","5","1","0","0","1","2","20","3","5","2","0","0","0","0","0"
"s25","voters","H10140","764","390","209","34","3","1","11","0","6","1","109","351","413","209","54","44","18","4","8","1","1","0","0","0","0","1","0","1","0","1","0","3","0","0","1","0","0","0","0","0","0","7","5","1","5","1","10","15","18","19","43","42","3","29","35","27","28","56","64","1","8","12","18","14","36","29","0","3","16","13","15","27","17","1","6","6","8","14","11","12","1","8","8","9","5","10","10","1","2","5","4","2","5","8","0","3","1","7","3","8","7","194","78","49","23","7","4","6","2","27","116","38","23","6","8","0","1","0","17","63","18","9","7","4","2","0","0","6","38","10","2","1","2","0","1","0","2"
"s25","voters","H10143","553","255","200","20","0","1","4","0","2","0","71","250","303","114","59","26","8","1","2","0","0","0","0","0","0","0","3","0","0","1","1","3","0","2","2","0","0","1","1","2","0","1","3","4","0","2","10","13","14","13","22","22","1","16","23","18","26","41","34","1","5","8","16","19","33","23","0","5","9","15","22","20","24","0","5","1","5","12","6","5","3","1","5","6","6","7","9","0","3","1","2","5","4","0","0","1","2","2","1","3","3","135","38","35","16","6","0","1","2","22","121","31","17","7","4","0","2","3","15","40","8","4","9","2","0","1","2","5","16","5","5","1","0","0","0","0","0"
"s25","voters","H20120","513","349","65","11","4","4","5","0","1","0","74","215","298","278","25","49","16","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","3","0","0","0","4","4","0","1","0","15","16","16","27","21","32","4","34","33","31","38","34","48","0","0","3","10","8","6","7","0","0","4","10","7","6","4","0","7","11","5","7","6","2","0","6","6","5","7","6","6","0","7","2","2","3","1","1","0","0","2","1","2","4","0","179","68","39","8","11","0","1","7","36","35","13","8","2","2","0","1","0","4","43","10","5","5","5","1","1","1","3","17","6","2","0","0","0","0","0","0"
"s25","voters","H20124","689","416","126","32","5","3","3","0","0","0","104","317","372","271","38","49","16","7","2","3","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","2","1","2","1","7","6","2","0","2","18","24","25","29","30","37","3","30","36","41","51","41","49","1","8","11","7","18","20","11","0","3","2","6","12","15","12","3","5","8","4","10","8","10","1","13","7","15","7","8","5","0","2","1","6","7","7","5","0","2","4","1","2","5","1","236","68","49","16","13","4","9","5","16","71","22","15","5","9","0","0","0","4","50","24","14","6","6","2","0","0","2","31","5","5","1","0","0","0","0","1"
"s25","voters","H30128","736","454","164","28","4","4","2","0","2","0","78","325","411","306","59","44","16","1","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","2","2","1","14","19","26","31","30","63","2","37","25","40","44","48","74","0","4","11","14","14","22","19","0","3","11","10","16","13","27","1","4","10","6","3","8","9","4","4","5","5","7","5","7","0","3","4","3","4","0","2","0","4","2","4","2","8","4","246","74","42","23","14","4","6","3","42","102","16","23","4","6","0","1","1","11","45","13","6","4","4","1","3","0","2","27","7","3","1","0","0","0","0","2"
"s25","voters","H30131","709","434","153","28","0","1","5","0","0","0","88","301","408","265","47","43","15","9","8","2","0","1","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","4","2","3","0","1","16","22","17","12","36","64","5","17","32","45","28","53","86","0","3","9","10","8","22","19","1","3","7","9","10","14","38","0","5","11","8","6","7","7","0","2","6","6","8","12","10","0","1","7","3","2","2","3","0","3","1","1","1","8","2","234","70","47","13","18","5","9","4","34","88","22","22","5","6","1","1","3","5","48","12","9","8","2","1","1","1","6","23","4","2","2","0","0","1","0","2"
"s25","voters","H30134","988","497","310","43","0","5","7","0","1","0","125","453","535","257","83","55","25","10","18","0","1","0","0","0","0","4","5","2","1","0","0","0","0","5","0","1","0","3","2","1","0","16","10","7","1","1","24","24","30","33","31","56","4","26","40","49","51","46","82","1","14","15","33","24","25","50","0","5","13","32","28","25","45","1","3","11","18","12","6","11","3","9","3","16","16","8","8","1","1","5","5","9","4","5","0","2","6","4","2","5","7","266","88","71","14","15","0","1","4","38","153","54","39","16","11","1","3","5","28","64","20","15","8","8","0","0","2","8","39","9","2","1","3","0","1","0","1"
"s25","voters","H30137","651","336","208","25","2","0","6","0","0","0","74","283","368","142","51","28","7","12","5","1","0","3","0","0","0","4","0","0","1","8","0","1","0","3","2","0","0","0","0","0","0","5","1","1","0","2","11","10","16","14","25","49","1","16","18","25","28","35","86","0","9","11","13","11","27","34","0","6","6","7","21","16","47","3","0","4","2","7","10","9","1","7","2","6","8","8","7","0","0","3","4","3","1","5","0","1","2","1","4","2","7","202","71","25","8","7","2","7","2","12","114","39","22","5","5","2","3","3","15","40","12","7","3","2","4","0","0","6","18","12","1","0","1","1","0","0","0"
"s25","voters","H30141","253","133","74","15","2","1","0","0","1","0","27","117","136","68","27","12","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","2","5","6","6","15","19","0","11","7","13","8","15","26","0","1","3","5","3","13","11","0","1","1","3","5","14","14","2","1","3","5","3","1","1","0","3","0","1","3","3","1","0","3","0","1","3","2","3","0","1","1","1","1","0","3","80","21","11","7","5","0","1","1","7","42","10","11","4","2","0","0","0","5","16","4","4","2","0","0","0","0","1","11","3","3","0","0","0","0","0","2"
