"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","ADE1043","234","122","43","14","2","4","0","0","0","0","49","99","135","43","10","26","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","1","8","3","9","5","14","9","0","9","11","6","14","11","22","0","2","2","7","6","5","4","0","0","3","4","1","5","4","1","2","5","4","0","3","2","0","4","11","11","2","0","4","0","0","1","4","0","1","1","0","0","4","5","0","3","1","75","23","12","4","4","0","0","0","4","26","5","6","4","0","0","0","0","2","36","6","3","1","1","0","1","0","1","14","5","1","0","0","0","0","0","0"
"s25","voters","ADE1045","225","142","32","11","2","0","0","0","2","0","36","100","125","83","16","19","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","1","8","16","6","11","5","9","1","11","19","12","18","13","12","0","0","2","3","5","3","1","0","0","3","6","3","3","3","0","4","4","5","5","2","1","1","2","0","3","2","5","2","0","2","1","0","4","2","0","0","3","2","1","0","0","0","82","30","13","4","5","1","0","0","7","20","6","3","1","0","0","1","0","1","28","2","1","4","1","0","0","0","0","8","5","2","0","0","0","0","0","0"
"s25","voters","ADE1046","163","90","40","2","2","2","0","0","1","0","26","73","90","33","14","7","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","3","1","0","0","1","0","0","0","3","0","0","0","1","6","1","4","6","5","15","1","5","8","4","9","10","15","0","1","2","5","2","6","4","0","1","1","4","2","4","8","1","3","1","2","2","2","1","0","2","2","4","2","2","2","0","0","1","1","0","0","1","0","1","1","1","1","0","0","55","18","10","2","1","1","1","0","2","27","7","4","1","0","0","0","0","1","17","6","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0","0"
"s25","voters","ADE1047","1765","937","402","92","14","10","11","0","6","0","293","767","998","485","180","174","55","4","12","5","3","1","0","0","0","0","0","0","0","1","0","1","0","7","1","0","0","2","2","1","1","8","4","6","1","5","51","57","45","46","69","99","10","91","71","85","84","95","129","5","11","31","34","35","59","43","4","6","19","25","33","41","56","5","21","28","16","18","18","16","8","29","41","26","29","21","17","0","6","13","12","3","13","8","1","13","12","9","15","17","11","564","152","109","27","29","10","10","2","34","249","55","35","8","14","5","2","3","31","180","33","34","11","13","6","5","3","8","69","32","28","0","2","0","0","0","2"
"s25","voters","ADE1048","13","3","8","0","0","1","0","0","0","0","1","10","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","7","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"s25","voters","ADE1049","496","306","94","22","2","2","6","0","1","0","63","209","287","127","42","40","11","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","1","3","3","0","0","4","17","12","13","18","23","22","5","31","28","25","42","23","43","1","4","8","8","7","18","6","0","2","5","7","10","10","8","0","12","5","5","7","5","2","1","7","5","6","5","1","2","1","2","3","1","2","2","1","1","3","4","2","4","4","3","174","74","28","11","8","0","1","1","9","58","16","12","1","0","0","0","0","7","39","9","8","2","2","0","0","0","3","23","5","3","1","1","0","0","0","0"
"s25","voters","ADE1050","1385","775","286","52","5","17","9","0","5","0","236","600","785","390","137","136","40","8","2","5","0","2","1","0","0","3","1","1","0","3","0","0","0","0","0","0","0","3","1","2","0","12","5","5","0","5","41","35","33","40","61","79","8","63","68","71","78","86","107","2","7","9","25","37","36","31","2","4","17","24","38","29","25","7","22","21","15","19","15","9","4","34","21","16","20","21","12","2","13","6","10","11","3","6","1","8","6","7","6","6","3","424","131","90","31","36","5","20","2","36","171","49","34","6","8","1","3","4","10","130","33","34","15","10","5","1","2","6","57","11","13","3","2","1","0","0","1"
"s25","voters","ADE1051","984","537","194","60","12","10","6","0","5","0","160","421","563","270","74","73","29","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","3","2","0","1","3","26","30","22","33","35","61","4","48","47","46","45","60","77","0","10","19","19","11","17","24","1","8","12","22","11","20","20","6","13","17","8","6","11","12","3","19","18","19","10","6","12","2","3","7","6","2","7","11","0","6","13","14","7","8","7","321","98","66","13","12","4","8","0","15","111","24","29","6","7","0","4","1","12","108","15","12","5","5","3","2","2","8","57","19","11","1","0","2","2","0","1"
"s25","voters","AP10004","2479","721","1291","152","4","14","18","0","2","0","277","1138","1341","201","246","83","41","19","42","5","5","1","5","0","0","4","1","0","0","0","5","4","1","3","0","8","0","2","0","0","0","12","8","0","0","1","13","25","26","32","48","134","6","34","42","29","55","80","196","4","25","42","72","102","141","244","2","21","49","74","85","159","271","4","10","21","24","26","20","30","3","18","31","22","14","24","30","3","10","8","13","8","16","36","0","4","11","11","20","23","27","405","114","99","16","14","4","5","1","63","708","193","172","42","34","6","9","9","118","154","43","22","23","7","3","4","1","20","114","38","18","6","3","0","1","4","6"
"s25","voters","AP10005","1497","518","656","93","8","12","14","0","5","0","191","685","812","188","113","63","29","5","22","2","3","1","3","0","0","0","0","0","0","4","0","1","0","0","2","0","0","0","0","0","0","3","4","3","2","2","12","24","24","33","32","76","2","26","35","51","33","62","106","3","11","25","45","51","69","107","0","13","28","48","57","77","122","3","11","14","16","18","15","23","3","12","13","19","11","16","17","0","6","17","11","5","17","15","1","9","8","12","8","12","11","304","98","57","12","11","2","4","2","28","345","112","92","20","25","1","6","7","48","111","22","22","9","12","1","4","3","7","86","23","12","0","7","1","0","0","3"
"s25","voters","AP10006","1170","379","565","67","0","7","9","0","2","0","141","562","608","130","86","43","17","6","15","0","1","0","1","0","0","0","2","0","0","1","1","1","1","1","1","1","0","0","4","2","0","6","5","2","2","0","12","14","18","16","29","63","5","19","18","39","27","53","66","2","12","19","37","44","64","103","1","15","15","44","36","62","111","1","9","17","16","17","9","16","0","8","11","10","4","5","18","0","3","4","10","6","8","13","1","6","3","5","6","8","12","211","67","46","16","14","2","5","1","17","289","83","73","23","27","3","6","2","59","70","22","24","8","6","0","5","0","6","59","9","12","1","2","0","0","0","2"
