"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","100000","847","288","329","54","5","2","4","0","2","0","163","408","439","24","16","10","4","25","21","11","6","6","1","2","1","0","2","0","0","9","3","15","1","7","0","7","2","7","3","2","3","0","1","1","1","1","16","5","17","26","21","43","1","19","11","20","38","24","46","2","14","6","8","24","30","77","1","5","7","10","25","38","82","0","3","4","9","22","14","33","1","7","8","5","15","17","25","0","4","3","5","3","8","10","0","3","0","5","5","10","11","143","64","42","7","6","3","1","4","18","178","41","47","10","5","0","4","3","41","76","23","28","10","2","1","3","3","17","44","15","4","1","1","1","0","0","1"
"s25","voters","105000","1107","459","425","53","0","5","3","0","1","0","161","429","678","30","15","3","2","55","21","12","5","2","0","1","0","4","1","1","0","4","9","13","0","2","0","2","0","0","1","1","0","1","2","1","0","0","3","5","2","5","10","133","0","6","4","4","5","36","246","0","3","1","6","10","21","132","0","4","1","4","6","29","208","1","1","0","2","4","9","59","0","2","1","2","1","15","64","0","0","0","0","4","5","13","0","0","1","0","1","7","31","275","96","43","9","8","3","7","2","16","232","77","41","18","13","7","4","4","29","94","27","15","3","4","0","3","2","13","40","13","6","0","1","0","0","0","2"
"s25","voters","105040","1154","488","436","51","1","0","2","0","0","2","174","465","689","16","11","5","3","36","20","10","1","2","3","1","0","4","1","1","0","3","4","5","1","3","3","3","0","0","1","0","0","0","2","2","1","0","0","2","5","1","18","148","0","3","4","0","6","29","272","0","1","3","1","3","21","152","0","2","1","0","4","36","212","0","0","2","2","1","9","72","0","0","3","0","1","8","76","0","0","0","0","1","4","19","0","1","0","1","0","4","26","297","85","48","13","11","3","5","4","22","256","71","37","18","10","8","8","3","25","88","21","18","18","8","5","2","4","10","38","15","1","1","0","0","1","0","0"
"s25","voters","105100","765","307","293","34","2","4","3","0","1","0","121","377","388","21","23","10","3","20","4","5","2","2","0","4","0","5","5","4","1","11","5","5","0","1","3","5","0","3","3","7","0","4","2","0","0","0","10","14","18","26","24","38","0","16","14","29","37","40","41","1","5","11","18","19","32","73","0","4","9","11","21","29","60","1","7","10","12","16","14","11","0","4","6","13","10","3","14","0","0","0","4","5","2","6","0","3","6","4","7","3","4","160","52","43","8","9","3","5","1","26","144","50","24","13","9","2","3","3","45","66","15","11","6","5","3","3","3","9","25","11","4","2","1","0","0","0","1"
"s25","voters","105140","1074","435","357","32","1","5","9","0","3","0","232","524","550","26","33","7","7","28","16","11","4","0","3","3","0","13","3","3","1","15","11","17","0","19","1","16","1","15","10","9","2","7","7","2","1","0","13","22","22","26","31","60","1","26","28","28","38","54","86","1","5","7","18","22","54","86","1","6","8","11","20","45","73","1","8","10","18","18","28","47","2","7","3","21","18","20","31","1","1","4","1","7","3","10","0","2","2","6","5","2","6","233","77","48","24","5","0","2","3","43","184","53","35","9","7","4","7","4","54","104","47","29","10","2","3","9","2","26","30","7","5","1","2","1","0","0","4"
"s25","voters","105160","793","346","243","36","5","4","4","0","1","0","154","349","444","52","26","10","6","18","7","5","0","2","1","0","0","0","0","0","0","11","5","6","1","13","2","7","1","7","1","4","3","13","17","6","3","1","14","18","21","26","16","42","0","10","15","35","35","26","87","0","4","12","7","20","18","51","0","3","6","10","29","25","58","1","4","8","12","16","13","24","1","13","11","8","10","10","23","0","1","5","1","5","2","7","0","1","8","5","2","7","6","213","65","37","5","2","2","2","1","19","140","32","24","5","7","1","7","4","23","85","24","23","4","2","1","3","0","12","31","12","3","1","0","0","0","1","2"
"s25","voters","105200","1011","412","376","53","0","1","3","0","3","0","163","416","595","39","35","12","4","38","16","4","0","1","1","0","0","3","3","2","0","3","7","13","1","3","0","1","0","5","0","0","0","7","6","2","2","0","3","9","14","11","20","99","2","7","5","7","11","45","179","0","0","2","4","8","25","124","0","0","2","5","10","32","164","0","5","4","3","4","16","42","2","3","2","6","5","21","50","0","0","1","1","1","6","14","0","0","1","4","1","9","22","225","86","48","12","10","3","0","7","21","214","56","43","9","6","7","4","4","33","92","23","14","7","4","1","4","1","17","38","10","6","1","0","1","0","0","4"
"s25","voters","105230","936","393","288","32","3","3","8","0","1","0","208","431","505","33","20","14","6","26","11","8","4","15","3","6","1","3","2","1","1","9","13","24","1","11","1","12","0","5","1","1","0","11","6","11","2","1","6","14","27","26","19","62","1","8","21","31","25","39","113","1","6","10","8","24","32","58","1","3","6","8","30","30","71","0","8","11","18","23","17","40","0","8","12","15","18","10","28","0","1","1","3","2","6","7","0","5","3","3","3","5","8","224","69","50","14","3","2","6","1","24","151","50","31","11","10","1","1","4","29","97","43","27","13","6","4","6","0","12","34","6","4","1","1","0","0","1","0"
"s25","voters","105380","553","198","205","24","2","2","6","0","1","0","115","249","304","21","8","8","0","3","9","5","1","3","4","1","0","2","0","0","1","8","4","8","0","8","2","6","1","2","3","4","0","4","1","3","0","0","4","7","5","16","10","32","0","3","7","17","22","16","59","0","3","8","11","14","21","45","0","5","6","8","10","27","47","1","6","4","5","8","16","20","1","1","6","3","10","7","27","0","1","1","1","2","0","8","0","1","4","3","3","3","8","110","39","21","9","5","0","2","2","10","108","32","21","4","2","2","5","3","28","63","17","12","6","5","3","1","1","7","28","1","3","0","2","0","0","0","1"
"s25","voters","105400","891","362","294","39","1","3","6","0","0","0","186","398","493","43","25","23","5","24","18","12","3","3","5","4","3","1","1","2","0","9","5","4","0","7","0","3","0","4","2","5","0","3","4","4","0","0","7","18","9","14","24","60","0","5","35","25","23","34","108","0","5","9","16","17","33","66","0","4","6","12","20","31","75","0","5","10","13","17","16","43","1","5","7","10","11","14","34","0","1","3","0","2","4","6","1","3","6","2","3","8","10","223","63","36","8","8","4","2","1","17","168","47","28","16","5","1","6","2","21","111","28","19","9","2","1","5","0","11","33","11","2","2","0","0","0","0","1"
