"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1101","854","552","82","14","5","6","2","0","5","0","188","383","471","64","5","16","2","13","1","2","1","9","2","5","0","16","0","3","1","128","35","88","11","4","0","1","0","21","5","8","0","13","7","4","0","1","22","34","39","26","32","73","2","31","57","58","38","47","92","1","1","8","5","5","9","21","0","0","3","4","8","5","12","1","10","13","13","15","14","28","2","9","3","18","16","17","29","0","1","2","2","4","3","0","0","3","2","1","4","4","6","305","87","57","13","16","4","12","4","54","53","7","10","3","0","0","4","0","5","93","31","19","11","8","1","2","4","19","17","5","4","2","0","0","1","0","3"
"s25","voters","1103","54","34","2","2","0","1","0","0","0","0","15","26","28","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","2","9","1","0","0","0","0","2","0","2","0","2","0","0","0","0","2","1","2","3","1","8","0","2","3","0","3","1","8","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","3","2","1","1","0","2","0","0","3","2","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","15","6","3","2","1","2","0","0","5","1","0","1","0","0","0","0","0","0","10","2","0","1","1","0","0","0","1","2","0","1","0","0","0","0","0","0"
"s25","voters","1104","3185","2075","249","63","16","26","8","0","19","1","728","1435","1750","287","34","67","25","71","2","7","4","24","4","8","0","13","0","3","0","317","92","345","27","19","0","9","2","60","20","27","5","58","14","14","0","3","61","133","136","140","158","255","6","100","185","174","162","186","376","0","7","8","17","27","32","37","1","2","3","14","16","32","53","5","27","52","57","62","56","103","3","34","35","56","65","61","112","0","3","4","12","15","12","13","0","12","11","9","9","15","18","1055","345","262","68","64","14","26","13","228","162","30","34","4","3","0","0","1","15","358","89","85","44","20","6","23","10","93","91","20","8","5","2","1","1","0","5"
"s25","voters","1106","2688","1686","235","49","17","24","10","0","15","0","652","1174","1514","421","57","105","27","28","2","8","1","5","4","6","0","10","2","3","0","307","76","325","18","17","0","4","1","35","10","21","5","92","26","20","5","2","59","116","120","88","127","205","3","100","159","126","124","165","292","0","3","14","11","24","23","40","0","2","7","20","14","27","50","3","27","43","47","47","43","79","1","35","45","48","53","63","118","0","6","5","10","15","11","6","3","5","11","9","6","13","15","896","263","232","69","36","12","21","7","150","148","34","28","0","7","0","2","0","16","303","95","93","36","22","11","14","14","64","81","19","10","1","1","0","0","0","3"
"s25","voters","1108","618","392","51","7","3","9","0","1","4","0","151","280","338","63","6","12","0","8","0","3","0","5","3","3","0","3","1","1","0","83","16","72","6","2","0","2","1","13","4","7","1","15","3","3","3","0","25","35","32","25","26","35","1","27","36","26","31","32","61","0","1","2","5","2","4","11","0","1","1","0","4","6","14","1","9","9","11","8","11","19","0","14","7","8","11","13","30","0","3","0","1","0","2","3","0","1","1","3","3","4","3","226","56","42","17","7","2","4","2","36","25","8","11","2","1","0","0","0","4","77","15","20","7","1","3","3","1","24","15","2","3","0","1","1","1","0","1"
"s25","voters","1116","29","17","2","1","0","1","0","0","0","0","8","12","17","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","2","0","0","0","0","0","0","0","0","9","0","1","0","0","0","1","0","3","1","2","0","0","3","2","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","0","2","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","7","5","2","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","2","2","2","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0"
"s25","voters","1119","2731","1654","277","58","17","35","14","0","13","0","663","1217","1514","430","79","110","40","18","1","4","0","9","3","5","1","11","0","4","0","316","82","300","22","8","0","2","1","45","14","27","4","137","24","38","6","3","44","105","124","103","112","190","9","90","163","155","123","149","284","0","2","7","20","20","31","59","1","2","6","11","24","27","67","2","27","36","65","37","62","98","1","19","39","49","53","71","104","2","7","6","12","14","10","19","1","10","9","8","12","11","16","890","268","213","53","41","17","19","6","147","180","36","28","3","2","0","0","3","25","320","98","77","31","21","5","13","6","92","97","14","11","6","2","1","2","0","4"
"s25","voters","1126","2402","1635","202","60","15","16","6","1","10","1","456","1151","1251","422","46","86","27","52","1","5","3","16","2","15","1","15","0","0","1","201","47","143","12","17","0","8","2","23","5","12","8","63","13","19","3","1","43","83","160","123","126","199","4","65","124","174","141","138","254","0","2","5","13","22","21","39","0","0","7","5","13","20","55","1","25","32","36","57","44","61","1","11","23","24","44","36","61","1","5","6","14","8","6","18","0","3","3","10","10","8","17","865","272","203","46","49","7","23","14","156","112","28","28","4","6","0","1","0","23","217","70","62","18","17","3","6","4","59","64","21","7","5","4","0","1","1","6"
"s25","voters","1131","3598","2373","263","68","24","39","14","0","18","1","798","1674","1924","652","72","168","45","78","7","9","6","4","1","6","0","7","1","1","3","295","69","278","21","11","1","3","1","47","13","22","6","131","13","34","7","6","56","143","180","175","180","296","14","99","172","227","203","196","426","0","6","10","19","19","35","53","0","4","7","11","23","24","52","4","26","52","64","81","77","118","5","40","46","47","57","71","110","0","2","16","10","12","14","20","3","11","11","14","9","18","24","1231","385","314","77","59","20","46","22","219","163","31","37","4","4","1","3","2","18","386","100","107","38","30","8","13","10","106","104","30","11","2","2","0","3","1","11"
"s25","voters","1137","3097","2049","285","59","18","25","14","0","18","0","629","1377","1720","628","96","128","48","55","2","3","1","13","0","5","1","12","2","4","0","289","76","224","18","8","1","7","0","48","11","23","4","86","22","21","4","7","57","127","132","125","157","226","10","101","172","159","196","203","377","2","5","13","17","19","24","68","0","3","10","13","18","35","58","3","17","39","54","59","67","88","6","27","28","44","42","53","102","0","5","11","7","13","20","15","0","6","11","10","7","13","16","1046","367","273","61","42","9","29","13","209","159","34","42","3","9","0","1","5","32","321","91","66","39","20","4","10","4","74","86","19","13","6","2","1","0","0","7"
"s25","voters","1144","3167","1976","354","67","12","32","13","0","11","0","702","1403","1764","546","106","117","44","48","5","5","4","13","2","11","0","15","0","1","0","327","88","333","22","14","1","7","2","56","13","26","6","148","39","26","9","2","56","114","138","125","144","250","8","87","151","149","167","197","388","0","6","16","21","31","44","54","0","2","10","18","28","48","76","4","23","48","49","43","64","107","2","22","35","55","56","68","126","0","5","8","9","16","11","15","2","8","5","12","9","11","24","978","341","277","66","52","9","22","14","217","216","47","44","7","3","1","2","4","30","337","75","97","53","18","6","21","4","91","77","26","17","5","3","0","2","0","5"
"s25","voters","7001","2960","2293","102","40","11","10","9","0","14","0","481","1529","1431","181","8","33","10","165","4","33","2","27","0","3","1","27","0","2","1","152","8","56","2","70","0","10","0","36","0","5","0","21","5","7","1","1","42","293","230","182","169","204","2","54","312","257","185","150","212","0","2","8","6","13","14","23","0","0","4","3","8","9","12","1","14","63","67","53","57","40","4","14","40","43","37","24","24","1","5","4","11","6","10","10","0","4","5","6","4","10","8","1470","364","174","53","39","9","19","9","156","62","14","11","1","1","1","0","0","12","296","72","38","16","9","4","7","4","35","58","15","5","2","0","0","1","1","2"
