"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"39","0010101","13","9","5","1","2980","0","0","0","0","0","0","0","0","0","1104","0","0","0","0","0","0","0","0","0","0","0","285","819"
"39","0010104","13","9","5","1","2410","0","0","0","0","0","0","0","0","0","966","0","0","0","0","0","0","0","0","0","0","0","238","727"
"39","0010145","13","9","5","1","4394","0","0","0","0","0","0","0","0","0","1944","0","0","0","0","0","0","0","0","0","0","0","661","1282"
"39","0010146","13","9","5","1","3608","0","0","0","0","0","0","0","0","0","1033","0","0","0","0","0","0","0","0","0","0","0","234","796"
"39","0010147","13","9","5","1","4383","0","0","0","0","0","0","0","0","0","1473","0","0","0","0","0","0","0","0","0","0","0","386","1086"
"39","0010160","13","9","5","1","2611","0","0","0","0","0","0","0","0","0","1076","0","0","0","0","0","0","0","0","0","0","0","294","779"
"39","0010162","13","9","5","1","3741","0","0","0","0","0","0","0","0","0","1420","0","0","0","0","0","0","0","0","0","0","0","356","1058"
"39","0010163","13","9","5","1","4635","0","0","0","0","0","0","0","0","0","1889","0","0","0","0","0","0","0","0","0","0","0","483","1404"
"39","0010164","13","9","5","1","4264","0","0","0","0","0","0","0","0","0","1418","0","0","0","0","0","0","0","0","0","0","0","293","1124"
"39","0010171","13","9","5","1","4050","0","0","0","0","0","0","0","0","0","1427","0","0","0","0","0","0","0","0","0","0","0","377","1046"
"39","0010179","13","9","5","1","4098","0","0","0","0","0","0","0","0","0","1411","0","0","0","0","0","0","0","0","0","0","0","232","1177"
"39","0010180","13","9","5","1","2771","0","0","0","0","0","0","0","0","0","1046","0","0","0","0","0","0","0","0","0","0","0","261","785"
"39","0010201","13","9","5","1","3415","0","0","0","0","0","0","0","0","0","1354","0","0","0","0","0","0","0","0","0","0","0","512","842"
"39","0010202","13","9","5","1","5125","0","0","0","0","0","0","0","0","0","2449","0","0","0","0","0","0","0","0","0","0","0","991","1458"
"39","0010203","13","9","5","1","2241","0","0","0","0","0","0","0","0","0","1070","0","0","0","0","0","0","0","0","0","0","0","362","707"
"39","0010204","13","9","5","1","2992","0","0","0","0","0","0","0","0","0","1619","0","0","0","0","0","0","0","0","0","0","0","738","880"
"39","0010206","13","9","5","1","4723","0","0","0","0","0","0","0","0","0","2056","0","0","0","0","0","0","0","0","0","0","0","872","1182"
"39","0010207","13","9","5","1","4727","0","0","0","0","0","0","0","0","0","2325","0","0","0","0","0","0","0","0","0","0","0","1042","1282"
"39","0010213","13","9","5","1","4710","0","0","0","0","0","0","0","0","0","1653","0","0","0","0","0","0","0","0","0","0","0","548","1101"
"39","0010217","13","9","5","1","2616","0","0","0","0","0","0","0","0","0","1187","0","0","0","0","0","0","0","0","0","0","0","471","716"
"39","0010230","13","9","5","1","3872","0","0","0","0","0","0","0","0","0","1848","0","0","0","0","0","0","0","0","0","0","0","819","1028"
"39","0010237","13","9","5","1","2828","0","0","0","0","0","0","0","0","0","1334","0","0","0","0","0","0","0","0","0","0","0","528","804"
"39","0010249","13","9","5","1","3521","0","0","0","0","0","0","0","0","0","1792","0","0","0","0","0","0","0","0","0","0","0","667","1123"
"39","0010256","13","9","5","1","2943","0","0","0","0","0","0","0","0","0","1130","0","0","0","0","0","0","0","0","0","0","0","335","792"
