"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0010101","1001","617","163","23","6","13","7","0","7","0","165","402","599","296","82","89","32","4","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","6","0","2","0","2","0","0","1","59","22","18","3","0","20","29","17","26","43","74","7","47","65","52","63","69","105","0","12","17","13","11","12","26","0","6","8","5","14","19","20","3","15","15","7","10","12","13","1","18","14","18","14","10","15","0","4","3","5","4","7","4","0","5","6","6","6","5","1","333","116","64","20","17","5","16","2","44","117","25","11","1","1","0","0","0","8","96","28","14","9","4","4","3","2","5","33","13","8","1","0","0","1","0","0"
"s25","voters","0010104","965","607","146","30","12","6","5","0","6","0","153","414","551","283","73","80","25","1","2","1","0","0","0","0","0","1","0","0","0","3","1","1","0","4","3","2","0","0","0","2","0","36","16","6","4","2","26","29","35","29","57","64","7","54","51","47","51","82","73","0","3","10","14","13","19","12","0","3","9","17","13","15","18","2","19","21","7","7","13","5","2","11","15","11","19","14","7","0","3","6","9","2","3","4","0","7","5","8","4","5","3","329","117","78","11","19","4","7","3","39","85","29","16","1","4","0","0","3","8","105","21","14","7","0","0","1","0","5","37","13","3","5","0","0","0","0","1"
"s25","voters","0010145","1945","1062","462","71","9","7","21","0","10","0","303","861","1084","431","127","105","38","19","17","6","3","0","0","0","0","4","0","2","0","10","1","1","1","5","1","1","1","0","0","0","0","27","12","6","1","2","21","46","42","52","87","165","4","50","81","77","83","123","229","4","10","21","38","45","48","78","0","3","13","25","40","53","84","1","12","24","30","27","24","32","3","21","30","36","16","28","19","0","8","4","10","5","11","14","2","8","11","8","9","14","14","585","175","112","33","39","7","11","6","94","267","60","58","14","9","1","7","5","41","183","40","31","19","11","2","4","1","12","79","13","14","2","2","1","2","1","4"
"s25","voters","0010146","1029","660","142","29","12","11","8","0","4","0","163","423","606","367","71","85","35","4","3","1","0","1","0","1","0","1","0","1","0","1","1","2","0","6","4","3","1","0","0","0","0","15","1","2","1","2","23","24","14","33","57","86","8","55","56","44","46","75","137","0","5","15","17","12","19","18","0","3","4","10","7","15","17","1","7","18","10","8","9","13","3","28","13","16","13","14","10","0","4","5","3","6","6","8","0","6","3","7","5","6","5","397","106","72","15","18","3","8","5","36","98","16","14","3","0","1","2","2","6","101","29","17","7","5","0","0","0","4","42","10","11","0","0","0","0","1","0"
"s25","voters","0010147","1477","933","256","53","14","8","10","0","8","1","194","607","870","432","92","78","40","12","6","2","0","1","2","1","0","6","0","0","0","0","6","4","2","3","0","1","0","0","1","2","0","41","16","8","5","11","22","38","26","33","67","154","5","59","78","51","71","105","213","1","7","14","20","22","27","41","1","4","14","19","17","27","42","0","6","10","12","12","18","27","0","18","33","10","13","13","22","0","3","5","7","6","9","9","2","5","14","4","10","8","12","546","145","95","28","32","8","18","3","58","167","36","33","3","4","1","2","0","10","120","26","24","11","5","1","1","0","6","61","22","8","0","1","0","0","0","2"
"s25","voters","0010160","1071","635","201","30","3","4","2","0","4","0","192","468","603","226","69","84","16","8","4","1","0","0","0","0","0","1","1","1","0","5","1","0","1","40","4","18","0","4","4","1","0","39","13","20","3","3","26","36","22","42","59","67","5","58","51","39","61","75","91","1","4","14","15","17","26","24","0","5","9","9","18","32","27","3","9","24","12","10","13","14","2","28","17","22","13","17","8","0","3","3","3","5","4","9","0","0","7","2","1","2","4","340","104","75","24","24","0","20","13","35","126","29","18","4","3","3","2","4","12","116","32","20","11","3","3","4","0","3","29","9","1","2","1","1","0","0","0"
"s25","voters","0010162","1402","842","230","52","8","13","8","0","1","0","248","607","795","260","78","85","28","10","2","1","0","3","0","1","0","1","3","0","1","3","5","5","2","58","21","48","2","3","2","3","2","44","22","13","3","1","50","42","32","44","75","82","4","69","71","56","90","126","100","0","11","22","16","26","31","16","0","7","15","13","26","21","26","1","24","23","15","17","22","16","2","18","28","21","18","30","13","0","4","4","6","6","14","7","0","8","8","3","7","9","6","438","160","108","16","25","6","20","16","53","144","32","26","6","7","1","3","2","9","154","29","27","16","7","0","1","2","12","52","15","9","4","2","0","0","0","0"
"s25","voters","0010163","1883","1183","335","65","12","15","12","0","5","0","256","825","1058","461","117","102","36","11","4","3","2","0","1","2","1","1","1","0","0","9","2","2","0","49","18","15","5","3","7","4","1","58","27","19","3","5","62","58","44","70","92","126","10","96","86","76","121","156","181","0","15","26","22","34","44","48","3","9","18","21","28","36","31","0","23","16","22","29","26","16","1","22","22","20","18","17","24","0","7","5","7","6","18","4","0","15","12","4","11","9","11","639","199","141","33","43","11","28","17","72","207","35","44","8","9","1","7","2","22","146","39","29","17","6","1","1","3","14","71","15","14","5","0","0","1","0","3"
"s25","voters","0010164","1418","969","186","37","7","4","4","0","10","0","201","551","867","584","99","129","40","3","4","0","1","1","0","0","0","1","1","0","1","2","2","2","0","9","3","0","1","2","0","1","0","82","25","20","3","3","34","50","44","41","71","127","4","93","99","69","60","80","194","0","4","13","14","6","22","17","0","11","15","18","18","14","34","2","17","16","9","8","16","13","4","35","24","15","12","11","19","1","5","6","4","1","1","6","1","13","6","4","4","6","4","499","165","131","24","28","3","28","6","85","125","19","19","4","6","2","4","0","7","136","27","15","12","2","2","2","1","4","36","13","8","1","1","0","3","0","0"
"s25","voters","0010171","1409","908","254","45","8","5","6","0","3","0","180","560","849","589","137","117","38","3","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","11","4","3","0","0","2","0","0","18","9","9","3","3","42","30","23","48","62","122","3","91","72","67","49","84","212","1","10","11","18","31","21","40","4","10","12","19","14","13","50","4","14","17","10","4","10","9","4","21","26","13","19","12","17","1","3","2","4","4","4","12","1","9","5","7","3","5","7","465","152","119","21","30","2","12","6","101","157","32","28","7","6","0","3","0","21","110","21","21","13","3","1","4","1","6","43","15","7","1","1","0","0","0","0"
