"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"40","101","30","19","17","2","4626","0","0","0","0","0","0","0","0","0","3060","0","0","0","0","0","0","0","0","0","0","0","1708","1349"
"40","102","30","19","17","2","2391","0","0","0","0","0","0","0","0","0","1234","0","0","0","0","0","0","0","0","0","0","0","540","691"
"40","103","30","19","17","2","3069","0","0","0","0","0","0","0","0","0","1965","0","0","0","0","0","0","0","0","0","0","0","1037","926"
"40","104","30","19","17","2","4064","0","0","0","0","0","0","0","0","0","2513","0","0","0","0","0","0","0","0","0","0","0","1362","1146"
"40","105","30","19","17","2","1234","0","0","0","0","0","0","0","0","0","732","0","0","0","0","0","0","0","0","0","0","0","354","378"
"40","106","30","19","17","2","3258","0","0","0","0","0","0","0","0","0","2005","0","0","0","0","0","0","0","0","0","0","0","1026","977"
"40","107","30","19","17","2","2800","0","0","0","0","0","0","0","0","0","1801","0","0","0","0","0","0","0","0","0","0","0","1265","534"
"40","108","30","19","17","2","2143","0","0","0","0","0","0","0","0","0","1206","0","0","0","0","0","0","0","0","0","0","0","777","428"
"40","109","30","19","17","2","2395","0","0","0","0","0","0","0","0","0","1599","0","0","0","0","0","0","0","0","0","0","0","1081","516"
"40","110","30","19","17","2","2786","0","0","0","0","0","0","0","0","0","1851","0","0","0","0","0","0","0","0","0","0","0","1273","577"
"40","111","30","19","17","2","908","0","0","0","0","0","0","0","0","0","494","0","0","0","0","0","0","0","0","0","0","0","340","153"
"40","112","30","19","17","2","1113","0","0","0","0","0","0","0","0","0","777","0","0","0","0","0","0","0","0","0","0","0","434","343"
"40","113","30","19","17","2","3046","0","0","0","0","0","0","0","0","0","1915","0","0","0","0","0","0","0","0","0","0","0","1058","855"
"40","114","30","19","17","2","2376","0","0","0","0","0","0","0","0","0","1659","0","0","0","0","0","0","0","0","0","0","0","956","702"
"40","201","30","24","17","2","4076","0","0","0","0","0","0","0","0","0","2832","0","0","0","0","0","0","0","0","0","0","0","1079","1749"
"40","202","30","24","17","2","4008","0","0","0","0","0","0","0","0","0","2826","0","0","0","0","0","0","0","0","0","0","0","1050","1771"
"40","203","30","24","17","2","2185","0","0","0","0","0","0","0","0","0","1524","0","0","0","0","0","0","0","0","0","0","0","382","1141"
"40","204","30","24","17","2","2591","0","0","0","0","0","0","0","0","0","1774","0","0","0","0","0","0","0","0","0","0","0","534","1240"
"40","205","30","19","17","2","1841","0","0","0","0","0","0","0","0","0","1414","0","0","0","0","0","0","0","0","0","0","0","484","928"
"40","206","30","19","17","2","237","0","0","0","0","0","0","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","83","74"
"40","207","30","19","17","2","2787","0","0","0","0","0","0","0","0","0","2122","0","0","0","0","0","0","0","0","0","0","0","645","1472"
"40","208","30","24","17","2","2138","0","0","0","0","0","0","0","0","0","1528","0","0","0","0","0","0","0","0","0","0","0","671","856"
"40","209","30","24","17","2","446","0","0","0","0","0","0","0","0","0","298","0","0","0","0","0","0","0","0","0","0","0","183","112"
