"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101","3045","1003","1395","160","1","25","30","0","5","0","426","1414","1631","151","132","56","17","35","61","13","11","1","0","3","0","2","1","1","0","2","4","3","1","2","4","8","0","3","0","2","0","15","6","1","2","3","25","32","45","46","61","187","1","33","51","69","87","93","270","3","35","43","69","115","137","284","3","37","39","73","121","146","290","3","13","11","39","39","48","66","2","13","16","27","31","42","76","0","10","8","12","18","21","41","0","12","11","18","16","18","36","620","165","98","36","10","2","7","7","58","809","213","132","48","30","13","14","17","119","220","66","46","28","25","7","6","2","26","152","34","20","3","6","3","0","1","2"
"s25","voters","102","1229","513","448","53","2","15","11","0","6","0","181","543","686","106","61","37","15","22","20","0","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","3","2","1","0","2","4","2","0","0","15","19","27","21","34","77","4","34","36","42","31","60","113","0","6","20","26","30","38","96","0","7","20","31","21","50","103","3","13","17","12","8","18","18","1","14","18","13","13","10","23","0","5","2","11","8","7","12","0","3","4","9","6","4","16","327","80","49","15","7","5","1","5","24","275","60","40","15","10","3","7","1","37","111","33","10","8","5","1","1","3","9","63","10","9","2","1","0","0","1","1"
"s25","voters","103","1960","700","878","85","2","15","18","0","7","1","254","872","1088","112","87","50","11","25","25","6","3","0","4","0","0","2","0","0","0","3","0","2","0","0","3","0","0","0","1","2","1","9","7","2","1","0","19","24","26","32","39","135","0","25","42","52","38","72","196","1","29","25","46","47","92","180","2","22","34","49","52","79","220","1","8","12","21","21","21","39","2","8","20","24","14","19","44","0","3","3","12","8","8","20","2","7","5","10","7","9","34","407","146","58","27","11","1","8","11","31","478","157","92","34","15","2","17","10","73","135","35","21","23","8","3","3","4","22","84","20","10","3","2","1","3","0","5"
"s25","voters","104","2499","925","1109","101","6","24","31","0","8","0","295","1101","1398","151","119","40","23","29","41","7","4","0","0","1","0","6","2","1","1","1","1","1","0","4","2","2","1","3","0","3","0","3","12","3","2","4","15","33","44","36","58","133","3","42","76","86","68","92","235","4","22","50","68","75","128","195","1","17","30","65","87","123","244","2","11","16","35","19","28","46","2","14","21","27","20","19","35","0","4","8","18","12","16","21","0","6","4","19","16","16","30","571","153","90","23","10","7","5","7","59","651","139","125","34","34","6","15","10","95","179","42","31","16","6","3","3","5","10","99","34","18","5","5","2","1","1","5"
"s25","voters","105","731","297","280","30","3","5","7","0","6","0","103","336","395","48","22","18","5","10","17","3","1","0","0","0","0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","3","1","0","0","0","8","26","9","18","21","39","0","13","29","22","21","28","63","1","5","13","13","21","23","54","0","2","11","20","15","26","76","1","8","5","7","7","16","17","0","6","4","8","5","7","12","0","1","1","5","3","7","7","0","2","0","4","3","8","10","175","44","33","17","7","0","1","3","17","153","50","26","7","9","2","3","3","27","65","18","8","4","0","0","3","0","5","36","10","2","0","0","1","0","1","1"
"s25","voters","106","2008","758","849","88","3","8","22","0","3","0","277","882","1126","172","94","58","20","15","28","7","5","0","0","0","0","5","0","2","0","4","8","1","0","1","1","2","0","3","2","2","0","4","3","4","0","3","17","21","35","28","49","131","3","30","47","47","57","103","187","1","20","34","59","57","81","173","4","14","28","48","55","84","191","0","15","13","26","23","24","22","3","18","17","19","20","36","41","1","3","6","8","6","9","17","1","5","5","11","4","20","28","458","116","80","21","16","2","6","4","55","477","132","106","19","20","4","10","8","73","170","37","28","16","6","1","4","3","12","83","21","10","4","4","0","0","0","2"
"s25","voters","107","1797","413","1054","82","0","15","26","0","8","0","199","880","917","40","83","17","14","13","23","2","3","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0","7","10","16","21","23","85","0","15","19","19","21","49","128","3","17","39","68","67","130","231","2","18","40","51","71","107","210","1","9","8","21","10","19","36","1","8","5","11","14","28","28","0","2","6","8","5","17","21","0","5","10","10","9","16","22","251","67","43","11","10","1","6","4","20","596","171","118","46","31","6","11","12","63","121","27","23","9","6","0","2","0","11","81","26","11","5","4","0","1","2","1"
"s25","voters","108","1201","299","647","58","0","14","14","0","2","1","166","578","623","99","74","46","13","4","24","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","2","4","1","0","0","12","14","18","7","23","45","3","21","29","27","21","31","48","1","15","34","56","45","67","111","1","10","23","61","36","78","109","2","7","9","17","15","14","23","0","8","10","20","14","14","13","0","3","6","7","9","8","10","0","3","6","6","12","8","11","181","51","30","10","10","1","0","3","13","361","107","71","25","11","7","6","7","52","81","25","22","16","4","4","0","2","12","49","18","8","4","4","1","0","0","5"
"s25","voters","109","1587","387","912","64","3","11","26","0","7","0","177","756","831","42","55","14","10","14","30","6","3","0","0","0","0","0","0","0","0","0","12","5","0","0","4","0","0","1","0","1","0","0","5","1","0","0","9","12","16","20","26","68","0","16","12","26","29","41","112","2","17","27","39","48","96","217","2","19","28","51","48","88","230","1","6","6","13","15","15","47","2","5","3","8","9","23","24","0","2","7","8","2","17","20","0","5","6","4","5","15","20","240","57","34","17","7","3","3","2","24","505","119","98","22","23","8","16","10","111","103","30","16","11","6","0","1","0","10","70","15","17","1","2","1","0","0","5"
"s25","voters","110","1839","416","1063","93","1","17","25","0","5","0","219","890","949","63","84","21","16","9","45","8","6","0","1","0","0","1","1","0","0","0","2","3","1","0","2","2","1","1","0","0","0","5","6","0","0","1","5","14","20","12","34","66","0","19","22","25","34","58","106","5","27","46","66","86","103","213","6","23","28","65","75","101","219","1","11","7","19","17","26","41","1","5","7","20","28","17","19","1","2","7","6","9","18","27","0","6","5","12","15","10","23","227","77","56","15","7","4","3","0","27","592","156","112","34","38","13","12","13","93","121","39","25","12","3","3","2","3","11","89","32","13","5","1","0","0","0","1"
"s25","voters","111","492","106","294","22","2","3","7","0","0","0","58","230","262","36","39","15","7","1","5","2","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","3","1","0","0","4","5","2","4","6","14","2","7","5","10","11","16","20","3","10","12","34","21","30","44","0","9","22","18","23","25","43","0","4","4","2","4","6","3","0","7","3","6","8","8","3","0","3","0","3","4","4","4","0","2","5","3","2","2","2","57","22","16","3","1","0","0","1","6","163","55","25","11","8","3","3","2","24","33","10","6","2","2","1","1","1","2","22","7","3","0","2","0","0","0","0"
"s25","voters","112","773","235","372","39","1","7","6","0","2","0","111","346","427","17","26","10","2","5","14","2","1","0","0","0","0","2","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","2","1","0","0","3","10","13","4","14","39","0","4","18","15","10","33","72","1","9","8","17","22","42","76","0","9","7","17","25","39","100","0","5","5","13","8","10","18","0","3","6","9","6","5","23","0","1","1","3","4","6","14","0","3","2","2","3","6","10","142","33","24","5","2","3","2","2","22","205","52","45","12","8","2","7","4","37","66","11","14","8","3","1","2","0","6","30","9","8","3","0","1","1","1","2"
"s25","voters","113","1904","655","854","90","0","18","13","0","6","0","268","868","1036","98","74","33","14","34","30","10","10","0","0","1","0","2","1","0","0","4","0","0","1","0","2","0","0","1","4","0","1","1","5","1","4","4","9","17","49","38","33","84","2","33","41","77","62","77","129","2","30","29","75","76","91","132","3","20","29","64","62","105","136","5","10","16","30","22","21","29","4","18","16","25","23","27","22","0","4","4","7","13","15","23","0","5","4","12","11","10","19","373","124","74","18","15","5","9","6","31","502","120","86","23","21","7","5","9","81","151","40","31","11","9","2","1","2","21","81","26","11","4","1","1","0","0","3"
"s25","voters","114","1655","533","758","73","3","9","18","0","6","1","254","773","882","47","45","22","6","23","31","11","6","1","4","1","0","2","0","0","0","4","2","0","0","1","1","1","1","0","0","0","0","6","2","1","0","0","11","16","17","33","33","91","1","19","26","37","41","66","142","1","22","17","35","56","79","169","2","14","23","38","52","75","175","0","11","11","22","21","22","50","0","8","12","18","21","19","39","1","6","5","4","5","11","24","0","5","4","4","11","16","14","302","107","49","20","13","2","4","3","33","411","109","81","24","17","10","9","8","89","125","48","30","14","15","3","3","4","12","68","21","11","2","2","1","1","0","4"
