"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","10001","1013","642","140","25","1","8","4","0","6","0","187","453","560","59","5","10","3","33","3","9","1","8","1","1","0","5","0","5","0","55","8","30","2","23","1","13","2","13","0","0","0","22","2","5","0","4","16","29","50","52","32","66","2","26","45","72","76","72","100","0","6","9","8","10","15","26","0","1","1","8","8","19","29","0","8","21","9","29","18","23","0","9","9","14","16","20","11","0","2","3","5","2","4","6","0","7","2","2","1","5","5","409","91","47","18","9","4","4","4","56","87","11","12","3","4","2","2","2","17","100","24","19","10","4","3","1","2","24","35","5","1","1","1","0","0","0","1"
"s25","voters","10003","1014","616","155","27","2","4","6","0","4","0","200","474","540","74","21","20","6","32","9","11","2","7","1","4","0","5","0","3","0","35","3","19","1","14","1","9","0","4","0","1","1","14","1","5","0","2","20","37","46","48","53","52","4","33","55","55","77","59","75","0","3","4","5","15","30","31","0","2","1","4","11","24","25","0","7","16","21","23","19","19","2","7","12","21","24","16","13","1","0","3","1","5","4","9","0","0","2","4","3","7","4","387","90","60","14","11","2","3","3","46","88","26","14","4","3","0","0","0","20","120","24","20","10","4","1","7","1","13","32","6","3","0","0","0","2","0","0"
"s25","voters","10005","1248","760","204","39","1","11","3","0","5","0","225","557","691","82","23","24","5","26","7","9","1","7","1","0","1","7","0","1","0","54","10","26","10","20","3","8","1","3","0","0","1","17","3","5","0","3","13","44","45","52","50","88","5","36","64","59","91","80","130","1","6","4","17","19","29","35","0","2","4","9","19","27","32","1","14","11","14","35","30","17","1","12","13","19","24","15","19","0","4","4","3","9","3","6","1","3","0","4","2","7","13","437","118","94","20","12","7","15","2","55","108","26","29","4","8","3","2","0","24","112","31","25","17","10","4","3","3","20","37","13","4","1","0","0","2","1","1"
"s25","voters","10008","820","505","136","17","1","11","1","0","4","0","145","357","463","70","13","18","4","41","4","8","3","1","1","1","0","4","0","1","0","16","2","12","4","10","1","3","0","2","3","2","0","8","1","3","2","1","7","34","32","33","24","68","4","18","41","39","62","45","97","0","2","5","6","12","18","30","0","1","4","2","9","16","31","1","8","7","17","13","15","13","0","9","18","6","14","10","14","0","1","0","1","3","4","2","1","3","1","5","2","1","10","320","75","45","9","10","3","1","2","40","77","16","14","3","2","0","3","0","21","88","25","9","5","6","0","2","0","10","26","4","3","1","0","0","0","0","0"
"s25","voters","10010","1259","780","171","35","2","12","8","0","6","1","244","559","700","88","15","28","7","52","8","12","2","10","0","5","1","14","1","3","0","50","8","20","5","15","2","10","1","4","1","0","0","16","5","3","2","1","18","50","59","47","44","88","3","19","85","71","77","71","147","0","1","4","10","10","22","36","0","1","6","7","11","19","44","1","1","19","25","32","24","33","0","3","11","27","28","13","27","1","1","3","3","7","7","12","0","2","3","1","7","8","9","495","132","67","22","9","4","1","4","46","103","25","13","4","3","1","1","1","20","141","36","23","16","6","2","6","0","14","41","14","4","3","1","0","0","0","1"
"s25","voters","10012","1085","672","145","33","1","8","6","0","4","0","216","491","594","80","14","20","8","37","4","11","1","8","0","0","0","3","0","2","2","36","16","19","3","9","1","5","0","6","0","2","1","13","2","6","0","0","16","24","48","61","52","78","3","29","47","57","81","66","110","0","2","1","13","17","14","25","0","1","7","11","13","13","28","1","5","8","33","25","23","21","0","8","13","20","20","20","19","0","2","2","2","3","8","7","0","1","4","9","3","2","9","387","109","73","13","12","5","6","6","61","92","18","6","5","2","2","0","1","19","126","28","15","16","3","1","4","3","20","40","3","6","0","0","0","0","0","3"
"s25","voters","10015","1436","884","208","41","2","8","6","0","3","0","284","678","758","62","14","13","5","64","3","12","3","10","2","1","0","9","3","2","0","82","9","41","0","15","0","6","0","4","0","1","1","14","3","3","1","1","27","36","41","70","80","112","3","35","53","66","100","97","163","1","10","4","10","21","42","31","0","3","3","5","16","23","39","2","18","16","24","42","28","35","3","10","9","11","32","27","27","0","8","1","2","6","6","4","0","3","2","4","7","10","7","480","150","95","26","9","10","16","4","94","113","31","24","7","3","1","2","0","27","146","40","35","12","7","3","4","3","34","39","7","5","3","1","0","1","0","4"
"s25","voters","10017","1173","715","203","38","1","6","5","0","2","1","202","541","632","24","10","8","3","67","5","6","3","6","0","6","0","16","0","2","0","54","11","26","2","21","0","9","3","2","1","0","0","6","0","0","0","1","18","19","34","57","51","97","4","29","24","45","84","100","152","1","4","4","7","18","25","59","0","3","2","8","7","19","46","1","6","14","13","38","25","24","3","8","4","10","15","21","20","0","4","3","0","3","8","7","1","5","2","1","2","8","9","374","120","72","29","11","6","5","7","91","104","20","24","7","3","2","1","4","38","104","27","21","16","6","3","3","1","21","33","13","3","0","0","1","0","0","3"
"s25","voters","10019","1414","777","309","42","2","7","7","0","1","0","269","647","767","61","22","13","3","42","4","5","0","11","1","3","1","17","5","4","1","132","51","82","8","31","9","16","2","4","1","2","0","16","3","4","2","2","22","36","53","69","41","93","3","32","43","65","98","74","146","0","7","9","16","29","28","56","0","6","7","14","24","29","84","0","10","11","29","41","27","37","0","4","6","20","33","26","25","0","2","1","2","5","10","11","0","5","2","4","4","8","5","436","127","76","26","21","8","7","1","75","168","41","22","8","9","3","7","0","51","142","45","28","23","5","3","5","3","15","35","10","8","0","2","0","2","0","2"
"s25","voters","10022","738","388","149","18","0","4","5","0","5","0","169","348","390","25","3","8","0","28","7","6","1","6","0","3","0","11","1","0","0","69","29","49","2","8","2","8","1","5","0","2","0","7","3","3","0","3","12","16","22","26","35","50","2","19","20","31","30","49","73","0","5","3","8","9","18","39","0","3","1","6","9","16","32","1","14","5","12","17","20","12","0","8","12","17","18","10","23","0","2","3","3","3","3","7","0","1","1","0","1","4","4","242","58","32","9","7","2","0","3","35","76","14","15","1","5","2","1","0","35","98","20","20","7","6","2","0","4","12","20","4","4","1","0","0","1","0","2"
