"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"42","10-0001","37","24","21","2","3417","0","0","0","0","0","0","0","0","0","2036","0","0","0","0","0","0","0","0","0","0","0","737","1298"
"42","10-0410","37","24","21","2","1143","0","0","0","0","0","0","0","0","0","702","0","0","0","0","0","0","0","0","0","0","0","265","437"
"42","10-0464","37","24","21","2","1149","0","0","0","0","0","0","0","0","0","731","0","0","0","0","0","0","0","0","0","0","0","233","498"
"42","10-0488","37","24","21","2","5570","0","0","0","0","0","0","0","0","0","3515","0","0","0","0","0","0","0","0","0","0","0","1275","2237"
"42","10-0518","37","24","21","2","2065","0","0","0","0","0","0","0","0","0","1434","0","0","0","0","0","0","0","0","0","0","0","272","1161"
"42","10-0548","37","24","21","2","843","0","0","0","0","0","0","0","0","0","606","0","0","0","0","0","0","0","0","0","0","0","158","448"
"42","10-0574","37","24","21","2","1137","0","0","0","0","0","0","0","0","0","800","0","0","0","0","0","0","0","0","0","0","0","315","484"
"42","11-1001","37","24","21","2","348","0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","47","155"
"42","11-1402","37","24","21","2","1154","0","0","0","0","0","0","0","0","0","612","0","0","0","0","0","0","0","0","0","0","0","124","487"
"42","11-2001","37","24","21","2","204","0","0","0","0","0","0","0","0","0","135","0","0","0","0","0","0","0","0","0","0","0","44","91"
"42","11-2400","37","24","21","2","1523","0","0","0","0","0","0","0","0","0","911","0","0","0","0","0","0","0","0","0","0","0","277","634"
"42","11-3001","37","24","21","2","383","0","0","0","0","0","0","0","0","0","209","0","0","0","0","0","0","0","0","0","0","0","50","159"
"42","11-3400","37","24","21","2","1550","0","0","0","0","0","0","0","0","0","1008","0","0","0","0","0","0","0","0","0","0","0","333","675"
"42","11-4001","37","24","21","2","295","0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","63","139"
"42","11-4400","37","24","21","2","1447","0","0","0","0","0","0","0","0","0","908","0","0","0","0","0","0","0","0","0","0","0","253","655"
"42","11-5001","37","24","21","2","306","0","0","0","0","0","0","0","0","0","184","0","0","0","0","0","0","0","0","0","0","0","50","134"
"42","11-5414","37","24","21","2","1304","0","0","0","0","0","0","0","0","0","843","0","0","0","0","0","0","0","0","0","0","0","262","580"
"42","12-1400","37","24","21","2","7203","0","0","0","0","0","0","0","0","0","3557","0","0","0","0","0","0","0","0","0","0","0","533","3015"
"42","12-2400","37","24","21","2","415","0","0","0","0","0","0","0","0","0","294","0","0","0","0","0","0","0","0","0","0","0","64","230"
"42","12-2402","37","24","21","2","415","0","0","0","0","0","0","0","0","0","279","0","0","0","0","0","0","0","0","0","0","0","35","244"
"42","12-3400","37","24","21","2","671","0","0","0","0","0","0","0","0","0","246","0","0","0","0","0","0","0","0","0","0","0","46","200"
"42","12-3402","37","24","21","2","4674","0","0","0","0","0","0","0","0","0","2338","0","0","0","0","0","0","0","0","0","0","0","375","1960"
"42","12-3412","37","24","21","2","854","0","0","0","0","0","0","0","0","0","424","0","0","0","0","0","0","0","0","0","0","0","77","347"
"42","12-4001","37","24","21","2","703","0","0","0","0","0","0","0","0","0","457","0","0","0","0","0","0","0","0","0","0","0","142","314"
"42","12-4404","37","24","21","2","5053","0","0","0","0","0","0","0","0","0","3460","0","0","0","0","0","0","0","0","0","0","0","926","2532"
"42","12-4428","37","24","21","2","3194","0","0","0","0","0","0","0","0","0","2183","0","0","0","0","0","0","0","0","0","0","0","523","1658"
"42","12-4434","37","24","21","2","2768","0","0","0","0","0","0","0","0","0","1773","0","0","0","0","0","0","0","0","0","0","0","328","1443"
"42","12-5001","37","24","21","2","154","0","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","15","87"
"42","12-5400","37","24","21","2","634","0","0","0","0","0","0","0","0","0","452","0","0","0","0","0","0","0","0","0","0","0","128","324"
"42","12-5404","37","24","21","2","1138","0","0","0","0","0","0","0","0","0","754","0","0","0","0","0","0","0","0","0","0","0","156","597"
"42","12-6001","37","24","21","2","155","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","19","91"
"42","12-6400","37","24","21","2","2839","0","0","0","0","0","0","0","0","0","1551","0","0","0","0","0","0","0","0","0","0","0","237","1312"
"42","12-6410","37","24","21","2","3463","0","0","0","0","0","0","0","0","0","1924","0","0","0","0","0","0","0","0","0","0","0","302","1622"
"42","20-0001","37","24","21","2","2593","0","0","0","0","0","0","0","0","0","1723","0","0","0","0","0","0","0","0","0","0","0","512","1209"
"42","20-0402","37","24","21","2","389","0","0","0","0","0","0","0","0","0","257","0","0","0","0","0","0","0","0","0","0","0","66","191"
"42","20-0414","37","24","21","2","2801","0","0","0","0","0","0","0","0","0","1811","0","0","0","0","0","0","0","0","0","0","0","639","1172"
"42","20-0462","37","24","21","2","1608","0","0","0","0","0","0","0","0","0","1086","0","0","0","0","0","0","0","0","0","0","0","275","810"
"42","20-0504","37","24","21","2","6067","0","0","0","0","0","0","0","0","0","4133","0","0","0","0","0","0","0","0","0","0","0","1248","2879"
"42","20-0560","37","24","21","2","2850","0","0","0","0","0","0","0","0","0","1645","0","0","0","0","0","0","0","0","0","0","0","421","1223"
"42","20-0566","37","24","21","2","2569","0","0","0","0","0","0","0","0","0","1583","0","0","0","0","0","0","0","0","0","0","0","452","1127"
"42","20-0608","37","24","21","2","374","0","0","0","0","0","0","0","0","0","198","0","0","0","0","0","0","0","0","0","0","0","65","133"
"42","20-0610","37","24","21","2","926","0","0","0","0","0","0","0","0","0","390","0","0","0","0","0","0","0","0","0","0","0","27","361"
"42","20-0612","37","24","21","2","463","0","0","0","0","0","0","0","0","0","181","0","0","0","0","0","0","0","0","0","0","0","15","166"
"42","20-0614","37","24","21","2","834","0","0","0","0","0","0","0","0","0","429","0","0","0","0","0","0","0","0","0","0","0","11","416"
"42","20-0616","37","24","21","2","1471","0","0","0","0","0","0","0","0","0","633","0","0","0","0","0","0","0","0","0","0","0","19","614"
"42","20-0622","37","24","21","2","2290","0","0","0","0","0","0","0","0","0","890","0","0","0","0","0","0","0","0","0","0","0","78","810"
"42","20-0627","37","24","21","2","2184","0","0","0","0","0","0","0","0","0","815","0","0","0","0","0","0","0","0","0","0","0","75","739"
"42","20-0632","37","24","21","2","2528","0","0","0","0","0","0","0","0","0","1099","0","0","0","0","0","0","0","0","0","0","0","50","1048"
"42","20-2001","37","24","21","2","77","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","2","21"
"42","22-1001","37","24","21","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","22-2001","37","24","21","2","142","0","0","0","0","0","0","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","16","57"
"42","22-2400","37","24","21","2","7538","0","0","0","0","0","0","0","0","0","4659","0","0","0","0","0","0","0","0","0","0","0","1180","3471"
