"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","10-0001","2027","1007","529","83","10","20","24","0","14","0","340","977","1050","107","39","29","20","68","19","22","13","1","0","1","0","6","6","2","2","8","1","5","0","3","0","0","0","1","0","0","0","3","0","0","0","1","18","23","42","44","60","229","2","28","37","72","58","119","274","0","5","17","21","38","47","155","2","5","7","26","29","47","130","3","7","10","32","40","30","73","0","14","18","16","13","25","59","1","4","6","5","19","13","34","0","6","9","7","11","14","22","565","168","107","40","25","3","7","3","89","271","81","53","18","4","2","6","4","90","173","62","40","20","9","2","3","0","31","93","25","20","3","4","0","0","2","4"
"s25","voters","10-0410","703","347","207","21","1","7","7","0","4","0","109","331","372","48","13","12","2","19","8","3","2","0","0","0","0","2","5","0","1","3","2","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","5","10","23","21","27","60","0","11","19","28","30","32","80","3","3","9","6","9","20","60","3","0","4","2","14","10","64","1","6","5","7","13","11","18","0","5","3","6","10","11","13","0","1","0","1","4","3","4","0","2","2","4","3","5","11","211","45","40","8","6","1","2","7","27","95","38","24","3","2","3","1","1","40","53","17","11","6","2","1","1","1","17","27","9","0","1","0","0","0","0","3"
"s25","voters","10-0464","728","408","151","27","1","9","5","0","9","0","118","329","399","32","8","11","5","36","5","11","3","2","0","0","0","4","1","0","1","2","0","1","0","4","0","0","0","3","0","0","0","1","0","1","0","1","3","13","13","13","22","97","0","5","19","15","24","54","129","0","0","2","4","5","17","43","0","5","2","3","2","21","47","0","5","4","6","9","16","32","0","3","5","5","6","12","15","0","2","3","2","4","4","9","0","2","2","2","0","10","11","204","67","58","16","10","8","2","7","36","65","34","15","3","6","0","4","0","24","60","15","19","4","3","1","3","0","13","33","7","6","0","1","0","0","0","4"
"s25","voters","10-0488","3500","1733","938","149","4","35","22","1","16","1","601","1605","1895","69","25","18","6","202","56","42","24","0","2","0","1","9","1","5","2","7","1","4","0","7","3","4","2","2","1","0","0","5","3","4","0","1","28","36","58","82","118","382","7","52","47","90","132","165","535","2","15","18","29","38","64","283","1","16","15","24","45","87","301","2","20","19","26","51","51","173","2","17","10","24","43","43","120","0","8","11","10","12","15","53","2","8","8","7","7","32","55","996","300","180","50","30","6","16","17","138","463","141","118","33","23","5","8","11","136","310","78","85","35","15","3","6","8","61","142","39","17","9","2","3","1","3","12"
"s25","voters","10-0518","1428","943","218","41","3","14","7","0","9","0","193","663","765","39","6","10","4","101","18","10","6","0","2","0","0","4","0","2","0","3","0","3","1","2","1","0","0","2","1","1","0","3","0","0","0","2","16","27","42","48","53","204","2","16","42","72","55","93","271","0","2","6","5","16","24","71","0","2","2","7","17","21","45","0","7","5","15","19","29","43","1","6","7","10","11","16","24","0","2","0","6","7","4","10","1","3","2","4","7","8","20","474","160","105","40","23","8","12","8","113","111","36","14","7","3","2","3","5","37","91","29","27","11","5","1","4","3","22","47","12","6","0","1","1","1","2","4"
"s25","voters","10-0548","603","350","124","14","0","3","5","0","2","0","105","278","325","33","18","8","1","23","3","7","0","3","1","0","0","1","0","0","0","3","0","2","1","3","0","0","0","1","0","0","0","2","1","0","0","1","6","9","21","17","25","63","0","15","17","32","30","33","81","0","2","5","3","6","14","40","0","0","5","3","6","9","31","1","3","6","8","16","7","14","4","5","3","4","8","14","12","0","2","2","2","1","3","1","0","1","2","0","4","1","5","193","61","41","16","4","1","4","1","29","55","16","20","6","7","0","2","1","17","56","10","9","10","2","2","3","2","11","18","2","1","1","1","0","0","0","1"
"s25","voters","10-0574","797","382","258","37","0","6","4","0","0","0","110","380","417","30","5","3","2","31","19","11","3","0","0","2","0","3","0","0","0","4","2","3","2","3","1","3","1","1","3","0","2","0","0","2","0","2","8","9","20","16","27","85","3","15","10","26","17","40","104","0","5","5","10","12","25","74","0","1","3","14","8","18","83","1","4","3","7","9","11","26","0","3","0","6","12","11","17","0","3","2","2","3","7","4","1","2","0","4","2","3","14","220","76","35","10","5","1","5","1","29","134","39","19","8","4","2","3","1","48","59","21","10","6","2","0","0","2","10","35","9","2","1","0","0","0","0","0"
"s25","voters","11-1001","203","122","29","10","0","0","3","0","1","0","38","80","123","53","4","15","5","8","1","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","4","3","5","7","11","10","1","7","11","16","11","16","20","0","0","0","2","3","4","4","0","1","1","2","1","6","5","0","2","0","6","3","6","4","0","1","3","4","3","3","3","0","1","1","1","2","0","1","0","2","0","0","0","2","4","73","23","7","3","4","1","4","1","6","13","7","3","0","0","2","0","0","4","21","7","4","2","0","0","1","0","3","6","6","1","0","1","0","0","0","0"
"s25","voters","11-1402","612","396","86","26","2","11","1","0","1","0","89","248","364","164","19","29","13","13","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","2","0","1","0","1","10","11","19","13","31","60","2","16","34","21","33","43","102","0","1","7","2","5","7","17","0","2","6","3","2","8","26","0","4","8","4","8","7","13","1","8","6","8","7","8","7","0","2","3","3","2","4","6","0","0","4","3","2","6","6","232","72","39","10","13","2","2","1","25","48","16","5","4","2","0","1","1","9","50","14","7","7","3","0","0","1","7","33","4","3","1","0","0","0","0","0"
"s25","voters","11-2001","131","78","30","5","1","0","2","0","0","0","15","62","69","28","7","4","0","6","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","7","2","6","16","0","4","9","10","2","5","13","0","0","1","2","1","4","5","0","0","0","3","2","3","9","0","0","1","3","2","1","2","0","2","1","0","0","0","3","0","0","0","1","2","0","2","0","0","0","1","1","0","1","40","19","8","0","2","1","0","1","7","12","7","7","0","0","0","0","0","4","6","0","2","2","0","1","1","0","3","4","3","1","0","0","0","0","0","0"
