"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"43","0002001","23","16","13","2","68","0","0","0","0","0","0","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","43","84"
"43","0002002","23","16","13","2","2405","0","0","0","0","0","0","0","0","0","1359","0","0","0","0","0","0","0","0","0","0","0","243","1103"
"43","0002003","23","16","13","2","3703","0","0","0","0","0","0","0","0","0","2320","0","0","0","0","0","0","0","0","0","0","0","448","1863"
"43","0002005","23","16","13","2","1770","0","0","0","0","0","0","0","0","0","1070","0","0","0","0","0","0","0","0","0","0","0","188","878"
"43","0002006","23","16","13","2","1981","0","0","0","0","0","0","0","0","0","1069","0","0","0","0","0","0","0","0","0","0","0","289","769"
"43","0002009","23","16","13","2","2886","0","0","0","0","0","0","0","0","0","1660","0","0","0","0","0","0","0","0","0","0","0","395","1252"
"43","0002010","23","16","13","2","3557","0","0","0","0","0","0","0","0","0","2093","0","0","0","0","0","0","0","0","0","0","0","401","1683"
"43","0002013","23","16","13","2","2344","0","0","0","0","0","0","0","0","0","1450","0","0","0","0","0","0","0","0","0","0","0","312","1128"
"43","0002016","23","16","13","2","2351","0","0","0","0","0","0","0","0","0","1336","0","0","0","0","0","0","0","0","0","0","0","303","1025"
"43","0002019","23","16","13","2","3073","0","0","0","0","0","0","0","0","0","1777","0","0","0","0","0","0","0","0","0","0","0","405","1362"
"43","0002022","23","16","13","2","425","0","0","0","0","0","0","0","0","0","262","0","0","0","0","0","0","0","0","0","0","0","53","205"
"43","0002030","23","16","13","2","2725","0","0","0","0","0","0","0","0","0","1569","0","0","0","0","0","0","0","0","0","0","0","257","1304"
"43","0002032","23","16","13","2","2335","0","0","0","0","0","0","0","0","0","1309","0","0","0","0","0","0","0","0","0","0","0","269","1033"
"43","0002035","23","16","13","2","2840","0","0","0","0","0","0","0","0","0","1730","0","0","0","0","0","0","0","0","0","0","0","367","1356"
"43","0002049","23","16","13","2","2203","0","0","0","0","0","0","0","0","0","1390","0","0","0","0","0","0","0","0","0","0","0","213","1167"
"43","0002068","23","16","13","2","2655","0","0","0","0","0","0","0","0","0","1632","0","0","0","0","0","0","0","0","0","0","0","343","1279"
"43","0002075","23","16","13","2","3044","0","0","0","0","0","0","0","0","0","1906","0","0","0","0","0","0","0","0","0","0","0","385","1509"
"43","0002097","23","16","13","2","3087","0","0","0","0","0","0","0","0","0","1767","0","0","0","0","0","0","0","0","0","0","0","447","1307"
"43","0002120","23","16","13","2","385","0","0","0","0","0","0","0","0","0","242","0","0","0","0","0","0","0","0","0","0","0","42","200"
"43","0002271","23","16","13","2","1209","0","0","0","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","258","409"
"43","0002273","23","16","13","2","891","0","0","0","0","0","0","0","0","0","526","0","0","0","0","0","0","0","0","0","0","0","147","373"
"43","0002278","23","16","13","2","1100","0","0","0","0","0","0","0","0","0","617","0","0","0","0","0","0","0","0","0","0","0","200","410"
"43","0002279","23","16","13","2","1456","0","0","0","0","0","0","0","0","0","872","0","0","0","0","0","0","0","0","0","0","0","292","576"
"43","0002280","23","16","13","2","2073","0","0","0","0","0","0","0","0","0","1171","0","0","0","0","0","0","0","0","0","0","0","366","795"
"43","0002301","23","16","13","2","2373","0","0","0","0","0","0","0","0","0","1405","0","0","0","0","0","0","0","0","0","0","0","372","1026"
"43","0002302","23","16","13","2","1703","0","0","0","0","0","0","0","0","0","1124","0","0","0","0","0","0","0","0","0","0","0","271","841"
"43","0002306","23","16","13","2","1358","0","0","0","0","0","0","0","0","0","865","0","0","0","0","0","0","0","0","0","0","0","230","634"
"43","0002307","23","16","13","2","949","0","0","0","0","0","0","0","0","0","606","0","0","0","0","0","0","0","0","0","0","0","154","445"
"43","0002313","23","16","13","2","1983","0","0","0","0","0","0","0","0","0","1273","0","0","0","0","0","0","0","0","0","0","0","322","941"
"43","0002317","23","16","13","2","2397","0","0","0","0","0","0","0","0","0","1520","0","0","0","0","0","0","0","0","0","0","0","409","1106"
"43","0002321","23","16","13","2","2573","0","0","0","0","0","0","0","0","0","1621","0","0","0","0","0","0","0","0","0","0","0","383","1227"
"43","0002325","23","16","13","2","2613","0","0","0","0","0","0","0","0","0","1638","0","0","0","0","0","0","0","0","0","0","0","424","1198"
"43","0002329","23","16","13","2","3402","0","0","0","0","0","0","0","0","0","2130","0","0","0","0","0","0","0","0","0","0","0","537","1576"
